"Livestock","SPREAD","Ratio","FCR_BAU","FCR_High","Crop_fraction","LW_DW","FCR_scaled"
"Aquaculture","Crop by-product",0,1.014,0.78,1,1,0
"Aquaculture","Sugar",0,1.014,0.78,1,1,0
"Aquaculture","Nuts",0,1.014,0.78,1,1,0
"Aquaculture","Summer Cereals",0,1.014,0.78,1,1,0
"Aquaculture","Animal by-product",0.512002630713581,1.014,0.78,1,1,0.519170667543571
"Aquaculture","Hay",0,1.014,0.78,1,1,0
"Aquaculture","Vegetables",0,1.014,0.78,1,1,0
"Aquaculture","Cotton",0,1.014,0.78,1,1,0
"Aquaculture","Winter Cereals",0.175600131535679,1.014,0.78,1,1,0.178058533377179
"Aquaculture","Winter Legumes",0,1.014,0.78,1,1,0
"Aquaculture","Summer Legumes",0,1.014,0.78,1,1,0
"Aquaculture","Summer Oilseeds",0,1.014,0.78,1,1,0
"Aquaculture","Winter Oilseeds",0.31239723775074,1.014,0.78,1,1,0.31677079907925
"Beef","Winter Legumes",0.00361950395560075,9.20666666666667,6.4,0.15,0.5,0.00999706992536928
"Beef","Nuts",0,9.20666666666667,6.4,0.15,0.5,0
"Beef","Crop by-product",0.184284458539444,9.20666666666667,6.4,0.15,0.5,0.508993674485944
"Beef","Sugar",0,9.20666666666667,6.4,0.15,0.5,0
"Beef","Hay",0.296075423568141,9.20666666666667,6.4,0.15,0.5,0.817760319895207
"Beef","Winter Oilseeds",0,9.20666666666667,6.4,0.15,0.5,0
"Beef","Summer Cereals",0.149847463761871,9.20666666666667,6.4,0.15,0.5,0.413878694910288
"Beef","Animal by-product",0,9.20666666666667,6.4,0.15,0.5,0
"Beef","Vegetables",0,9.20666666666667,6.4,0.15,0.5,0
"Beef","Summer Legumes",0,9.20666666666667,6.4,0.15,0.5,0
"Beef","Winter Cereals",0.351091883693273,9.20666666666667,6.4,0.15,0.5,0.96971578276082
"Beef","Summer Oilseeds",0,9.20666666666667,6.4,0.15,0.5,0
"Beef","Cotton",0.0150812664816698,9.20666666666667,6.4,0.15,0.5,0.041654458022372
