SPREAD_Commodity,SPREAD_ID,Feed_SPREAD,Production_crops_2010,Demand_LUTO_2010,Scenario,Domestic_diet,Global_diet,Convergence,Imports,Year,domestic,exports,imports,imp_mult,Total_demand,Demand_mult,CF,New_demand
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2010,852154,2085349.5,8235.5,NA,2929268,NA,1,2963652.209562074
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2011,964895.06831697,2715845.16146342,9554.239249128708,NA,3671185.990531261,NA,1,3534503.8106882162
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2012,842670.566415991,2477523.63288823,9112.758581379758,NA,3311081.440722841,NA,1,3303970.192619973
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2013,816692.985797527,2478698.93015124,9055.045455038307,NA,3286336.870493729,NA,1,3281713.3817580855
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2014,852741.269913062,2724340.5233803596,9258.892184167398,NA,3567822.9011092545,NA,1,3428815.078522691
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2015,858186.381621056,3622968.0166703,9365.587425084575,NA,4471788.810866271,NA,1,3772809.7679848713
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2016,862526.058348953,3814967.1052955,9450.581473847305,NA,4668042.582170606,NA,1,3861981.859286938
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2017,866017.724645445,3968438.7890634,9531.001860082128,NA,4824925.511848763,NA,1,3936188.966217136
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2018,868826.40196504,4101263.76052456,9607.59119233192,NA,4960482.571297268,NA,1,4001972.814585742
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2019,884998.741003846,4220465.40464494,9736.468978980392,NA,5095727.676669805,NA,1,4079900.2832400175
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2020,889439.522037015,4329701.50468245,9817.591623782635,NA,5209323.435095683,NA,1,4138996.8164763357
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2021,892840.005003662,4431183.48800595,9893.682796566405,NA,5314129.810213046,NA,1,4193812.6421372793
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2022,896217.782695994,4526380.57642151,9968.867773129981,NA,5412629.491344374,NA,1,4246190.600634018
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2023,899595.87948723,4616334.77304194,10043.299049162662,NA,5505887.3534800075,NA,1,4296542.201389957
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2024,902992.697612161,4701821.27630382,10117.105709101139,NA,5594696.86820688,NA,1,4345177.694801823
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2025,906423.3635967,4783438.11172368,10190.398756845734,NA,5679671.076563533,NA,1,4392339.423920538
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2026,908546.194842421,4861659.85536124,10257.871125564663,NA,5759948.1790780965,NA,1,4436479.576271325
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2027,910717.985478322,4936871.66718558,10324.976494745075,NA,5837264.676169157,NA,1,4479488.986590878
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2028,912947.928253485,5009391.84439861,10391.787356671299,NA,5911947.985295424,NA,1,4521500.182155356
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2029,915244.035488026,5079487.33983987,10458.366784940461,NA,5984273.008542955,NA,1,4562624.951401079
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2030,917613.359354929,5147384.78743665,10524.769518272366,NA,6054473.377273306,NA,1,4602958.56591694
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2031,918970.233808879,5213278.55580018,10586.686587719829,NA,6121662.103021339,NA,1,4641178.226944086
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2032,920407.461378628,5277336.77566756,10648.49617349279,NA,6187095.740872696,NA,1,4678753.365182905
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2033,921929.759540302,5339705.94867145,10710.231845510769,NA,6250925.476366241,NA,1,4715745.197928966
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2034,923541.341700025,5400514.53885065,10771.921866735807,NA,6313283.95868394,NA,1,4752207.157705533
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2035,925245.985698762,5459875.8188125,10833.589822326201,NA,6374288.214688936,NA,1,4788186.068008304
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2036,926330.565078766,5517890.15885978,10892.396589903792,NA,6433328.327348642,NA,1,4822801.358672072
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2037,927512.289519053,5574646.892149771,10951.207217329798,NA,6491207.9744514935,NA,1,4857008.04961085
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2038,928793.701015477,5630225.85168641,11010.03366122714,NA,6548009.519040659,NA,1,4890838.007050085
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2039,930177.077129493,5684698.64933886,11068.885256446318,NA,6603806.841211907,NA,1,4924319.489351171
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2040,931664.46149799,5738129.749189001,11127.769136067764,NA,6658666.441550922,NA,1,4957477.634818418
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2041,932674.934038232,5790577.37481226,11184.36567343305,NA,6712067.943177059,NA,1,4989585.213012285
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2042,933791.143650098,5842094.28094864,11240.996607335108,NA,6764644.427991403,NA,1,5021409.720615832
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2043,935014.376265139,5892728.41333385,11297.66376331102,NA,6816445.125835678,NA,1,5052968.957632378
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2044,936345.768951574,5942523.47549826,11354.368024718424,NA,6867514.876425115,NA,1,5084278.95408247
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2045,937786.32634509,5991519.41760649,11411.109559284323,NA,6917894.634392295,NA,1,5115354.201314694
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2046,938710.683601794,6039752.8595568305,11465.389550358394,NA,6966998.153608266,NA,1,5145402.232152637
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2047,939744.077428187,6087257.45834709,11519.698580642289,NA,7015481.837194635,NA,1,5175238.341112549
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2048,940886.975974619,6134064.22797555,11574.034839408252,NA,7063377.16911076,NA,1,5204873.213891274
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2049,942139.763597021,6180201.8187607005,11628.396406814123,NA,7110713.185950907,NA,1,5234316.646990416
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Static,2050,943502.750576182,6225696.76184842,11682.781348965134,NA,7157516.731075637,NA,1,5263577.659671599
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2010,852154,2085349.5,8235.5,NA,2929268,NA,1,2963652.209562074
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2011,964895.06831697,2715845.16146342,8235.5,NA,3672504.72978039,NA,1,3536207.052207295
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2012,842670.566415991,2477523.63288823,8235.5,NA,3311958.6993042207,NA,1,3305103.231800965
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2013,816692.985797527,2478698.93015124,8235.5,NA,3287156.415948767,NA,1,3282771.880507338
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2014,852741.269913062,2724340.5233803596,8235.5,NA,3568846.2932934216,NA,1,3430136.8592003537
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2015,858186.381621056,3622968.0166703,8235.5,NA,4472918.898291356,NA,1,3774269.352829915
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2016,862526.058348953,3814967.1052955,8235.5,NA,4669257.6636444535,NA,1,3863551.219732292
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2017,866017.724645445,3968438.7890634,8235.5,NA,4826221.013708845,NA,1,3937862.195066275
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2018,868826.40196504,4101263.76052456,8235.5,NA,4961854.6624896005,NA,1,4003744.9637716296
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2019,884998.741003846,4220465.40464494,8235.5,NA,5097228.645648786,NA,1,4081838.8868612703
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2020,889439.522037015,4329701.50468245,8235.5,NA,5210905.526719465,NA,1,4141040.195516121
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2021,892840.005003662,4431183.48800595,8235.5,NA,5315787.993009612,NA,1,4195954.298106948
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2022,896217.782695994,4526380.57642151,8235.5,NA,5414362.859117504,NA,1,4248429.363119459
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2023,899595.87948723,4616334.77304194,8235.5,NA,5507695.152529171,NA,1,4298877.096935621
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2024,902992.697612161,4701821.27630382,8235.5,NA,5596578.473915981,NA,1,4347607.916673504
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2025,906423.3635967,4783438.11172368,8235.5,NA,5681625.97532038,NA,1,4394864.308753119
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2026,908546.194842421,4861659.85536124,8235.5,NA,5761970.5502036605,NA,1,4439091.606261577
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2027,910717.985478322,4936871.66718558,8235.5,NA,5839354.152663901,NA,1,4482187.687733912
Beef,NA,NA,NA,NA,AgS1,BAU,BAU,2050,Trend,2028,912947.928253485,5009391.84439861,8235.5,NA,5914104.272652095,NA,1,4524285.174075004
