Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,34404.77579,37091.55957,37296.54993,38038.27626,39796.04247,38158.1312,36414.14667,39557.64872,39445.47996,38873.6688,43208.00684,38907.27928,34814.41961,34708.00328,39021.27238,38947.19958,39138.96378,40250.47135,40069.73739,32021.37986,29579.95044,31420.30802,30259.77248,32473.42813,32282.49834,35676.66447,36815.15328,37944.17051,0,0,
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,1176.939616,1269.757383,1197.79134,1376.686376,1439.428734,1774.247966,1831.269416,2572.181358,3184.285245,3015.827647,3581.453474,3724.257151,3674.869211,3556.559159,3518.131952,3523.909613,3484.564639,3522.974171,
Angola,AGO,5362.583904,5117.603976,4249.354924,2301.122377,2215.512092,2747.441934,3321.553459,3584.15807,3682.653324,3603.152912,3583.869878,3643.039072,4403.571292,4365.619722,5015.686947,6183.261877,7156.481027,8642.033828,9915.890799,9366.710626,9569.962718,9527.739533,10445.68256,10717.36078,10980.42328,10444.96461,9265.290736,8644.188987,7774.788175,7160.377192,
Albania,ALB,2958.437076,1552.163373,1353.385251,1644.449932,1952.6871,2538.802862,3059.685972,2458.497913,2948.724047,3805.796049,4409.033446,5268.319596,5792.172314,6498.955841,7295.59853,8208.380023,9322.450564,10630.21043,12474.51302,13505.12135,14669.8592,15509.3753,16004.96811,16387.24715,17044.42023,17913.1831,19181.6776,20706.11128,22537.389,23747.89711,
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arab World,ARB,7742.250569,7674.942927,8138.83242,8130.75815,8180.750512,8108.836263,8476.283191,8771.805734,9313.740621,9278.110222,9866.669556,9781.011092,9490.377153,10064.79063,11357.96288,12094.08872,12996.27273,13561.90269,14499.21799,14073.30935,14687.67911,15134.18125,16261.60263,16524.87085,16663.53226,17172.07531,17681.45386,17506.52856,17674.09175,17634.77219,
United Arab Emirates,ARE,136664.2435,123857.7867,117787.1344,107780.6225,110485.9937,113501.97,114936.976,121545.8754,110238.3511,105011.1546,115575.3189,107005.2511,101199.6052,105218.979,105139.4248,90894.83938,82176.61337,64587.69219,52073.59464,37489.39209,33185.69579,34653.73524,36236.31408,39502.95007,42808.77694,46795.73554,48668.27997,49657.82115,49339.97571,49562.52739,
Argentina,ARG,10299.16391,11927.30392,13525.09784,15427.89503,16849.41163,15518.01677,16873.03737,19269.13641,20316.17955,18546.26847,17857.33545,15964.90878,12404.06419,14381.5678,16738.93652,19426.60683,22223.04574,25884.60626,27476.69901,23839.1549,28479.48944,31272.38216,29945.01137,30707.82758,28549.34409,29487.44317,27681.80824,28579.93415,26632.34725,24991.22725,
Armenia,ARM,3616.36883,2872.842375,1008.718132,879.2366133,1024.590726,1219.629607,1409.6172,1538.73749,1799.514906,1944.769267,2208.721609,2686.134849,3480.095109,4570.953154,5645.459299,7419.853768,9656.150945,12702.82941,14766.99646,11044.12081,11621.94887,12747.00393,14570.63379,15405.16998,16366.47441,17274.34263,17218.59134,19781.33409,21788.86091,25125.14156,
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
