year,actual,forecast,lower_bound,upper_bound
2005,2.993448832,,,
2006,3.224167607,,,
2007,2.697157709,,,
2008,2.427415254,,,
2009,2.638308551,,,
2010,2.83266584,,,
2011,2.703190004,,,
2012,2.704179349,,,
2013,2.821993961,,,
2014,3.117485935,,,
2015,3.572668318,,,
2016,3.339503754,,,
2017,3.668430112,,,
2018,3.891641129,,,
2019,4.363652,,,
2020,4.1007007,,,
2021,4.230847465,,,
2022,4.388109456,,,
2023,4.464715645,,,
2024,5.004877969,,,
2025,,4.822561074832092,4.313659282340029,5.331462867324155
2026,,4.963864828196559,4.382829333012708,5.544900323380411
2027,,5.088456965122461,4.385175298062029,5.791738632182893
2028,,5.198313923725134,4.336348439794933,6.060279407655336
2029,,5.2951783940777615,4.251510127258947,6.338846660896576
2030,,5.380586962966238,4.141529405482494,6.619644520449983
2031,,5.4558944891729295,4.013774800097531,6.898014178248328
2032,,5.5222955959609,3.873334146097837,7.171257045823962
2033,,5.580843621699604,3.723841799343177,7.43784544405603
2034,,5.6324673292508285,3.567975769491318,7.6969588890103395
2035,,5.677985639180325,3.4077573054610752,7.948213972899575
2036,,5.71812062051195,3.2447383677650024,8.191502873258898
2037,,5.753508945100119,3.0801243958582103,8.426893494342028
2038,,5.784711987324305,2.9148582629758577,8.654565711672753
2039,,5.812224729319721,2.749679901609618,8.874769557029824
2040,,5.836483613010222,2.5851700085937424,9.0877972174267
2041,,5.857873463502306,2.4217829159867765,9.293964011017836
2042,,5.876733593667855,2.2598718308995345,9.493595356436176
2043,,5.893363186754215,2.0997085394797392,9.68701783402869
2044,,5.908026042407409,1.9414989937433722,9.874553091071444
2045,,5.920954761395894,1.7853957719802107,10.056513750811577
2046,,5.932354435418247,1.6315081236473743,10.23320074718912
2047,,5.942405900527176,1.4799101210760979,10.404901679978256
2048,,5.951268605779792,1.3306473096586462,10.571889901900938
2049,,5.959083142620294,1.183742155386355,10.734424129854233
2050,,5.965973475119339,1.0391985212312944,10.892748429007383
