Scenario_ag,Year,SPREAD,total_feed_demand_tonnes,total_production_tonnes,FCR_scaled_merged
AgS1,2010,Animal by-product,0.0,2963652.209562074,0.0
AgS1,2010,Cotton,121230.73223453024,2963652.209562074,0.0409058565790498
AgS1,2010,Crop by-product,1481370.2732018244,2963652.209562074,0.49984619262080016
AgS1,2010,Hay,2429809.1818442927,2963652.209562074,0.8198698801447202
AgS1,2010,Nuts,0.0,2963652.209562074,0.0
AgS1,2010,Sugar,0.0,2963652.209562074,0.0
AgS1,2010,Summer Cereals,1204548.5554822918,2963652.209562074,0.40644059096943863
AgS1,2010,Summer Legumes,0.0,2963652.209562074,0.0
AgS1,2010,Summer Oilseeds,0.0,2963652.209562074,0.0
AgS1,2010,Summer cereals,161134.70448623062,2963652.209562074,0.05437031510186575
AgS1,2010,Vegetables,0.0,2963652.209562074,0.0
AgS1,2010,Winter Cereals,2822251.446419864,2963652.209562074,0.9522883411602794
AgS1,2010,Winter Legumes,29095.375736287016,2963652.209562074,0.00981740557897187
AgS1,2010,Winter Oilseeds,0.0,2963652.209562074,0.0
AgS1,2010,Winter cereals,210366.75485769575,2963652.209562074,0.07098226781771426
AgS1,2010,Winter oilseeds,4384.105880812771,2963652.209562074,0.00147929162088172
AgS1,2011,Animal by-product,0.0,3534503.810688216,0.0
AgS1,2011,Cotton,144700.18130765553,3534503.810688216,0.04093931964936273
AgS1,2011,Crop by-product,1768153.529761659,3534503.810688216,0.5002550922182697
AgS1,2011,Hay,2897499.91548662,3534503.810688216,0.8197755811507916
AgS1,2011,Nuts,0.0,3534503.810688216,0.0
AgS1,2011,Sugar,0.0,3534503.810688216,0.0
AgS1,2011,Summer Cereals,1437741.0014728648,3534503.810688216,0.40677308003606794
AgS1,2011,Summer Legumes,0.0,3534503.810688216,0.0
AgS1,2011,Summer Oilseeds,0.0,3534503.810688216,0.0
AgS1,2011,Summer cereals,183581.84329671186,3534503.810688216,0.05193991947089342
AgS1,2011,Vegetables,0.0,3534503.810688216,0.0
AgS1,2011,Winter Cereals,3368620.220842221,3534503.810688216,0.9530673614371644
AgS1,2011,Winter Legumes,34728.043513837045,3534503.810688216,0.009825436715846975
AgS1,2011,Winter Oilseeds,0.0,3534503.810688216,0.0
AgS1,2011,Winter cereals,239672.24657319824,3534503.810688216,0.06780930490113994
AgS1,2011,Winter oilseeds,4994.841064026272,3534503.810688216,0.0014131661278513966
AgS1,2012,Animal by-product,0.0,3303970.192619973,0.0
AgS1,2012,Cotton,135261.44612898532,3303970.192619973,0.04093906368499229
AgS1,2012,Crop by-product,1652817.5794412685,3303970.192619973,0.5002519644799283
AgS1,2012,Hay,2708516.467940289,3303970.192619973,0.8197763024588601
AgS1,2012,Nuts,0.0,3303970.192619973,0.0
AgS1,2012,Sugar,0.0,3303970.192619973,0.0
AgS1,2012,Summer Cereals,1343957.7287375978,3303970.192619973,0.4067705367740833
AgS1,2012,Summer Legumes,0.0,3303970.192619973,0.0
AgS1,2012,Summer Oilseeds,0.0,3303970.192619973,0.0
AgS1,2012,Summer cereals,171669.36814533264,3303970.192619973,0.05195850995532219
AgS1,2012,Vegetables,0.0,3303970.192619973,0.0
AgS1,2012,Winter Cereals,3148886.4658827786,3303970.192619973,0.9530614025866206
AgS1,2012,Winter Legumes,32462.74707095621,3303970.192619973,0.00982537528439807
AgS1,2012,Winter Oilseeds,0.0,3303970.192619973,0.0
AgS1,2012,Winter cereals,224120.1111849292,3303970.192619973,0.0678335754013589
AgS1,2012,Winter oilseeds,4670.729926498724,3303970.192619973,0.0014136719323109093
AgS1,2013,Animal by-product,0.0,3281713.381758085,0.0
AgS1,2013,Cotton,134250.33962843052,3281713.381758085,0.04090861206060284
AgS1,2013,Crop by-product,1640462.4357796318,3281713.381758085,0.49987986303081733
AgS1,2013,Hay,2690552.4746240964,3281713.381758085,0.819862115192616
AgS1,2013,Nuts,0.0,3281713.381758085,0.0
AgS1,2013,Sugar,0.0,3281713.381758085,0.0
