Year,Scenario,Original_Cattle_Number,Adjusted_Cattle_Number,Total_Liveweight_kg,Live_Export_Weight_kg,Slaughter_Weight_kg,Retail_Meat_kg,GHG_Emissions_tonnes,Total_Cost_Million_Dollar
1996.0,Low,220000.0,176000.0,111701920.0,12957422.72,98744497.28,67314123.795776,1080157.5664000001,301.595184
1996.0,Medium,220000.0,176000.0,111701920.0,12957422.72,98744497.28,67314123.795776,1080157.5664000001,301.595184
1996.0,High,220000.0,176000.0,111701920.0,12957422.72,98744497.28,67314123.795776,1080157.5664000001,301.595184
1996.0,Very_High,220000.0,176000.0,111701920.0,12957422.72,98744497.28,67314123.795776,1080157.5664000001,301.595184
1997.0,Low,260000.0,208000.0,132011359.99999999,15313317.76,116698042.24,79553055.395008,1276549.8512,356.430672
1997.0,Medium,260000.0,208000.0,132011359.99999999,15313317.76,116698042.24,79553055.395008,1276549.8512,356.430672
1997.0,High,260000.0,208000.0,132011359.99999999,15313317.76,116698042.24,79553055.395008,1276549.8512,356.430672
1997.0,Very_High,260000.0,208000.0,132011359.99999999,15313317.76,116698042.24,79553055.395008,1276549.8512,356.430672
1998.0,Low,330000.0,264000.0,167552880.0,19436134.080000002,148116745.92,100971185.69366398,1620236.3495999998,452.392776
1998.0,Medium,330000.0,264000.0,167552880.0,19436134.080000002,148116745.92,100971185.69366398,1620236.3495999998,452.392776
1998.0,High,330000.0,264000.0,167552880.0,19436134.080000002,148116745.92,100971185.69366398,1620236.3495999998,452.392776
1998.0,Very_High,330000.0,264000.0,167552880.0,19436134.080000002,148116745.92,100971185.69366398,1620236.3495999998,452.392776
1999.0,Low,370000.0,296000.0,187862320.0,21792029.12,166070290.88,113210117.29289599,1816628.6344,507.2282640000001
1999.0,Medium,370000.0,296000.0,187862320.0,21792029.12,166070290.88,113210117.29289599,1816628.6344,507.2282640000001
1999.0,High,370000.0,296000.0,187862320.0,21792029.12,166070290.88,113210117.29289599,1816628.6344,507.2282640000001
1999.0,Very_High,370000.0,296000.0,187862320.0,21792029.12,166070290.88,113210117.29289599,1816628.6344,507.2282640000001
2000.0,Low,490000.0,392000.0,248790639.99999997,28859714.24,219930925.76,149926912.090592,2405805.4888,671.734728
2000.0,Medium,490000.0,392000.0,248790639.99999997,28859714.24,219930925.76,149926912.090592,2405805.4888,671.734728
2000.0,High,490000.0,392000.0,248790639.99999997,28859714.24,219930925.76,149926912.090592,2405805.4888,671.734728
2000.0,Very_High,490000.0,392000.0,248790639.99999997,28859714.24,219930925.76,149926912.090592,2405805.4888,671.734728
2001.0,Low,580000.0,464000.0,294486880.0,34160478.08,260326401.92000002,177464508.188864,2847688.1296,795.114576
2001.0,Medium,580000.0,464000.0,294486880.0,34160478.08,260326401.92000002,177464508.188864,2847688.1296,795.114576
