Year,Scenario,stage,meat_share,Scenario_ag,Scenario_mapped,New_demand,production
2010,Very_High,land,0.949257070385715,AgS1,Very_High,2963652.209562074,2813267.8140910454
2010,Very_High,short,0.007509943683019429,AgS1,Very_High,2963652.209562074,22256.86118986727
2010,Very_High,mid,0.03466602078071044,AgS1,Very_High,2963652.209562074,102738.02908347726
2010,Very_High,long,0.008566965150555085,AgS1,Very_High,2963652.209562074,25389.505197683862
2011,Very_High,land,0.9515253190468869,AgS1,Very_High,3534503.810688216,3363169.866137542
2011,Very_High,short,0.007174243323699049,AgS1,Very_High,3534503.810688216,25357.39036641878
2011,Very_High,mid,0.03311642252491988,AgS1,Very_High,3534503.810688216,117050.12161069037
2011,Very_High,long,0.008184015104494256,AgS1,Very_High,3534503.810688216,28926.432573564867
2012,Very_High,land,0.9515079688505325,AgS1,Very_High,3303970.192619973,3143753.967122533
2012,Very_High,short,0.007176811149374486,AgS1,Very_High,3303970.192619973,23711.97011559599
2012,Very_High,mid,0.03312827564952149,AgS1,Very_High,3303970.192619973,109454.83527891707
2012,Very_High,long,0.008186944350571547,AgS1,Very_High,3303970.192619973,27049.420102926873
2013,Very_High,land,0.9494438469511975,AgS1,Very_High,3281713.381758085,3115802.5777676203
2013,Very_High,short,0.007482300787767943,AgS1,Very_High,3281713.381758085,24554.76662155712
2013,Very_High,mid,0.03453842073180544,AgS1,Very_High,3281713.381758085,113345.1975003568
2013,Very_High,long,0.008535431529229082,AgS1,Very_High,3281713.381758085,28010.839868550953
2014,Very_High,land,0.9442841885847204,AgS1,Very_High,3428815.078522691,3237775.8642298537
2014,Very_High,short,0.00824592921936237,AgS1,Very_High,3428815.078522691,28273.766443780536
2014,Very_High,mid,0.03806334184915668,AgS1,Very_High,3428815.078522691,130512.16047135221
2014,Very_High,long,0.009406540346760485,AgS1,Very_High,3428815.078522691,32253.28737770441
2015,Very_High,land,0.9363844369068717,AgS1,Very_High,3772809.7679848713,3532800.350151259
