alpha,beta,sigma,nu
2.4285534352661773,1.9124641386620174,1.1420298516625813,7.695846002111398
2.182658259367965,1.9871625159775235,1.2730921667979394,8.804576025014924
2.4496866346753143,1.7065410480829482,1.266028770468821,11.49189739875889
2.5486290708720025,2.1321923505250164,1.0731154385820576,9.89244588697991
2.5973768981323784,1.7612224195536614,1.4381842124716446,34.532566391798376
2.7382103349266207,1.9155431246681314,1.1030832390001888,5.7928125865388
2.3900217420553576,1.8713339756403977,1.2880230992759896,25.98678079689843
2.777905242304717,1.757902686424882,1.657474161648833,18.25225511287033
2.4105493055463136,2.197922303688412,0.9473351025055107,12.107795141642821
2.611730036757319,2.0136549121691822,1.0422147401174329,16.44612768007908
2.647705802710869,2.054702286706705,1.4253557754549182,13.269813636353476
2.3760664005909318,2.1040086241237814,1.220870473671409,21.428598530194776
2.39570905011703,1.9041603070100837,1.2295130101246468,4.734136702803638
2.8397403404389396,1.9155795494264454,1.2546970606214387,14.513488084795695
2.2976745138086887,2.248116828459272,1.1210607186025856,14.33327187898493
2.5781871960183658,1.9535472452370897,1.0740217499826992,2.990090182585164
2.315677144808528,1.5855525689939438,0.6619037145156951,2.5114746115204016
2.315677144808528,1.5855525689939438,0.6619037145156951,2.5114746115204016
2.6018489175890096,2.1108455151658863,1.5546564313841946,11.887183064204601
2.865680646608664,2.0118896320579434,1.0997079877026785,25.7027221685565
2.9224100342766746,2.1752301834814096,1.2997951578549034,14.034830945105863
2.3549089283714473,1.6172152357295364,1.53617040831378,5.053822965886745
2.996502275170568,2.0523794146825014,1.0812887093932748,34.90792742925486
2.380067472423323,1.8900441319546388,1.2987353579769574,18.034558233566646
2.492099986354822,1.8417074518873222,0.9768576575388745,2.974903908331261
1.982418906517992,2.117864284983946,0.797003140581781,1.3673636087042071
1.8966256357167652,2.1712943095321586,0.8164530338018664,1.1754150234627732
1.8966256357167652,2.1712943095321586,0.8164530338018664,1.1754150234627732
2.13859725653334,1.6355633002109382,1.0953082456720857,6.660733430637076
2.2858857928531786,1.5101367664310699,1.0781487085810353,4.39843724443809
2.3388757448521793,1.8432135135722172,1.0880172430666595,5.816400801579603
2.7355844097197877,1.8488477284048976,1.0447660679104704,6.171901844928308
2.4803089677727232,2.124800421350994,1.1156649221329167,10.967188099192224
2.7465580500126077,1.619017571291591,1.6148703730222946,6.516330293631572
3.0357565830826636,1.6557780373311977,0.9472031565350103,20.07390160450368
2.5250475709775957,1.8385735399705156,1.1679727127153794,13.499268476273398
2.542216761317333,1.9468685108661954,1.1627523241221716,19.056394464225544
2.6107721378202693,2.3700632540069306,1.0033059862963514,30.335808114632624
2.566815396399971,1.8587504598589735,0.9429370146364471,34.53389493637433
2.6597859298246185,1.8412040038817066,1.1637542039512572,13.781709197695031
