alpha,beta,sigma,nu
7.296160961990692e-13,-1.1499941402857144e-13,7.705717860383713e-12,0.7311708385817749
-1.904314075563956e-12,9.405869847738343e-13,7.705717782122029e-12,0.7311708386166933
-5.673912765795244e-13,-8.23635800606075e-13,7.705718244509033e-12,0.7311708386342833
-4.090243118108564e-13,-7.085648918181453e-13,7.705716651688963e-12,0.7311708386579308
-4.554403072242896e-13,6.207671559593277e-13,7.70744045952542e-12,0.731174786815389
-7.077939439835499e-13,2.4249228007041926e-13,7.700269797809264e-12,0.7311765769660535
5.585063913706647e-13,-2.7094611572506457e-13,7.700269170370355e-12,0.7311765770084533
-2.334183346341321e-13,-5.510419251094944e-13,7.721829970632279e-12,0.7311788467657026
1.1991250460425821e-14,-1.9853501071109105e-12,7.723658938717517e-12,0.7311784015750562
-4.4795014150137843e-13,1.056696135305083e-12,7.724929963162328e-12,0.7311779338439376
2.7491823829442216e-13,1.1792669756169394e-12,7.72897141126655e-12,0.7311781301029314
-1.6895859792806815e-12,-1.928907276694993e-12,7.736411364647013e-12,0.7311758627516287
-1.1934506936441624e-12,1.565553713588402e-12,7.73641113812086e-12,0.7311758625298909
1.594606216599967e-12,-6.610163238204514e-13,7.736409203538319e-12,0.7311758635575952
-8.354709486075951e-13,1.4614777749302954e-13,7.736410102411953e-12,0.7311758634928331
-9.601469527519818e-13,1.2564495133074633e-12,7.742575190056713e-12,0.731176708683895
-6.7113345481192e-14,-4.257106111682951e-14,7.723318895220654e-12,0.7311704193958278
-8.127016306930366e-13,-1.3249255769675949e-12,7.723318009508967e-12,0.7311704192618248
-1.0597230871582365e-12,-6.978937354018461e-13,7.72934890400714e-12,0.7311727375010826
-1.324939404590507e-12,-7.834386579697458e-13,7.72932585127434e-12,0.7311739800294503
-1.7077563244966403e-12,-1.4563686670490958e-12,7.729325686136962e-12,0.7311739800896969
3.6367035804090763e-13,-2.0397714255359126e-13,7.730603193200924e-12,0.731171571363738
-7.115202702149778e-13,2.058022292365287e-13,7.73060244060614e-12,0.7311715712471437
9.164896107646014e-13,4.4669952462955585e-13,7.732943727551672e-12,0.7311698004298792
7.209865738056674e-13,-1.6930451447409145e-13,7.73962863093503e-12,0.7311742293313691
2.587685477090779e-12,-1.684075179128657e-12,7.746923509197211e-12,0.7311791308912055
5.767542180769728e-13,-5.87123933346044e-13,7.746923887987367e-12,0.7311791300281983
8.136595433373008e-13,-9.35606420794333e-13,7.749061355151642e-12,0.7311769373411159
8.859477852420603e-13,1.1586901750771601e-12,7.741745151301124e-12,0.7311775623083794
-9.056833662844528e-13,1.3788168819674548e-12,7.743731987879608e-12,0.7311802903209185
4.784690714944262e-13,1.915891987072705e-12,7.743732046780479e-12,0.7311802905112977
-8.357902678659299e-13,-2.028109998723368e-12,7.743732450329914e-12,0.7311802905782775
-2.121740075425839e-12,9.660281244838775e-13,7.748577194408582e-12,0.7311845281272659
1.4657688860911007e-12,-2.7061056530769265e-12,7.745094072614752e-12,0.7311896171523287
8.159812163528108e-13,-1.4184868063082265e-12,7.771819039708596e-12,0.7311864021366615
-1.14209475152522e-12,6.258896072471185e-13,7.771818739633004e-12,0.7311864021403535
1.289318292083918e-13,-5.970031562811915e-13,7.768925619081164e-12,0.7311884980605089
-2.443906394435904e-14,2.5468803637855077e-12,7.757168494547135e-12,0.7311916871725176
-8.319877563519286e-14,-2.519969781565209e-12,7.734979492892534e-12,0.7311960562403255
2.493868282300776e-13,-1.7215668043918679e-12,7.734979445487212e-12,0.7311960561951805
1.7109078841686238e-12,1.205609317008498e-12,7.734979153775815e-12,0.7311960561212137
2.6393706576492173e-12,-2.0591889910989324e-12,7.734978938824034e-12,0.7311960561799152
1.5528448361391956e-12,-2.968317847630996e-12,7.733481967429785e-12,0.7311927663524154
2.8758505018324894e-13,5.107859598672988e-13,7.733482089464814e-12,0.7311927663228669
-1.1159787321412941e-13,2.396287830851038e-15,7.737480026514326e-12,0.7311918712717631
4.261713023373996e-13,-7.031636200025601e-13,7.738096937140795e-12,0.7311910769833869
-3.453053572973462e-13,6.598370591604843e-13,7.734026475858538e-12,0.7311862145268213
-7.079311180662498e-13,-8.248609453081675e-13,7.725408441189689e-12,0.7311874483086854
-9.480449429586437e-13,9.959199789893068e-14,7.731890500571326e-12,0.7311894284443423
-2.933953784018862e-13,2.8645626683555877e-13,7.729162468915126e-12,0.7311891773334294
-3.5994728144050493e-13,-4.783595183258777e-13,7.734050455135379e-12,0.7311908488021248
1.055673537659122e-12,2.6517652986580814e-12,7.734050825974585e-12,0.7311908490322727
-9.957416115288904e-13,-2.499637904382323e-12,7.73405116770987e-12,0.7311908490112754
1.339940151068426e-12,2.4854373243872187e-12,7.734049445288325e-12,0.731190848596511
9.498576443121032e-13,2.9488381517507297e-12,7.734051033398153e-12,0.7311908483525339
-1.9270869866276253e-13,3.02546544232882e-13,7.73405085939863e-12,0.7311908482765673
-5.166163668752947e-13,2.3890401090226775e-13,7.726004468257297e-12,0.7311911494175648
-1.4847435595863448e-13,-4.423393269900246e-13,7.722158892327738e-12,0.7311888873561521
9.60775272063075e-14,-1.2117407886959041e-12,7.726771216237427e-12,0.7311939843078041
3.6096171939799493e-13,-1.20249019502326e-12,7.726770152562223e-12,0.731193984263991
-1.4305051979458367e-12,1.0372437323132202e-12,7.735627502947073e-12,0.7311959553446464
6.677258540550016e-13,-7.23897458291345e-13,7.746805033899128e-12,0.7311923024691213
-7.957452757922975e-14,-1.0485057531341283e-12,7.744954754850957e-12,0.7311927707486225
-3.4984541206917476e-13,-7.594564488656453e-13,7.73992020216821e-12,0.7311834813196003
