alpha,beta,sigma,nu
-3.9630926840973335e-14,9.163345020033892e-13,8.50238515017468e-12,0.36941593747243323
1.3379432191367896e-12,-1.3204005984241234e-12,8.50238544713216e-12,0.36941593747024387
-7.117177875812037e-13,1.5894512315407533e-12,8.502384569873718e-12,0.3694159374696924
4.278846338724853e-14,1.0004743619674231e-13,8.50238490564338e-12,0.36941593746961005
-7.769603580958633e-14,-9.485805720688886e-14,8.499135473159567e-12,0.36941582180283805
1.2340048627296044e-12,-2.723305714746411e-13,8.512564930029975e-12,0.3694157651783516
-1.2662205119846117e-12,8.354031720367098e-13,8.512564399957497e-12,0.36941576517894237
7.018568309811591e-13,-1.384568529692424e-12,8.495187568125168e-12,0.3694157353393344
-6.12858306344686e-13,-5.017346504945647e-13,8.488028958684606e-12,0.3694157641670331
2.461309627619094e-13,2.609518891150579e-13,8.48271535458473e-12,0.3694157962677295
3.0472718667681726e-13,8.190230063622126e-13,8.48933923399187e-12,0.369415801635668
-8.862675919043133e-13,1.6488899426749516e-12,8.498604543765608e-12,0.3694157547646444
-1.3922595751622659e-12,6.257473062602308e-13,8.49860525688396e-12,0.36941575477622984
1.912424351013785e-12,-1.9982058987368684e-13,8.498581136801892e-12,0.36941575498886503
-1.0680231363138274e-12,-6.494933247512036e-13,8.498582268698215e-12,0.36941575498751156
-5.739892110400443e-13,-2.470155393827485e-12,8.474064559454535e-12,0.36941569943311037
7.957778371034051e-13,8.591678047758503e-13,8.494730501565076e-12,0.3694158129472775
-1.0450972521944022e-13,-1.9233521089924334e-12,8.494730129330021e-12,0.3694158129463439
1.5885125426078234e-12,6.573488422172721e-13,8.494766131033591e-12,0.36941581317060557
-1.5966085885845652e-12,-8.924073639892562e-13,8.494766133626008e-12,0.3694158131799684
-2.010825233719741e-12,-1.420665650292388e-12,8.494767589920944e-12,0.36941581317115463
1.3220985472488003e-12,3.002462254361198e-12,8.492459258085903e-12,0.36941588349080695
-3.3966113412266784e-12,-1.3203080364980142e-12,8.492460837617376e-12,0.3694158834948683
7.734659550437536e-13,-5.974403075745098e-13,8.492461318020107e-12,0.3694158834889354
1.6154376168613201e-12,-1.5992844463674313e-12,8.494172710039066e-12,0.3694159021269671
-4.922888063957193e-13,1.0145729359272627e-12,8.489016097113726e-12,0.3694158450228468
-9.964059811788826e-14,5.571133215788015e-13,8.49071460630924e-12,0.369415776539186
6.23525950994587e-14,-3.9333360638075014e-13,8.493722782851985e-12,0.36941572507422654
1.796192954283346e-13,9.404033974871122e-13,8.502643133629534e-12,0.36941571215593705
5.970137035909205e-13,-1.8185701181228928e-13,8.501253062617349e-12,0.36941568194947116
7.69527875006082e-14,1.418311093831736e-12,8.501253173801336e-12,0.36941568195543933
4.562264801724345e-13,-1.4625913471150698e-12,8.501253850925305e-12,0.3694156819573058
-1.4156615435763227e-14,1.0431378557823034e-12,8.50101761080223e-12,0.36941567857297114
4.1989462323583104e-13,9.250754646953999e-13,8.497064629959637e-12,0.36941577452057356
-2.346641626067777e-12,8.819718499572105e-13,8.506967371732242e-12,0.3694157547822449
-2.1775546418207004e-12,4.682043599749676e-13,8.506967183474454e-12,0.36941575478228356
8.643455308456267e-13,-5.158383814863554e-13,8.506967564244229e-12,0.36941575477755184
-1.112925904515813e-12,-1.4048200501898378e-12,8.527213394000374e-12,0.3694156622227685
-3.112808114472757e-13,-1.584573789922695e-13,8.504943712725284e-12,0.3694157349770201
-1.2381834718865493e-13,-6.127800928104137e-14,8.505222642215002e-12,0.3694157395019115
-8.665371446386772e-13,-1.3545715988819267e-12,8.505220803763591e-12,0.3694157394941825
2.4459269427417374e-12,1.4020208711786592e-13,8.505220397357058e-12,0.3694157394960227
-3.0640029390970672e-12,3.4669216064991115e-13,8.507940697779868e-12,0.3694158440670138
1.1042359141838152e-13,2.806574042363889e-14,8.507940543879455e-12,0.3694158440676313
1.2758804884259345e-12,6.592045550537796e-13,8.496356779802891e-12,0.36941588612696724
1.959420829838508e-13,-2.1497759782296538e-13,8.498816059714798e-12,0.36941583175204706
3.725539166718459e-14,-7.02596889934314e-14,8.503075996471285e-12,0.369415920367328
1.6500009102673453e-13,6.604290989433092e-13,8.496804297154306e-12,0.36941593533576933
3.1659145169935244e-13,-8.393088658448547e-13,8.509019310956473e-12,0.369415997351362
1.4309972710894024e-12,1.5487078373723615e-13,8.519740981659366e-12,0.3694160138408804
3.7513182035111453e-13,1.2295246083557525e-12,8.525481469202742e-12,0.3694160462614743
9.993445387986855e-13,2.423064827343447e-12,8.525480063401475e-12,0.3694160462470449
-6.306392114905143e-13,-1.844989593875777e-12,8.525480495221304e-12,0.3694160462466061
-2.195746647419103e-12,4.24342507753823e-12,8.525477230516638e-12,0.36941604623360397
1.526071865792639e-12,-3.604691753436424e-12,8.525475797109759e-12,0.36941604623724594
9.991800474731723e-13,1.7716068034081692e-12,8.525476236843112e-12,0.3694160462404212
1.5822083442019218e-12,9.516218608864398e-13,8.51521535559787e-12,0.3694160525995848
-1.370111240746082e-12,-1.3666895785360768e-12,8.515210978341553e-12,0.3694160525558336
-2.5396600748664834e-13,-1.9744008337242778e-12,8.519931965927033e-12,0.36941613840661625
-1.1930337039938279e-12,3.5962513307405116e-13,8.519931517775952e-12,0.369416138406311
2.3327694834846247e-13,5.94330428856249e-13,8.52979555654219e-12,0.369416174656138
1.665944494064813e-12,8.064017905812935e-14,8.511289892697404e-12,0.3694162734671604
5.83725776998204e-13,-4.263987525436119e-13,8.50477066484897e-12,0.3694163006936291
-7.652795194086319e-13,5.770024149663552e-13,8.501829690058778e-12,0.3694162096499541
7.498342182671384e-13,-9.648124812566011e-13,8.501829696326316e-12,0.3694162096452042
-9.910539467911188e-13,1.581248941551417e-12,8.501830603928043e-12,0.3694162096581772
2.160679530626612e-13,-6.351758183204906e-13,8.501832095264374e-12,0.36941620966752947
-6.169767933005863e-13,1.0129059079760786e-12,8.476814586399631e-12,0.3694159780655778
-1.3854598075767015e-12,5.718424934085985e-13,8.465139910372449e-12,0.36941618275755694
-4.157590405282677e-13,1.3202461830563108e-12,8.479371086055856e-12,0.3694162281087773
-3.3502445942655043e-13,-4.788250083608249e-13,8.489157641543152e-12,0.36941620403989023
-7.71347124401325e-13,-1.2133744952829564e-13,8.489925102388318e-12,0.369416161338245
1.820188053661197e-12,-5.536980112923258e-13,8.507861460585372e-12,0.36941609448136975
7.224694356288532e-13,-7.188802264201335e-13,8.507861809641827e-12,0.3694160944805735
7.321030839646987e-13,4.889437268007774e-13,8.518353844672352e-12,0.3694161030332804
-1.3420224688249721e-12,-4.750410357895381e-13,8.524518797372686e-12,0.36941619647995444
1.4960635660081053e-16,1.6289209690651868e-12,8.52451927522027e-12,0.36941619647870305
-2.0555638742132562e-13,-1.4330485311694775e-12,8.52451794703005e-12,0.3694161964824228
-1.4143175479688291e-12,-1.1836625195818398e-13,8.525969202020608e-12,0.3694161899259226
-8.009633336598573e-13,1.695319177596489e-13,8.525969112502513e-12,0.3694161899264613
-6.098008504344641e-13,-6.125769183280457e-14,8.512942097437818e-12,0.3694161784873478
6.776832363468528e-14,-7.16635932356698e-13,8.514305064911501e-12,0.3694161915064841
8.299755187044802e-13,1.2534879876449781e-12,8.512404459536567e-12,0.3694161943847576
-1.3575491490224106e-13,-1.7329264654391922e-12,8.512405070530796e-12,0.3694161943727434
-1.6614726281278755e-12,-5.538103745130233e-13,8.515948510196674e-12,0.36941598004605875
2.0919577487882404e-13,1.3553910931228591e-12,8.516236783249388e-12,0.3694159866250093
1.4308731173197166e-12,1.7085001184395836e-13,8.51986704626016e-12,0.3694161017927806
-2.07126601600109e-12,1.1639461633235442e-12,8.519866580670308e-12,0.3694161017919293
-1.1563049633301837e-12,9.471939611029152e-13,8.51801573440596e-12,0.3694161347538604
8.179102175422453e-13,-1.5702094276784883e-12,8.518016296140406e-12,0.3694161347547377
-8.765446667571764e-13,1.548400495753061e-12,8.518016937553057e-12,0.3694161347503842
-4.778247745230835e-13,3.56666283956205e-14,8.513751437948813e-12,0.3694161118513021
5.439358484277879e-13,9.824143090064454e-13,8.504203714789275e-12,0.36941619408217874
