alpha,beta,sigma,nu
4.253370302913428e-14,1.9822067569822907e-13,4.162604741738191e-12,0.8776904351566992
1.3932265564519094e-12,-5.138372199409189e-13,4.162604796572687e-12,0.8776904351564647
-1.403368420577143e-12,5.559453363573632e-13,4.1626052825365135e-12,0.8776904351566419
3.523196449411886e-13,3.4127389913411603e-13,4.16260491052875e-12,0.8776904351566949
-1.7022034262122113e-13,9.410411072057992e-14,4.161578326288191e-12,0.8776904137726879
-6.198594543510444e-13,-8.205651627880147e-13,4.166652419494609e-12,0.87769040137463
7.301138191162301e-13,6.842587651260002e-13,4.166651979133311e-12,0.8776904013749147
-5.418985158009381e-13,-1.0136071821180567e-12,4.172603189641352e-12,0.8776904073511533
1.3528375973880693e-12,1.595100588020275e-13,4.166101463341915e-12,0.8776904224660982
-5.922282523484227e-13,-8.146726425878152e-13,4.161566703624642e-12,0.8776904382115475
-1.7872192141133863e-13,6.971376930099949e-14,4.161566913199375e-12,0.8776904382116443
1.0492579563642924e-13,-1.0431888124452868e-12,4.171557833957869e-12,0.8776904087466897
-1.3163711504103733e-13,1.0655471421397908e-12,4.171558071597721e-12,0.8776904087489236
-2.0335353065882785e-13,-7.357738249026137e-13,4.1715601010447195e-12,0.87769040873857
-5.64302331823897e-13,1.2906385276675636e-12,4.171559681938529e-12,0.87769040873886
8.822186884633095e-13,-1.2534643501371432e-12,4.184139536457697e-12,0.8776904253478701
1.1313024973771242e-12,5.331928979924414e-13,4.191615502346614e-12,0.8776904489623958
-1.6104239262682375e-12,-1.045432327399029e-12,4.191614878861617e-12,0.8776904489614958
1.1222587525621249e-12,4.4324361716771436e-13,4.191615231540242e-12,0.8776904489627602
1.2806856709126766e-13,3.872286856853936e-13,4.191615232264422e-12,0.8776904489642647
5.719758010681465e-13,4.051313596363575e-13,4.1916154645748506e-12,0.8776904489634554
-2.9530899642295267e-13,1.05433906266476e-12,4.1930213200608284e-12,0.8776904232469822
-8.991534068273882e-13,-3.794173046094832e-13,4.193022025998373e-12,0.8776904232480263
3.1253606357489727e-13,6.740747451506295e-13,4.191104737206624e-12,0.8776904365508722
-1.1064572664268056e-12,4.3686845577242634e-13,4.194483430547895e-12,0.877690457937839
-1.1407971019600128e-12,7.330392636580636e-13,4.191264715568825e-12,0.8776904374735272
9.131740009242953e-13,-7.325326413561458e-13,4.189980024393168e-12,0.8776904632588931
4.643104475107477e-13,-7.477257893449082e-13,4.1920139105875094e-12,0.8776904430784639
-8.342716694696885e-13,1.3217297111102608e-13,4.19697102513335e-12,0.8776904389371797
7.907215666605262e-13,-7.566524452608118e-13,4.196979524108423e-12,0.877690439045296
5.092180484188814e-13,9.021005336809103e-13,4.196979544811526e-12,0.8776904390459354
-4.773710832707425e-13,-1.033735787378289e-12,4.196979828497734e-12,0.8776904390463851
1.363089557298958e-13,-1.5784113535281964e-12,4.191922816740064e-12,0.8776903984806607
-7.908162638280022e-13,-8.061594104571835e-13,4.1951143932917805e-12,0.8776903525155954
-1.0251247954999688e-12,3.1011914062945504e-13,4.203022061664133e-12,0.8776903434333794
1.3009093278241957e-13,-2.7124494332471844e-13,4.203021851176806e-12,0.8776903434334041
6.484906913744209e-14,3.21311738439682e-14,4.200741374972446e-12,0.8776903589868735
-4.335934751960126e-13,1.1033420286090092e-12,4.1928243803991274e-12,0.877690379523634
-2.300672197692431e-13,-3.343461719901346e-13,4.182877057451418e-12,0.8776903982890453
-2.7883291497572623e-13,-4.7153709923368165e-14,4.182878420307222e-12,0.8776903983014762
-2.717883266171112e-13,-4.38715635169034e-13,4.1828790341328784e-12,0.8776903983029665
-1.6163023551766672e-12,5.756577871027588e-13,4.182879109517067e-12,0.8776903983027694
5.974909184653441e-13,7.560022202068847e-13,4.181163780350627e-12,0.8776903631283328
-1.2995917506852262e-13,-5.523960832767636e-13,4.181163865928254e-12,0.8776903631281343
4.233264330514507e-13,5.504864401157156e-13,4.187692932073327e-12,0.8776903489230551
4.57586966461458e-13,1.0659578871197758e-13,4.189071258553041e-12,0.8776903310050059
4.497976940399863e-13,9.418321003284372e-14,4.191326380963124e-12,0.8776903582046915
-3.2638437067747635e-13,1.7624492642407037e-13,4.186353024993931e-12,0.87769036499691
-6.390073483353918e-14,-9.990127764826936e-14,4.180612280048784e-12,0.8776903484429363
4.0407145345656184e-14,-6.641186736593486e-13,4.172377579084391e-12,0.8776903412589879
-4.854644003955999e-14,-7.883419379778211e-13,4.1696363678168035e-12,0.8776903326025328
5.090435588040494e-13,1.7529214093329728e-12,4.1696366271345885e-12,0.8776903326040786
-3.362356830651086e-13,-4.9037599989856e-13,4.169636786445684e-12,0.8776903326039845
-7.617039410045315e-13,-3.178880440935611e-13,4.1696346786643166e-12,0.8776903325991097
8.379765261899704e-13,1.2374245238257161e-17,4.169633409473279e-12,0.8776903326009824
-1.0345962050692204e-12,-7.98009318032498e-13,4.1696331661263344e-12,0.877690332599962
1.083412253093332e-12,8.542978589124198e-13,4.171710799644377e-12,0.8776903318426146
1.0839481179834715e-12,7.258430677999096e-13,4.171710927350109e-12,0.8776903318433545
-6.676592525494803e-13,-8.892024201106881e-13,4.168297926541388e-12,0.877690297318897
-8.961631376008524e-13,-4.45614992256583e-13,4.16829780249858e-12,0.877690297318848
6.512507016412698e-13,3.376510479532826e-13,4.168280258053432e-12,0.8776902972819377
