alpha,beta,sigma,nu
4.975858525959657e-13,8.192276981817107e-13,5.810391556855259e-12,0.2730326725431156
-5.323861117539557e-13,-4.0646494697340016e-13,5.810392816285361e-12,0.2730326725204047
5.71464059628892e-13,1.0297430839745051e-13,5.810391576068062e-12,0.27303267251849794
-8.182705052920309e-13,1.6971110952523433e-13,5.805105698360018e-12,0.2730326756386047
-3.423438780829033e-14,5.168532753258926e-13,5.819481594331992e-12,0.27303440466040735
1.289898485579178e-12,-8.583741253284871e-13,5.772029543310393e-12,0.2730348663461426
-1.295115752547445e-12,8.579680032308377e-13,5.7720328892135895e-12,0.27303486633695034
1.391035716822005e-13,6.817081587544114e-13,5.709301578730463e-12,0.2730346032230788
3.5959687262585494e-13,6.750574092652218e-13,5.782955583325256e-12,0.2730338539626096
2.44154094038282e-13,6.430802504212646e-14,5.755762157354232e-12,0.2730342423292309
-2.466855963646941e-13,-6.387915290735084e-13,5.730635977185019e-12,0.27303419574584203
-2.828347119287703e-13,1.679804103501273e-12,5.732367203306345e-12,0.2730341741232717
-6.115897704451363e-13,-4.1443058398811385e-13,5.732366009196923e-12,0.2730341740751992
-7.093086282336747e-13,-2.3187364765541076e-13,5.723134601555161e-12,0.27303436552493726
1.2742933320823785e-12,-4.900409125638731e-13,5.723129870857948e-12,0.27303436553897764
-1.1919408875143557e-12,-1.3177189444035167e-12,5.723297472443216e-12,0.27303436648456564
1.5137680535604124e-12,1.2392388384239436e-12,5.764915463229835e-12,0.27303493484968483
1.5131045926073606e-12,2.928223957709515e-12,5.764918598781094e-12,0.2730349348690529
9.056121178480875e-13,1.993021220128883e-12,5.764917268530109e-12,0.2730349348486462
1.6103213261386647e-12,1.6937282654269757e-12,5.764917271260485e-12,0.2730349348729275
-2.1826782985682404e-12,-1.6944398507244716e-12,5.764913766215625e-12,0.2730349349251732
-2.682330685058481e-12,-3.481564302009005e-12,5.76489530037262e-12,0.27303493633192966
1.6441409105296077e-12,1.7539999764145628e-14,5.764889976756752e-12,0.273034936298226
1.0125118117365078e-12,4.918751327770036e-13,5.782078394980384e-12,0.27303435216990685
-4.170951462058179e-13,1.4876326323253995e-12,5.781951046319741e-12,0.27303434877458693
7.487523915141017e-13,-1.1468528514583454e-12,5.717652825552885e-12,0.27303264832904833
1.0708450785627152e-12,-1.1183908718589288e-12,5.724646867720803e-12,0.2730315457630775
-7.914008509666677e-13,1.3027848335867265e-12,5.7028923985260396e-12,0.2730323661284097
6.822181414694125e-13,-1.15778837190473e-12,5.702885748175353e-12,0.273032366152154
-5.124129228875618e-13,9.41029860538244e-13,5.704107721253308e-12,0.27303243456134635
1.0333897542477531e-12,8.049267432973717e-13,5.704108029901856e-12,0.2730324346026199
4.900629895072918e-13,2.7433513605582004e-13,5.70410662003463e-12,0.27303243459293924
-3.812791262704085e-14,7.187545735217946e-13,5.704092043304662e-12,0.27303243407248473
-1.0880594710849653e-12,-6.352305716827215e-13,5.684304125137693e-12,0.2730335755751436
-6.212676045619375e-13,-1.093015766366069e-12,5.683917153135779e-12,0.27303357749912127
9.026960634543672e-14,-4.009926885346314e-13,5.683917933770662e-12,0.2730335774987211
3.8197907426333314e-13,-1.8226657628729017e-13,5.6728708466855466e-12,0.27303388752202745
8.199577031171454e-13,7.791366791728537e-13,5.65093121846706e-12,0.27303413522083286
2.468587311556272e-14,-1.5808573189111248e-13,5.570921303703938e-12,0.27303478947594234
1.9659844424916064e-13,-1.131561922816579e-13,5.570915470337901e-12,0.2730347892410509
5.758777077657219e-14,-4.2960045343022305e-13,5.570909491555043e-12,0.27303478917690893
5.758777077657219e-14,-4.2960045343022305e-13,5.570909491555043e-12,0.27303478917690893
6.35135832854777e-13,-7.237863946516851e-13,5.583046425640065e-12,0.27303632342708395
3.601141196470023e-13,-3.2648515433048603e-13,5.583046739020607e-12,0.2730363234238809
-5.535382870241496e-13,1.4765981598950715e-13,5.5711300535699535e-12,0.2730364333299239
5.801164965578539e-13,-3.1577545655886936e-13,5.559426199448306e-12,0.27303694899615855
4.92951542282385e-13,-3.798015005225172e-13,5.5493567714643625e-12,0.27303645480468336
7.208091768912938e-13,-2.2539009982052818e-13,5.526201054306402e-12,0.27303659286740545
1.1410972965761585e-13,-6.018235713672469e-15,5.537640975186666e-12,0.2730367422156392
-3.873198014847045e-13,-8.709769770731136e-13,5.505094002964522e-12,0.2730366172324173
3.6203441663263387e-14,6.988248471136163e-13,5.515641165421532e-12,0.27303677489339195
1.3262090164652693e-12,1.1045713601817645e-12,5.515643046893401e-12,0.2730367749432872
4.74154096943733e-13,1.0440522650350966e-12,5.515643624833834e-12,0.27303677494176987
4.74154096943733e-13,1.0440522650350966e-12,5.515643624833834e-12,0.27303677494176987
8.999324548252512e-13,-3.597415642489562e-13,5.51565168203994e-12,0.2730367748888763
-4.3725490110978586e-13,-1.063078211581784e-12,5.515650799230841e-12,0.273036774872407
-3.9994996447722713e-16,2.0494318331704272e-13,5.554238677239653e-12,0.2730367099183789
4.514238022550661e-13,5.217662875988424e-13,5.518434765187351e-12,0.2730359557007529
8.905224266243914e-14,9.88470096588246e-13,5.5262630462967016e-12,0.2730363293256847
8.600025553931647e-13,2.667524458058872e-13,5.5262639483076694e-12,0.2730363293272678
2.892201248896343e-13,-3.7389826084944637e-13,5.4946077741842425e-12,0.2730360466550915
-8.386093168641728e-14,4.877765687879371e-14,5.4632869567080225e-12,0.2730364781436325
7.125128681382643e-14,-1.5099203100447166e-14,5.435119541409376e-12,0.27303677324515163
-6.892324145514619e-13,-1.049601617427073e-12,5.4415609354950275e-12,0.27303731506850487
-8.402692466597356e-15,3.371094973774173e-13,5.441560923015326e-12,0.27303731509314133
-6.957165155095642e-13,9.96554816419822e-13,5.444100937266249e-12,0.2730374125519396
-2.1111683132395027e-13,4.627281868499436e-13,5.41874995618773e-12,0.27303703133950874
3.8125383550708473e-13,-7.00934120572096e-13,5.478564865470733e-12,0.2730385241434332
-7.160730063790261e-13,4.099195654981415e-13,5.499754032556931e-12,0.2730375101034931
-7.7173230295274e-14,8.99959982163588e-13,5.542133509109036e-12,0.2730378735340356
9.760787906134756e-14,2.1516552701258947e-13,5.501983819433284e-12,0.27303811432081554
3.746100430394593e-13,2.6263623556854607e-14,5.5038236018426045e-12,0.27303759813674194
-3.810418726985678e-13,1.277966388606807e-12,5.4965989294602096e-12,0.27303766611037106
-3.2528722489863593e-13,4.92790408987757e-14,5.496600329027947e-12,0.273037666102111
-2.947608843512088e-13,1.8996258614812436e-13,5.438341071536358e-12,0.27303755215283904
-4.0277476155684955e-13,1.8624825506153426e-13,5.451608654311991e-12,0.273038131936601
2.472889088059437e-13,-9.029973632823665e-13,5.451606757710692e-12,0.27303813194958276
4.654866528252416e-13,-2.0875644296871835e-13,5.451538211914405e-12,0.27303813245120956
7.05228296801243e-13,-3.2921315396731954e-13,5.4597867036778964e-12,0.27303803319637987
-5.007373020174238e-13,4.691272692844311e-13,5.45978599211701e-12,0.27303803320755565
1.2216600799958707e-12,6.018488927258566e-13,5.497930358841781e-12,0.273038122828183
