alpha,beta,sigma,nu
2.635320990877003,1.3674484992173064,0.8157927712406614,1.9427929179512935
3.066004010993997,1.1729553584473655,1.3259445726599661,4.000110697794291
2.533844568679278,1.2914836487770387,1.038221196745101,4.162857384399207
2.599755004851266,1.204723658843113,1.1192147857884431,3.8963527003225455
2.9403316143399403,1.4822745671485251,0.6679766938760441,1.6658574338631242
3.1883150701161793,1.310662850437224,1.0627032191529853,5.633417605630579
3.213329345778533,1.1206181252211957,1.4248990558224055,3.7384798180595378
2.8958588308611755,1.1275618690452212,1.4660963673085707,21.00869112450236
3.0012497430473366,0.7031905453029278,1.877166292654819,20.051975702338066
3.0566209593086975,0.8429494192350598,1.465828597580187,26.375203766695133
3.0732162224054536,1.0410090219757018,1.7759392264447573,21.66436438498146
2.443951844003505,1.2350089666233548,1.4670437947168518,21.327603401365717
3.5202608730770657,0.9956073631147621,1.4456653167364963,3.5477674952555582
2.298635555563854,1.4019497318563248,1.4367859362631792,6.047897146767553
2.2824496690457625,1.6943180834958278,1.21691456381691,4.504690156538739
2.39940737917531,1.2153478027343314,0.809287995320762,2.2713607520724324
2.563382982276748,1.5007307470485598,1.2792608703651724,4.676570776203058
2.5562270936450426,0.7500573024543442,1.0248367398082439,2.989608716275161
3.053085335146523,1.3403568336337557,1.4708150971660672,5.502204973750426
2.9935622337789534,1.2795674710535951,1.3677234448341866,4.7181703658122345
2.7222327266414377,1.0351853247684832,1.1051453603548915,5.5309771123007
2.3269813992689614,1.0401369795804092,1.2145210349131523,9.936138286574542
3.404411481689053,1.181340702669997,1.6594393521902988,7.1362921760157
2.9385896216185823,1.1963233167240115,1.282001107989372,13.664617942031521
2.5285683943794424,1.6856665169313088,0.9413553582213464,0.9629423143941455
3.464330621675951,0.6752858749740408,2.1468772017330933,34.5920577631211
2.9297778052022694,1.1926001877839396,1.2191380668724314,6.119988932188706
3.011558671753067,1.0151845817841054,1.4768610752390292,9.01052828485134
3.0117948915742954,1.4897199685759386,1.322658596301891,2.7036131736962696
3.0704210545262183,1.089014583822714,0.912242335888512,2.1127773545066373
3.028912988986458,1.5374694974722771,0.93898852815169,2.946350893712321
2.5836951197524476,1.3844715096200992,1.0440453096818259,2.6770485856337913
3.0995244766072,0.9021009451793003,0.7891041117049431,1.3761844220474415
2.6738379758985795,0.9678317877333521,0.7921127287764642,1.8145925536799539
2.8630410500295564,0.9137440555508567,0.6554766274678039,2.203455865848793
2.7983719161966865,1.071522977776116,0.7294415656320745,1.6142193486794374
2.8041998508192725,1.2380910347845309,0.7463408257825329,2.391366135555837
2.649093292169495,1.6569054558892216,0.9619325306048526,0.9857935631596082
2.93331797556354,1.0766496938986159,1.2171055477011856,17.518580470299938
2.8755529067983456,1.1592057252207928,1.5141439243360195,15.019263156728229
2.39341989331824,0.4233978211447029,1.7559388292239027,14.100286635073891
3.93843022706316,1.2140020517658934,1.7664706927187928,10.883786356704078
3.1025879288241502,1.7628323714595775,1.7436633526589602,31.5708247432561
3.027115242443876,1.6980086455571424,1.6708200515842606,23.912042591184104
