alpha,beta,sigma,nu
2.873840847465056,2.2008698461498684,1.5386538548294504,9.069677846384934
2.774827219903581,1.2732171999577486,1.8297832585121427,10.939803124406705
2.5550411755459934,1.5903299167727056,1.822567964374075,14.34192888761828
2.620065293030321,1.9653276152833237,1.5838284455859206,13.637278721937331
2.7689078723456104,1.8703363360490746,1.68994894500825,42.60836455543047
2.51229408031522,2.030982355030758,1.5572874789827515,44.01608897501633
2.5868706683120783,2.036349521294054,1.5815620209670456,19.142431564389003
3.2617679777614867,1.5246641495204019,2.1910856686257003,19.310733532626596
3.183018468217221,1.8483184044331038,2.477674624388811,11.185027098380209
2.7238821581257397,1.648981338458561,1.470239368149901,4.959039572549292
3.230249237672183,1.9010373203148692,1.6857051729419683,27.232861238111585
2.5428346833440485,1.948935197494767,1.3712168977342458,36.824361003228574
3.2988715304775527,1.5402011812970284,1.629805937445699,26.60480560768825
2.948403653248918,1.951674821075502,1.5878316740488807,4.067142474913522
3.2296247736474513,1.3970425807512743,1.7493994870934475,40.94590229004772
3.095964167064687,2.694314320137409,2.2387135483273886,8.737576631871917
3.007010488271082,1.073962428518861,1.160742865779271,4.984553771449171
2.7312094606669213,0.9463818929227187,1.3365923479185207,3.7457737208313575
2.676125235416551,2.526911578779459,1.4752513482357146,7.057540344502676
3.504327799256756,1.2641448642570772,1.8116299517710952,24.121849072300105
2.485895329698681,2.100724219752315,1.573716078173823,8.383674421788442
3.6679604326791027,1.3150707276204858,2.163708693636864,12.316667010459009
4.009249250155998,1.4166641611393884,2.1360334296388945,16.76219697770194
3.17231539230056,1.7739723338032403,1.7533787963592435,8.975278947507489
2.5563884098573735,1.612310224863698,1.216739432046733,4.894173378394666
2.3932409579583322,1.7954917345177617,1.0152589174546922,2.4300356757636474
2.268999524610128,1.9576543030179225,1.051248067974998,1.6494070350590442
2.637061331514031,1.712411317481408,1.2223232187235822,4.0031249555246164
3.1293130330683474,1.8246200480340875,1.6675873623229498,10.55209779929091
3.201853938947348,1.3540463914542122,1.5085399887996445,6.22803665968455
3.0114820011389862,1.005776918208199,1.5707583046478033,5.895130740692128
2.9800703998176807,2.4758683846188085,1.819089002907509,31.28480727389391
3.513640423239964,1.4228331071870182,1.6112332404384744,8.014068701124819
2.732576997069008,1.3280202220583353,1.7514135087556024,2.366775070391986
2.0660733057822047,2.124462426622107,2.185207313002286,9.762233131654682
2.457792863146151,1.7303644196584482,1.692163281788903,12.449400732704198
3.4399440995097033,1.8082658935253344,1.4469964958311385,13.783917669941967
2.7044845945954337,1.9080702847534026,1.7488237243187752,19.09122005841812
3.2539751753295456,1.5639356084896991,1.2695513510180738,21.500929389101792
3.155639313953831,1.6673888320561776,1.502448057746605,12.613944217061057
3.463275108371232,2.3995927312075778,1.5187907173842203,8.19491305682656
2.7208955770891747,0.8223272268834678,2.0748349388621126,16.043871404140873
2.984395902752404,0.6258382151691496,1.9229685144150843,5.2490054184744155
2.879667734976376,1.7818674613047296,1.7538290931738434,16.215233502302645
3.207230544447734,1.7189706061714178,1.516321518161065,12.712980924786429
2.9399297865724714,1.9314394176151843,1.6013562035103595,7.398629815260602
2.9348859137368737,1.909750097514222,1.6502406473472413,14.275433482868499
3.2115642708407504,1.6276312277438643,1.4444270616196373,15.052716936623963
3.202479812486507,1.5953932770979162,1.2977805079906202,6.308781673350006
2.4808712554868113,1.8560063314625623,1.5040279349586125,3.620034912264787
2.958571372433714,1.7024361436362072,1.6685678939396944,22.213388929563475
2.7777295637919974,1.078671706441581,1.579423044628192,7.163615320435967
3.0077033694733544,1.3935661316891321,1.582986306093573,9.41336483178487
2.4973107126532366,2.5877747537024387,1.8303200082709146,17.04289343904597
3.018839810609968,1.8860775723871521,1.6756488937367968,17.259032946024977
3.353021940671967,2.224464923000801,1.7455026223300694,19.838752497908803
3.2092762792565592,1.93178717702653,1.9736759034032014,13.554711188809703
2.662127370093157,1.5589356503280847,1.3115637842571446,8.2358007346359
2.918970540983673,2.1783456098821103,1.8020198934144576,30.370282063683685
3.36091452615686,1.7137267699214724,1.7393551903830957,13.115492049981139
3.068192362871252,1.543874250900122,1.497738285652519,10.45998776483291
3.2279901049927853,1.9976256035562083,1.6326233263437393,27.555496727585727
2.8092276057341934,1.4556252675197228,1.364957949441904,7.693719165816088
2.858422917682056,1.970853093798174,1.5150723419371481,28.261394606458584
3.1280906270185733,1.4123850409024143,1.657511020597842,14.763564520936603
3.153780780343286,1.8667734519908574,1.803586097022258,17.469446717782734
2.860834600913554,1.6789424826261417,1.364728752074366,7.89767091094051
