alpha,beta,sigma,nu
2.3024028258712774,1.7953542596656973,1.1484396998825719,3.15802268369023
2.3654444618465726,1.8494495131899487,1.250214727166633,8.796096742613907
2.1680549584150066,1.7139126501834059,1.2784107625917944,8.380537266766492
2.2524667978333763,1.6011557021699292,1.340033773544697,8.265049467481452
2.37555831855716,1.627233513080382,1.1210447701146005,2.8439614918946736
2.779735693219188,1.5203285535806097,1.2380589259711088,3.1355977179022587
2.6482709233969457,1.760408982551023,1.0613619056836212,8.569740232284168
2.371506194291834,1.9543158223765984,0.788294377359009,2.445935855793237
2.4286204763866435,2.248690030967203,1.2252041400828082,1.7722246158089259
2.6356703846668283,1.5258098884216915,1.0144536847860055,6.974381015893547
2.4140233617629767,1.7169385357918476,1.076237279683111,4.534306133926211
3.019589268479074,1.6922695126356202,1.295511827367933,2.972044499253954
2.717362296428585,1.639494008346126,1.1648479763221653,11.39355861775103
2.085189701824158,1.7166835041764636,1.2236623625642318,8.036635749870666
2.458500460196331,1.3930466822114145,1.3406840511824067,7.456401801919381
2.4313085893081667,2.2746200034036814,1.0753681793216472,12.704329849269126
2.485393606925171,2.2508743751748375,1.719729626884943,22.315649060272445
2.665320334212282,2.636370643398979,1.4116453770464015,7.502211940894059
2.7924970422481663,2.101028681934562,1.3793641627374014,8.560976999335404
2.474188932803628,1.8275510197556493,1.1875021714020344,4.972376088244891
2.3648798163254914,1.7028925337020246,1.1091580195867554,5.76734165907522
3.1627684222301937,1.9652138327451003,1.012781893816495,1.9227201247228862
2.0160415515596135,1.870990904631896,0.7968811705142332,5.134703766735686
2.9865324289148423,1.7977014615246365,1.273190934374907,2.958284497495281
3.082788126224816,1.6179161759070428,1.3285622955270802,5.103315164488021
2.45026676818111,2.0438342244626853,0.9251367326106545,1.6813758054897352
2.3279485846836683,2.1547056143459624,0.9161965671036514,1.991331707831187
2.3135483784559767,2.2222726574937446,0.9595795564837143,1.559807361629946
2.8386611385413216,1.6076215138511847,1.0311030815595104,4.218658127738087
2.1944274153669627,2.1852443319993933,1.173612740160793,9.058705894554304
2.7641795358217713,1.8504154160388262,1.2509210123830774,4.4538463241248305
2.894785039607038,1.8519860280493827,1.1663179902999492,4.409635840071469
2.0160916460396643,1.4729884553635824,1.5131428046386457,7.868608626469313
2.681507921701776,1.7749514761962095,1.638307660399493,3.3863302094749628
2.223772566062585,1.9958154686814058,1.8070092058548615,3.603841693508816
2.6726833734484408,1.7847859408475737,0.7743443250437891,9.78935934652554
2.6069148331083127,1.824162933206692,0.8262272936831173,9.81168757471541
2.2440656819922853,1.589022000976183,1.0811842694463383,17.44272252131535
2.405373643563991,1.6418603008360766,1.242189596807614,13.994817940597919
2.5380328521638322,1.9345404768663412,0.9157311800954883,2.8428396403122242
2.1555590075483457,1.400584469217312,1.527200406618672,16.363686262528887
2.2013113747835256,2.0089968122611053,1.3414633132696763,5.7554408677092965
2.606691016069222,1.5460018521590841,1.315321402496645,11.230855630090907
2.6246546680006784,1.5317980475437698,1.3111149751897577,10.552630443963093
2.4592471117854404,2.054674524378823,1.0468054452007074,3.461986313409604
2.411293099341551,2.0770780668495643,1.0282222513413695,2.708300979336741
2.4692483435953227,1.9633656291146933,1.0821796698499127,8.766589373314577
2.6461309290419424,1.770744594943721,0.9701950630570259,5.1888619824711615
2.6446153556731042,1.8355079889350314,0.7562505422675582,1.7927656502666705
2.9278872731782104,1.9061191824272796,1.1416488783315217,5.21131696325386
2.2089692510128325,1.9051965328059812,0.8014365438265291,3.015756280126547
2.695203137111002,1.7123511929770814,1.34050363239626,6.753309053221549
2.69911587522177,1.647705184850573,1.1219464031382282,6.943092280433146
2.9161837450569292,1.1001578820660016,1.1167718002971398,2.9172985888393743
2.669869876190531,1.905386770060952,1.298122374341657,7.738980439101529
2.407350853209934,1.5455397395827961,1.0695435157680864,5.383957316746799
