alpha,beta,sigma,nu
3.5543784892771906,2.824650859798946,1.7854977067891464,11.337127689926655
2.7353034008138177,2.7471937305502703,1.2314961363089556,8.585698922229897
3.1989542952053798,2.784377353249178,1.2336594968376153,7.423532971819942
3.363815382434214,2.527235494128875,1.3670556063763393,7.399146125588272
3.523488024417959,2.6390390381765148,0.7480872970022437,3.7468876786052863
3.1012781352430263,2.793448498492369,0.9561026557172952,1.7301944778891851
3.8019549415226543,2.387092844533604,1.6396580591065475,17.50348481821025
3.8456425572285835,2.344962116539573,1.914218094959616,20.442706108989128
3.4177504900960516,3.0484553189538515,1.411289488500647,4.658359073682835
3.2624411736390835,2.4747962715698693,1.1509122459334744,8.47280028573111
3.2720579873729,2.395761462455935,1.112189028976847,6.292865524028509
3.4750569048509585,2.9716364017915335,1.832767175692361,8.416359845818484
3.8093400976720777,2.5266245764671007,1.319025531434768,21.626810211632815
2.831158675822652,2.5453757072982484,1.4582571578685968,5.939635289206118
3.929257569782509,2.353313579789743,1.3560733782051084,17.908057737566732
3.1380307779756307,3.3542803047318652,1.3046265355393305,9.260548420860443
3.286127983828933,3.214423489470733,2.180344582658571,36.99679746967073
3.0976824257805005,2.1529789902074397,1.1309193562029243,8.778967215349528
3.1383424393858634,2.560125890531019,1.3133740057912164,3.6573033864286435
3.6706466984218045,2.737892373755031,1.3607177335384237,10.66554781149252
3.7281369903143644,2.9030938458712723,1.3811260107408303,6.160239113974349
4.188426760013839,2.898350732294036,1.3593170887769706,2.223520045816102
3.9264504568843575,2.5312629156845654,1.5066033597796713,17.60884396633149
3.1769041700902814,2.6166499045791904,0.9234878386360693,4.120561753920866
3.1532354236361946,2.9758020291975553,0.8990812627549021,1.7485485015337523
2.9591143145490095,3.1074251359654723,0.8117122670791537,0.9382474915657103
2.8909981632916715,3.164609185452279,0.8361553745954671,0.9627983439368651
2.892280864718092,3.216869186619119,0.8854844326203819,0.9342422268366076
3.0695941365214177,3.199241537437833,0.8131583375861267,1.654938545499638
3.0930094711601677,3.2075556155799543,1.0259951396435452,4.702308001304678
3.3115552016596004,2.2031753039469217,1.1749897864998218,3.2316520666981683
3.7506421786187114,2.5943953476800523,1.0692716343335706,5.235776170477792
3.0178506132981786,3.1210608614151503,1.4676341522499785,15.201880018287504
3.2255176182061613,2.137560920160739,1.0693224348766532,11.764102327102142
3.6720664388120294,2.2381816954875,1.0609246841264157,9.869585684216839
3.7070330138523326,2.438472414582597,1.3503457172729463,6.41705119308883
3.659158407699352,2.454599252838701,1.3438750895351952,4.391040417715294
3.458407163321232,3.0774823201919137,0.9864160541532135,10.845328187402194
3.2828765346934743,2.1759921651697365,1.518929181183044,2.3557562181642897
3.3280742118903412,2.1768629655098013,1.4455214923539843,2.73341164905271
2.882286589438845,1.9933241049072026,1.6122581577474477,36.75635046687787
3.1202597480992336,3.31550698618929,1.3012607996979781,5.227890776163247
3.1172553037006887,3.3234205713597142,1.6880429586483907,27.486063110003503
3.092596109127789,3.3077579180422862,1.6384660433095484,25.07522403712662
2.9681893868317357,2.2971779120776565,1.2217308020404454,5.483305067740916
3.5860440801797684,2.553211719942374,1.4611425081765852,16.728305904609034
3.417095649225753,2.577635160393307,1.4761826557001587,31.625532884132895
3.5109475523808276,2.570380429512199,1.227009888143828,5.069381628329604
3.115655372200029,2.7047254374429635,1.3641494970078551,21.79143711322392
3.5016458363450504,2.625679620192963,1.675190754008953,18.829838837695963
3.478503444205812,2.5432194159250896,0.9126130484593273,2.3552753157411535
3.3306998618543346,2.168559456372423,0.859440999714188,2.0543016883586676
3.4889032930020534,2.3781270954033085,0.8903694717720165,2.6653541588612564
3.8094636414604848,1.9480526462689425,0.8124346410204631,1.7126153426941249
3.675273890998522,2.1427205046195876,0.8893835390299485,1.6975878422232358
3.5324401255512163,3.1793933435965895,1.273573456615954,8.254605123048313
3.2526863706755478,2.3156461356571416,1.1276847144240698,4.299251866245706
3.631690149542848,2.944217157777839,1.1896959500360884,6.7327285840321345
2.935079708995715,2.323479083056323,1.407842789288348,10.553791422220907
2.869064146039983,2.3474444844847393,1.3548691823796832,10.39465198492834
2.795514905011592,2.5075818064521727,1.487478205580045,12.557834734187193
3.33383616903477,2.5827504988869987,1.1542897170004298,28.312935230183896
3.47331780562224,2.454471286482108,1.2357070630197542,19.764625718109123
2.7345365627982443,2.4969187819777394,1.767333779306409,5.466874154459025
3.8557283830100197,2.6768167965689424,1.4627159451739407,10.778208644519228
3.8989026284266175,2.3593830118260235,1.4986146701927234,17.412629673235276
3.2137208828091874,2.600576137791447,1.1062189842113213,3.2193231992514075
3.101043203951422,2.7284532696826034,0.9337390357140684,1.2861106547442498
3.1411905527317083,2.8111449497729972,0.8546603106233805,4.861682371434525
3.524289081065342,2.3437940025485053,1.676049244930897,6.481889635418575
3.5724279295541272,2.313844769484321,1.4829116296671634,8.976705976304894
3.4028485930507517,2.4161517790425684,1.377423382598446,5.412475506690459
3.330440365216526,3.0435873684197405,1.3844946137314205,6.10182175705092
3.2373121005915952,2.444620490695481,1.2318010485593802,9.845931362795893
3.3584147885304554,2.6781351298961473,1.090719145115828,7.243202401881088
3.312794673492303,2.521515037363292,1.155403474450184,9.700546088585803
3.277278719856101,2.7068744740880706,1.2324276763192996,8.44161164827668
3.2911947529713985,2.7248044937233407,1.1655535405563364,9.20049221332008
3.471904167735224,2.3897041536190975,1.2077276470980478,8.118351032841163
3.4685133944771973,2.4548936799271837,1.200954821311389,8.376519072942322
3.41668423207689,2.801783245235666,0.9980658698613698,2.5998243209442324
3.290727612764604,2.6970926625992484,1.3883572994846343,17.47123604243138
3.3744365680623827,2.919889005331077,1.250723148403232,4.673911776827338
3.74307274561,2.8061967385280884,1.1697611223970972,10.026786409722432
3.7163407048724784,2.6319667314222768,1.2426307007360746,2.363715221352761
3.011958055549497,2.5916853106722866,1.5217394172066627,18.92949308724627
3.7686055287610123,2.5124140594679485,1.1154440439437885,1.333789540251957
3.9892948660604812,2.3295614423473716,1.1195618843845003,4.636234506677747
3.3992375777585995,2.366300092653928,1.3541719955760538,12.337812295756292
3.30471564714855,2.348358323313349,1.4425009455203939,10.244092482512551
3.397920432894285,2.4795196305282126,1.2461792591151428,13.935872691845953
3.1681204938408767,3.019697013349578,1.3892751314931928,9.699727573482189
3.733273161724687,2.4914512440977226,1.0123682342535585,6.423387897289343
