alpha,beta,sigma,nu
-8.631302126850816e-13,-6.613202308492531e-13,6.513829916823856e-12,1.237830467796556
-4.181570103458971e-13,1.2548977790829364e-12,6.5138298285226054e-12,1.2378304678645158
-1.1468862455269375e-12,6.865592387117749e-13,6.513829306817612e-12,1.2378304678302814
1.2832195916713117e-12,-9.712600420523516e-13,6.513829606340351e-12,1.2378304678226106
-5.751412481781094e-13,5.705148854135568e-13,6.514632671775177e-12,1.237833609108749
-1.7099342850960282e-12,1.1829283690946332e-12,6.517531926004021e-12,1.2378323440685417
-6.421568143612052e-13,5.83011714689475e-13,6.5175317684864186e-12,1.2378323440868795
-2.60040592768207e-13,-2.0955579221585235e-13,6.521128895063878e-12,1.2378329930659773
4.73274610918899e-13,-1.4372252012092035e-13,6.5263982796548845e-12,1.2378307753341953
3.978380042928292e-13,9.176945504841072e-14,6.524479149336121e-12,1.2378319851506319
-4.795201273180446e-13,-6.1625217412147e-13,6.522390780702903e-12,1.2378318130951271
2.144896305995034e-12,3.051672096128405e-13,6.528975371076202e-12,1.2378283422583838
1.0216935873292711e-12,-9.772403794710419e-13,6.528975158440003e-12,1.2378283418987561
1.2134089365721188e-12,-8.045236015708317e-13,6.530545503350034e-12,1.2378268806058126
-1.505846396413897e-12,1.7856785175381932e-12,6.530545278293652e-12,1.2378268806338217
-1.4510993048584624e-12,-4.852886132820612e-13,6.537111924455766e-12,1.2378284363371745
-7.867573396515562e-13,-2.8435032144859524e-13,6.5388409806537575e-12,1.2378294175497155
1.3617439406148153e-12,1.986987314043157e-12,6.538841314280317e-12,1.2378294176366498
2.246479188681728e-13,1.201290672754043e-12,6.538841219920607e-12,1.2378294175755855
7.6189895901708e-13,1.5951172244583718e-12,6.53884121739121e-12,1.237829416631023
-8.480178718984304e-14,-8.714916025448871e-13,6.538841403856097e-12,1.2378294165137689
-1.7732876617992151e-12,5.899574684159782e-13,6.539543078898353e-12,1.2378271400161793
7.965325717199703e-13,-4.136492990450171e-13,6.539542795650054e-12,1.2378271399405392
1.498455258966915e-14,-2.817688401727581e-13,6.540038301320773e-12,1.2378265014321337
8.921470378069522e-13,-5.608501095365334e-13,6.543366116248237e-12,1.2378302893460624
-1.713758462092032e-12,1.4881561142026432e-12,6.540487419120456e-12,1.23782698090349
1.8161809372939652e-14,-1.1829080545434752e-13,6.540271039721562e-12,1.237827823050356
4.939115018886864e-13,-6.619868438839859e-13,6.541213677229759e-12,1.2378261623600524
-1.9851613516103922e-14,5.192759789387217e-13,6.542670732069313e-12,1.237825944765928
7.64376624768237e-13,-6.849424058651273e-13,6.542105592377518e-12,1.2378246618369797
-3.9626328171495623e-13,-2.0920009150262073e-12,6.542105570237855e-12,1.2378246617134734
1.5145292561067748e-12,5.354022933843882e-13,6.5421054691152446e-12,1.2378246616845052
2.1248980844927526e-14,-2.639256169596893e-12,6.540314739879597e-12,1.2378220135051776
-1.7086041657317611e-12,-4.0737956967283587e-13,6.539939474724973e-12,1.2378229693589304
-9.522653366438528e-13,-1.118262776337647e-12,6.548670128658051e-12,1.237821159432514
5.676927627565972e-13,9.553999476990866e-13,6.548669959915439e-12,1.2378211594361064
-1.3220581420002873e-13,-5.916908724899358e-13,6.548480697712855e-12,1.2378214031034667
-1.3004005246583975e-12,6.659148006761645e-13,6.544672711682637e-12,1.2378231947574314
2.2581581961665855e-13,-1.3887142728309827e-13,6.550163591982522e-12,1.2378213176902784
-1.1169352738579918e-13,2.824350982798177e-13,6.549920061954757e-12,1.2378209322601044
1.286080442261107e-12,1.1122256321237926e-12,6.549919732250646e-12,1.237820932116153
-1.3081980239719091e-12,1.7947131001059049e-12,6.54991977274166e-12,1.2378209320971125
1.735150824958089e-12,-1.4449432634756522e-12,6.54926783046763e-12,1.2378184504571594
1.3902317089326206e-12,-1.1712721258430814e-12,6.549267853458022e-12,1.237818450447575
-1.1450319472292672e-12,-9.909891816267623e-13,6.5525774772058816e-12,1.2378171742109263
-6.37180204731537e-13,1.246359586317389e-13,6.551831738660348e-12,1.2378187678959582
-2.939274759583467e-13,-3.900012875401138e-13,6.549707470961522e-12,1.2378143686189578
6.222244654443457e-13,-2.4636685053501106e-13,6.550842083211915e-12,1.2378140845059837
-6.627545112283743e-13,-1.0101133809370672e-13,6.554481395043967e-12,1.2378159944968605
-1.1254932993051077e-12,-5.930275670083152e-13,6.550533810219441e-12,1.2378153708210031
-2.9537153859354485e-13,-3.492850851234289e-14,6.5487075329379746e-12,1.2378143255904668
1.3974815953660156e-13,-9.16316425896221e-13,6.5487078123447795e-12,1.2378143258890713
4.1807218735353284e-13,-1.4945188092487067e-13,6.5487077265179045e-12,1.2378143258981522
4.1807218735353284e-13,-1.4945188092487067e-13,6.5487077265179045e-12,1.2378143258981522
1.0172756468845014e-12,-7.577725669091576e-13,6.548707641049254e-12,1.2378143259207626
