alpha,beta,sigma,nu
2.6085795173533253,1.9311296208223583,0.9150565928341726,4.816277141767327
3.176794922358598,1.8449706552124812,1.1590192665388812,2.6120324592919797
2.2879520931024877,2.138042216985556,1.4759387384096847,8.632098489359477
2.646664374275003,2.400975609486124,1.4631277666098197,5.676880022803937
2.6964722976452826,2.1570256764591837,1.60620389280693,21.45904536660113
2.321511165694757,2.1462999241468803,1.70122743098885,8.419711387510988
2.8541115352808335,1.818959878459311,1.5654210158499038,7.909434450295472
2.990964961118637,1.7432159939995828,2.0375300345375167,11.241663476206327
2.9392340076434382,1.945906700478419,2.36535749983864,7.4151025313864345
2.826290997648307,1.8371341904167158,2.0662509569863676,5.535212905949142
2.8308813845292975,2.1106538677790883,1.2096039452237115,3.646019598522041
3.2698844573761585,1.981558025866502,1.537813626071402,2.175333245484171
2.814209365699604,2.1951707252943216,1.2897042880168756,2.696599608569044
2.715996285231949,1.9176352027928323,1.429276504524235,3.818542502664766
3.111613245331378,1.5698672639459983,1.4980596260971333,5.775639117904405
3.111367659895082,1.8472990581885167,1.8665083548447565,7.739061239987653
3.0924632921833766,2.090045835947009,2.23130031891715,23.10635938757738
2.9809551763990374,2.678758774206327,1.341865814710117,2.8740864484720747
2.4907050610112944,1.6474582787756291,1.0384704109986065,3.7578711392149367
3.313379982720247,2.6575556216727425,1.7289050153602499,5.866707620342617
3.1231178666279336,2.2402297520232564,1.3687805139712061,5.73779839722346
3.631177874279324,2.275933697024667,1.4471119423459573,2.183373015120175
2.0325649763275995,1.9503191528109498,1.1702932972005706,6.521161901346431
2.5180502882133795,1.9919367412097473,1.6600504733141395,6.040177547939696
2.323279951938801,2.334627938364536,1.291681063543927,2.824865633372652
2.845738239004892,1.9481169191464642,0.6765416948121169,2.1870818176643976
2.7656187792257803,2.1724914082313806,1.3298459526346926,1.8199802396889726
2.610285369645481,2.3238827582432164,1.1415388050126347,3.0348373249408462
3.0213150134839792,2.1267790779693385,0.9872167623542775,3.1172496659632327
