alpha,beta,sigma,nu
4.653837888334648,2.5716448082647,1.7740718302738296,27.43647781606249
3.6991248783435253,2.4246925717836634,1.9662332336248611,6.307352380656265
3.56183925661641,2.351955056102241,2.0248457930949653,7.003023754390352
4.3844652609042125,2.0733067409589467,1.9887343571995295,13.031799333303882
4.410708866305316,2.732822871078825,1.6094793516558124,8.085679956323197
4.384038214304979,2.1954833309336714,1.9002698880961553,31.05901282242725
4.280540049422266,2.7639173414532494,1.548957459799582,7.098675307736832
4.658172092252763,2.0550528987981864,2.3485957639219635,26.701473481952505
4.46348624061228,2.76722601362424,2.7308629988104514,8.611117205231713
4.384807624360542,2.6526418102099742,2.760787994306241,6.86922067344482
4.298293297918601,2.2865187492468904,1.975267386666833,9.480877018354057
4.680615442651992,2.2051451191083453,2.193826753945222,6.4224615446775895
4.911851962344445,2.054288464563421,2.170531611846929,9.265394961812087
4.38783407116045,2.0785232866047108,1.8434358545497296,17.768937009946903
4.879281653899531,1.8256290425678274,2.095408441131858,13.476955485154992
4.802600761274191,1.488859833235712,1.7081781620137508,10.0760516224094
4.065140505104627,3.541478173373013,1.6892493159015234,9.341206008396144
4.648504009704894,3.489613125869769,2.4630199808802886,12.851001264605209
4.747235569516703,2.243519501788928,1.7540320921277188,23.789393704978064
4.533057857485716,2.7579983880875654,1.9061147777691563,15.64004958071207
4.67748979023487,2.5967141270297707,1.8026155371838422,10.909362255984533
5.412935581720001,2.666112862099762,1.88027315888597,4.097735864428962
4.424866206839537,2.5928983137590884,1.6837178844009737,6.15627218017739
4.524576844399276,2.567927250076832,1.7463729467301645,4.847808325003594
3.7723245968534487,2.7601531058264546,1.3820262796965928,5.365745480750676
3.3981300050264798,3.041982323704645,1.2667846874324153,1.3160392415328612
3.2973180806101943,3.1163438345168752,1.2972916675325716,1.1623250314023148
3.309979694512358,3.172586237346721,1.3555717809506476,1.031832069831058
4.0512837529144425,2.7628673919535514,1.1900577959930878,3.9526814845526834
3.9820613543892622,2.9167781329520146,1.4987685053523256,7.7387948711001
4.114990881241067,1.9632550225361822,1.613572155380556,5.566086155206283
4.7699479619243945,2.822667034423854,1.8960415765436098,27.511266568408143
5.121798919527324,1.896454068993289,1.7199741834929183,8.148008233016332
3.568670888751794,2.4057609950788654,1.949428302901488,4.575670889159935
5.118103407022435,2.639386457674632,1.876594352511927,23.19600433611671
4.529662396500251,2.4862202634510364,1.781863547116053,18.24136388898819
4.3110550759725115,2.382356621509146,1.7152703603976378,8.659467150827027
4.340687216774309,2.828964778658362,1.5092772017379943,13.781321911395521
4.474824828815689,2.2253141356778317,2.370585209529823,8.848535487494008
4.276972602888959,2.4996894180863523,1.7406872798398196,18.77349739563428
4.543769187909049,2.619810243184519,1.9642364103990184,11.015828055951172
4.072930842767656,2.843967302693925,1.9674980760657341,10.694598949211855
4.148042488746517,3.1166327054081258,1.935189736334415,42.626947160221526
4.119805069158544,3.0705998376819075,1.9060789795994715,36.00099009008406
4.656421027858795,1.7105335543558764,1.857749732489054,4.19218849695408
4.161933404342835,3.0199199323261574,1.6933683800708152,14.47665059937731
4.259785285782334,2.681821759281352,1.896719990722837,35.51849653814248
4.585446789928596,2.2299878743785486,1.6790763667066542,5.500335168381974
4.646764959187392,2.2030573608690625,1.3950874413327614,3.9007765514937747
4.821660009383063,2.509404098509142,2.3711806238743534,25.288407483176627
4.235851173408795,2.3642371309985486,1.3631797774195336,6.2625032340918025
4.643732661655743,2.8263831128265022,2.496102212866017,25.911189904582653
4.706968174849011,2.6986979210493427,2.3273252385523064,24.323856225127575
3.7691767567019867,3.87026302236846,2.214148886086455,22.0185420869468
3.7826423461482954,3.040598177715149,2.423251055439966,11.652322577695225
3.663938757146035,2.2787110855272488,1.9726135547482286,9.454140970690688
4.602862065933919,2.53058535115719,1.5699347908923644,14.17226330422363
