alpha,beta,sigma,nu
4.0628817313060017e-13,1.2686672132862385e-12,7.13256055462526e-12,0.6753812172507906
-1.5318133690143951e-12,-5.072415831849696e-13,7.132560124709101e-12,0.6753812172602127
1.2042909850185948e-12,3.8936145140787427e-13,7.1325613947050126e-12,0.6753812172625859
-4.799985044125407e-13,-9.922895864682858e-13,7.13255945031298e-12,0.6753812172640039
-3.925934578579207e-13,-5.930709199850481e-13,7.1289363842456324e-12,0.6753808408377768
1.6676794447623175e-12,-7.110185133559008e-13,7.112388228893268e-12,0.6753810410982661
4.3389656740300406e-13,-6.163249374745918e-13,7.112388993188905e-12,0.6753810410957237
8.847589866463838e-13,1.3075165993706228e-13,7.100822176352754e-12,0.675380981828417
-2.8176225730369733e-13,9.909275083207969e-13,7.146181957914997e-12,0.6753804287406725
-2.1934584924159165e-13,-7.005292147464452e-13,7.1502141400386525e-12,0.6753803553198773
-2.5563547762512868e-14,-7.378463241533211e-13,7.15635164860976e-12,0.675380370107791
5.605913811346694e-13,-1.5307011843886506e-12,7.146073653288427e-12,0.6753805224856071
-1.4908387943211277e-12,1.4586810097713066e-12,7.146073239361516e-12,0.6753805224656632
1.6222355322963728e-12,-1.4431685806263405e-12,7.14607429984342e-12,0.6753805224379325
-1.605804436135389e-12,1.891785894876565e-12,7.146073204846926e-12,0.6753805224418158
1.2112369907405417e-12,-9.22345127760332e-13,7.109537224806563e-12,0.6753802776946731
2.278492681754484e-13,-4.4291838695863167e-13,7.069433255895715e-12,0.6753796344485566
-8.938087160361958e-13,-2.8276198936814924e-12,7.069432186699954e-12,0.6753796344405215
4.897011748785748e-13,2.511208669859696e-12,7.069434001084857e-12,0.6753796344743859
1.0964151929304396e-12,1.139886940439422e-13,7.069434002946883e-12,0.675379634494533
5.442974616901866e-13,9.653984474888586e-13,7.0694346005188364e-12,0.6753796344836954
-9.748205897183062e-13,-3.032903995778544e-13,7.066288240028554e-12,0.6753799165423443
-1.3077260803745118e-12,2.935877465625531e-13,7.06628733278609e-12,0.675379916535353
9.359188901117883e-13,-4.1891950297025857e-13,7.061406630328203e-12,0.6753800907611266
-1.1850240122352055e-12,9.049901808646068e-13,7.068439020922226e-12,0.6753803236391746
-1.2161893030292631e-12,9.170839402932415e-13,7.093427033391925e-12,0.675381174179814
-1.7081114906914087e-12,1.0898418731555286e-12,7.0921399424970454e-12,0.6753813118494993
1.3145972027456193e-12,-3.9787833926859623e-13,7.0930626174736375e-12,0.6753812652051207
-4.756424482325539e-13,1.974118862432798e-13,7.08853446031454e-12,0.6753812844700595
-7.940230857994806e-13,-6.053730521059969e-13,7.084238907159189e-12,0.6753810202015971
6.656107410598031e-13,9.201561051815657e-15,7.0842387472559695e-12,0.6753810201759121
-1.561824816769986e-12,-2.2231716028049427e-14,7.084239234136106e-12,0.6753810201799283
-1.5170217414582104e-12,2.1971441869068098e-12,7.080221311970165e-12,0.6753808502285313
5.769334329638579e-14,3.0628419448146473e-12,7.085191316118592e-12,0.675380478252506
2.2599661817400913e-12,1.242276946639112e-12,7.111807248523749e-12,0.6753803190145062
2.0727715820318684e-12,9.033638089196716e-13,7.111807520124194e-12,0.6753803190143403
-9.339715507196845e-13,-1.2681055135073763e-13,7.111806970778596e-12,0.6753803190347037
9.707430702246323e-13,9.395540655732025e-13,7.138976441965493e-12,0.6753799456673636
5.130753733856692e-13,9.99626290057696e-13,7.1236941632738815e-12,0.6753800943420677
-4.599877641931254e-13,-1.011160407217145e-12,7.123693904165032e-12,0.6753800943298864
-1.7747565183474985e-12,-1.99913593369003e-12,7.123694967090636e-12,0.6753800943431918
-2.992766767338255e-14,2.7054057249150575e-12,7.12369555450947e-12,0.6753800943352724
-1.841600247266629e-12,-1.3893078405028973e-12,7.128369709115897e-12,0.6753806605257241
2.4295504999519704e-13,6.951463656427205e-13,7.128369486588478e-12,0.6753806605283817
-3.4489087821319537e-13,1.033257728636632e-12,7.119573926514461e-12,0.6753807554576697
5.038450148304335e-13,5.266834831605822e-13,7.121707737569712e-12,0.6753806129482887
8.605060180174777e-14,-5.331573495281235e-13,7.111707257287761e-12,0.6753800477452228
-4.3234690435630605e-13,4.1500471706693817e-13,7.093458354036369e-12,0.6753801744977659
-3.2197292226403486e-13,4.924131724297048e-13,7.105557295954991e-12,0.675380358594952
4.3528994523749e-13,-9.385668731352975e-13,7.092837587113785e-12,0.6753803012162657
9.594180365300062e-13,5.64278340574315e-13,7.099737297754578e-12,0.6753804196464206
5.797665844772611e-13,2.180614379644856e-12,7.099737971188314e-12,0.6753804196671205
-6.488335569649533e-13,-2.0135687441175567e-12,7.099738591767439e-12,0.6753804196652319
1.3692865299101588e-12,1.4462341689735296e-12,7.099735463884612e-12,0.6753804196279272
-1.336649816286218e-12,1.9689218855061453e-13,7.099736287877793e-12,0.6753804196216575
1.5885844617676061e-12,9.126694794205716e-14,7.0997372358059444e-12,0.6753804196421552
1.4936836827866954e-12,-2.865539894295203e-13,7.119161815163854e-12,0.6753803823271064
1.3338738787818113e-12,1.1392170713866962e-13,7.110332914944004e-12,0.6753801359596648
-4.204263294448059e-13,-9.744693171163096e-13,7.104386924425619e-12,0.6753798270127779
1.5141049328365031e-13,-1.0243539052350837e-12,7.104383054930287e-12,0.6753798270048966
1.9642956931608816e-13,7.501759183073625e-14,7.111913110636226e-12,0.6753799099331304
-1.2592997649336e-12,4.298798306262536e-13,7.094343835860535e-12,0.6753801896729805
5.00655324615555e-13,-7.278296464980866e-13,7.077363028632316e-12,0.6753803966525898
-1.596555784454532e-12,-5.128472073275663e-13,7.080354237094455e-12,0.675380681532303
4.5227522307233075e-13,1.0557893161231396e-12,7.080354241598363e-12,0.6753806815220822
-1.0381475774002723e-12,-9.712851973741148e-13,7.080350067248853e-12,0.6753806813434228
6.943764267369026e-13,-1.1262330654987863e-12,7.085528661710193e-12,0.6753807812645998
1.1814792204339508e-12,-1.4667540028760883e-12,7.10798143472621e-12,0.6753814142220955
-9.980869464520435e-13,2.6945531874248173e-13,7.091988032042582e-12,0.67538223683606
-1.2038296789734182e-13,2.566693480676273e-13,7.074394192787521e-12,0.6753820769974177
-3.3454261472600674e-13,3.7226417220160195e-13,7.089870782029931e-12,0.6753819617273008
-2.2247754148238176e-13,-1.805538518931002e-13,7.089185748799671e-12,0.6753820557829202
1.8630705076465684e-13,1.6314580393034218e-13,7.076953137005015e-12,0.6753821879754524
-3.02562315901737e-13,-4.816634427839897e-14,7.084843129287647e-12,0.6753821322608952
3.75553100387707e-13,2.274597347418469e-13,7.073420907898068e-12,0.6753821051507937
-4.496664241112334e-13,-9.486444162541198e-13,7.0757165052526975e-12,0.6753822073802425
-5.755184524957651e-13,8.889231638083196e-13,7.075716847495118e-12,0.6753822073775496
-5.059856814426858e-13,-5.383610867229819e-13,7.080831789528678e-12,0.6753821633702352
-3.4286920021529125e-13,5.234979680330685e-13,7.070891510151897e-12,0.6753822938875244
-1.4860921148968684e-13,5.761791417764224e-13,7.070891382031855e-12,0.6753822938898426
-7.006252356624967e-14,6.944344275779732e-13,7.047680775511411e-12,0.675382233165327
5.75881663839772e-14,-1.906021583713742e-13,7.039662729135133e-12,0.6753820060550192
5.444996886347623e-14,1.498695452014319e-12,7.075567079239137e-12,0.6753818392770718
9.13307333986248e-13,-8.406392949412911e-13,7.0755708038736605e-12,0.6753818390573273
-3.952661692632249e-13,-9.886146638331127e-13,7.079319145265038e-12,0.6753811459066522
-5.877270474652672e-13,-9.616435198139745e-13,7.080735523524447e-12,0.6753812486439777
6.309476169800168e-13,1.1039996581833945e-12,7.074300438107774e-12,0.6753806748720331
-1.0922825954528397e-12,1.5589403158491638e-12,7.074300104529111e-12,0.6753806748702014
7.388065759003485e-13,9.604677058193e-13,7.070724610364901e-12,0.675380863659516
-1.0261229931719534e-13,9.540370212377644e-13,7.070724073896447e-12,0.6753808636569989
-3.520433146398585e-13,3.21255917213144e-13,7.073333660771727e-12,0.6753808089350644
2.2255293710054262e-13,1.0421708394999643e-12,7.091112312022051e-12,0.6753811025230528
1.3682303459567566e-12,-7.088179612491166e-13,7.0828713705088605e-12,0.6753813141786464
-1.3708507384832778e-12,8.930700380415017e-13,7.087289323524339e-12,0.6753813959059062
-9.733352845668003e-13,-9.257289606801992e-13,7.115364154168552e-12,0.675381035542399
9.124107952727198e-13,-2.3500817176871424e-13,7.1284045885211464e-12,0.675381214024491
1.6027535513288839e-12,1.238964785282423e-12,7.12262630732785e-12,0.6753815053963809
1.0469180055169799e-12,-1.0128409239568385e-12,7.1340051687057685e-12,0.675381621098542
9.392785336720175e-13,6.020678420608454e-13,7.1237326262047e-12,0.6753814879245473
5.659807595450224e-13,-4.380115839004783e-13,7.1339194901146356e-12,0.6753811788432625
1.6006871271344116e-12,6.36928554130525e-13,7.1378130186091565e-12,0.6753808197061083
-5.570386087393706e-13,-7.883602866045749e-13,7.137812564966863e-12,0.6753808197087099
-2.570849238574747e-13,-9.315796306121744e-13,7.1601250942215995e-12,0.6753810257691059
-1.460970889364491e-14,5.570435877467239e-13,7.160124123877159e-12,0.6753810257734442
6.416352617320335e-13,-4.3342579432259593e-13,7.160958447900556e-12,0.6753811590757195
4.486872512019914e-13,1.061033902292952e-12,7.162615759096618e-12,0.6753808612288821
-5.003276431655375e-13,1.4953889801028259e-12,7.168190885204917e-12,0.6753807424012677
-3.941797377678308e-13,6.870797234852629e-13,7.179082681089093e-12,0.6753802564800173
-7.035057140825935e-13,5.458519042366309e-13,7.179082852988523e-12,0.6753802564972197
-1.4000596443795442e-12,6.916549313617308e-13,7.182741876247383e-12,0.6753804631967011
1.4384792997244573e-12,-6.273328901794115e-13,7.1758723262341865e-12,0.6753803958740469
7.424967643037926e-13,-1.3874269957527874e-12,7.161198235574311e-12,0.6753800897668566
-1.385085962842457e-12,-1.414922531487027e-13,7.165546115527288e-12,0.6753801953112653
9.048505431421693e-13,1.1253602759607165e-12,7.165545934385783e-12,0.6753801953042886
-1.6140051101313363e-12,-3.355090027981644e-13,7.1495474419960135e-12,0.6753805995127358
1.703746502598381e-12,-5.44744611495014e-13,7.149548046534668e-12,0.6753805995164691
8.571429044037726e-13,-1.3699263588220092e-12,7.1546963740069876e-12,0.6753799213565566
-2.4827430389202026e-13,4.2346293756957907e-13,7.167213917955439e-12,0.6753801625445065
-3.301538182001482e-13,4.620801052088097e-13,7.168599255785714e-12,0.675380636687698
1.814084755205385e-13,1.5559511767860458e-13,7.168599529193966e-12,0.6753806366870183
-2.5445329161783885e-13,-7.284572003263532e-14,7.165819578011502e-12,0.6753805234006013
-1.2564204537777174e-12,-9.809981711349127e-14,7.1928203640962016e-12,0.6753807733958672
-3.575587107274101e-13,-6.36341618321809e-13,7.1868334501668126e-12,0.6753806528802195
-2.1712445443939225e-13,1.3849651996367162e-12,7.207305757568365e-12,0.6753809745653019
-9.633964922830003e-14,-1.3213982273933712e-12,7.21205069999772e-12,0.6753809899071093
-2.104202930092866e-14,-1.3780535690688596e-12,7.224183485009524e-12,0.6753811682796772
-1.9803155617762306e-13,-1.402381880962227e-12,7.227778856328296e-12,0.6753814833571871
7.49862168913179e-14,-1.9336233739652434e-12,7.235303681385184e-12,0.6753809730974353
1.5660609171972418e-13,-1.3877855503807853e-13,7.229094471374619e-12,0.6753810118509044
6.627125139945728e-13,-3.435868113770545e-13,7.229458041605565e-12,0.675380837652497
1.0645157787916503e-12,-1.8821939630143005e-13,7.239097440908856e-12,0.6753807249164467
6.314656065228125e-13,-1.1925116358338566e-12,7.252943800887283e-12,0.6753807186500728
1.3871838313962597e-12,7.633141560162099e-13,7.245128011327337e-12,0.6753804357031343
1.027863488670855e-12,1.0643116014920982e-12,7.245127612979353e-12,0.6753804357012758
8.136103510789735e-13,7.884566763106432e-13,7.25283846518054e-12,0.6753804104107837
7.636390142833489e-13,1.811450843806837e-12,7.234820700500062e-12,0.6753807759891322
-1.0088410883032334e-12,-9.415184386923218e-13,7.234829305455458e-12,0.6753807758693493
7.766094474608582e-13,8.799333238682685e-13,7.239054223699511e-12,0.6753809845737434
4.448690377802806e-13,-2.148591151529375e-13,7.2286140700996845e-12,0.6753808624339893
-5.208232671625102e-13,-8.18715097882739e-13,7.228614452183272e-12,0.6753808624411574
2.835628541509574e-13,6.593441320435232e-13,7.228613665463792e-12,0.6753808624612495
1.224285876915312e-13,-2.1599616351915224e-13,7.228522789473898e-12,0.6753804487605558
-2.665601527553185e-13,-2.6151280919448274e-13,7.224994549945465e-12,0.6753804818660927
-6.849724415618939e-13,1.592035396124511e-13,7.225115483970256e-12,0.6753806204495776
4.75814259921591e-13,1.3325735375597687e-12,7.230095646313581e-12,0.6753808057728756
2.276578871583333e-12,1.4039413687406407e-12,7.263389063120865e-12,0.6753813644815999
1.3630123846342635e-14,1.0160756495200226e-13,7.2174687274302046e-12,0.6753816786132674
1.5243603776705725e-13,-7.883875013672312e-14,7.209363258384433e-12,0.6753816618023005
6.236593424884225e-14,-8.396215931002629e-13,7.207018687348816e-12,0.6753816093823004
-2.332769159388731e-12,-1.0366583796728019e-12,7.210109638589848e-12,0.6753822113300599
6.525625875277038e-14,-5.307837025342687e-13,7.2096021535741965e-12,0.6753817142798262
4.330058253149601e-13,4.801386661862061e-13,7.204569256220576e-12,0.6753818980424068
-2.696697218745263e-13,6.797360083178019e-13,7.19953407937267e-12,0.6753819854678409
-8.208241046624774e-13,-4.2821664458546135e-13,7.212819772018143e-12,0.6753827540055091
-3.6276949603450184e-13,1.453486192764124e-12,7.2112475084288805e-12,0.6753827518143211
-6.246394323612374e-13,-1.98039253853224e-13,7.210035461909247e-12,0.6753827685206741
2.7912165320834205e-13,-1.099362467579554e-12,7.226086769651307e-12,0.6753825790315946
-1.534185256058894e-12,2.0470850358229283e-13,7.213724506303935e-12,0.6753827988684279
1.3253059423449784e-12,2.4593745993649116e-13,7.189535145876875e-12,0.6753828547566476
-1.3888955615069504e-12,-5.167871596637298e-13,7.199080159054775e-12,0.6753826371418999
-1.6984531601144512e-12,-6.400374845585067e-14,7.19907157048011e-12,0.6753826369768199
1.8587066296773925e-12,3.508045302227172e-12,7.199093297138596e-12,0.6753826371542032
1.0223981530168128e-12,-1.0002714035628023e-12,7.199091956815473e-12,0.6753826371615875
-1.7650575257168351e-12,-2.534789069822035e-12,7.199092118536673e-12,0.6753826371317199
1.4028499613643943e-13,-6.779799122495354e-13,7.199091016215338e-12,0.6753826371307182
-4.3479836184419667e-13,-4.889102736484958e-13,7.187188281051881e-12,0.6753826270489147
-1.5675929828086899e-12,-2.1728145576504933e-13,7.187679229656505e-12,0.6753823980063672
-1.1262046680681964e-12,-7.725485792632011e-13,7.205730338065986e-12,0.6753822825273263
2.489505647298394e-13,-8.099541591187336e-13,7.209916463397312e-12,0.6753829713445272
4.5208700624919416e-13,-9.442959115803375e-13,7.209916926497721e-12,0.6753829713498102
-7.071792715984376e-13,-6.750020930776911e-13,7.20991658664057e-12,0.6753829713531097
-8.801773757370285e-13,1.9769964138265143e-12,7.209916893305845e-12,0.6753829713539244
5.318121997957494e-13,1.5549287857545938e-12,7.20991273793655e-12,0.6753829713929859
-1.2061528393538647e-12,6.371345696531167e-13,7.206227003593341e-12,0.6753831466028115
-5.230967199596149e-13,1.0598811089848161e-13,7.175088945785685e-12,0.6753836375171726
4.226327951725194e-13,-1.490089334026529e-13,7.1800051732437e-12,0.6753832446321723
-6.683377703137973e-13,-8.784986189972951e-13,7.1857895073281965e-12,0.6753834822523542
1.3216557620931239e-12,5.579044989542797e-13,7.194800176862923e-12,0.6753834603885411
-3.1918387842543036e-12,1.540805573619557e-12,7.194800286898478e-12,0.6753834603859593
1.2580533863903536e-13,2.1311287798899062e-13,7.194800792743493e-12,0.6753834603968869
-8.640778681104061e-14,3.5446213050664746e-13,7.212009998966732e-12,0.6753833385369964
4.410913155918877e-13,8.164751574101544e-13,7.213954940714582e-12,0.6753835447068893
8.84192615973851e-13,-2.004454551222247e-12,7.232716972741543e-12,0.6753837123200124
1.9174481193869485e-12,8.360055713814165e-13,7.221260895738524e-12,0.675383751791017
-1.948119965224649e-12,-4.422066932257536e-14,7.234933420120973e-12,0.6753837973345392
1.5065293934228819e-12,9.1354620938929e-13,7.264789298758523e-12,0.675384170195217
-1.4649897255412324e-12,-1.006323145014347e-12,7.2559454180429754e-12,0.6753845455891787
8.539885493017837e-13,6.567884175296321e-13,7.260263799440339e-12,0.6753841143572097
1.162368917466295e-12,5.636730539785578e-13,7.2740226243040455e-12,0.6753843571730448
1.9041984148249803e-13,3.312244775115393e-13,7.257720980056247e-12,0.6753840997367933
-1.2588156569403388e-12,1.7017098586660772e-13,7.242398300621816e-12,0.6753840656479767
9.287562555293712e-14,1.1641509689166918e-12,7.242398645292727e-12,0.6753840656454645
-2.2734087047432805e-13,-7.214025586954657e-13,7.251323586386188e-12,0.6753838443321438
-2.0058369532114178e-13,8.718575049897767e-13,7.239357272177072e-12,0.6753838151748961
-3.3815335240736033e-13,4.075908597606491e-13,7.2599130623721364e-12,0.6753837765900454
-6.291494924902577e-13,3.5225106467394207e-13,7.259912957699515e-12,0.6753837765800522
-9.500235640319571e-13,5.377722176137407e-13,7.258367817657477e-12,0.6753845640531195
1.0536125685111052e-12,1.1636100785154497e-12,7.237489445119361e-12,0.6753846835649437
1.2910875991902961e-13,2.1335447743508928e-12,7.246677787540026e-12,0.6753844257517813
1.1149143824722731e-13,-5.076568406374824e-13,7.246678163055121e-12,0.6753844257343374
1.1203934361309004e-13,-1.8739445609640236e-13,7.234414137980707e-12,0.6753842757154482
-9.358295343940494e-14,-1.4489136740731936e-12,7.251872225763563e-12,0.6753840696344902
4.0820275171910597e-13,1.0238514940667427e-12,7.251872487339052e-12,0.67538406963574
9.109234097597495e-14,-6.677741965038768e-13,7.251872848356742e-12,0.6753840696345463
3.2867784432045603e-13,9.40140140901339e-13,7.22396551407326e-12,0.6753841501241367
7.120389315436886e-13,8.71695715675751e-13,7.20736983920121e-12,0.675383977705062
-7.426106789026012e-13,8.738122970163733e-13,7.210085239844868e-12,0.6753842868490527
-1.2138815480403624e-12,8.383047135075149e-13,7.226055558364957e-12,0.675383837126137
9.010767700964745e-13,-3.7398562171354034e-13,7.233889395158639e-12,0.6753838880050914
9.612040582275412e-13,-9.076605255494654e-13,7.233889189186207e-12,0.6753838880083463
7.170462871858248e-13,1.4261536619033066e-12,7.233896348742419e-12,0.6753838880245702
4.866688900316737e-13,1.1611361164816927e-12,7.229500615606451e-12,0.6753837032959645
6.564098683982705e-13,-3.0274542976829625e-13,7.219764107585138e-12,0.6753838643533542
1.4782473608380192e-12,-3.233607821440499e-13,7.225916871565147e-12,0.6753837559862431
1.3458097595666438e-12,9.484579599886956e-14,7.229518503889349e-12,0.6753835518808338
2.964428755343754e-13,-5.566006173214984e-13,7.224779093999107e-12,0.6753833513267629
1.1353652406565916e-12,-4.4196404451139923e-13,7.224504047366445e-12,0.675383623347965
-9.564937576736257e-13,-7.282815871317801e-13,7.224503772995844e-12,0.6753836233497391
-9.755285581172271e-13,-8.873447882420678e-13,7.259140279470247e-12,0.6753836095706256
9.337900893761606e-13,2.312837992059505e-13,7.259140228055336e-12,0.6753836095700241
1.1016258939729279e-12,-2.319385497875242e-12,7.259140124325071e-12,0.6753836095704361
1.3737225235431198e-12,-1.404044773696972e-12,7.259140311005621e-12,0.6753836095721671
4.936125916995399e-13,-1.4937064659048387e-12,7.2591412198039305e-12,0.6753836095516838
2.8843300733309773e-13,5.07266756864794e-13,7.259140634374431e-12,0.6753836095538026
-1.3682012851116682e-13,1.0096483041103668e-13,7.250263331752229e-12,0.6753834428320817
1.15303608601715e-12,1.3466884968805514e-12,7.2559671495700165e-12,0.6753836404287612
1.3706242258099161e-12,-1.5505112742104948e-13,7.251907767895547e-12,0.67538375099492
1.6462016575877198e-13,-4.3937749683369435e-13,7.261545620529056e-12,0.6753838542438427
-1.0398748347685947e-12,-6.233822560827513e-13,7.243637608090127e-12,0.675384022743344
-4.790340568760529e-13,-3.858907102120579e-13,7.2370232262799195e-12,0.6753843544173551
2.007755291398082e-14,2.5585803163492884e-13,7.233660970825306e-12,0.6753844748325628
4.4954350588386446e-13,-3.667049805098487e-13,7.22111314141565e-12,0.6753843282446865
-2.9792597059069923e-13,5.289805073096431e-15,7.205321905592834e-12,0.6753840149858114
-8.48412359962684e-13,2.8193094608817063e-14,7.19336652375046e-12,0.6753840544852173
1.4417755024841526e-12,4.59873568946598e-13,7.193366345916653e-12,0.6753840544828464
3.542005470319513e-13,-4.783052981487348e-13,7.2034681856613705e-12,0.6753839224038092
-5.39934043669841e-13,-3.050366198030743e-13,7.229061488298704e-12,0.6753838878763815
-6.926936692472343e-13,-3.9482489445695117e-13,7.203317834145472e-12,0.675384182084159
-4.783829877149476e-13,-7.686054268875416e-13,7.2207900858161644e-12,0.6753840191253301
-3.2056613227668664e-13,5.861454498335003e-13,7.251905899126935e-12,0.6753838804312147
-9.651946594473743e-13,-1.9495539317584767e-14,7.288259516553855e-12,0.6753834636581312
-9.533025788427211e-13,9.228385989147586e-13,7.321207069667036e-12,0.6753832968570379
1.248580435781134e-12,2.1824450458839e-13,7.324409646778013e-12,0.6753831756359618
6.264707289918033e-14,8.859317459553785e-13,7.29403804103166e-12,0.6753834842946466
-6.434599280494923e-13,-7.374576676521842e-13,7.2696599508907e-12,0.6753829795904202
-1.3113476493395218e-12,-1.046149048622576e-13,7.260525911241365e-12,0.6753824511016286
1.3965424333423538e-12,-8.367564769916049e-13,7.20359135924539e-12,0.6753828315524578
-1.3306066482211954e-12,1.1856936714081262e-12,7.203590332124116e-12,0.6753828315767103
6.323779620352604e-13,-3.6317210581707087e-13,7.20640995629542e-12,0.6753825284322088
7.267818535116013e-13,7.264025555431946e-13,7.206410127431767e-12,0.6753825284517221
-8.021986130684723e-13,1.3837176676244933e-13,7.21846373789387e-12,0.675382641849759
7.548643616141516e-13,-2.1442071807220583e-14,7.234970930687944e-12,0.6753828428104528
-6.562321277245919e-14,4.3841588214957675e-13,7.208539244243843e-12,0.6753834744988857
-3.1161742454032857e-13,-5.2518569345844836e-14,7.199936354103397e-12,0.6753834455922466
-1.0463185190516031e-14,1.961463955639311e-12,7.190027310394359e-12,0.6753837258677597
-1.1675250618851541e-12,-1.087679613177548e-12,7.190025953447744e-12,0.6753837259075292
-3.2808322048938523e-13,-1.5312795315337991e-13,7.200129622049161e-12,0.6753836584576477
2.461788932601859e-13,1.859211032406936e-12,7.207977837044679e-12,0.6753841335176273
3.5334396197838377e-13,2.9510690048598756e-13,7.2404060803719056e-12,0.6753836648249976
2.166895305364459e-12,-1.101924466806191e-12,7.2545017661398375e-12,0.6753834707439597
5.303873353424216e-13,-3.334074835312538e-13,7.258477391579696e-12,0.675383509588719
9.270669431570806e-14,-1.9338405546507875e-13,7.24362825222953e-12,0.6753836030269091
1.367010504068986e-12,2.7748146993612702e-12,7.2436279508397615e-12,0.6753836030410553
-1.5697980037397103e-12,-3.563717197316498e-12,7.2442227850562984e-12,0.6753836387288542
1.1482676300662282e-12,3.302263675448693e-12,7.244225546518799e-12,0.67538363864955
1.9488050626948746e-12,1.0764184020633627e-12,7.244225593358592e-12,0.6753836386434546
1.8872349075201415e-13,-1.2594499920496287e-12,7.244225868749242e-12,0.6753836386480805
3.437331927721088e-13,-9.81164331195792e-13,7.252581602607494e-12,0.6753834865550393
-2.0791095794079213e-13,6.423345592154011e-13,7.234034232817696e-12,0.6753833645099336
4.4715490773581305e-13,-7.400777907200257e-13,7.234034185925241e-12,0.6753833645052338
6.80351328047113e-14,-4.623649542690786e-14,7.229826555112595e-12,0.675383301476412
3.240390006541181e-13,-2.7436631928145947e-13,7.2463218384214736e-12,0.6753833744851487
5.57638634751644e-13,5.677956008542346e-13,7.1959358067951245e-12,0.6753831506129785
-5.189139476172567e-13,3.9949190157108804e-13,7.228613174789529e-12,0.6753828873132198
-1.247760030701258e-13,-1.616437883138876e-12,7.212489740982211e-12,0.6753829672050398
1.1196273120867783e-12,9.072196035480422e-13,7.212732768535182e-12,0.6753830192723396
-6.716348080495369e-14,-1.046343195568992e-12,7.219634475918189e-12,0.6753829076545347
