alpha,beta,sigma,nu
3.773635415575477,1.908937630308066,1.5730659891638923,33.12503010083924
3.3405519047349608,1.378264476624811,2.59122561792569,5.894135172543382
3.799288935973102,1.6708516057210483,1.9626407978151506,9.325864854737521
3.7867347872726036,1.3829442388184818,2.0753884576018153,11.603222358993118
3.2836244167105963,1.7986632576684145,1.9200902821770487,53.13418349866209
3.324274109973808,1.9862453418315433,1.6263337536360065,6.955898773469424
3.8400173932945694,1.5624310556305225,1.9834852980843622,11.625352217728144
3.6367775774369497,1.692932729523956,1.6642774167408299,9.941435575456927
3.5845615661308345,1.276443155004996,1.4183607642232545,25.934576267875954
3.3096572674164406,1.5553601406885544,2.0969003532012165,11.14280143623555
3.5149052783136425,1.853154521940277,1.5896236101970551,18.108835535949236
4.206312726011337,1.6333428281881077,2.213125234339592,7.178863098383453
2.6238329708843406,1.8442396015108222,1.755217226723439,26.548440723150925
3.3256886687070963,1.5479174782438472,2.055791724943431,19.953853921348106
3.4706564384221106,1.9131113653343037,1.81222999066549,12.5910139421293
3.5047846357431607,2.322877962837674,2.214687046474731,17.317119251674196
3.5646860366377884,2.495420223449872,2.0103366357313344,9.236136111734996
3.2527663979807597,1.1395762141642918,1.7052518148385485,9.124295281607715
3.4600624367101913,1.2828164742541173,1.851839799473079,12.084286496066888
3.471642938023152,2.2869052863752373,1.8901850621813479,18.805601653098954
3.8644825317072358,2.141587067283024,1.991169375173504,9.63503622989365
3.167565218055714,1.9915712357903155,1.5547681611778246,8.425610092569102
3.990651072708961,1.8426550748007098,1.8830811442151016,11.345241291470908
3.342591314637093,1.6096600025670103,2.130497709829585,12.233978456363516
2.9885812049378417,2.395935275832864,1.5628931664555519,4.769132545706804
2.7158465149570246,2.586881859089495,1.4123599959948976,1.4917356237820265
2.666568172239533,2.67761257982176,1.4578687425995542,1.3229835230247653
2.9529097638256805,2.3620857760212246,1.4197008660960242,2.850999670575093
3.86955295991545,1.190204301664903,2.294724266853645,39.9933259481024
3.2851707152704037,2.0823530088774174,1.546405554435376,2.903652132538795
3.9241581817064186,2.3377366950027927,1.970033819591928,16.33787890106519
2.706669467853807,1.397681403300659,1.8683359198340754,14.463181760426576
4.519598970624304,1.799407962417216,2.2060571572334267,7.719538789960164
3.3269251542575233,2.0538235297918748,2.019625671918069,45.47405966331554
4.026924011176245,1.5115081688330727,1.453444591558932,30.27680212012062
3.226802378764551,1.716383627928542,1.8052967017873893,18.68379448906579
3.643701020752087,1.7476939374525366,1.9265947036467899,8.63791325526703
3.1888122311429727,1.4475674883383123,1.9376416031145038,31.633846805210684
3.272833842003827,1.4652680050666185,1.4205530649449842,40.998783186147165
3.520421091799354,1.6427552612987784,1.8467026528923174,17.501850790777162
3.2439070600070745,1.716837160825981,2.1888705118556295,13.911551989163284
4.2546709859598835,1.2633347426799275,1.9057537186495384,16.707465015151403
3.964649458760641,0.8837026419994705,1.9636474122175733,5.28960462890265
3.9734455117138934,0.9396884766209286,2.0015657107373515,5.819874629119468
