alpha,beta,sigma,nu
0.483420285232656,0.417561999336185,0.5302968275990289,17.00605186157232
0.6490152466267516,0.26014417828204967,0.4741378825095406,10.001274566824595
0.5793830378842691,0.4343877925905695,0.478197441478805,10.700143272624818
0.4623765846280538,0.25163845614210584,0.49083980195825533,13.448135675102169
0.3770675842662133,0.4352253491644534,0.4359782190873109,5.8267171696699185
0.5384302067658018,0.3067762241812396,0.47975895284362763,26.805540135172407
0.4954997706416347,0.31824406394457494,0.5102744003287042,8.499998108073768
0.37509082910754843,0.28136152252745095,0.3398146227309183,2.0535650917866963
0.381268342627688,0.20984080096055718,0.26413037743022866,7.156615061389106
0.3939402324671949,0.4561529372390679,0.5317413491403337,63.26401242095315
0.3930216862300972,0.23092282881974066,0.3467460535226934,1.4650082131345035
0.302117362922557,0.281620652381032,0.3015199619174709,3.31074714263733
0.2822741606056826,0.3100683730937916,0.346527528964475,2.582442456053572
0.5556341659192454,0.39086380478555144,0.43576914159166247,17.85018577362154
0.446816441216573,0.2320417560678425,0.560771584228513,10.284013041808567
0.4512148496349633,0.5630631807334878,0.6665532853761241,27.709826428925165
0.4431697753937191,0.49447530383073635,0.5369277708180288,12.900109740308977
0.38510965673053815,0.1870641037110603,0.43510626277596287,10.667667864587527
0.4696670131722724,0.36909463138377574,0.5118839553972017,17.72907700528931
0.30847383628423847,0.2691036309520273,0.393559703872379,5.831544948814964
0.565558873444238,0.46092216743834663,0.439699693592536,10.396069610578508
0.14066464322968145,0.2049193727120774,0.571756436020084,15.175975666523014
0.3441053629620725,0.3701312352830967,0.45038343059492597,5.225858221192725
0.4835605265890139,0.32677528006795203,0.3961067169551302,8.299540243263525
0.40869085826685914,0.2527176201410172,0.3868863455979149,7.400294201493089
0.6058724046264681,0.3447142444443913,0.6899163202851295,23.012450890600263
0.41802766307746786,0.4676308238136267,0.4657662257434329,6.153302515944167
0.39759799184757916,0.44727403590648224,0.4494116570269536,4.469358277706098
0.4971287918476905,0.4187204249427028,0.3669631646056366,7.347595564040297
0.4227407252253489,0.29239349524011177,0.40646850766498926,3.582146668597235
0.4642947883559721,0.45801489424636066,0.5155721534581427,22.514786517572162
0.3785031625739957,0.2621773861699718,0.3642244258566225,3.1433234123364655
0.47883884486379447,0.15824578016528904,0.3411184102398131,2.175259016461699
0.17339709704275752,0.3136977277469175,0.41025772312604575,3.981594150262816
0.6012771922412798,0.4715934699007407,0.4511946178642648,3.9507176461042626
0.492729130804109,0.4256171002921738,0.40611915167587537,5.720309065570948
0.45158517978305723,0.4046686462925256,0.39389238948025324,10.511162200594953
0.44380283077116583,0.2856644280168621,0.4617204988537691,6.5407768006942275
0.37883796385278123,0.3332539439201231,0.32731621049098486,18.521220679025056
0.3979472127117983,0.3202727251256998,0.3510592064359054,13.962507096847105
0.520666610852175,0.5082216832221536,0.37877691933970076,6.476220840262945
0.6581388597630624,0.2668796150738451,0.4551407859289921,6.297350442038877
0.6039487405431451,0.1832118217444004,0.4631223740905846,2.875478712587902
0.5976063480008674,0.19814425324740068,0.4707208955712837,3.4922848032930904
0.3446425095856221,0.30306708457764064,0.5223650929956634,9.754145901704202
0.47385714054090927,0.4472707844810076,0.4676422885090021,7.567797377515148
0.46862578215486655,0.438242050547423,0.48158098633413826,14.347451912601462
0.4694045217013711,0.3054334620514769,0.40960751152757563,10.97374522952576
0.34091715136100725,0.4297746398552707,0.5390450455479031,20.28173524611881
0.588495629932268,0.3089785667730544,0.4866164362505275,13.816980758111866
0.3009037167473423,0.42538613909034456,0.4090606249682813,6.967495718889555
0.4098774496977021,0.5576005853716245,0.47186878236702695,12.893075843991598
0.39503181744174326,0.5513209258064414,0.48660973208295694,12.42203447449499
0.28577624451497907,0.7437969653475635,0.6005745531272217,18.963164383967886
0.3316803564892681,0.6694794995136946,0.5764106436933275,19.645567556877484
0.3750525840905032,0.7123131277278325,0.5960265645048572,22.404754779448613
