alpha,beta,sigma,nu
2.1990327569783092,1.0489058446140906,1.1248313604039608,17.347465040268702
1.604229892674494,1.3982935937767844,1.5834926193787284,4.883398452309064
1.701223834209547,1.0345541102179923,1.1555627475026273,14.345319011570421
2.283796089385254,0.9981820699479829,1.5416057593914334,10.239847883790677
2.1155086608188336,1.1030414259574992,1.147593514017381,3.474609094997525
2.302161427793837,1.0034724213898976,1.2564356288995409,3.102383443931432
1.6891996523559407,1.3932642371092903,1.0687275681462256,10.824264062538635
1.652844838105734,1.4172160680064556,0.9300426033403404,8.042671291693809
2.0620288978531662,1.3678836443170994,1.630631965275176,7.662207916020434
2.1311131880285217,1.32601973480032,1.0673102283589768,23.102740756423483
2.0068128811740658,1.081030019998643,1.1628249578935301,13.482812773549844
2.2683919885561497,1.0335895395536485,1.3645518049859195,8.1992418110244
1.6523701964963702,1.3096913187255637,1.0201056691830197,3.386833995672635
1.5477573913609919,1.181764594229713,0.9586659473953902,5.075612526948179
1.9859287772754464,0.9140622923629235,1.1700886420445469,3.9539046722077074
1.9951527512200178,1.2083565487001737,1.445486211848791,6.106092496306507
1.4855970631268938,1.436069430208204,0.6016098672660791,1.64934225045531
1.5315337807648706,0.9748630728665126,0.6067372887717759,1.25045848768613
1.7414659266226833,1.377682386008014,0.7200076298071785,2.4343710849547118
1.8488777192548251,1.1529632228895461,1.12626854872917,3.2907305683935584
2.0077427917460167,1.2523494913087565,1.3124064388093384,20.8784128128016
1.6453637732425872,0.9880073498886559,1.6767071432288938,7.6733062244947225
1.921197927059949,1.3365690875932048,0.9737453959526592,5.100920959181366
1.8011958222398021,1.1255339425652602,1.3003055657106022,6.914087432164964
2.1624414883634815,0.8112938381168742,1.4294822342668507,21.768672682015946
1.40599095138395,1.5685554332563465,0.7003050390928637,1.2212260898655058
1.3276095060775788,1.586365918571957,0.7148179178784854,0.9644140755459445
1.3381924187654701,1.601568239026216,0.7428709636551681,0.8221221257721677
1.2558240383720394,1.4686770242322318,0.8077494704545749,1.1196651574603926
2.0453529052902737,1.3549602539987535,0.9960660873768873,5.587431985469406
1.6916979240404377,0.8297283558595322,1.2886868087489753,4.989119118676063
2.2252184646791573,1.580147160933514,1.4024456693396525,21.192429084880793
1.5216553876469023,1.7055979934768541,1.6623075896609336,17.84720344838242
2.6948883245214263,1.0262286161579965,1.330671887544962,8.32889509115444
2.8608130044148385,0.9211081739665488,1.1148122540896392,11.475797929820565
2.239232230507477,1.0229674339072417,1.3827689594218777,11.28368191072835
1.8840498165507038,1.2650987230583883,1.2223578057591225,21.06636665012774
1.9996470833531483,1.651257755793982,1.0776749051543375,28.23956067823549
1.9726390736316746,1.4990322770873863,0.9283929721946992,38.06309111700348
1.9564663263520086,1.323223826495723,1.3866184222617057,17.999316816602807
1.6263256857078177,0.8081161199751544,1.4802604998139992,20.354915523428968
2.8280859674603245,0.8933338792244804,1.4117420824285534,13.111468830194397
2.808532667600656,0.7012481374838065,1.4051581457539817,7.194196275428381
2.1142721313287187,1.1029839551861276,1.4655156837412309,15.45812664567196
1.8795329587286536,1.2457974659531998,1.4006911220079894,8.57380661838808
1.8284633504591492,1.31401342250217,1.399099122867494,6.503598238806323
1.8067712392593496,1.206775914084144,0.7602695659606914,3.802096681896955
1.8848622892801967,1.258748820531144,0.7771616720144338,2.664947025182964
1.6851182740131974,1.3571340704776114,1.0917487859380397,5.324143959640766
1.4777779445889743,1.3031732843589368,0.9048573887249808,3.452625607787865
1.7360273512152933,1.3370044714915335,0.9442483390843683,4.745266203072922
1.6295902861443465,0.8360265510127975,0.9711856342170689,2.0259308305267094
1.7790036248866012,1.0769047646093275,0.9584153923753802,3.6703240162531197
1.567681202935001,1.4978284882583885,1.0673848895301368,4.753516765109116
1.5447750592498277,1.486461274496708,1.2046280956718212,3.834000326042219
1.6334656072967937,0.8741470247405426,0.9771507062367863,3.522513295925945
1.9311674098876435,1.4465396654442622,1.3249411015133803,5.512046707605805
1.8422866164466054,1.4488655265257506,1.0248634588544197,5.474393517611206
1.7874113205832638,1.0128286221570768,0.9033388015455042,2.8039538715220753
2.008860736598812,1.3837112898412005,1.522873856021993,25.817253273243505
2.0141911982817877,0.991062186004513,0.9718823439286584,3.2693012301179287
2.2056438121977933,1.0711658871649337,0.8608872987417027,5.921628378484244
1.3996263508651117,1.5135163320566207,1.5622709137280333,7.202341954456101
1.5561316399861052,0.9727544213985383,1.5929228741158434,43.212585046502845
1.5793551350294668,1.0935619608408136,1.5594608589558487,30.241902408858312
1.6796750034229777,1.5134165240766124,1.2477586424670652,5.962033720870037
2.1865577797624285,1.0122539434740072,1.293829311356241,18.234301837677062
1.4726649877792688,1.1248379331529859,0.5097819254476392,2.181224596534167
1.5336552991085601,1.0836281256371643,0.5786386528185724,0.6071085221966518
1.5639403881823237,1.212100209436957,0.6859950130697774,3.293217615666012
1.7180112196757262,1.3113644790212333,0.6854296708428806,0.919257441484917
1.727893795828742,1.2305521818745373,0.67892635017618,3.663147016757209
1.5935564809920018,1.4148508847698813,0.9314826819367475,1.2153536577880515
1.7581954928244667,1.3506027520048207,0.7807503534990796,3.4943895434926096
1.8206162593134942,1.0907669025976032,1.3828173910838994,6.911807058485127
1.7791273949824924,0.9398190508729642,1.4004953242672749,10.290019027056193
2.252959765531354,1.1250888901020213,1.3601573333066153,15.852936865133607
1.922393750171065,1.2467758159660367,1.212470126104544,12.790611780403635
2.139515476134628,0.951617822410931,1.3359193905364493,13.190755482359359
2.130908659073865,1.0198927065159693,1.3113339597535276,14.056739548737982
2.139932077320497,1.543710387126862,1.064197482678762,8.600517300472722
2.113767316651911,1.2978157589038601,1.0157331683773816,2.7808049727186908
1.836501656958382,0.8285992391338945,1.5074497113505856,7.835269716961678
2.48193041956562,1.1058852459259048,1.2301866985829233,27.105260144505795
2.011258359977951,1.4851815923121037,1.4495224138547813,33.34069087773268
1.8617536556495928,1.3620889916362828,1.4239617455361253,28.997337006244454
1.6522687555966644,1.279647054511529,0.9442143958556789,1.1772950942443188
2.0204769236198197,1.3377303785850225,1.569571535665222,9.006518986936385
2.024500756432861,0.9309805452149362,1.2362884352059007,20.476211656829637
2.0434400477442365,1.131395243060289,1.2188921555268017,18.435475837293705
1.9577173355321476,1.2198654242791123,1.3819911024322453,8.42500598744014
1.902495874964666,1.398539880618057,1.5023042981706085,12.733818031922153
2.233306904813241,1.5586037981204877,1.514383572469224,6.4711647726335775
1.7492740734174534,1.2099239949915195,1.0394531829161429,6.342048545835343
1.7082226638232025,1.0034319923946788,1.5475632415855864,2.3609667799196563
1.8982079210184075,1.5113651595581679,1.0211239180851088,3.341271790992655
1.7479009131521486,1.6515646175728476,1.0261913470905821,8.012198289552835
1.521591251494413,1.1857103154695874,1.015126655967956,1.698713296199938
2.383183739424604,1.2826390769085572,1.3955915763479603,39.92161329753734
1.7680459707994398,1.4331328256716893,1.3068625933250186,7.754761677867252
1.5336327543506378,1.0753557044912665,1.089670157765525,3.4438175015670343
1.794301999965802,1.260886451827712,1.1440592956137206,3.362264861027506
1.7708154171505184,1.1283947633229523,0.7951786929479724,3.1955838894050537
1.8816995636389,1.5399819744886338,0.940245662495752,2.5877777518136993
