alpha,beta,sigma,nu
3.1193910451768904e-13,7.110900195238748e-13,4.666840764620318e-12,0.8530229450750503
-1.271847124216703e-12,9.830312738538942e-13,4.666840738312814e-12,0.8530229450752801
1.2892019856712603e-12,-1.7382580935868447e-13,4.666840582881764e-12,0.8530229450751643
-2.344413428741229e-13,-5.42252820987e-13,4.666840761355213e-12,0.8530229450751124
-9.310615513809664e-14,-3.634127704606672e-13,4.666610040029184e-12,0.8530229350398877
-1.2301194820038107e-12,3.311544801324481e-14,4.665932302161631e-12,0.8530229383770428
-1.2108543913719916e-12,4.452533221382949e-13,4.6659322318215955e-12,0.8530229383771358
1.2499903213801014e-13,5.150654415957164e-13,4.669955563102646e-12,0.8530229466287872
3.2521632583936184e-13,-7.564736285448302e-13,4.66491478808424e-12,0.8530229706283022
-5.413808499327383e-13,5.405859898905514e-13,4.6677352160424076e-12,0.8530229500981974
4.3892260183629946e-13,1.3289995063002722e-13,4.669742711542181e-12,0.8530229520105984
-6.584075155589828e-13,-6.98635752539795e-13,4.674703732741951e-12,0.8530229223076168
5.295159044501433e-13,-9.396649458035006e-13,4.674704492442143e-12,0.8530229223222136
-3.867447906785257e-13,1.0524252989190546e-13,4.674707736381159e-12,0.8530229222883863
5.432544413119634e-13,-9.474931918398128e-13,4.674707836869141e-12,0.8530229222882442
1.5187069297833766e-13,-5.0077094890546015e-14,4.6673550291804456e-12,0.8530229025645244
2.6805988470274695e-13,4.6575862368891796e-14,4.66950365556625e-12,0.8530229164623815
5.836371702587602e-13,2.1178186384356753e-12,4.669503853713346e-12,0.8530229164629697
-6.243592593011051e-13,-2.092965880686095e-12,4.669503601524142e-12,0.8530229164611107
1.563446490653804e-13,-8.493814983223251e-13,4.66950360169692e-12,0.853022916461848
-5.506214705902397e-13,-1.0758595454852173e-12,4.669503546324276e-12,0.8530229164622446
4.216977005661316e-13,1.5773668906566117e-12,4.670767841995982e-12,0.85302286920838
3.9680195087198054e-13,-1.4331931044753333e-12,4.670767505487882e-12,0.8530228692073566
4.2611606509730214e-13,-1.4563532989149222e-12,4.670505787551851e-12,0.8530228730196225
-1.7732966527001344e-12,5.029442056977088e-13,4.671017054565554e-12,0.853022879598896
-6.504535862658765e-13,-2.410336555945316e-13,4.668126026562067e-12,0.8530228417499741
-7.681636088025674e-13,-1.2845652571046247e-13,4.6685406265667885e-12,0.8530228225615254
-3.1559443939025513e-13,4.0220890739072744e-13,4.668887830956411e-12,0.8530228156252926
7.28718712032117e-14,7.279591978245038e-13,4.669517558108073e-12,0.8530228145548339
-4.5082312101643335e-14,-7.405000464737775e-13,4.669774823387426e-12,0.85302282133914
8.57097002332103e-14,9.800851617305192e-13,4.669774833244812e-12,0.8530228213397666
-1.0315672876616077e-12,3.2657076843225746e-13,4.669774608123561e-12,0.8530228213390316
1.0193117405812989e-13,-8.498387017761464e-13,4.667813256492208e-12,0.8530227883833018
-1.0489045582824776e-12,-1.1014044106845109e-12,4.666503133431978e-12,0.8530228261735932
-1.1446151998462758e-12,-2.729107048151096e-13,4.6636637941197064e-12,0.8530228328603388
1.0948885568560978e-12,2.0816966389871894e-13,4.663663644203919e-12,0.8530228328603752
5.004812167990263e-13,8.181894551717006e-13,4.662074445791128e-12,0.8530228556435737
4.351853519577068e-13,9.692646273237318e-13,4.6600068041344715e-12,0.8530228667672716
-7.666350778049166e-13,-1.7248136014732127e-13,4.662418630221308e-12,0.8530228573543066
7.842379779806934e-13,1.3380172571165354e-13,4.6624186778003435e-12,0.8530228573551982
-6.02803908837851e-13,-1.2443860640594712e-12,4.662418775395e-12,0.8530228573556851
-1.952919156028063e-12,1.253196287508314e-13,4.662418811351905e-12,0.8530228573554919
-3.469141441075746e-13,1.54258829810558e-12,4.662220275049199e-12,0.8530228486445558
3.905721644024399e-13,-8.895622923646679e-13,4.662220315883379e-12,0.8530228486443613
1.054307569593521e-12,-2.3653135127822616e-13,4.6633390778984385e-12,0.8530228437340425
-8.467517778873711e-13,3.856390702690193e-13,4.663565562579424e-12,0.8530228380284637
3.8679607169552663e-13,-3.5803131151845967e-13,4.663864201198808e-12,0.853022845247071
3.0715866027270045e-14,6.300097896177767e-13,4.664614833706804e-12,0.8530228431007973
1.2296943375559157e-13,-5.534123387156438e-13,4.669256320369318e-12,0.853022870990158
-1.9721827976141837e-13,-7.306039486811861e-13,4.664062941375191e-12,0.8530228616468573
2.321048345956961e-13,6.223642320070515e-13,4.666216758773117e-12,0.8530228760602908
6.170117250750942e-13,1.4309747414622806e-12,4.6662168829569424e-12,0.8530228760618059
6.982980856995757e-13,5.343520576991047e-13,4.666216844810818e-12,0.8530228760618519
6.982980856995757e-13,5.343520576991047e-13,4.666216844810818e-12,0.8530228760618519
3.752540963574425e-13,-6.05986200796629e-13,4.666216237017011e-12,0.8530228760636875
4.472019974597764e-13,1.3216768314951848e-12,4.666216353551858e-12,0.8530228760646876
6.174051406723527e-13,3.7312381252466286e-13,4.668959176579361e-12,0.8530228740164274
7.12937513200216e-13,5.293675469745353e-13,4.669991041095683e-12,0.8530228864201005
-8.142819550456623e-13,6.737854041046571e-14,4.668252429145511e-12,0.8530228499718464
9.62275204894205e-13,-4.8637181352612864e-14,4.668252548039771e-12,0.8530228499719424
-1.007181024206166e-12,1.0389551125508805e-13,4.669599639231313e-12,0.8530228557924422
-2.974765152087285e-13,1.005428437308222e-12,4.6709194474534204e-12,0.8530228473510348
-8.90847567788746e-14,2.737458980180539e-13,4.671731392220683e-12,0.8530228432854026
1.6456255281128854e-13,2.4212503891730664e-13,4.673125039932597e-12,0.85302289548587
-2.361723962975751e-14,6.859732308804459e-13,4.673125040349895e-12,0.8530228954854959
4.878308096978392e-13,-3.5133099277806364e-13,4.672216215689386e-12,0.8530228803753044
6.11875137060633e-15,-3.8133671217471747e-13,4.674385973652296e-12,0.853022896762709
-8.420279435275384e-13,1.7879755103713808e-13,4.6786871270575125e-12,0.8530229443665311
1.367245916567839e-13,-1.0696663719416053e-12,4.680668552774552e-12,0.853022902507525
-2.452097097197283e-13,6.832068012755869e-13,4.6777570879009055e-12,0.8530228918343713
3.422888350953935e-13,-7.739517881319423e-13,4.681651110443705e-12,0.8530228805521046
-5.58783949796847e-14,-2.236280932620273e-14,4.681397018616145e-12,0.8530228949063016
3.910164415877348e-15,8.011654157599904e-13,4.6804491270481075e-12,0.8530228990055922
1.6863299666877954e-13,8.969689391200741e-13,4.681124679185216e-12,0.8530228971764978
-1.0430161317564994e-12,1.59616101904788e-14,4.6828562286507426e-12,0.8530228988336386
3.85082505108522e-13,-7.70904790502431e-13,4.682456072172761e-12,0.8530228920269218
-5.154224468925206e-14,6.227840777574383e-13,4.6824561357181415e-12,0.8530228920267248
-1.7388343103379925e-13,1.5356649772232943e-14,4.680597449931603e-12,0.8530228981212437
-2.1966729578836134e-13,7.157178915160348e-13,4.682684078941733e-12,0.8530228868744534
1.6892258193944845e-13,-1.7114781632541688e-13,4.682684031330191e-12,0.8530228868747927
1.2112445708756135e-12,2.9979869014949554e-13,4.687991095519378e-12,0.8530228924538101
-5.553575463673826e-14,7.443627077615738e-13,4.685520612823766e-12,0.8530228647909526
1.5983927628258008e-13,9.34090401826304e-13,4.681123166249182e-12,0.8530228726458376
-9.433217559097671e-13,-7.823493423322826e-13,4.681125362422639e-12,0.8530228725947508
