alpha,beta,sigma,nu
-3.144955091555698e-13,-3.3896293789431744e-13,4.668519395454919e-12,0.5642136675701614
1.2700891316109125e-12,-8.210035733466684e-13,4.668519445082441e-12,0.5642136675698183
-1.1694281791194095e-13,-6.880267112138589e-13,4.668519591688595e-12,0.5642136675699048
4.46253799154439e-13,5.789556112138188e-13,4.668519086664841e-12,0.5642136675700209
3.0533919964450755e-13,3.652159012430508e-13,4.669789494576246e-12,0.5642137129454263
5.608502967073399e-13,3.0428973168492995e-14,4.6649506752131176e-12,0.5642137316479175
5.287844166136324e-13,-3.8975990165391345e-13,4.664950012122958e-12,0.564213731648612
3.565219708478521e-14,4.3524275936449126e-14,4.672033261629438e-12,0.5642137431708504
3.6948688510750286e-13,-2.8896599483241575e-13,4.680487219900418e-12,0.5642137111396552
-6.137258436156895e-13,-8.440156173621459e-14,4.676204741953049e-12,0.564213735174686
-2.3612438151249995e-13,-6.335547361598734e-13,4.680583994660327e-12,0.5642137385064405
6.92604691183762e-13,-1.3219258615527662e-12,4.675786569642872e-12,0.5642137610136723
-8.656364746991628e-13,1.1635698008251348e-12,4.675786784589638e-12,0.564213761016941
8.846354474514368e-13,8.512891300240744e-14,4.675787885990933e-12,0.5642137610078515
-1.0217248309488844e-12,1.1075826655586796e-12,4.675787506907887e-12,0.5642137610082758
-1.301705086113918e-12,-7.007074285461693e-13,4.66960397660326e-12,0.5642137478711053
1.1508586956725463e-12,5.954755977422163e-13,4.6651928324480124e-12,0.5642137253666472
1.4947978813592374e-13,-1.2822635082427137e-12,4.665192645790134e-12,0.5642137253662082
8.097600926806357e-13,-1.3307999352973234e-13,4.660922220257449e-12,0.564213701032911
3.451974214978838e-13,9.40027547906557e-13,4.660922193233387e-12,0.5642137009448589
7.904840334930636e-13,5.836149974072999e-13,4.660922401689141e-12,0.5642137009436747
-6.272038501270981e-13,1.5561772807839584e-12,4.662069402239068e-12,0.5642136670375228
1.5845312347225487e-12,-4.5336080107476233e-13,4.662069718935719e-12,0.5642136670382867
