alpha,beta,sigma,nu
1.5673517813636222,1.2360141295697846,0.8871308537146629,4.012169588108566
1.4148596417751218,0.9460241260776232,0.9297548227210424,10.368714761886181
1.8237926514963902,1.250211125993215,0.8251940103746184,4.294056689738347
1.5332255369829622,0.9395098422382655,0.9059394472176149,11.649373138583739
1.5432906810514322,1.0531217496870104,1.0532083827395011,22.96254867649841
1.9536879036808115,0.7805642904844186,1.03721230834729,6.494399754863079
1.6903354565056539,1.0362577280722856,0.9193713759476856,8.281178140078485
1.5914189447428537,0.9502381495153486,0.9374449055091475,20.776434681932447
1.5587560644815146,1.1250165037343745,1.119089215012378,12.468686346180638
1.5264370084354775,1.0722918815289788,1.1668221438385886,9.436115999510267
1.5448265150129716,0.9213697268874727,0.7279521109103732,10.305731912336368
2.040812673875427,1.137467371055339,1.2544314135711354,3.6921972512806507
2.102855639300082,0.9084894914580844,1.0178478057637588,14.538539092844836
1.749066609546986,0.9023758829875865,0.9702150634513441,18.413257145993217
1.5811949425362986,1.0071613537608555,1.0190500772463984,9.208531522606814
1.6263444479654008,1.540194529575251,1.2807750926164212,22.876386193640116
1.6435144291607866,1.5777811788602374,1.557589444721923,44.831614535305604
1.7786605115632919,1.9916790149101504,1.3729519237286334,14.433367880894659
1.8158042696407586,0.8049053767744152,0.9989916590538762,11.391826874727746
1.3675228358210647,1.170699435683596,0.8845781349514754,6.082429798987272
1.6397523726981307,0.8914146480580162,0.9667605505798531,13.33468702897601
1.2419320718064562,1.050280956273582,1.2931304393444591,12.931886426226587
1.048997303348092,1.0496695050029825,1.039150407202505,11.447886237913938
1.1475504933779324,1.0394382511672506,1.0827639026543792,8.520004490185693
1.7135630819157242,1.2061911272145833,0.7422753591023069,3.845591144943369
1.3955822269266154,1.4395048663848273,0.6175452616890512,1.3713143981768945
1.3497956965789943,1.4880899002977688,0.6347219017741876,1.2000953210101173
1.439094303044296,1.344572639805063,0.6173879466550882,2.3436240225445375
1.9888043403256703,1.1063633434160833,0.690700205950338,3.8387204116291516
1.2512528148057682,1.2042082410340258,1.0868187841725054,9.255932797556074
1.3926496372981283,1.4946916730523616,1.0393053010462134,13.870320640574885
1.3210881720425314,0.8381900997203818,1.0355518997139352,10.586384544108835
1.891507801887735,1.5833802235855692,0.9428522439643482,9.126473824283936
1.3848730893283754,0.9677525128247547,0.9406152440111041,1.5165050092446317
1.8829694977695524,1.0594488506279316,0.588485807911208,12.140204185538167
1.8892868679371122,1.094178348355976,0.668614795103711,9.733620797749598
1.3209717537825572,1.1880345662802823,0.9919291300827632,5.725443113170314
1.7858185979710388,1.2216862970046751,0.8011622460409574,10.90825378191012
1.5282667449712097,0.9652375119045454,0.7036907976073895,11.054990916162605
1.6559734034618625,1.1001810111530723,0.9289151409445154,5.492003750059732
1.9310251774138294,1.494469311596928,0.6920828052721163,3.2480648599891633
1.9195818234929978,0.8858325282081219,0.8677315711392081,3.4586819651201606
1.8124772232190232,0.8156370653169134,0.8407885043598842,3.035947221048651
1.8201649839473553,0.8404975962500874,0.8550365169478747,3.378589153368634
