alpha,beta,sigma,nu
-3.246564484293352e-13,-1.0988956500353397e-13,7.844828690167234e-12,1.14204867076636
-7.185961087749621e-13,7.652724308553441e-13,7.844828276386757e-12,1.1420486707692068
1.1798305974136556e-12,4.942525997212025e-13,7.844822571976947e-12,1.1420486707658606
-1.019309054414165e-12,-5.6127783113176686e-14,7.84480947152491e-12,1.1420486707688597
-4.8661579667202137e-14,6.471280821260903e-14,7.84623271713362e-12,1.142048720962125
7.669516521971608e-13,-4.791102753288797e-13,7.867519965129803e-12,1.1420486357567703
7.819662639970378e-13,-6.500904395138128e-13,7.867520704960088e-12,1.142048635756002
-4.0710775921761287e-13,3.3358738934240174e-13,7.84527570017685e-12,1.142048600312942
3.6231166612013934e-13,-2.633487954670755e-13,7.809152414619246e-12,1.1420487347327601
-3.268795839642485e-13,-1.5210968794216105e-13,7.81552385962069e-12,1.142048697878418
-8.29324851345101e-13,3.682983003882964e-13,7.83105447225279e-12,1.142048710088399
-4.899197344103723e-13,1.7229013346614314e-12,7.834284777341349e-12,1.142048694860879
6.826460720925509e-13,7.753282036879553e-13,7.834283586012807e-12,1.1420486948428015
1.670819474635016e-14,-4.875112036287768e-13,7.840532989325557e-12,1.1420486407589396
1.2344307054519125e-12,-1.914714443134201e-12,7.84053351498818e-12,1.142048640758353
-8.078907485100399e-13,2.8286295472172465e-12,7.882125085525323e-12,1.142048729712588
3.5478298995445767e-13,-1.6222104108375607e-12,7.859583437511093e-12,1.142048616347527
-5.595296493483963e-13,-3.875052411245964e-12,7.85958291740741e-12,1.1420486163463133
1.2233234139087005e-12,3.5009352592939747e-12,7.859581152189117e-12,1.1420486163360815
1.4540771964095177e-12,4.4786387511070517e-13,7.859581154001029e-12,1.1420486163421686
-1.794514041342662e-12,-7.577805447137879e-13,7.859580281931759e-12,1.1420486163470804
1.5549750438549702e-12,2.3797227633522047e-12,7.862243874369677e-12,1.1420485373853313
2.8282954404216885e-12,1.3149163315085268e-12,7.862244316036356e-12,1.1420485373863876
6.326084628202752e-13,-4.4509593271692774e-13,7.862242636897569e-12,1.1420485374056741
-1.994689938583882e-12,1.7068980826457851e-12,7.852548464058267e-12,1.1420484414775196
-5.098102889808851e-13,-5.281490082116382e-14,7.843534986686871e-12,1.1420483489321707
9.629970964353806e-13,9.681131246669305e-13,7.846440548973072e-12,1.1420482256928632
5.355145190685067e-13,-1.1481603042344846e-12,7.849591833929583e-12,1.1420481750732079
-7.495187411055377e-13,8.964895910221928e-13,7.841706260536604e-12,1.1420481854914821
-1.1623014263477143e-12,1.6276320116555612e-12,7.844276256612663e-12,1.1420482411875599
1.1890419360762968e-12,-5.477350559681233e-13,7.844276411539524e-12,1.1420482411953203
-8.075630513295202e-13,5.522219658816917e-13,7.844275703871839e-12,1.1420482411935002
-9.595727239390606e-15,-5.320171564726632e-13,7.835556137540972e-12,1.142048128033279
-1.4301524102543748e-12,-5.934567215578961e-13,7.830681903836675e-12,1.142048237610092
2.3484998044352716e-12,1.2552172862328296e-12,7.868487635709171e-12,1.1420481666447115
2.368391413834687e-13,-1.2387632568554246e-13,7.868488161628239e-12,1.1420481666446112
8.857554892705616e-14,4.647098219965637e-14,7.864818410990891e-12,1.1420482072919054
-1.6118418982992706e-12,6.535600671645508e-13,7.854449856444521e-12,1.142048250890727
-4.786403463053973e-13,1.0388864130485863e-12,7.818989382101325e-12,1.142048358728819
8.29042437123742e-14,2.2919241015774927e-13,7.818989299145917e-12,1.1420483587275922
