alpha,beta,sigma,nu
8.311043131476912e-14,-7.239611252229836e-13,8.15835780806494e-12,0.4748071708607269
9.262829744338808e-13,-2.260383738287167e-15,8.158358033113584e-12,0.47480717077426987
-5.492294689599524e-13,-3.6466993382915355e-13,8.158358254722144e-12,0.4748071707815286
-2.0587570008056698e-13,7.485015495248488e-13,8.160276018187085e-12,0.4748071460830981
-6.539018361187408e-13,3.1323441642607645e-13,8.163216931395758e-12,0.4748130507964134
1.6198789523717487e-12,2.676494104081332e-13,8.169867395224628e-12,0.4748115986693662
-1.5072838999243399e-12,6.207461333490937e-13,8.16986699342491e-12,0.4748115986926953
-1.2717195520923428e-12,7.745026156288081e-13,8.192360568221592e-12,0.47481363281724887
1.4763114641657675e-12,-1.7167965224138801e-12,8.17198493501933e-12,0.4748178729827054
6.444939859512001e-13,1.2287670644451295e-13,8.17135989069154e-12,0.4748180705082102
3.2680584753547254e-13,7.456166380938114e-13,8.164245821848826e-12,0.4748177807978052
2.017021080164729e-12,-9.12258922876041e-13,8.17777305690207e-12,0.47481421247449324
-1.2354577979455592e-13,2.518722951749413e-13,8.177772948508385e-12,0.4748142123829897
3.233386005874647e-13,9.361913583602594e-13,8.175824976907597e-12,0.47481509395039373
-7.493338918675889e-13,-2.989879940586874e-13,8.175824116877881e-12,0.474815094003844
1.7429450244892492e-12,1.2194022070302887e-12,8.192528247461992e-12,0.4748170729658463
-5.742849886164565e-13,-1.6878950052679543e-12,8.183400791229972e-12,0.4748144971046216
-7.873695263889324e-13,-1.0245831023009235e-12,8.183399941574197e-12,0.47481449699402384
3.009647803789358e-13,2.2575211892754831e-13,8.182457086181689e-12,0.4748141932354776
3.973564611117466e-13,4.831801649324832e-13,8.182431614729506e-12,0.47481530064986865
9.620953101365673e-13,9.66050010670369e-13,8.182431931274395e-12,0.4748153005504214
6.860288857878731e-14,-3.4224647067076195e-12,8.179254821785379e-12,0.47482026368027824
2.122159282573697e-12,1.327081778177434e-13,8.179255302391763e-12,0.47482026374443204
1.64040276808142e-12,5.484965190371279e-13,8.176094912007114e-12,0.4748222528192586
-3.707019978650759e-13,1.2810283708659453e-14,8.18200164127727e-12,0.4748256199548983
-4.3575769658713826e-13,-3.8151479714972504e-13,8.174210064009299e-12,0.47482115477348236
2.303169277346168e-13,5.710155881238885e-13,8.17170451782008e-12,0.4748256658885637
-2.688836158941768e-13,1.179829580989482e-12,8.169875929296857e-12,0.4748272444848675
-5.686229146905833e-13,1.0131615631451912e-12,8.17474727671122e-12,0.47482687901258536
1.233753683557917e-12,-1.3709362754930413e-12,8.177484678192921e-12,0.4748301662827669
8.973019658812825e-13,1.1543970706354436e-12,8.177484706349821e-12,0.474830166361332
-7.330771077302016e-13,6.353917518477678e-13,8.177484834957619e-12,0.4748301663797594
-1.815202273909845e-12,2.55576315523525e-12,8.17529468428501e-12,0.47482854520642775
2.2552227261610814e-12,-2.2127441929414216e-12,8.181348975419996e-12,0.47482068423639134
-5.685417157055859e-13,1.558955052085873e-12,8.193716922936912e-12,0.4748194034203733
-1.023883564734708e-12,7.88543001329175e-13,8.193716779724993e-12,0.4748194034218968
-2.201345112932355e-13,7.903613643602796e-13,8.191614384397491e-12,0.47482073115672263
-1.1981915507336679e-13,2.1460987922601033e-12,8.180634442139592e-12,0.4748233069997735
-1.5788819264246515e-13,-4.310963432541471e-13,8.16102062072156e-12,0.4748266460599824
-1.8059864037885968e-13,4.3781197153424234e-13,8.16030787363708e-12,0.4748260995511891
-1.8059864037885968e-13,4.3781197153424234e-13,8.16030787363708e-12,0.4748260995511891
-1.210790696157004e-12,7.245047274199227e-13,8.160308181598938e-12,0.474826099478517
-2.0389223187379545e-12,1.3763348914086187e-12,8.158375459278025e-12,0.4748224667026523
-1.5380929969454341e-12,1.1455479460668734e-12,8.15837540099961e-12,0.4748224667148459
-2.0476191342075582e-12,6.324128662560014e-13,8.15128945238691e-12,0.47482381477847263
-1.4089844760381889e-12,-2.188622957079596e-15,8.15129260522647e-12,0.4748238113169456
4.4401287053919094e-13,-8.325813715718299e-13,8.154537880707855e-12,0.47482731918597904
9.11184511600162e-13,-3.8425707736639505e-13,8.162791469196419e-12,0.4748262704449807
-2.7120099092720644e-13,1.0604357629767917e-12,8.163813688278617e-12,0.47482653886612036
-7.533489055900137e-13,-4.225336751318007e-13,8.172972641055657e-12,0.474827273004715
5.711366274604263e-14,2.0471913689390862e-13,8.174410480102147e-12,0.47482769123638896
-7.765589896347473e-13,-1.311116192212844e-12,8.174409947810356e-12,0.4748276909514645
-8.999252607757352e-13,-3.3729813545143e-13,8.174410056813854e-12,0.4748276909456879
-2.0297552861236762e-12,2.7665286227269036e-12,8.174410468863061e-12,0.47482769103126804
-1.22429409247343e-12,1.0653370931929903e-12,8.174410903058257e-12,0.4748276909737356
1.4049081112636175e-12,1.1528257049195468e-13,8.174410237049456e-12,0.4748276907229434
-1.8017662316356737e-13,-5.559300980111358e-13,8.164751062134636e-12,0.47482800219409943
-9.390069853796436e-14,-5.671860161293324e-13,8.168028150025796e-12,0.4748297526901878
-3.457442015461939e-13,1.8162631628853466e-14,8.162461973307105e-12,0.4748246768146588
1.0052294537823934e-12,7.676723466288954e-15,8.162462312406622e-12,0.4748246768267122
-3.2022699199956286e-13,-1.9055542068457515e-13,8.17143974237706e-12,0.47482640135294124
1.9577678427119645e-12,3.3688780269270663e-13,8.166019474154918e-12,0.4748279185724081
4.3479979309685286e-13,-1.1504532915626611e-12,8.160505625151193e-12,0.4748291186018494
2.2357630444175756e-12,2.5417158059564725e-13,8.156151922150907e-12,0.4748221470228872
-6.492458336428886e-13,-9.159003967900844e-13,8.156151919773794e-12,0.4748221471166761
1.6565085481552545e-12,-7.612829732061275e-13,8.15616635899231e-12,0.4748221578753852
1.7261211652518487e-14,5.094532526676527e-13,8.151711745789263e-12,0.4748207268419567
