alpha,beta,sigma,nu
1.7046057851910332,1.615735073906933,1.4188840469395392,5.1183626620609965
1.2172266555249716,1.869788635296884,1.302540867415443,7.686786267499488
1.8389938588825792,1.8044545160116894,1.2546531259738727,7.536439673818545
1.9795464066224853,1.4733051102388353,1.3752176049933842,7.5116345884165305
1.86797597670153,1.852029687902342,0.9866887120868947,2.796507289981693
1.6478008769878765,1.9840796003063748,0.9118483802214649,3.8444737831589366
1.5947626153961976,2.027856016017705,0.9070667337319658,3.8463863291158904
2.253548025602571,1.7626014936487486,1.1109506691424702,3.8485394757680247
1.3662777432235158,1.8826321292962334,1.4512446279714437,4.266577892095097
1.481506171378013,1.6191465370202711,1.5447192385870818,3.9312037439859835
1.7128031139102375,1.338186068835535,1.1009004611102868,8.171544656961697
1.434925169877227,1.798890477801133,1.2626349825409249,12.2289821307168
1.30154356129286,1.897505881615251,1.259124030822905,9.171588061867972
1.9264994389335437,1.2168541992005069,1.5337844421631754,13.992308929860988
2.1686835026684483,1.5546745019998611,1.3499789573606427,3.68924084888816
1.6451407864443783,1.9867923595141828,1.507705714178548,30.325937119881136
1.818377215707719,1.9564087426525676,2.012825117292666,31.07533667980453
2.0900535622139076,2.1520713658609543,1.2858200484431468,4.1109256987180895
1.9639990942858665,2.077370702504072,1.2043745232660512,3.5143327702082554
1.7117246365514345,1.2682427261486804,1.1160820844117085,8.11013974839469
1.506034823290259,1.263123580873664,1.2072238758971376,8.740889362961214
2.590577527837343,1.918565440110846,1.3299620649931096,2.3040296184881344
2.7447360830941605,1.8905642472236468,1.379612384416369,4.616581099195905
2.5496827454562094,1.885652600838736,1.4355039449171931,3.0233270967663683
1.7270872767574015,2.3202684127557758,0.9620385381168796,2.989414376582427
2.391166907151064,0.7760457970255338,2.3346335539051615,37.88846345417235
2.449020591873397,0.8523470416777059,1.6765673476257963,23.659667305149046
2.4487354028658355,0.7908143205603417,1.6253925161505254,33.826331851196855
2.2050752156989715,1.6842663272598069,1.5504057933302928,14.486518711636238
1.8415784704406288,1.418846104239974,1.1894507540737569,4.0260378260747745
2.0218246375196065,2.3027962729263054,1.2986534445463984,9.902573856853119
1.68934800140069,1.3238330027343688,1.1880268856772196,3.831947097607965
2.132953424992412,1.2955353445434867,1.1095136117945597,2.6981876708713037
1.2451720225037135,1.517097695023581,1.1900357752205806,2.329750860980129
2.3734060640542327,1.9390547841274661,0.9889938864312815,5.024461906702109
1.9271241862982063,1.84149211702078,1.0296634954247896,3.849059571685878
1.9031755746594836,1.7289430042431608,1.1147562593022693,6.958924917335473
1.919331083850078,2.0700110529583884,0.989957176559462,10.021699931034716
1.8907547774104652,1.8904089409953895,0.8472506748379439,13.392252719415941
1.866935688555512,1.6329434164152,1.5474143404787504,4.13442765133664
2.277874048504093,2.236794044177771,1.2129130492799525,4.475379399258578
1.5467461462634635,0.925493504034796,1.4678041524141159,11.360339190596255
1.8662377619769939,2.3469431120252793,1.540754063343514,19.929796667457648
1.7861279013727764,2.0510731047312594,1.4823468497167471,14.84136818230376
2.1571545710016133,1.502388889983692,1.2034984521049636,8.072529933180041
2.0382028178318974,1.6450012895602977,1.2476826667110652,5.884275173715913
1.903020182398755,1.759316679279109,1.0343017362468752,2.346000957207043
1.8446403850620068,1.587065769557039,1.3444974381939905,17.936654578405292
1.9668896428918925,1.9949812278404595,0.9452846911723118,3.676236902842777
2.3008343084306278,1.6129710764237961,1.5731570486479205,7.150393190516747
1.9350569015476324,1.7159718561766544,1.560528674009274,11.792813613039602
1.477403342221378,1.0356050604290215,1.1966697473106485,5.352522593133939
1.6845034637750385,1.2603245295920245,1.235316495087151,5.78549617816151
1.6323434272492892,2.565641842220663,2.015903952052329,18.117727357991043
1.4478178662818768,2.477146497934855,1.93594929114125,13.350204535709718
1.6025863353071588,2.630454068379119,1.946226342826554,15.65961070521585
1.9567527710324477,1.7285877645907077,1.5526128394690069,10.204043878035375
1.8929001532077383,1.6029441058024076,1.234471169950732,13.81129203594445
1.736777599605361,1.9179786534037273,1.4356491958890487,30.127490681582465
1.8673953010587323,1.2738611154294452,1.2661989350791953,3.1407662102332825
1.8945753698660277,1.9382752165191772,1.059263066244894,6.426950590138439
1.9066980344806326,1.6228727718751126,1.5356284718983013,3.046785348961102
1.686936297564994,1.8848201323344536,1.3502499513570725,12.617190847344098
2.455734387483274,1.8998546564293377,0.8102984420705853,2.645836632400884
2.152204880667049,1.7311717521676877,0.9235477575008606,2.886039764655437
1.5900821518910426,1.8328012735863308,1.6122677199277533,11.301167652045528
1.9250686260737289,1.46096181850385,1.225389284330063,15.768845566880977
2.1491883969468244,1.2540949167919107,1.746005506033562,60.72321946675775
1.5686140879736101,1.6216136822415825,1.1090215417038234,1.5597841248820856
2.0130051972534937,1.8116582129355185,0.8636600621644658,5.4343187738270675
1.9413661834628715,1.8827520767483812,0.8259807877397942,5.552295026749378
1.8755602941119507,1.8618271468057066,0.884710635310651,3.5335164522231497
1.7132828407602658,1.7977863837287704,1.3984512536197595,3.252707025902337
1.9201351286451283,1.8608359136137866,1.1513705480217244,5.995962187576273
2.067790050950658,1.7781727708630943,1.033193355765514,3.224435302551206
2.1295848040669236,2.139896760055764,0.9811720105781953,2.349362260591481
1.7990153024619078,1.404446601394264,1.1010585542345797,5.564265175448319
1.8780807053453146,1.92265394591333,1.3865807204482177,8.644242449271474
1.7822115054789716,1.983176089393986,1.4228092102938623,5.838057165614955
