alpha,beta,sigma,nu
1.4757134921125599,0.7073567397279457,1.205449764604302,2.3319152670819743
2.1732003262601345,0.9869382617505148,1.4853214037522213,5.354006105304803
2.2756515707121543,1.1552734735859091,1.4397554014192528,6.176462826345877
1.4466767733629136,0.6966537778822511,1.81172515272071,23.90776508300281
1.8463128847526673,1.2154454455442583,1.2432972959695916,2.217255207155088
2.157867836670418,0.9239389101578028,1.571698145943816,4.594391325993159
1.9939037495351037,1.0475114787787079,1.5021877366455143,5.171250440417761
1.8767234393083174,1.1233325577529065,1.2674836370441604,4.5599560932177114
1.8019434580750546,1.3717601660022096,1.5600560722592245,2.9001767786765478
1.855501589072887,1.2235001521573479,1.247136271330077,9.347872589727517
1.8406502129045321,1.2729746032533347,1.9249674382151505,7.028549221029109
2.1179310962148046,1.1734754980160977,2.1355764253464224,4.915780811953114
2.4076393590777574,0.890824104591823,1.8927321687988319,11.350508115601414
1.7015068156627962,1.1740930987866978,1.4855846073710754,11.822132679143959
1.4492789450100145,1.4716292227602579,1.4520135255883662,10.447415594718695
2.1925103745312056,1.0622951183093265,1.5169454946953613,17.348544661690322
1.5488399993919026,1.0430033345472687,1.3581459986733624,6.046210512311369
1.7943331603618426,1.751178215733865,1.6200622138328824,6.849677708488549
2.1180408496924406,0.8949172249382153,1.8351193494480136,16.171895986363175
1.790813844427804,1.1165583229967426,1.6867477353254312,11.294241524447582
1.5381744034799254,0.7882825685841391,1.5611684063725741,13.966741540865073
0.8797987874410778,0.7675734783002204,1.8920656229450838,34.37350010017153
1.136180958751819,0.9523725602917805,1.9262117723532624,5.558836117749502
1.5432544118475777,0.932913218306327,1.4876537273262198,20.067802613018493
1.3464313791517122,1.4351554408364942,1.5114028118589722,2.8991126825981466
2.2773762759406857,0.554095839056191,1.8507771531090307,35.96612402417908
2.3878970715609062,0.4425420707367218,1.818080853096892,45.59331171837173
2.3290019613078052,0.36145953968406686,1.7967181513900796,43.379404791264925
1.6067125300845722,1.5841474239881856,1.7800447298388073,3.5655775886163377
1.5619649076534483,1.0449730599512888,1.7885807866989436,12.121989956283521
1.8818137860350472,1.6225310606885461,1.7093322047061639,16.475171116726607
1.3572266496883916,0.35293590557721966,1.6206921607761786,8.231064282460856
1.8125433029300213,1.8483078511443796,2.1017687081626844,13.79048112373446
2.045987583704429,1.9256250259353316,1.9429952281286942,30.002305778122587
0.9221872352593313,1.263795180378874,1.966214667130774,5.373941918908709
0.9303199936660443,1.1262539635646338,1.698485605858675,6.6750534913418385
1.7830128317822331,0.8574983096421334,1.5243225543126808,5.223557528897497
1.8046310328943036,1.1427464624616221,2.282053365165346,7.148638096038309
1.894569283293951,1.2885462745994567,2.3752986875605,4.910525481054159
1.9548915430209242,1.135449502580612,1.8521496593254487,6.207448490165746
