alpha,beta,sigma,nu
3.124501524977622,1.8811719662363617,1.5653111006719935,7.155524956933539
2.9835079185666236,1.7004324824905772,2.2672080444105145,3.65876546978237
3.4850064673038954,1.9036135864034927,1.8922198536195902,5.587993266900492
3.5620439063569442,1.3666111293781031,2.087292565337818,8.99928473228592
3.3097410865597463,1.764743187194175,2.159492564699714,47.02328806496536
3.6543644567051103,1.529971820871496,2.32823311508449,30.474497460242517
3.772519012766447,1.3790716477426004,2.137059467063573,9.629582026819287
3.698796800087338,1.4906766531580393,2.661137752977153,24.164114518503975
3.602461351741941,0.9935515921063102,1.6449437533247566,32.41649693479298
3.363518009005705,1.3532627239032684,2.282578399602154,12.36093914387281
3.4763155183384677,2.0985538957022007,1.9021162675413585,14.689596115930573
4.328466510949802,1.2424218508842166,2.5984000766786197,4.901240373352857
3.5551217806616866,1.740684289808902,2.239644459639754,5.0202509810025155
3.3333571155016033,1.6610888133508341,2.112393614365458,6.886842167409122
3.8518484816496685,1.352087344061942,2.1706588084251424,19.828383691428087
3.4740749846087597,2.763433406004451,2.8691587612288907,20.83674461812011
3.522896688202786,2.6077528975722197,3.1089793808348167,41.2940935921007
3.078570070097226,0.3259685247438141,1.6805281626024688,6.703526016361741
2.9771114812184867,1.2801467390769594,1.9752344339343242,5.0460497414306245
2.764628561188438,1.3464643270502785,1.9750160485401185,4.424139994895789
3.1473348811216333,1.8537643818875056,2.0119246993060123,14.580474071652903
3.6995328140873642,1.9302921280323964,2.0686409013850344,7.91509350668547
4.164024974842753,1.7681208642094257,2.198675742251559,10.663130568707698
4.205687151259727,1.7508939720661196,2.264060945213717,8.009666560094386
2.378134645704777,1.8796197736462457,1.3925996163415244,3.161272594313964
2.536128706977614,2.3050006198935025,1.169894243258631,0.9931721076592015
2.549801870628516,2.1793634300423115,1.206697325207905,1.5277843438688377
2.561045406119147,2.2992923236647047,1.258199670551836,1.1316007277152476
3.6682818202118406,1.5405052850779923,2.0742959731439163,17.508702727305604
3.7697874991344413,1.290742707541688,2.027473519138871,11.901446176401333
3.337842344526717,2.615411037055623,2.170788184618947,17.938060281845
3.960294095502476,1.176823770171163,2.0075278740328453,8.91005620337179
4.3397220681519215,0.6655104942659112,1.9463004606971048,4.085149046792058
3.517332080220434,0.7605010885207792,2.206047410485298,1.5614401354719294
4.2188569056704415,0.8874871522318816,1.5955162716292692,6.440762833790254
4.121058677341128,1.4417344985813485,2.0228107230359513,6.048781571578766
3.3744149473897287,1.81978081052312,1.9426765942084183,17.09346307457007
3.3992304795212873,2.2729797699284693,1.733808494220234,23.96433895028729
3.346022389767654,2.025067471377151,1.4932699898791828,32.744087839895116
3.2939291131601625,2.003513782705123,1.6261475159906527,29.696633948066413
2.826309440004804,0.6880441028332827,3.0389586681875334,10.796921785903123
2.3472418225237224,2.553801498434875,1.9684326865232098,12.60262032641913
4.286743737454374,0.8168741786747985,1.942042478286887,3.787722928508692
4.130073440139904,1.1173298196166077,2.079820896613734,5.180432383254838
3.5754558777567174,2.207677722581599,1.9606154756292078,18.261355178442294
3.0316568941950197,1.3791398817815552,1.9803999626581952,4.405246033582806
