alpha,beta,sigma,nu
1.908564221141187,1.4125327883066299,0.6534412491469409,3.482048416946088
1.9526963664462218,1.6588232291588842,1.134643203792411,4.845002035266157
1.7833976982798114,1.4267439208522166,1.0692154054481313,5.348682802921598
2.122527442932787,1.6492330562454158,0.8301058147853715,2.165193490162606
1.9972281408393362,1.103844458174252,1.3110183124425068,10.503101815716583
1.8274367705183034,1.7692559139922341,1.3493703054854567,3.8101426158077856
2.1384751925750405,1.420486341094474,1.0119230121533143,5.995146118598718
2.2244785124884157,1.3548120794082046,1.4337243575057668,7.868644969046798
1.9819832259752173,1.5737648502867365,0.598690609112491,2.2268323571868702
2.0763450398361085,1.5985936759883392,0.6166729219397602,2.6027891682040347
2.027281373692999,1.4336508352350594,0.6306242616408617,1.8327380856820976
2.018579965358121,1.5558520444745336,1.14372570690173,2.5364174153477395
1.8498280524067474,1.5526261023221752,0.8897081050094254,5.795664873562435
1.7769613210325332,1.457653538510872,0.9282031291992895,5.432303493734296
1.8976049466442033,1.7794252712702003,0.9724395170974144,1.9859730422994628
2.1036163704833317,1.9975363814439278,1.5037727933853393,18.158326338815677
2.137723081004216,2.0085080985890715,1.8656485718129452,36.699129843465904
1.8938533157279231,0.8590762552553067,1.1768723945821866,1.4558815828503662
1.7823469700076324,1.3767911788502891,0.9634922005791945,7.0260818330050805
2.1861014364469304,1.6079253225130836,1.1550894695308536,6.6270769915208065
2.3171729077418095,1.7444871594691298,1.1508344447737235,4.808696246744375
1.6269661871436067,1.416248942861715,1.0622231722371365,15.540934593244426
1.4932430183877308,1.4265992574669069,1.1845424018352548,8.281611903551516
1.5823148540919625,1.4214970488371899,1.2581070176181899,5.896220441131407
2.2565625639600664,0.9502222522119405,1.3294413477903975,30.463521352870224
1.723544812854919,1.6045613095594333,0.9781526464788397,2.0790817776807318
2.1666642338006894,1.327334542342006,0.8842960506953947,7.817448656122416
1.9506445050594925,1.7755463365726067,1.0140006870510263,1.8256502626378772
2.056086887426815,1.775474660154447,0.8832299452104481,2.3510238135365324
2.011383942011148,1.235293095682416,1.2136530143988586,5.8650225908578735
2.0573074838552365,1.676795119716234,1.1303672990326084,8.922195421183867
2.3604461801938137,1.5171409054678464,1.0098776218935985,4.3846601009338455
1.9894527528469237,0.9794148626604523,0.9865731937440643,5.336973439637457
2.5110687044605515,2.048024365654512,1.8869322521270564,17.223447985526583
1.9658395393323302,2.1209328441953876,1.8185003966177176,7.923968769829727
1.9203037159917002,1.2647850225361472,0.7749953276419881,4.170440808167067
1.939776624155696,1.471092303789639,0.8750705951277782,4.318204538637164
1.9589276470547679,1.1179224164034804,1.1924847914526857,2.1679308196935234
2.0582581010428354,1.5015317319199104,1.4858327576427846,4.370006343735615
2.009161797035059,1.5404301688302156,1.1914427585948446,6.856010406251801
1.878803494947632,1.3306376830535842,1.2507349185185874,7.882342231229025
1.522744004733074,1.5839535305305332,1.220092525076369,6.779587492430325
2.425258403247939,1.484578635375422,0.780096462669064,4.2946978339424895
2.4111574608076065,1.467196179689945,0.8329945325152313,3.726732775784191
2.100685320581815,1.409786448506887,1.0468073776495315,2.6193952649398415
2.1390448609866457,1.3626948399283825,0.9892812207399206,3.838934411670768
2.1368648366156897,1.3766034091233152,0.9345383034437165,2.3304888079354
2.08542086329904,1.6947786969170249,0.8609937209054024,2.5477729601103127
2.1539517848359373,1.5145199183343656,0.6417477218693791,1.6561947803170942
2.0971233002913228,1.481148497678919,1.3666553441159957,18.64312378326753
1.8915580544726918,1.3399221713215623,0.9986068191875188,4.595704382923233
1.9520488966642953,1.4273145131394005,1.081079867763722,4.222239109257654
1.9121985484310726,1.5295995986357134,1.0464791884120883,4.432852616034789
2.0677750434391298,1.2162845557860151,0.9258454447832271,3.543579101845735
1.8610845510008034,1.7954683096508368,0.993724676287625,4.312748438200237
2.0721671116673597,1.9255521840607137,1.081175083048591,5.127110419425927
2.1807161540884668,1.5719805332419137,1.1330204351964603,4.990947318201533
2.076862538927341,1.3717450767318136,1.0284816695332764,3.9887394853800675
1.9627079487643082,1.733968007785088,1.2631164711849232,15.98856833441487
2.0458304363594273,1.705100455001343,1.3172080040704315,14.890553248875333
2.303923522842858,1.1512675912836217,0.9144917439356784,2.9094136494861527
1.568934930603252,1.724453014073264,1.050118253946724,10.014921291717467
1.6974956803119954,1.6798621176125963,1.4862657909123596,3.551450947339874
1.4402041341423304,1.3999452571263469,1.313264488445955,57.73146253598882
1.4607996638278697,1.4770027656156077,1.3662630657934456,38.92513936661975
2.2955780078786616,0.8671406083378117,1.2618155721185071,5.9888640384750165
2.2505094173250173,1.1322657187690472,1.170139780288625,5.615159473605308
2.135763240864482,1.2716409440350442,0.9718924027955314,2.425492090757903
2.107860009823672,1.550521298760096,0.846167067391016,12.911460022577538
2.0887285957282136,1.3653489151265135,1.3151166776955252,9.120035372452303
2.178924888996856,1.3197642365710336,0.9374181056139197,6.541296574146183
1.9331256947511168,1.614546074517895,0.9482788572941266,2.2779359841544116
2.0101936671981497,1.2608622611561349,0.733175269816509,4.211720642538157
1.9606629900118415,1.3672508251992466,0.9927897462672648,2.6746525794768763
2.074175327872485,1.5122794109386697,1.0971075065165568,11.9746146585659
1.965890115406459,1.053916021891683,1.26545248143513,9.262314807904941
2.0932810477145543,0.9294254745737206,1.252950680935984,11.112966813461414
2.040459738746446,1.6085322197697742,1.0053835870552186,8.836631386484305
2.1528400817521365,1.2713864117828295,1.0385990305945991,5.474862138646034
2.1206030974143366,1.3007610293676073,1.077222405349453,4.820794506637631
1.9439398283491416,1.0512458563608371,1.4069492978658216,8.331947392461583
1.9903979374126137,1.0450510405014874,1.2373502350742012,5.264988380589527
2.0428856082433517,1.7481482921118323,0.797892840925171,6.14523693099297
1.724369445800172,1.2962925573766881,0.9336510297944218,2.8091073464188008
1.7617557240809418,1.1949339534289343,0.9705506671495883,0.9307296579854265
