alpha,beta,sigma,nu
3.7823976696751096,2.3416418896812377,1.424369784054237,22.635225163412823
3.8758294093746155,1.6432903842572304,1.8952819391903089,9.578580337024166
3.5418389337535725,2.472842212386801,1.3391796242694478,21.505561900878536
3.496899119731671,2.475185618825399,1.4165396204658274,17.218673759466867
3.737030184071254,1.925897501278374,1.7154858893762996,26.24700520561963
3.3460281804899914,2.262306723701305,1.31996754192936,11.471063993197404
3.7144665383693427,2.1267754478073466,1.7191294625847315,13.805727065093667
3.818462231211574,2.0481807465030863,1.9882502057700342,17.098846775935467
3.650967650332889,2.5417755852756607,2.2978322715315165,7.034984637441942
3.521691136604399,2.288447837998892,2.06375853866992,6.195964863136378
3.817024264627258,2.1483862486731917,1.5165888675699648,25.92081162897841
4.407104712967399,1.911785289115011,1.9872239117337143,6.229841563131412
3.6798691712476206,2.2091004422503007,1.6431236742522526,6.3451687283145946
3.996314291141065,2.2243578240416597,1.5515375479963611,9.72370352796254
4.048113050545588,1.5792745305748026,1.7407319387448073,13.942031157726502
3.2897942509069886,2.8986657691039155,1.7772942218825698,7.910248425471564
3.8067224540810005,2.4457009103067757,1.9649403599835287,48.42641616956735
3.6403495344369494,2.1870805244831826,1.4789985410426036,3.9031405293809107
3.360884102805002,2.0267359603902455,1.345413458121875,14.48222881677926
3.6072728366334426,2.005064959714576,1.7220387862947568,7.585873077443434
3.9169174753436367,2.327471224390964,1.6536194939770406,8.525259371107161
4.657221437731624,2.302337500427773,1.6508607803257374,4.249117160437354
3.3999867419009417,1.917896000475858,1.740522901601417,43.76978928042124
3.716113144530253,1.9862076181944424,1.7074582464874717,12.750130657701662
4.064443631896058,1.5878317236442654,1.788152469893564,34.225394939821484
4.521040898317841,1.3230626115893938,2.084672660564542,61.50393964062515
4.258300578204739,1.4698730369498345,1.8539803795398575,13.337120440816017
3.266292035089882,2.3578460180413034,1.4989211691521391,19.73394612496206
3.8878893070301705,1.79198949715138,1.8308667664955935,10.99145171653698
3.931442442189683,1.6152219597407869,1.445159199751668,6.923135157101543
3.7494104165249205,1.2957671692601838,1.549147943565916,6.2441050863789185
3.221040464459734,2.440383578247338,1.7161684966093078,23.54097574092994
3.0548865263054172,2.8725146136367696,1.9006446469694744,31.541583793624103
4.415732139267676,2.121252524969906,1.4885863588379737,12.419908224180679
3.966074629004482,2.274001909038161,1.8470423284563928,9.834534021357966
3.591784174225854,2.171949204491003,1.5314311288860105,12.683126523720855
3.597545649981514,2.156532889334025,1.4388950642569394,25.065766748880687
3.631114237276643,2.4930703493162256,1.2667345552560396,35.13751784916119
3.7370377620637467,2.427898127507632,2.136203742820698,9.512990734026058
3.784986519416078,2.352950124874431,1.9979924991505797,9.183839418247189
3.243012772853035,1.666872241466696,1.8572885828684444,16.34696271990407
4.359470099485083,2.1433769197580164,1.6616381620897624,13.239022835344398
3.4844263740318455,2.695856290594896,1.6524332046841963,45.122629134425246
3.4571577203922286,2.664271358089837,1.6258529213823603,37.60965943768154
3.2869616953223697,2.505634286852769,1.7626306932156364,26.171420597734034
3.4739580297897397,2.355213280902776,1.587101727042525,8.063108938446797
3.6469146897771703,2.123657592429567,1.5943085626605134,45.4312562913067
3.791357951057026,2.0893369949967946,1.4192867877294755,7.1451784573250885
3.4288371618064892,2.2270572016775487,1.6275398885478205,35.250846203303524
3.572452472280083,2.0731032346511924,1.4202778449088125,5.588794998802176
3.7934622674697125,2.0649593752747237,1.4512569292601327,14.263014873194713
3.6440327715251217,1.7227909264759564,1.4078544585410233,10.99170685053194
3.7851149221031695,1.8377015443722189,1.4676849370724752,12.636799788706318
3.474458108749502,2.375493075030033,1.6260378256686934,16.43773312843051
3.2998227253734886,2.460400066622926,1.6950656047515105,13.803621689673877
3.7465585635563428,2.709445369437504,1.708904273789837,19.875983440790726
3.7950072731253193,2.7218888766745275,1.8610852000063332,18.46153749773299
3.9809197680700725,2.3679796719023964,1.6350710599940552,25.08021931185217
3.4826700262285164,2.5096311876191213,1.6656943134037994,34.06781644819409
3.763539344210436,1.7185186564569153,1.3782375262034854,6.345765819936446
3.9212481611469263,1.5856402861857535,1.3025146869084794,5.790659373537096
4.223650635594719,1.9634099395688325,1.2511727054789632,17.451906885701714
3.9793267408892867,2.102075584699271,1.4476432770785495,13.43215485192464
3.6131744171978077,2.0251863843067173,1.5399153081117265,36.93255975400402
3.6749011650159558,2.2906715737216525,1.4796180452097074,5.519936724496603
3.3062012202677837,2.4778164140225503,1.4124426254431108,7.4898802311912105
3.565287557708716,2.114379562854199,1.361929781191469,6.605608244848785
3.781348331271104,1.936443093261878,1.6150943900041252,18.699181837734052
3.7614950937741765,2.098874922162706,1.476332136156775,45.45814458906716
3.638129039539272,1.8474413263811034,1.7881324484098038,14.670971087863478
3.5269807525781625,2.100784987160283,1.3654019203996168,19.811612985465363
3.459399820904348,2.1318641063047874,1.5098547870189372,9.723028213127384
3.899619072714266,2.0112939966364087,1.811699027567288,22.564220693711313
3.66257094414883,1.90304887366932,1.7749497162674206,15.981245327641693
3.5653710486674863,1.7478536257387391,1.8661872964422792,17.32818532685294
