alpha,beta,sigma,nu
5.605667771888155e-13,-5.471720589144744e-13,3.965302821999544e-12,14.011885583332974
-7.61847752850115e-13,6.687387648429948e-13,3.96530278158798e-12,14.011885583594246
-4.852795545403051e-13,-6.100231631185412e-13,3.965302861174781e-12,14.011885583638115
-3.842642599025358e-13,6.149706196094764e-13,3.965291254069594e-12,14.011885586135339
2.987372956922093e-14,-2.9128225916901823e-14,3.964880959371939e-12,14.011872490571287
1.6400776642190668e-13,7.397522969360993e-15,3.966677513644027e-12,14.011865899650573
-5.508161350675533e-13,5.085801074961328e-13,3.96667747760761e-12,14.011865899685825
5.19384040066457e-13,-7.447802799900183e-13,3.964532074827266e-12,14.011862658499915
-1.3358257886611258e-13,1.1267798413794311e-12,3.961128464429608e-12,14.011874659754113
4.998998269247021e-13,-1.0087080430953495e-12,3.962474094056309e-12,14.01186743106913
-2.8109188297502826e-13,-4.909351895583964e-13,3.962477181559146e-12,14.0118674332271
-1.6875269981599679e-12,3.240293852014815e-13,3.963852165034678e-12,14.011861349649424
1.802759404512092e-12,-7.959073005298621e-13,3.963852203855591e-12,14.011861350202444
-1.5689742542513949e-12,6.528454944713346e-14,3.9638521375481376e-12,14.011861350715067
1.6742672737990044e-12,-2.1315136819550882e-13,3.9638522915935654e-12,14.011861350553556
1.0635472506584663e-13,5.360799034765338e-13,3.967036051638598e-12,14.011867704533442
8.373273919222564e-14,7.82496646986949e-13,3.970039539986139e-12,14.011882091361851
8.373273919222564e-14,7.82496646986949e-13,3.970039539986139e-12,14.011882091361851
7.537853088505214e-13,9.810202045957675e-14,3.970614783085174e-12,14.011885244151738
-4.320221541376281e-13,-1.0235676193762091e-12,3.970612406051853e-12,14.011889272638605
4.623142220454551e-13,1.9983403179971107e-13,3.970612434426608e-12,14.011889272488348
7.121765974007264e-13,1.3904109055635617e-12,3.970855507405933e-12,14.011882654253917
9.7815876779952e-13,-6.962351825030142e-13,3.9708555936066506e-12,14.011882654447772
1.712799557401802e-14,-1.126443230599636e-12,3.9701605537996e-12,14.011890079719734
7.892774629868933e-14,-8.101511347539417e-14,3.968530702255086e-12,14.011874707339224
-6.353855684674631e-13,4.527728884341486e-14,3.967156365153267e-12,14.011861385842
-6.324783308845598e-14,-1.1245962659466027e-12,3.9669479674127264e-12,14.011868156333803
5.82868719221022e-13,9.943984669855353e-13,3.966771866740684e-12,14.011870741211249
7.112081536627415e-13,7.255842301348057e-14,3.96827269748582e-12,14.011868847194126
2.7240329222002935e-13,-1.2089904995336256e-12,3.9686745240581306e-12,14.011876755095626
-2.6777040117937044e-13,-1.0884939889908077e-12,3.9686745139610236e-12,14.011876754620822
1.1439410811014957e-12,5.075708613763773e-13,3.968674467842519e-12,14.011876754509451
1.162109663932938e-12,6.602334935451202e-14,3.968015894075051e-12,14.011868525292238
-6.637081300856358e-13,1.4377296012963396e-12,3.967243669363164e-12,14.011885021412173
-1.4568519171618584e-12,1.2106100488114378e-12,3.9691770933754984e-12,14.011881647816049
1.5070202119872004e-12,-1.2050354837162106e-12,3.9691771702654074e-12,14.011881647802236
-4.761825447791726e-13,3.720157542844327e-13,3.969177222104777e-12,14.011881647237578
-2.9271998201296666e-13,1.5842415255955391e-12,3.971367149899638e-12,14.011872911539744
-3.4554439988433444e-13,1.3425741873084905e-12,3.974175812250214e-12,14.011864821376552
-4.1282471645373526e-13,9.247572492048438e-13,3.9741758203969535e-12,14.01186482148914
1.3974393842247018e-12,1.2127873088747232e-12,3.974175720133436e-12,14.011864821120195
-1.1160528346702063e-12,-1.3666099957753238e-12,3.9741756647230235e-12,14.0118648213398
-1.0158798469952638e-12,-4.632267230891661e-13,3.973682234005142e-12,14.011849066653522
6.945292060610058e-13,1.312699402785357e-15,3.973682254978859e-12,14.011849066579835
-4.865362141693241e-13,8.046930250914559e-13,3.974590868127833e-12,14.011846123291878
-4.911522500654098e-13,6.706759204775663e-13,3.974872002061572e-12,14.01184086126466
-4.859818212291323e-13,5.885386746945093e-13,3.974526103008336e-12,14.011834746977295
-5.322861396407022e-13,6.799886848887479e-13,3.9759808454505336e-12,14.01183166743457
-3.710274907150959e-13,5.47527601269883e-13,3.976892801200032e-12,14.011835692220275
-1.3758035732184286e-12,-3.1968381475930883e-13,3.975612016156107e-12,14.011833984006268
1.1518704090749592e-12,3.5567176435727896e-13,3.975612411661215e-12,14.01183398593057
-1.0518313953262966e-12,-1.8469156413601957e-12,3.975612347900099e-12,14.011833985356581
1.0815499043420658e-13,1.1201983562634064e-12,3.9756123870714974e-12,14.011833985321674
-4.195323579703108e-13,-5.742127356673828e-13,3.975612609181836e-12,14.011833986097477
8.073294748869158e-13,-3.604512902792789e-13,3.975615183635499e-12,14.011833980360613
-7.232531973864799e-13,4.931344877499423e-13,3.975615273386063e-12,14.011833980928984
-7.057391676169353e-13,-3.242915040536665e-13,3.97747733363075e-12,14.011832954830101
6.194168427539694e-13,-1.608263027755663e-13,3.977247867094114e-12,14.01183095489413
-6.112426980437734e-13,-8.930131174012445e-13,3.976975600073464e-12,14.011826700188402
5.424769124865176e-13,8.849263418144823e-13,3.9769755085140765e-12,14.011826700133762
-8.827651832809256e-13,4.1514308171184804e-13,3.975632974214372e-12,14.011822461381524
-5.345479583048063e-13,4.607705586275465e-13,3.977141538801266e-12,14.01181533151474
5.05174819500269e-13,-5.967623485543796e-13,3.97851574291539e-12,14.011810231888516
-6.48080143967699e-13,5.0631314218814047e-14,3.979122042374401e-12,14.011826921750435
3.3598461790543005e-13,4.760652814633343e-13,3.979122025560431e-12,14.011826932803427
3.098703720510986e-13,-2.788860128539333e-13,3.978843715820729e-12,14.011823483266882
4.776919560888805e-13,-4.048090639047066e-13,3.9791180614787226e-12,14.011824991255372
4.066353287466559e-13,-8.118700627799847e-13,3.979367072278615e-12,14.011827021084446
-1.9813929273415677e-13,9.938414959269104e-13,3.978507734020942e-12,14.011840309803384
6.315650068337206e-13,-6.540403915641627e-13,3.978987478006568e-12,14.011841621592492
1.68204714907136e-13,-1.705202683578443e-13,3.9782041289244576e-12,14.011843282672794
2.6742617256734064e-13,-2.1707917668677833e-13,3.9783621277193054e-12,14.011835912685292
3.242082575482556e-13,-4.656850793376388e-13,3.980076696337846e-12,14.011830392993751
9.318724360056137e-14,-1.7763897035497914e-13,3.980885633903675e-12,14.011828769226492
8.948354832355945e-14,9.845577291547098e-14,3.9814997341131015e-12,14.01182920286693
-2.6229141022090597e-13,-9.344013668432806e-13,3.981165509400728e-12,14.011825005117709
2.95795623276473e-13,7.824192809033872e-13,3.981165411723464e-12,14.01182500534172
-2.9606300504310796e-13,-1.5424468440219663e-13,3.981691784893554e-12,14.011823708411194
-5.987662870096545e-13,-4.0524390107777396e-13,3.9811015980469036e-12,14.011826027195728
2.349706573122968e-13,-9.070249687158847e-14,3.981101622440073e-12,14.01182602706717
1.9296484270433242e-13,-3.28905120886525e-14,3.979474841321304e-12,14.011824771798791
-3.947503084951497e-13,-1.8506770161977743e-13,3.9801804329468586e-12,14.011830674250595
-1.2407994296815981e-12,7.495937398884469e-13,3.982298202756041e-12,14.011827861361013
6.234400623116186e-13,4.3044874290963653e-13,3.982298181904741e-12,14.011827861719436
8.128915712200353e-13,-4.718623376640437e-13,3.982705874932721e-12,14.011806690633978
-3.4168127054884105e-13,-6.288263370648319e-13,3.982433722642398e-12,14.011801425106098
1.0625848660315298e-12,6.266545918588723e-13,3.9824923405578905e-12,14.011803022131302
-1.2158933796128168e-12,-5.034342066138764e-13,3.982492245303034e-12,14.011803021978919
-3.846228289214302e-13,-1.0321477358999658e-12,3.9819223987566145e-12,14.011811899097783
-1.056187518781013e-13,4.60358937840643e-13,3.981922373215651e-12,14.011811899062888
-4.2280989249861607e-13,2.5175502610465935e-13,3.981708467229895e-12,14.01181316339187
-1.594588394119513e-13,-5.346083197488637e-13,3.983201170224015e-12,14.011820220674998
-6.255379937887233e-13,-4.78569907099367e-13,3.983855013511036e-12,14.011815190701753
3.5543655092098764e-13,-3.802605455779151e-13,3.983496833903328e-12,14.011813293982373
-3.4292627757351636e-13,4.657844416454205e-13,3.9873823185020125e-12,14.011798806379167
1.8061972257131435e-13,-3.2895518019630825e-13,3.98870375530708e-12,14.011804049772003
-9.098096112786403e-13,7.64827626046342e-13,3.9882833761688934e-12,14.011810511525795
9.64231512587416e-13,-1.661786628449192e-14,3.989331147960828e-12,14.01181360496323
-8.933998408504188e-13,5.104518913389368e-13,3.990294008362238e-12,14.01181732248361
1.3165244547669866e-12,-9.381753267616383e-13,3.990912541251014e-12,14.011811993991104
3.9929748771232136e-13,-9.707536915767429e-13,3.990912758513551e-12,14.011811988880806
1.1037649875902085e-12,1.4314151019030617e-12,3.99091284428568e-12,14.01181198873653
1.6946755870052437e-13,-9.830614117299434e-14,3.9924597504231105e-12,14.011816093750465
-2.358290714249552e-13,-5.814520746985227e-14,3.992459658940238e-12,14.011816093870758
-5.541626920189564e-13,-3.562208712617983e-13,3.992385171202563e-12,14.011812861470709
-9.980224714452535e-14,-1.3223566033404222e-12,3.992164894222067e-12,14.011821335783148
-4.0408898097550424e-13,9.970326921353941e-13,3.993886443531793e-12,14.011810601302642
-8.287870886166173e-13,8.108621166084446e-13,3.994337066446469e-12,14.01180495664563
4.2161325741872827e-13,-1.141332590808807e-12,3.9943370610557625e-12,14.011804956486632
1.3051638146600584e-12,-8.414842398106632e-13,3.994479388787737e-12,14.011807153462737
-1.186606645135545e-12,5.764154526824538e-13,3.994481983436426e-12,14.01180716109089
8.866442505838732e-13,7.005188885288769e-13,3.9954960670815376e-12,14.011813815353555
-9.660643624205688e-13,-8.053482537867809e-13,3.9958660906517554e-12,14.011816424172038
-3.613669497298437e-13,-1.4275591783544282e-12,3.9958660863822005e-12,14.011816424123676
1.2010377751511941e-13,-9.313414956119298e-13,3.994065013797663e-12,14.011829976139024
2.1986057337756084e-12,-7.867574994760624e-13,3.994065070900516e-12,14.011829976242542
1.8961633253853965e-12,-8.5486615176022e-13,3.993703078384121e-12,14.011843069552647
1.8392976124855305e-13,1.8987912739101723e-12,3.9915992228267974e-12,14.011831334211767
-1.2150724294933357e-13,-1.002611745369569e-12,3.99140984212779e-12,14.011816626606159
4.03154702110891e-15,1.1362004845578719e-13,3.991409816387828e-12,14.011816626625
-4.65384889460215e-14,5.58973049323919e-13,3.990952676990077e-12,14.011810965523745
-8.031698937479809e-13,-4.581677413730275e-13,3.989230908672051e-12,14.01180631849812
-6.671159839811324e-13,-8.057020193292227e-13,3.988188644487384e-12,14.011800059870499
-2.5536485148809066e-13,5.291831717492112e-13,3.985168288640411e-12,14.011786139129693
1.9878404404666585e-13,-5.784426224343836e-13,3.986490377041385e-12,14.011787399919369
-7.70818440328036e-14,-5.105183905843404e-14,3.986210426746414e-12,14.01178621816453
1.2220258506831104e-14,-4.3900476852580353e-14,3.985828267755891e-12,14.011776686413638
2.2508434111194086e-14,-4.630287998207079e-13,3.9851334253185194e-12,14.01178994450806
1.66688716567712e-13,1.9406193638174642e-13,3.986332335501359e-12,14.011787698472013
2.069828228937322e-13,-2.146892012512786e-13,3.98626261248122e-12,14.011794199172684
4.1767752708956307e-13,5.248651952501292e-13,3.98482522563339e-12,14.011798936144515
8.500390389499409e-13,5.245524534261999e-13,3.983961109354372e-12,14.011799049571971
-7.591794633977145e-13,6.82694978693003e-13,3.983124992532714e-12,14.011789737153988
-3.2377379621036276e-13,9.97818279836956e-13,3.983121067313008e-12,14.011789731691318
8.999643198706536e-14,-1.0734685036669874e-13,3.984416286061452e-12,14.01178847059169
9.349783355509051e-14,-8.21279987126385e-13,3.985519998719433e-12,14.01178163791245
-2.1246610626469142e-13,1.1176488793745424e-12,3.98639803611521e-12,14.01177797376237
-3.7063245732348597e-13,-1.015760120810781e-12,3.985408461062202e-12,14.011763601488925
-2.8972395207065427e-13,-1.6603505620419415e-12,3.983928842983009e-12,14.01175840823406
-1.6584526525816397e-13,-5.531336847770573e-14,3.983928878588374e-12,14.011758408432819
-3.2963160176516364e-13,-5.780709391356724e-13,3.98351744839304e-12,14.011761497341578
-2.2141290918235833e-13,-6.724800085585344e-14,3.9835314504803885e-12,14.011751840550646
-1.799490080759007e-13,1.4986027663754807e-13,3.984746419107619e-12,14.0117484169981
4.381996414082824e-13,-5.762203098803125e-13,3.98468588536603e-12,14.01174365299441
7.247966745474652e-13,9.307162938221848e-13,3.98555493224978e-12,14.01175313505678
-1.0593522813964795e-12,-1.4693223531980192e-12,3.986861232725778e-12,14.011759547958706
4.216051503457938e-13,6.583356265760439e-13,3.983737207621179e-12,14.011765953975674
6.602589971970241e-13,3.658670146754534e-13,3.9826209034502806e-12,14.01176525809083
-6.30956243691964e-13,-3.0265894459314407e-13,3.9826208443575905e-12,14.011765257679025
-3.859382130698463e-14,6.319404110324092e-14,3.982355025710707e-12,14.011752300900445
-7.14087167876317e-14,6.299765825021329e-13,3.9823374524596045e-12,14.011742622162368
4.859107505841014e-13,-3.617207682943908e-13,3.981399004730413e-12,14.01175295390059
-4.643043857322954e-13,1.579225661899983e-13,3.981808972221259e-12,14.011750724289579
5.380057828527724e-13,9.164709030755877e-13,3.981322106340748e-12,14.011742552895095
2.5035717627954626e-13,-1.2687764840294124e-12,3.982526946582398e-12,14.011743053279991
-8.099871521843321e-13,-2.70482088163426e-13,3.981226221176878e-12,14.011748365915418
-8.835018661982087e-13,4.416468852892332e-13,3.9802185441219485e-12,14.01175177629704
-7.558769041897718e-13,3.459117297794426e-13,3.97909218925305e-12,14.011757840898984
9.783010814359997e-13,-9.42531341492809e-13,3.980346553780658e-12,14.011756972759072
-4.080136641018676e-13,1.3458013552577548e-12,3.981480332156623e-12,14.011749351273357
-5.501767276854986e-13,9.682479855676418e-13,3.981489285850283e-12,14.011749402311043
-1.6892251741218978e-12,-1.0575916121184832e-12,3.981483083728426e-12,14.011749387296392
1.7425121783898333e-12,9.878034715824929e-13,3.981482895725705e-12,14.011749387603528
-1.7395627999596308e-12,-2.3290648727046636e-12,3.981482910848693e-12,14.011749386775342
-1.0531276255597137e-12,-6.197084542973282e-13,3.9814829623882884e-12,14.01174938678923
5.808995935550749e-13,-5.48556461678428e-13,3.982368525829591e-12,14.011749615250034
-8.455298446736613e-13,3.714435118428243e-13,3.982320780442621e-12,14.0117534764296
5.209484538598691e-13,5.857396635740763e-13,3.985758475200783e-12,14.011746990410652
-2.6095908296349303e-13,1.0721457019292274e-13,3.985565455239175e-12,14.011739134993384
3.0132527595783727e-13,-2.1841006518669395e-13,3.98556552016617e-12,14.011739135213118
-5.616198515587784e-13,-7.453250555314539e-13,3.9855654884011504e-12,14.011739135304612
-5.537449120150574e-13,1.5876379045885127e-12,3.9855655170643885e-12,14.0117391353272
-5.1909108218040106e-14,1.9814029818080924e-12,3.985567070603893e-12,14.011739130994748
9.636328884936772e-13,1.6713457764127063e-14,3.985571001026204e-12,14.011739073689755
8.385084662955708e-13,2.4760518554948463e-13,3.983200935280158e-12,14.011750257203172
-7.791274979367936e-13,-9.621769628853764e-13,3.983122275074377e-12,14.01175205475145
-8.967338629901833e-13,2.3014434595676677e-13,3.9824859237205665e-12,14.011744402841995
1.1688438396516877e-12,1.9592415068419662e-13,3.980792091302836e-12,14.011745583800122
1.4255355614881924e-12,-1.3511346580635517e-12,3.98079208100854e-12,14.011745583871706
-1.110485787675275e-12,8.398851087768665e-14,3.980792033686277e-12,14.011745583568704
1.7297805119649196e-12,7.099909103192292e-13,3.980471646997309e-12,14.011746240457327
-9.6371065693477e-13,4.051696982676468e-13,3.980471627403587e-12,14.011746239979006
9.719158154384842e-13,-1.4338480691523988e-12,3.980470549416284e-12,14.011746237183065
3.2308226764167196e-13,-1.036636869764188e-12,3.9840075432488284e-12,14.011742589232584
2.791472972552923e-13,-1.2167445137449984e-12,3.985325166513384e-12,14.011743878315757
-4.127123959523552e-13,1.3677150265188162e-12,3.9898447866306706e-12,14.011760639105493
2.4605049201036983e-13,-4.89333540417696e-13,3.989153970321279e-12,14.01176965941077
-4.694561790130772e-13,-2.609210587832822e-14,3.989528204523732e-12,14.01175919287792
3.4907864272647657e-13,1.8371585366936118e-13,3.987575127827029e-12,14.011749070841713
3.7760046860009714e-13,-1.0401171543249846e-13,3.987971452948863e-12,14.011750996013392
-3.916820193508138e-13,-9.431212004075704e-13,3.9871260011754995e-12,14.011750426961402
4.806063148694498e-13,1.0598394363371734e-12,3.987126097425474e-12,14.011750426752421
-8.514984228492361e-13,-8.924899649435995e-13,3.986249699076092e-12,14.011756736594997
-7.683844845655824e-14,5.638298659127679e-13,3.9876139238261415e-12,14.01175774201266
-3.8520757764783386e-14,5.867100543458368e-13,3.989240038085446e-12,14.011756849074132
-5.514263111822937e-13,6.974341174857259e-13,3.989240033223129e-12,14.011756848935583
7.455145045971754e-14,-4.877575227353862e-13,3.9891504519414725e-12,14.01178046476273
1.0974994263908965e-13,2.2230222289661323e-13,3.989468325637801e-12,14.011779909622
2.746056783737321e-13,-3.7006184262486755e-13,3.9882364486425655e-12,14.011789707342992
1.2404415856026877e-13,1.935841648443372e-12,3.9882364719385435e-12,14.01178970702053
-7.186318284662699e-13,-1.6014630116614235e-12,3.9896773137615365e-12,14.011795113984968
-2.062646309710789e-13,1.1620820593397898e-13,3.98967725302639e-12,14.011795114189589
3.722489735188433e-13,2.80560050744352e-13,3.989677277358881e-12,14.011795114224247
-4.160115622376893e-14,9.28304972880487e-13,3.989677210193674e-12,14.011795114290443
5.333684821279167e-13,-1.2393630179425924e-12,3.986491842393112e-12,14.011797877381392
7.575103800432826e-13,-1.007305179538406e-12,3.984291706087374e-12,14.011791021694883
5.380221059558776e-13,-2.3256282851184528e-12,3.984079098724212e-12,14.011784210929102
2.107713017428178e-12,-1.407594127248045e-12,3.9818064303514784e-12,14.011802750144438
9.42021193026631e-13,-2.3466540116876523e-12,3.981804913873572e-12,14.01180274722609
4.250469135762853e-14,3.316089315819818e-13,3.981804875534421e-12,14.011802747406591
3.03052201176795e-13,-2.0667510241220068e-12,3.981804209196383e-12,14.01180274695673
-1.1083892916099065e-12,-2.8396066376353627e-13,3.981800711154828e-12,14.01180270183232
-1.3098822667212371e-12,-5.15908595664624e-13,3.98094567659241e-12,14.011807032265361
2.5361240125004715e-13,-9.55726987957534e-13,3.9809434125560045e-12,14.011807043731167
4.865206697129165e-13,-2.785887096837188e-14,3.981461069752025e-12,14.011798666150757
2.637335086837123e-13,6.045084518098497e-13,3.981686530798781e-12,14.01180158516328
-6.468936891336728e-13,6.670031089791252e-13,3.981692169282939e-12,14.011807222699426
-1.6460383287116868e-12,-3.44637275446739e-14,3.981692143715176e-12,14.01180722274862
1.1474948587214268e-14,-5.725542933507411e-13,3.98362182611734e-12,14.011806998128545
-4.468910161511825e-13,3.859307004662017e-13,3.983621830887567e-12,14.01180699814522
2.979588706318047e-13,-1.5072833759930727e-13,3.9836218453242224e-12,14.011806998128083
3.68327091872662e-13,1.252572382319835e-13,3.983621879967547e-12,14.011806998224085
4.361109474680067e-14,-1.9485819489975097e-13,3.984137352957926e-12,14.011803508859957
3.6188649278671216e-14,-1.3117587597319986e-12,3.984322680555147e-12,14.01180330821929
1.2723628477717153e-12,-1.4141452316317795e-12,3.984318770066013e-12,14.011803285722051
-1.5426857471383215e-13,-8.565327968859917e-13,3.9843186960746425e-12,14.01180328498308
-3.7764547336818447e-13,4.544601489659643e-13,3.9835415693975626e-12,14.011809703542967
-4.0322902976284133e-13,2.1915361549922836e-13,3.984950209985264e-12,14.011814174928137
9.59360960274857e-13,6.030718135546179e-13,3.983165670990015e-12,14.01181929165752
-9.838108153434985e-14,9.546867953747687e-15,3.983877890271729e-12,14.011808068759727
2.3759725058328404e-14,4.045151001646634e-13,3.9834618177206784e-12,14.011812688248225
8.475543488780046e-14,2.47232454325962e-13,3.983879562448133e-12,14.01181418617109
1.3000831173993912e-12,-8.727248579956148e-13,3.982677658028272e-12,14.011806891163372
-5.546914140444896e-13,1.6922724332263348e-13,3.9837285496760635e-12,14.01180584820596
-5.546914140444896e-13,1.6922724332263348e-13,3.9837285496760635e-12,14.01180584820596
-4.853385480906585e-13,-1.7142162830315071e-13,3.985905472531637e-12,14.011797463464703
-4.0674016411022827e-13,3.769191392341719e-15,3.984677505692473e-12,14.011797946928693
3.2181920655888116e-13,5.256038189407408e-13,3.982923355413356e-12,14.011803938268494
-3.4389981110094463e-13,6.128779843744442e-13,3.9842702648655335e-12,14.011800276836329
2.2101600316524505e-13,-7.320320400028155e-13,3.9823112203845755e-12,14.011802849348651
8.690549682719484e-13,-3.311008498210846e-13,3.9836620084867595e-12,14.011798289523819
4.701457261919399e-13,1.1526431626392107e-12,3.981114487289267e-12,14.01180211588298
-1.2706390428911914e-12,7.036909170562131e-13,3.980379494937763e-12,14.011810273204132
7.564129617837972e-13,9.929963561927784e-14,3.9787445597960054e-12,14.011815324034085
-1.0183272505826142e-12,-4.946754135981007e-13,3.980657460249224e-12,14.011827445405265
1.7755525531009179e-12,-1.6818636628684552e-12,3.981532971691373e-12,14.011843252230236
-1.3308691183636063e-12,1.1812147782730144e-12,3.982533630430305e-12,14.011841228651623
7.554276928997255e-13,7.446810677829829e-13,3.982533566422259e-12,14.011841229099954
4.829989758153479e-13,7.347960983487035e-13,3.982260579004273e-12,14.011849074494103
2.409299337064165e-13,3.6301347605945345e-13,3.982260572607274e-12,14.011849074277672
9.634445388780057e-13,1.44899249937262e-14,3.983579262548992e-12,14.011852652605985
-8.286099555517509e-13,-3.693532011937644e-14,3.981423039580523e-12,14.011845059098123
1.0928263137383883e-12,-1.8365835636369064e-13,3.980167104337225e-12,14.01185419852489
