alpha,beta,sigma,nu
2.3396189483442113e-12,-2.7175962913382797e-13,2.5094393788972966e-11,0.22113047383838028
-6.5721386608083974e-12,2.6035183452651152e-12,2.5094392510536494e-11,0.22113047386196477
-2.7342017173548757e-12,2.689694722662145e-12,2.509439062222427e-11,0.22113047385899462
-1.3296039610575173e-12,2.0065794652868286e-12,2.509438628570622e-11,0.22113047386165657
8.728068934512988e-13,-1.9211812480105862e-12,2.5109090869442142e-11,0.2211318952831159
-4.04028118358964e-12,6.009531624618536e-13,2.5157993099397782e-11,0.22113138077344757
-1.962801786987347e-12,2.9560696086528433e-12,2.5158003381896394e-11,0.2211313807448101
-1.7071858905273917e-12,1.3171070911785455e-12,2.503760776189701e-11,0.22113086528947776
2.5142479321605432e-12,-1.4397399478995526e-12,2.5189376766100498e-11,0.2211293219674896
4.5304177552744646e-13,7.039226380926808e-13,2.5135315236486888e-11,0.22113012523943132
7.958880476331658e-13,1.9051935668650235e-12,2.5119061739162864e-11,0.22113009318187768
1.2748605479369809e-12,5.5158081534268455e-12,2.5158826265685948e-11,0.2211295910833554
-4.6768338405708775e-12,3.896651657384573e-12,2.5158832732049735e-11,0.22112959134544272
5.322778888633872e-12,-3.772059047311646e-12,2.5158839043418037e-11,0.22112959120661815
1.7380187380685283e-12,-1.9142803142261466e-12,2.5158846374751798e-11,0.22112959118474765
1.7390165182818184e-12,-4.491021314482649e-12,2.5227783024914075e-11,0.2211299827448441
-7.687540083060613e-13,5.6742705311415056e-12,2.521573667088859e-11,0.22112981937547252
-2.4134400543086003e-12,-1.092359668125677e-11,2.5215729418283624e-11,0.22112981933021858
1.822492516552331e-12,7.849584936395483e-12,2.5215719162005347e-11,0.2211298191712826
4.028688760886217e-12,7.653109078587516e-12,2.5215719166220017e-11,0.22112981920910532
-6.778838977565668e-12,-6.883691177143123e-12,2.521571241033485e-11,0.2211298193108336
1.0942722819256855e-11,6.225200191676106e-12,2.5216332278032158e-11,0.22112977155898694
1.2511610083149313e-12,4.728110337217499e-12,2.521634048720548e-11,0.22112977161148656
3.178528486701206e-12,-5.320898574627539e-13,2.522982711909634e-11,0.22112935001406328
2.857500920110631e-12,4.712647500935636e-13,2.5265922925912695e-11,0.22113033757701772
6.877782408892582e-12,-6.195904970187465e-12,2.5193523575263326e-11,0.2211283602635785
-3.920813439251105e-12,6.880979743460535e-13,2.5193527282658342e-11,0.22112835991385127
-3.365018525651028e-12,1.5867351407776678e-12,2.521271981563107e-11,0.22112753539826382
9.54003391384416e-14,4.022885203544851e-14,2.5153054671602835e-11,0.2211277452433371
-8.215945840556645e-13,1.454853275432572e-12,2.5170475908545172e-11,0.22112876778656834
-9.313187048169683e-13,-6.076981625410529e-12,2.5170475428354338e-11,0.2211287677222768
-1.0304958063295575e-12,4.128505479585935e-12,2.5170479814751307e-11,0.22112876775243567
2.2333144145958334e-12,3.2399886674621235e-12,2.511671250161811e-11,0.22112689776119684
-8.54877018837477e-13,8.979303462240043e-13,2.508849802869949e-11,0.22112859635292995
-1.1000071530147888e-12,-5.138535494009242e-12,2.4962076901958528e-11,0.22112922283214026
3.5737877494972093e-12,2.28977272282108e-12,2.4962070858772304e-11,0.22112922283525716
-2.689606467188859e-12,-2.1047913173029058e-12,2.4953844030476928e-11,0.22112947567046007
-7.080862265097026e-12,1.1711718145305929e-12,2.487432389069065e-11,0.22113037895666993
-5.527230162186692e-12,-9.259690073310475e-13,2.4816468777211492e-11,0.22113085829612014
-1.253969859192552e-12,-2.1177307528836544e-13,2.4816469540103896e-11,0.22113085832661095
7.14053046315187e-12,5.692087789195905e-12,2.4816462498199578e-11,0.22113085825167583
-8.156076092017928e-12,-4.49903808536608e-12,2.4816465957431415e-11,0.221130858212029
3.927906566015972e-12,-3.73985325210881e-12,2.484226777285213e-11,0.22113346172141835
3.5206897749337616e-12,-3.055655637440775e-12,2.4842268264443476e-11,0.22113346171642903
-3.728571531346804e-12,1.8018110837924818e-12,2.4839365140130293e-11,0.22113348875931343
6.687016609243471e-13,4.166047146791991e-12,2.4832132677515625e-11,0.22113386186877595
2.10686165891537e-12,5.205624086825959e-13,2.486194853795638e-11,0.22113545417287697
-1.4070740736310229e-12,4.783301508506933e-13,2.491056910888298e-11,0.22113515390142596
1.1261658416818914e-12,4.00359637126106e-13,2.481451549821866e-11,0.2211339498292108
4.070582127211979e-12,1.6361060119978235e-13,2.4793713429493206e-11,0.2211338695857665
6.538691540874474e-13,3.306754015435811e-12,2.4833749938640753e-11,0.22113445114334984
-1.5822463955998063e-12,3.6894284671800884e-12,2.4833740979190008e-11,0.22113445091018288
1.6783696270818652e-12,-2.011878872112902e-12,2.4833739144458935e-11,0.2211344509149102
-3.689377227714202e-12,8.111572493874267e-12,2.483371833791759e-11,0.22113445070480772
-1.1104474783748785e-12,4.734099551925223e-12,2.483371651085389e-11,0.22113445071657808
2.2927180921868733e-13,-4.417930627557017e-12,2.4833723517040697e-11,0.22113445084484992
3.326433768476361e-12,-1.5455691574551702e-12,2.4904064738690058e-11,0.22113433759623488
-4.3797924930427625e-12,9.874774037635337e-13,2.4883602058139447e-11,0.22113383541306852
-4.832562522935329e-12,2.5552623396543005e-12,2.4933447828357278e-11,0.2211361892900504
2.6371673663109494e-12,-7.429911219216826e-13,2.4933450697817377e-11,0.2211361892949824
-5.642101114189693e-13,2.0685103611174874e-12,2.499806811873127e-11,0.22113679401165318
-3.771596558545056e-12,3.528832850167633e-13,2.496143792258476e-11,0.22113728873632202
2.447205084169776e-13,3.253299418551198e-12,2.4906602298755715e-11,0.22113785980214373
-6.005241567157827e-12,-1.410801756483193e-12,2.4878111469736393e-11,0.22113566421440062
-6.308333100266976e-13,-3.738342963193935e-12,2.4878111449646086e-11,0.22113566425277714
-6.515650956868355e-13,-2.3622834401361045e-12,2.4878123070966582e-11,0.22113566467203932
1.941899502189947e-12,-1.4601916611064194e-12,2.4865746456440657e-11,0.22113547092250752
2.9289008129824457e-12,-3.4405352431423265e-12,2.5002187806463932e-11,0.22113871503918855
-2.4037250234905447e-12,2.3038104807995967e-12,2.5061828430993906e-11,0.22113600056677704
2.2179198260069652e-13,-3.736714027706177e-12,2.5104323633822783e-11,0.22113633698759128
-1.5714526208466706e-13,-2.568771382795646e-12,2.5161886880551876e-11,0.221135982457922
4.919489824080982e-13,1.3627356846097092e-12,2.5168132645083702e-11,0.2211349822373434
2.7514159540794974e-13,4.560080323788182e-12,2.5124334666002254e-11,0.22113537947125203
2.3162056894790076e-12,1.0961240634098501e-12,2.5124330155409842e-11,0.22113537949698567
2.685708227866377e-12,3.852265972111222e-13,2.5169666413389356e-11,0.221135471977315
-3.693568977718929e-12,-3.112490727935476e-13,2.5189357373674363e-11,0.22113621014510693
2.0434291226148596e-12,-2.8261578604811192e-12,2.518935273959144e-11,0.22113621017543963
4.0647410749713566e-13,-2.105191146149167e-12,2.519781601553557e-11,0.22113615057587774
-1.3952805013807518e-12,2.3722780802928668e-12,2.5204675678719598e-11,0.22113607309081093
1.7843674555771996e-13,-1.6925323642936422e-12,2.5204676836707367e-11,0.2211360730734023
4.029503290779919e-12,1.7625227769490122e-12,2.5228148389809613e-11,0.22113612496990795
3.0136835425780026e-12,3.3323553112573504e-12,2.527553415950252e-11,0.22113726671713077
1.4303712552244715e-12,-6.64760047946447e-13,2.5394087642760097e-11,0.2211368165161071
-2.0381096093504507e-12,-1.15070538189503e-13,2.541760213193614e-11,0.22113557204965584
-1.754363655155382e-12,-1.838645151763168e-12,2.53958929725278e-11,0.22113860055261175
1.9351268526118836e-12,2.270149210713191e-12,2.540090929948536e-11,0.22113889302103829
-1.8504162856258963e-12,-2.727868793231293e-12,2.541107944901812e-11,0.22113968731710043
4.344294935106601e-12,-2.8608271323183435e-12,2.541108248726679e-11,0.2211396873308562
-2.803092258591357e-12,-1.5314977134402204e-12,2.543970219688545e-11,0.22113838214522466
-1.345649426478852e-12,-4.336256658244114e-12,2.5439704643950855e-11,0.22113838215467582
-1.5269101129571462e-12,7.007393061788531e-13,2.5439707438116354e-11,0.2211383821077761
7.777640875102974e-13,1.2746721469601943e-12,2.55048235555088e-11,0.2211392597243836
-4.794514797540369e-12,-2.5243889672220313e-12,2.5561459843071798e-11,0.22113800115180357
4.4503297473734135e-12,3.2587688115681657e-12,2.55144894653359e-11,0.22113731669501452
3.8003898247901534e-12,3.410764363038686e-12,2.5640394917861246e-11,0.22113599079941185
-3.0090724265354577e-12,-4.0749152808159665e-12,2.557320516703637e-11,0.2211352509077485
-7.024794110290807e-13,-6.342648491493768e-12,2.555323778173265e-11,0.22113610021777305
6.835477774894937e-12,-4.576271344258106e-13,2.5575111839856137e-11,0.22113628237480779
-3.4562407643025767e-12,-4.858280524091258e-12,2.5459577339973403e-11,0.22113505349610874
4.139449325983827e-12,1.9515185809608296e-12,2.5502274530984457e-11,0.2211339942508504
2.9740253023002844e-12,2.9092506189937445e-12,2.5485571434866577e-11,0.2211350304293091
-6.320875652866124e-12,-5.412043724965996e-12,2.548556527425871e-11,0.22113503045861366
-4.712402605997894e-12,-3.960599656109479e-12,2.556913929221588e-11,0.22113566300732299
-4.695086397043887e-12,-6.6334491132129635e-12,2.5569136363437523e-11,0.22113566301818238
-4.2084156382787294e-12,-6.381811972921553e-12,2.5577561945488612e-11,0.221136816597014
4.125559036488565e-13,4.0112326939378995e-12,2.557756027351136e-11,0.22113681678706126
-5.245848886862586e-12,8.813400914204896e-13,2.5525357314880485e-11,0.22113770593077453
1.894373421483366e-12,3.5309786126163756e-12,2.5488365349380395e-11,0.22113897755032308
-3.1652789534910356e-12,3.6001820873286473e-12,2.5488366123150828e-11,0.22113897761491416
3.6179327170162543e-12,4.2135141666421585e-15,2.548837204799572e-11,0.22113897787226208
-3.115877799255993e-12,-7.227543366893248e-13,2.5520038751593622e-11,0.22113924515067637
-2.7814878566223297e-12,-3.2449495711975327e-12,2.5547578296738048e-11,0.2211397620728354
-2.6624802250944936e-12,-4.965696701972099e-12,2.557247499919058e-11,0.22114026347628113
-1.97464768508478e-12,-6.5561064018541e-12,2.557247479430523e-11,0.22114026346973206
-7.989818486926431e-12,-2.1737586349505375e-12,2.5654363685951632e-11,0.22113849642827046
4.025838527088313e-12,9.711799189237824e-12,2.5654380187134222e-11,0.22113849651237705
9.678921299370076e-12,4.089473682845823e-12,2.5629978460552658e-11,0.22114092200420496
-1.9175235516070368e-12,-1.3126789998092475e-12,2.565752884646525e-11,0.22114135724822637
2.1553011232909226e-12,1.318561332027923e-12,2.5652501631118815e-11,0.22114031361382558
1.7345402987819192e-12,1.8627141048219167e-12,2.5652502251329517e-11,0.2211403136125495
-3.037575650086573e-12,-3.2237278706262014e-14,2.5670982704617337e-11,0.22114101219174168
2.4071112623683205e-12,4.051774725987957e-12,2.5630894859444617e-11,0.2211407085896649
4.827418781454004e-12,3.2274761667772093e-12,2.560547159537038e-11,0.22114028135576388
5.6417279577183545e-12,4.617148827662924e-13,2.580432978848264e-11,0.22114288161224144
-4.83344054544993e-12,-6.19219674348521e-13,2.5804340087970137e-11,0.22114288163940182
3.467460735978475e-12,-1.081326618001732e-12,2.576461336596841e-11,0.22114242010192028
3.312378920700772e-12,1.1451014443779968e-12,2.5795515738546213e-11,0.22114470913713977
2.3987347571310903e-12,1.3396640821405614e-12,2.5753492301166953e-11,0.22114688044112762
-9.448444844252269e-13,-9.144982821834889e-13,2.566040867616064e-11,0.2211473593461719
-2.1065471573296637e-12,1.1677079899049332e-12,2.5661144703353406e-11,0.2211471338304147
1.3974231303144415e-12,2.2438381488802188e-12,2.571166842072356e-11,0.2211466431012957
-1.373250107877368e-12,1.6547374684676659e-12,2.566389838258256e-11,0.22114666042888678
1.5937368314596826e-12,-6.244147561840157e-13,2.566237791162194e-11,0.22114661256738383
-2.465847162195059e-12,7.410071107821202e-13,2.5639133933752316e-11,0.221146524022916
-1.231398872742135e-12,-1.6760022281301694e-12,2.5751052108875817e-11,0.22114621290811587
4.763596508772683e-12,2.115724654688868e-13,2.5780163211581143e-11,0.221145708047626
2.223387861347498e-12,-1.5804207458743772e-12,2.5780147203805443e-11,0.22114570823282712
-1.891044885370953e-12,-5.157156619589026e-12,2.5846355543469982e-11,0.22114846352588813
3.3750285119021087e-13,-2.2623405923281965e-12,2.5873368657543475e-11,0.22114872941675162
9.341913038215736e-13,3.6143740430464508e-12,2.5873366056691245e-11,0.22114872937637767
-4.534292272453012e-12,-8.870376014854904e-14,2.5873374386598175e-11,0.22114872920033868
1.7543773458793211e-12,2.705686582426525e-14,2.587338718538559e-11,0.22114720837326793
-1.1915427497162649e-12,-1.5728712259548385e-12,2.591700362249163e-11,0.2211468641066175
-7.038866891823692e-13,6.995837152880396e-13,2.591759562611497e-11,0.22114758878922372
2.582834652111605e-12,1.0004897895243486e-12,2.5892802891309747e-11,0.2211468563474445
6.8422429383925855e-12,4.152451942808631e-12,2.5791128254851494e-11,0.2211454822692638
2.7989648769893124e-12,1.2044457275664088e-12,2.5579484122107604e-11,0.2211466927709297
-2.3316894376910135e-12,-2.075077161331845e-12,2.566007581106258e-11,0.22114683879592595
-2.443395684565105e-12,-3.078121794345511e-12,2.566007676267558e-11,0.22114683881451425
-9.721534509684452e-12,-3.120542309991842e-12,2.567017611887069e-11,0.22114835071218314
3.87172706517145e-12,-8.062716352487222e-13,2.56698150915314e-11,0.22115118763986638
-2.0805119145528247e-12,1.7332801623592284e-12,2.5637447502182123e-11,0.22115216978931104
-2.212969529165661e-12,1.2950149221494114e-12,2.5656875630224586e-11,0.22115186586350136
5.129050586137909e-12,6.946453338191026e-13,2.5755287671073905e-11,0.22115661576891632
5.0882520801935765e-12,-2.3593620072127053e-13,2.578028314964798e-11,0.22115664476701913
2.3631895754562684e-12,4.75904923765638e-12,2.5721067262508745e-11,0.2211573136212229
4.242536242727187e-12,1.835322351448045e-12,2.5789210382499645e-11,0.22115665342723134
4.662401423204247e-12,1.0807841698653326e-12,2.5750021509530333e-11,0.22115723770344628
6.0765297683751275e-12,2.1328266326491027e-12,2.556078507028676e-11,0.22115760031642423
-4.106127654278298e-12,1.7066789753560043e-12,2.5612697617534835e-11,0.22115661586135546
-4.0306940687949664e-12,-1.923289391569343e-13,2.5612693743703264e-11,0.22115661579936668
