alpha,beta,sigma,nu
1.2140483634014576,0.9726551012806636,1.5172515488533618,9.107199587442379
1.5654768221818722,0.8166404334636332,1.5277863348578733,8.841977023981682
1.026301197740219,0.8441049831961702,1.5818651529923258,14.26589914450082
1.629505215898878,1.1352705101227003,1.382106690878016,12.560495131818852
1.0877807058986335,0.7498527349461407,1.6048711928121804,12.228793647591162
0.7650851510575787,1.1001099444910485,1.3611282375365361,19.564121709390896
1.5046502022891979,0.9412645172126088,1.6946386889344236,12.025459114167043
1.3562898978578977,1.080316410271798,1.1286608934239766,5.35337663572917
1.2877288297418306,1.1091850968131898,1.9900161949679085,18.969981547033935
1.4824673943470934,1.1153531910546441,1.2907941302180999,26.340547695499367
1.3362237403336332,0.8696431033166327,1.6464503989430044,7.420114271474576
1.8570255237852356,1.1826863485320223,1.4400893021362422,22.34454528217018
0.8980930694590464,0.6490605130379352,1.5076842687764171,5.646450316447774
1.8850131550813902,1.338310190755867,1.3865144223551966,16.938749925247947
1.2735400103958538,0.41554167848065393,1.8401306453653505,11.183546480899365
1.0621340963525965,0.748453433895492,1.1686821721061915,5.43657136550864
1.3474951862947344,1.2906588134144892,1.0734845073943236,4.352103208451132
0.8529153530301943,0.5281223934221106,1.7217138678560997,7.42160352032894
1.7061971729633398,1.2491335791127323,1.27312770725803,13.227250240247919
1.5203550230052552,1.1048212331388862,1.3032074926306763,9.895769604311447
1.644819460341204,1.2668441945256577,1.5539764172726998,7.557541542562724
2.292275100517686,1.352873201773432,1.539693934618257,3.014365687047297
1.12509807642861,0.3923574903840701,1.702232269362969,21.161071422030673
1.5657082015275767,1.120510931107943,1.504228139390686,7.181166443776798
1.7056654009740038,0.9270139500766277,1.1552017471584528,5.716796509863279
1.7826120472093365,0.7509644510180807,2.283064116698752,58.04524253160152
1.4549337967039286,0.9049613183720318,1.1983808951768877,3.7440063267623414
1.3231868037471006,1.4404587394923831,1.3502523766561743,3.626205732863419
1.9400305120314318,1.1156546136133054,1.1532438230095383,7.869804031144389
1.8158622272500742,0.9127419242088283,1.2598237196244255,3.6916990393261564
0.9882175311466272,0.8136055070845789,1.5320199175677407,12.061071053163243
1.498454787416317,0.884038718741163,1.4393875705098975,11.790642896708313
1.8429037715947847,0.4120377303112691,1.3665685773853524,5.3980299716489215
2.0034856392123555,1.0542369626283277,1.41736576428474,32.79265672465135
2.0859065200355165,0.7889933294466955,1.2338185006394886,27.857838978733184
1.0385068502363204,1.0683502432109742,1.632725121881159,12.915565662425925
1.6850170755535288,0.8604045595700116,1.409249795861131,15.913977505062817
1.6248807949630248,0.5408304932575245,1.6110832914651616,10.571553649668996
1.369203793587084,1.4662290295248215,1.7384712612118451,10.649833407133274
1.312424876234422,1.350894243289357,1.6295140634492034,14.116998144741466
0.9318510722662484,0.5950892221323192,1.702512830343913,19.03315517308412
0.608583403545515,1.3785410333444024,1.712828545748894,11.335955981008134
1.3261075687624713,0.3390417496307227,1.470497773844013,4.0642661535089255
1.352464314273762,0.37750212550628887,1.4921333367224277,4.5352419638290655
1.589592322610861,1.5389559414310765,1.345733824880983,26.084592315875394
1.3949580862854654,1.3828087044674986,1.5202401738979041,10.332583840487304
1.446287628242937,1.194111237808117,1.3733903874414641,4.196867616581742
1.2489128141542218,1.0918649329933918,1.5524229252801438,7.753251607703942
1.531707636124525,0.8939890654999414,1.1155806588285797,4.755425709279044
1.4816187184875211,1.3433663279063883,1.9377241564369954,31.524404987243926
1.600770131990715,0.827903014348084,1.1870110525372182,6.4860760540484295
1.3195412584722905,1.030484725961363,1.9414900885467807,16.151943548908203
1.4559555248364182,0.8763517915616186,1.6230995973816318,16.30492009100426
0.8750379791992101,1.846808772667905,1.940565632372715,17.061533229761118
1.5455888897767458,0.8721644714667816,1.4759236677334844,17.597836813302003
1.6998421794050829,1.3384957769288541,1.5671004217860998,21.14518486250444
1.3159264228224328,0.8224753063277456,1.2735714713183917,14.171492490649515
1.2026131918930634,0.7898754374911805,1.2630640179410684,10.964670436320628
1.4153044594933362,1.210420785337869,1.490372259229145,5.391432373093687
1.717001070754514,1.0152888324450928,1.4305283676811278,15.808792013471129
1.110318076090094,1.3901451077844744,1.6968005087338813,19.630124566435583
0.7394477566796638,1.1430788096548334,1.9995288001114557,7.7063575818027035
0.862198587418626,1.231547844810229,1.8284289836761394,9.27804075839987
2.158104276100674,1.6805984674780632,0.8425657935434314,4.017390574420482
1.8690010121542342,1.7322354393042023,0.9648335054872993,1.5437287899829433
1.697226351945043,1.6183149980680063,0.9311224963644034,2.863580108139918
1.8073750190155349,1.3100410039322257,0.9169085328012937,1.9501944488534915
1.9827267905331238,1.2888424495671458,0.6792022814345297,2.9532070085501925
1.8955115483774416,1.2620496080553643,0.7739273784817641,0.9836313487999954
1.7771748141301127,1.7267854187225284,0.6905587981793453,1.9027445818985953
1.8501098429705416,1.3104295774831547,0.7369281752565806,1.3543693620707478
1.6092302354940617,1.5207941924683288,0.7936210502501518,1.5112166683197101
1.6914569667372132,1.0110761183567432,0.7414245106340075,2.746825903581947
1.7671465769661956,1.8777587081736966,1.0973697721742663,1.7086726549095252
1.995795335275898,1.4569202683688474,0.9004670606676421,3.283441145763909
1.8735917560174815,1.2582919561449444,0.9561725141007856,4.073360289634625
1.482469048723364,1.1305761163897767,1.2091731025262877,3.6265126133906826
1.5015096739824036,1.2231187857698007,1.1409756552158914,5.757427031781705
1.4365771752560048,0.8926394483715427,1.4889312174480103,11.379367369531288
1.3929285720789835,0.8480924825904268,1.5025839319092746,11.32140159615165
1.1978721822312937,0.4738324214797889,1.8160300053972496,14.462182912698252
1.452382172263764,1.1164485058210594,1.1680332650535283,4.880896132532661
1.6420697841485488,1.5529112321821343,1.0366921935561115,5.215544789981664
1.164882996596775,0.7568974169169279,1.4177644963337674,3.3556477880161255
1.1579398778524752,0.9977748336770583,1.3681708601424818,12.78289837068355
1.7015803727270986,1.0336583341871024,1.438122393697174,7.224481028695513
1.1427721778519078,0.8940976384031853,1.6355274858361126,14.773914494528219
0.8379095269343012,1.26397091822481,1.4288670266399908,13.102158016423159
1.2784304769384724,0.5929244284506896,1.493522176178385,37.42602183331475
1.4299648951882262,1.4665220025812806,1.383729409696046,5.486345602967081
1.4782638361603742,1.3835460804796325,1.3382385625365114,6.719848026346761
1.3639789287296016,1.5075137479627834,1.7602539202405478,20.049736035815634
1.055506340030031,0.4206994735113407,1.307592851540691,21.43003301332362
1.8661845628524105,1.6438177975586359,1.7303422237435144,9.720916686843902
0.9471851495477354,0.2973184307970518,1.3169980412257063,16.30774696439191
1.3221319057933447,0.9146968907957149,1.3692964398775862,4.810521693054855
1.4929409402163123,0.5444606970835814,1.4943381698751297,5.00935456467567
1.945314834962173,0.797114372358577,1.8508245372275771,21.54924879409991
2.0340422024177984,0.8814398407835254,1.9703781411518253,26.872823980209652
0.932583840842503,1.1862660821844093,1.2258086228025518,9.21010090588957
1.577444777955155,0.4543308241114516,1.7741599657829794,12.969354851056355
1.036411076868441,0.29654670737185657,1.5411546058090073,15.702667529038148
1.6537243797011716,1.7355983641243204,1.4355412181815232,6.858835586942103
1.069519731045417,0.24777030457395327,1.459486948849133,14.453645530656209
1.4708689887316104,1.573077392464137,1.440167503909162,7.850683710887549
1.5761507719576742,0.5632347233127849,1.4271807519076043,20.43863128880348
0.9357752783643332,0.9469591424902718,1.7115560033449264,8.152886372830713
1.6528636696871597,0.8535799332087014,1.2986756002639135,41.29503036472453
0.928061039124482,1.5688893196488412,1.8185247791430839,8.3908321023364
0.7867366063709219,1.4673106377172407,1.7858148448670466,17.59197571656622
1.431315277683276,0.9790462605629803,1.3883265261511897,11.018156525362688
1.6640344690626712,1.2416260531007306,1.2644075286382201,5.207881638838235
1.0278073320479906,1.035200511275831,1.4601815736241242,12.489589316072824
1.808772113315135,0.9104751930991014,1.5188460865541296,14.51448595418508
1.010506316098126,0.756782961696149,1.7560522528825067,4.458051022839679
0.31981262475194067,0.8940012114148006,1.4458816110770287,5.988552795745157
2.277042671213479,0.7994548802185258,1.9453713992645174,17.245937904122428
1.3982172987143977,1.1979912319437844,1.2167551113176343,4.514959750141277
1.3650593170416396,1.080396250497109,1.3185273665738673,17.63770616226151
1.3606486510744529,0.9963810881452067,1.3252634712721352,17.06889801559556
1.5090123214941726,1.0487491935293527,1.5577384407833295,7.101403793045174
1.3358644549798246,0.8454629614806596,1.3121599753319124,5.4093273664726285
1.122886100952614,0.7246403767102301,1.2071858450368127,4.121405383504737
1.1914070644126769,0.5699945931351007,1.4528247633646934,8.355705377502426
1.2092883610438847,0.6843346211432199,1.3352050109765088,9.152879304635851
1.5528278431184421,0.7910301915596883,1.7004279478045663,20.44166443728127
1.5331567837827356,1.2385918643853915,1.5766279869750877,45.01589362990998
1.3467834524868467,1.4152302887754356,1.6078011869951918,3.5418825250038766
1.429296610110856,1.3908753048771885,1.7041643608532089,8.005239359383172
1.2528824501805778,1.3683199534476924,1.5644208533430801,18.19864545567658
1.1077653381756962,0.8209324617908916,1.593736565947775,10.284291989268922
1.428297073443491,1.2689997448549193,1.2576046606042393,13.03778143804332
1.2319622151344596,0.9881123868035737,1.3335834000769509,4.208064251046983
1.443401585196785,0.9529259207745685,1.5719908057102092,40.33884466907814
1.273316002363162,0.9505081955741645,1.4904808550022763,5.449732434443065
1.375788199970093,1.2203732342558484,1.8049505475705852,28.044324784031357
1.3868092929579863,0.8179855100262884,1.2125432759382426,6.879835376097882
1.0936518350713975,0.8291894237100911,1.3289723699276144,15.666912222007873
1.3826166686678814,0.9842479067707532,1.6001861532540145,5.384029205148301
1.5910323897341634,1.353394066033714,1.2483240887959621,12.156119878935113
1.6854221784411685,1.4450175710740747,1.3145125096020545,9.856897904930818
0.9935035659570266,0.4414932387495841,1.7988387390012028,18.28817495639858
1.7014802502391284,1.415286892401729,1.1878160000342868,10.277191429358114
1.6419613646506994,0.9518402703447935,1.4201233064211924,4.688822265861151
1.1681386452579035,0.8176935449028756,1.6938566546305063,18.62852976995566
0.8285395121489786,0.22991314502269683,1.9683451129295964,36.35588551088212
1.103703371203671,0.5951326428964205,1.2208034349414614,39.27507054169292
1.0819960697741844,0.7225263193018443,1.2009173278732173,31.779820063269366
1.1731850622190756,0.6841465603089181,1.4956556167409774,23.984896417702426
1.0267204979569826,0.26581646365217365,1.52130873369851,39.46804371537491
0.9889996007249564,0.024346926958763893,1.5504210064393722,61.94905187919726
1.4629496541571103,1.0216863611429892,1.9061628428301496,2.7713663877781864
1.3137384993571202,0.9803215056919105,1.7452437794611169,4.729247266301219
1.413333711322971,1.0411623655975593,1.3745188276513365,2.4791622706752867
1.379479119488339,1.4563496254856765,1.646021943822997,24.381116277575188
1.5189953805347571,0.6228825866496893,1.3156562687642206,7.492570579055924
1.3549512101585075,1.0560665114490346,1.8857647553439265,15.966400557799632
1.536761700720732,0.9991308872731283,1.9600285825146373,11.597349007345528
1.1910235367999125,0.814549445557935,1.2368757104581023,11.827497611884667
1.205054827998046,1.3317594104572448,1.6458600540870085,3.894526378737441
1.8939420407573875,0.8818681345880366,1.4316637854515524,30.120326113883515
1.7631617162241235,1.5371516421716243,2.082591203495017,5.540584375293193
1.3324055845645455,0.7339644886415354,1.1068455604751386,21.36782794710488
0.8597317665450426,0.9136250709545308,2.267683178062091,5.463940882881214
1.350710779770676,0.600319499455776,1.1385469502198517,19.441351711703934
1.3658239392496374,0.7845324557240569,1.2713595732402667,14.545717895940314
1.7226377832350737,0.9576818818993078,1.537109453148364,6.636207268521152
1.1577241155353393,0.9818973844988002,1.2314412913139374,32.85173556294295
1.2496977434165257,1.0767160745684299,1.4733827053751032,50.6869850699505
1.4569899739705752,0.8519756728888095,1.5380763485486453,3.785176022197283
1.6102437492089883,1.4421435926385207,1.411143282499563,9.957380961559744
1.115776806388551,0.6744079948599851,1.7082430379058287,17.63400331451429
1.6132021041901448,1.6002499948476843,1.4161818348944428,9.175851639192631
1.0775397406883034,0.5209539960493338,1.4448557657883523,18.672126556902956
1.3077542220158909,1.1529414699679847,1.2585959863565264,37.357378344466
1.4822164753848466,0.7687407201423744,2.113116027977867,3.3801023985601346
1.2686570274028997,0.8724567270932363,1.0294509975578099,8.16776117463111
