alpha,beta,sigma,nu
4.4811648086339495e-13,4.615007079828457e-13,4.971571220865742e-12,0.7552477218019792
1.504083634712015e-12,-9.95099037339005e-13,4.971571309148509e-12,0.7552477217988064
7.965659704079018e-14,-8.75163799667999e-13,4.971571439548082e-12,0.755247721799206
3.611285090010254e-13,-3.1898863437833927e-13,4.9715708406201585e-12,0.7552477217999223
1.5376624313958629e-13,-4.715339236783081e-13,4.972220881120759e-12,0.7552478404539342
8.898919662105096e-14,4.213852153383214e-14,4.972966051556481e-12,0.7552478253237116
5.303086860382459e-13,-4.624435406313917e-13,4.972966287716803e-12,0.7552478253224275
7.032886916259256e-13,-5.69675492652662e-13,4.960401673719221e-12,0.755247720245795
-2.8241734105097424e-13,1.0491175457546719e-12,4.9695057003173545e-12,0.755247540457208
7.56374963940721e-13,-8.000278006164666e-13,4.973178090807193e-12,0.7552474304075683
6.406158757528333e-13,-9.98953674396492e-13,4.973172013755102e-12,0.7552474303839841
-8.606781397567402e-13,5.544274329760566e-13,4.96999191824279e-12,0.7552475082116717
1.3625922316621662e-12,-8.477516869561371e-13,4.969992045461476e-12,0.7552475082217456
-2.5233003632532115e-13,-5.77623016806403e-13,4.969992588694262e-12,0.7552475081984006
6.527967247725229e-13,-1.3357092291463734e-12,4.969992756967007e-12,0.7552475081974199
2.1408147826908884e-14,1.9746431252332184e-12,4.981766084896188e-12,0.7552476389888665
8.01918238896228e-13,-1.6869801411788614e-12,4.989835538389751e-12,0.7552478536301532
-9.506485262216488e-13,7.803040350797549e-13,4.989836205398004e-12,0.7552478536382705
-9.901898340163549e-13,8.656048066752168e-13,4.989766141914229e-12,0.7552478515214935
5.503164338157856e-13,-1.2180513406099184e-12,4.989766135758951e-12,0.7552478514146407
3.871857639650665e-13,1.3459199564372617e-12,4.989766322152932e-12,0.7552478514091665
7.034874325560779e-13,-2.40024227413452e-12,4.987832780801764e-12,0.7552481346784375
-6.848487014959782e-13,-1.4428584696261134e-12,4.987832639301594e-12,0.7552481346766718
-3.5213817528175144e-13,-1.1655041602159209e-12,4.985443561211546e-12,0.7552482748283629
1.5630478385633157e-12,-8.219810840200206e-14,4.987533008210167e-12,0.7552483856625859
-8.929984358372446e-13,-8.942112751016796e-13,4.9908197906897876e-12,0.7552485633883802
-9.295936978488237e-13,7.562065916877145e-13,4.991103527624047e-12,0.7552485103329735
7.109321219747982e-13,4.817346728083067e-14,4.992959416663537e-12,0.7552483561585722
-6.363193064649692e-13,-8.674690653817457e-13,4.997479821341689e-12,0.7552483244392242
6.684907725399688e-13,-1.205916869629873e-12,4.996123240689764e-12,0.7552481831868018
4.968673274224249e-13,8.127983454713675e-13,4.9961232573008215e-12,0.7552481831911263
-4.802286073408359e-13,-6.732108495679044e-13,4.996123029684657e-12,0.7552481831880834
2.1080821882465334e-12,-1.0610083421552376e-12,4.995632611944575e-12,0.7552481491699281
-5.680095059105981e-13,-1.4477583307707816e-12,4.992156222260831e-12,0.7552485573809383
9.766534258288982e-13,-1.576161874032872e-12,5.002259166778618e-12,0.7552484595679193
-9.453582039917126e-13,6.207979149015775e-13,5.002258997931607e-12,0.7552484595680871
-2.3619020824458776e-13,-7.516116359173216e-13,5.002495115749317e-12,0.7552484452913847
-7.636788377520013e-13,-4.0694685353810947e-13,4.9943255380864275e-12,0.7552486241203209
1.6731430199660264e-13,-1.6457316757075946e-13,5.007804882255029e-12,0.7552484084339456
-1.2158402006640702e-13,3.856091187051672e-13,5.007546103300943e-12,0.7552483894646468
1.4795346084010673e-12,1.5310314858054666e-12,5.0075457731071345e-12,0.7552483894579263
-2.1625094999765925e-12,-9.06618265931208e-13,5.0075459555868e-12,0.755248389453926
-3.4855712084962465e-13,2.2407974027107585e-12,5.0062946446979224e-12,0.7552481697221142
3.9275736109791844e-13,-1.0343571457330724e-12,5.006294713760926e-12,0.7552481697207717
1.2557338436682076e-12,-1.7603315842516923e-13,5.006726711311809e-12,0.7552481620000394
-7.763576126519392e-13,6.203715515395253e-13,5.006768495957634e-12,0.7552481577367214
3.403999376027887e-13,-2.603650385928781e-13,5.004440292907278e-12,0.7552479335549164
-3.345801329519334e-13,-1.4921098946692477e-13,5.008175048038035e-12,0.7552478896455405
-4.279215540304983e-13,-3.42233725565938e-14,5.011624657138223e-12,0.7552479740616626
4.890995161412536e-13,9.15068294400163e-13,5.015529989367793e-12,0.7552480030703178
-9.080899945413683e-13,-2.787047496613988e-13,5.018193049111899e-12,0.7552480757235523
4.0542249258856645e-13,-3.046671709539922e-13,5.018192733583075e-12,0.7552480757078688
-4.4273629784861145e-13,3.6150649469339417e-13,5.018192539738127e-12,0.7552480757088227
6.147956915128936e-13,-2.6885943764251882e-14,5.018191562727458e-12,0.7552480756899799
