alpha,beta,sigma,nu
1.2065039540548856,1.0197172395314962,0.9538374418041503,19.357242386028943
0.8247900644123529,1.1626157151590772,1.6036003549582094,12.592445123440005
1.5520556942862587,1.1014029484330894,1.1695615894958924,13.933489039559007
1.0752590424188055,0.7401780215009275,1.481244436500213,10.396713864017
1.1287990220574116,0.7523094952406836,1.4130142591457642,5.571349739295474
1.721683486125596,0.7656988844832342,1.5219455389211134,8.359178550637814
1.7619178238141697,0.7417365259031488,1.548594003632352,10.37379420367654
1.2437989878175466,1.1125039507427166,1.3656570650247042,26.322089218413407
1.1787809347956617,1.518910675165604,1.7976205407757488,8.610862721803088
1.1402493892137573,0.9422952401369152,1.4770356673730995,7.750795838470305
1.121691170267507,0.8280752814188085,1.355671774665097,8.078346992612083
0.853655836302939,0.9430004325121862,1.1789555192509875,13.228944352940825
1.8358607632776058,0.940581767823035,1.538802807857338,21.762606326713954
1.4508020693974153,1.243902391710202,1.3429569638676038,7.322497662357107
1.1352664815837106,1.5199627976121597,1.172484196243388,9.649002560503789
1.1609817089076877,0.6105945272817066,1.1048590471466126,3.0097079728489633
0.993106217746179,0.750252569953409,0.8470871684246808,1.7938161362078742
2.0346297349375937,0.9966153107055113,2.0005859857629997,32.05168245526017
0.9469055382292769,1.0286374822345576,0.9884997709225184,6.489955160659798
1.0363064160368365,0.7108812600255955,1.280512552938964,3.907413395545474
0.877869047083755,0.7672913223431337,1.2015085744036322,11.904460081925423
1.5878335612726016,1.2695049346194445,1.8191546523857753,12.907933198121766
1.811639114188434,0.9409133695873199,1.2643912869177634,17.668703634689205
1.451183906534697,1.136231252930531,1.4877092098950013,6.7656039165782795
1.2933563457457562,0.8515055190401266,0.9959907775689,6.657974033110653
1.7160509117776803,0.6733290406579431,1.4416998866679933,30.01539389242779
1.2518979072695695,1.1518412765763344,1.4353146623853,10.683181412815912
1.1929882388570487,1.2798436285286987,1.4621898924099113,7.203301120595662
1.2321886322116176,0.9503992295014115,1.3528198591640914,14.992948855833454
1.1429347472236158,1.1634059123630647,1.3761417903496702,21.55253146492848
1.2680850638044565,1.611960910245922,1.3726728048219394,25.137199177125666
1.490330374654469,0.540291942396382,1.337916210274225,6.914554874548132
1.6589596461585028,0.663876809564625,1.4074998207700506,5.029061932586595
1.1132202783574914,1.4090888583974837,1.4896670364488338,32.03234765999421
0.9298361936201783,0.6751368129923931,1.286090783045485,6.776609785292341
1.4247924732599522,1.1050046715103126,1.3503412432834507,11.635069251642499
1.2255516818317556,1.066152764222767,1.213555738249827,22.43639866647189
1.3054750106663995,1.534778583531163,1.074496502078445,32.44570486229493
1.1800142997514715,0.5784035112220277,2.2819084973601287,4.434292485237543
1.1039231913223,0.7854174367277524,1.7932448587684064,9.300162470348512
0.8975179949201474,0.4755710164833602,1.8161019384159192,11.664859583229834
1.9948096080123272,0.9482351433211476,1.280099942403926,19.85422801784377
0.7917701429482817,1.4849237844586158,1.6005647401313303,22.978152876197306
0.7981715432977244,1.4606461251506013,1.5562689031508934,22.461377893873163
0.7974124920431871,0.7972425030930474,1.621640606893048,10.548208615943604
1.524233624933431,1.3709646735909755,1.32097675439356,10.297765590191238
1.0830379141334388,0.679059041418089,1.3345807120577853,25.837949095907444
1.52144378059691,1.4279439751981873,1.3127257917660573,7.95365136160691
1.1169329599078592,1.0377138095964595,0.987047932863042,4.103635728419404
1.0035690268668496,0.8897836908983926,0.966847841329924,3.525481038375007
1.4523162862315258,1.077332192950492,1.6350264956787268,28.103429576052502
0.8724179280523391,0.9036929350575789,1.161808777772935,4.580188650683531
1.168892683881868,0.8257463875879291,1.151339705825093,6.360707692945854
0.8463145188278685,1.9422067564878789,1.6727640459763047,18.54181613132404
1.2436425751487044,1.2683162589978378,1.4744564499319328,19.05969653732704
1.0179971149816585,0.5543485934064205,1.2029517724524508,10.145729920639354
1.0318875697365795,0.7690968153902855,1.1304586279366673,10.688471847641853
1.1912295136488305,1.1229733959779695,1.3431392753976532,5.879409186913998
1.2320724466491273,1.1573507479237832,1.3820612805640906,51.31982302349243
1.0508949758654902,0.9565677807192022,1.2438089643197083,10.627600063134942
1.4929863848990577,1.3168415522794386,1.3490989887692106,9.75805563540589
0.8177968724456581,0.7777224833899887,1.647489119362086,13.366788272987984
1.5606005132853658,1.0532930537080107,1.0930187858401155,21.04585317782374
0.9627579739358851,0.9223728836140178,1.3710523502881993,74.51654923037864
1.02931465917836,0.7938638981584367,1.3705253004675801,57.70591078274882
1.6084491894044022,1.1772696345049591,1.379591018218026,3.605663398134258
1.4156093711508906,1.0512391215177666,1.0629804788690265,6.85658685788786
1.6209351171618098,0.7931505437746809,1.5372352587239275,42.04435932429327
