alpha,beta,sigma,nu
2.5265816764292444,1.9851356253009795,0.8132009573820973,1.9743545531701918
3.171018020366143,1.960904335377921,0.9639387638319116,4.464999063324788
3.012672031239712,2.1463949804656255,0.9819031369493081,2.7831766273450604
2.881022619642673,1.8498871119441667,1.0572565140623718,4.46913334248964
2.696683948755294,2.1108138262452973,0.7364589830837713,2.2983079316977495
3.0332050438195965,1.8351060588114831,1.1036837202452403,4.408991167928413
2.756529478682289,2.056236546983641,0.9737549410778112,4.513034647080464
2.8127506403136673,1.8896525066863485,1.3822048901602992,7.713295025017489
2.5857394455076887,2.477462507127574,1.1865677338111331,3.2457609703146084
2.723261548769176,2.2021966065922447,0.8807190688951244,6.620056774427552
2.6758094146379556,2.0313745361409112,1.1253425610160617,3.0300748304425866
2.48278824381658,2.087423423607095,0.9397522032973813,4.910035658866105
2.3167322544138313,2.2256093392827054,0.9253834985933,2.7021452357237505
2.555841107259624,1.897888442730062,1.0126654997288966,4.689554237179678
2.8776695161145605,1.6757757254701104,1.1758884170696284,4.342045486427179
2.70138938870779,1.6601310542108,0.734814458165133,2.0766679483376818
2.6484726606716635,2.081136821524979,0.517100230956178,1.246072403462492
2.548250583333492,1.7095504567572077,0.6027754123615676,1.6065100874776326
2.833609432302085,2.236115107533694,0.9326273847979978,3.5529138519809877
2.493243431637048,1.8982183102557026,0.8879144581182575,2.61941136462781
2.836767352956951,2.2750355857090523,0.9380033073347387,3.474222349455742
3.243189071519823,2.254901191264859,0.9877080470780432,1.5256330184267222
2.7960477889217277,1.892824031933559,1.2893597617826842,12.303909699480945
2.7993584219735945,1.995184255397062,1.0068016675476739,2.5893937154535434
2.542875314358703,2.305902345784493,0.801364867053127,1.7466648119904067
2.1558905749555786,2.3955359573020525,0.6035348764102698,1.6821652294565694
2.731355347403017,1.9281891884162832,1.0816449782049526,7.086110816989246
2.5738877353242713,2.2300073230056174,1.0456143499820585,2.1978803204410395
2.3936137539344577,1.9173569049604908,1.016078913570813,7.921928084333309
2.601222075579587,2.2803490622006195,1.3428904151243581,4.93544810537563
2.666516401622545,1.9069473350229553,0.8843280494916624,3.0007636038920293
2.377947187838634,2.061858698589359,0.9884592874438382,4.113853767853625
3.0858261126227924,2.171784349948842,0.8677564376572786,3.6186235854435647
2.641247111661328,1.936797997978231,0.9801916675458828,1.0738481333968941
2.3205225110515553,2.1716451477392655,1.2699838825386545,2.457948588333313
2.54077017679543,2.1437380279079203,1.1489116752957644,4.028108331114739
2.5362168393243696,2.1326708396971474,0.9908539910582688,6.469279491204759
2.5543258303345677,1.6759065325979317,1.3024973221724343,2.7876908369195497
2.720496559481357,2.2680772676752037,0.9562768514958849,12.495690957188222
2.7423098232032603,2.2006609458490196,0.9909075500614222,9.187289353931927
3.0113009697348985,2.4849869770015127,1.0062324323368264,2.0817056001731102
2.235172953381246,2.4157308029636666,1.0201656626829916,4.710105013891091
2.831073578490537,1.585890965090428,0.8176096016628865,2.2527014680163133
2.515481852900768,2.5715779946099198,1.0583845827481495,5.1390683145921265
2.6479651279563345,1.580877353637847,0.9923494613143351,6.683250711579687
2.5350349450291336,2.1407423719263576,1.1463508424894464,2.720895358040036
2.5493553560932596,2.1250257728895527,1.0570744571054476,1.8220621182767094
2.8187828453396637,2.0009086973896384,0.871537426693682,3.646160663565019
2.7855524151405686,1.9686544203299543,0.66483790900655,1.541663842386379
2.8163599465106697,2.0557198975968114,1.3162550270033984,5.871159616253972
2.416762020246741,2.0143858436216786,0.9215838309943372,5.653596945287143
2.5521574011813435,1.6874251394297566,1.05862274579807,2.177499693994218
2.6030741653385725,1.6861149338378756,1.0137687054294022,2.562686003454781
3.119253020619064,1.6647142052371633,1.062175860933675,3.399837141721486
2.998526668425887,1.7884991055257544,1.1239970587906116,3.2646390671279697
2.7054707547680072,2.458363349257749,1.0376473515061457,5.683083829929415
2.7285215745292284,1.8871905902073753,1.0398290981536311,4.223985352921374
2.6452988517223583,1.8657028672431437,0.9870017721164916,3.3682573992720877
2.5633769486800517,2.165075948458142,1.0805920428163573,9.25136040415448
2.739764170844723,1.9591137748973706,0.7762938757012424,2.7889076078490045
2.8758013253495482,1.8188030751656445,0.7162898896102563,2.052360047593619
2.458777709403246,2.3389260160717447,1.3528778438992755,2.786968092385602
2.8485746448937714,1.812641546980367,0.8207146761227188,3.7831163695442114
3.0791322129100225,2.181767121101771,0.7535006871986868,1.0174685795242224
2.9040501142681707,2.2565440579842533,0.7647103983792659,2.4186874136505905
2.6340075690872498,1.6933402080792166,1.3448670982689053,5.837082592885297
2.5756466523465815,2.240071937079118,0.9353514590631361,4.797546932450842
2.8092794110551336,1.9288780315351497,1.347194231229523,18.584638517494735
2.73828350848901,2.082498279535757,1.186791228705987,48.035569813808365
2.5448746733629224,1.9444841138423874,0.6548023192769467,2.825669410959417
2.549359181041435,2.116308925794199,0.6515709534745189,2.4373377704026766
2.605264557498755,1.9940123956566673,0.8948425103617581,2.9048667026149455
2.6218700198824116,2.4802789944996175,1.078840663911703,4.625962104112421
2.558397883292615,1.8131653325163455,1.019226527548092,4.189291669098543
2.5631960213166063,1.8998508053211183,1.2223928417007368,6.712710033530717
2.6624020250750733,2.194279555933591,1.033143419193386,3.5578280275301526
2.727882074524261,1.8429179395705466,0.9056810961541243,4.256575792775854
2.7171538094961347,1.8497290704975793,0.9774237392653626,3.7263721984133764
2.7678799170033046,1.7763607998876256,0.8821374286061908,4.857591553887047
2.7516717974320195,1.7837718325693888,0.9241960922774947,4.266323658317788
2.5266797183872303,1.6594989988097864,1.4207496070188788,5.533796639192286
2.7514250824758095,2.071268329517772,0.6942267556056314,2.5622638581258808
2.4686475944155037,2.066219648371923,1.2068053332414923,20.96804189974777
2.1893924666106925,2.0039751900331106,1.3142400094703777,7.215816345391011
2.6150634627126474,1.7145551115060422,0.8724923644799125,1.8792213713794084
2.691631461321987,2.375790093695248,1.3276027271156732,5.49897717664588
2.948871577067378,1.9335245006588613,1.2500854731002626,26.54202582810188
3.1320398288574345,1.6227980894136036,1.5599396321716237,8.770154991582459
3.1417404643487665,1.7421262094120646,1.589709061369062,5.346826495963561
2.3622863864723653,1.9368239067356996,1.035273033624055,7.582034401468144
2.620341424013885,2.083982008520848,1.104040476564741,3.036004440149953
2.75069678154211,1.7641277484430002,0.6933741421786584,2.453154417510953
2.9386046346687955,2.331291646511635,0.9569621121134761,2.117281721128024
2.4234356442616103,1.8645791986797675,0.7464087148935787,4.144175333700054
2.7940457179739817,2.300741263761502,0.8116740102973273,2.518896113238874
2.597575131615019,1.8178951539730237,0.7330640596839745,2.5303911991332693
2.815082200808472,2.377571803847171,1.0606574015378902,9.463612277930553
3.064294798988657,1.6466028688014371,1.3365427000807615,4.2334354736189495
2.571633985808738,2.2367581762681032,1.0136984763839074,2.4431384946452352
2.501037730211516,2.405979515398126,0.8678821968809898,5.8809322584729165
2.400626356768119,1.732161447248521,1.043222905056331,3.210398785219558
2.1965769854449726,1.7351893165621795,1.027312358543638,4.893338969408021
2.51296163705118,1.8827318314991994,0.9116054101655062,2.5435962478495604
2.4638391617590196,1.7034092197187898,0.860451048982197,3.368583860296094
2.941797878331852,2.414402604800976,1.3048885683573892,5.866942906163162
2.4731240870026374,1.6111514829717803,1.0923114397501348,3.291741109611953
2.7519203470640825,1.8200096931192162,0.9602622952734594,6.541127286061225
2.777502030636388,1.9732100550183924,1.118851607718821,7.641058902741932
2.5244833241657365,2.3991631761020056,1.1101208311561532,7.261799750038758
2.432728554678773,1.8346353739452075,1.1766191214166137,4.376499498541194
2.581796776958293,1.9092475388791852,0.9483777445729684,3.7522606613419813
2.6692957111979867,2.0040139496812084,0.8949469481500465,2.96409750222407
2.7231287620200337,2.340943799308905,1.0807193511555524,6.409592953949513
2.697252202582515,2.4515474530752983,1.0837941734094723,6.211859766474967
2.3251840574033196,1.7785268977164848,1.0532270566864776,2.4472824161522952
2.0458590385416477,2.2258368833865396,1.022557571357566,3.9785957641142433
3.129252287143057,1.8649306168631272,1.0569098676955209,7.592950558539138
2.47221352590781,2.1836804850047544,0.7120877854715016,2.0338395326861534
2.5139242128652595,2.073975966334538,0.8329840555643405,5.99289638970834
2.7305225768558987,2.1116309784839125,1.1055666385980394,2.419312140299168
2.655825498233302,2.153123311788071,1.1002573840433003,3.435067433009064
2.551475575043014,2.006200431602856,0.8815051026416555,2.605837468291236
2.471655746772171,1.8885551608937954,0.7564383998930149,1.9747366245356333
2.4615716500947813,2.0482018042371744,0.6206091717594845,1.1732369049515727
2.65662331832674,2.0931925200936194,0.8721750549395446,4.423004632203504
2.7915063101432747,1.9530582501457077,1.0635884737764612,5.21907688746368
2.6174858533351757,1.8606000858991016,0.8298303954663695,1.4944067951886848
