alpha,beta,sigma,nu
3.5389018883394194,2.1060872421075243,1.992706252732259,4.424806807475698
3.131898772603832,2.4054913695221365,1.6625758653268528,17.395265966853195
3.795001294309958,1.786122737160556,2.1074971930663016,10.885792037545166
3.8923524858932725,1.6325129999728973,2.1588704790864033,11.330934103163985
3.9237986293708924,2.061526711142061,1.5897360129248097,3.867758433622661
4.147237155537712,1.9755099926230117,2.0310083149185125,38.915941902178155
4.233935213979693,1.7973440531237854,1.8924016909235877,11.56018137140339
3.3281179865922605,2.5282357206461166,1.3922266493505517,7.0455352877872075
4.425171424902187,1.9956938678270753,2.732744306671485,17.471049937453117
3.6404608212077143,1.883740463764836,1.4842579077993734,8.89960273105215
3.619951953499083,1.7967569430567527,1.4393147994029607,8.790439869707537
3.633228697954542,2.630993603113611,2.167624520150661,16.691247956017932
4.186020673726634,2.061759041482149,1.9706282330177347,24.68023114901327
4.043275542381269,2.2351461143089426,1.7246856270508066,7.726327093214952
4.295853713747753,1.6423469400847597,1.9176792184146385,9.585610957588361
3.342529231027752,3.2923874325734097,2.2503995168943103,13.27201763577526
3.5565106194891456,3.208536778481288,2.825332717209535,40.371534489105095
3.4380232922655947,2.5532812996701453,2.5072513614895806,29.968869449265902
3.3138825557337297,2.4825789141514676,2.2527364687429747,21.304134742414142
4.330884474192794,2.1222243287216345,1.51124295932458,16.444874308470148
3.4623194600630747,2.25829146629315,2.1197953810643915,10.926922966165213
4.117473039364366,1.9935159545736283,1.6719834377066485,13.86819688127375
3.136792565297682,2.3169086099380474,1.742990940728403,9.175589042050653
3.650698432310493,2.101369989664162,1.7203612680536977,20.88344167005597
4.154343222196464,1.5731913296748266,1.9807951096838345,39.75809594570215
3.7293781763383747,1.9686326454126863,1.7627348305305528,14.777027619725857
3.7786648660836604,2.1618181657782403,1.5405223889471351,7.994877499244764
3.8639872357080765,1.9763448041686256,1.5058945215623198,13.17484638689086
4.066740757847816,2.078246072480931,1.4243953160083516,14.22947719754765
3.776554765887963,1.9584033445033935,2.0952773201149686,5.9598037485722966
3.876680609333203,2.771294606304638,1.5970945542763537,30.733779076999195
3.8961460141492377,1.6384963500334506,1.8605767591711786,7.797227964668859
3.3017470025511164,2.642082486659909,1.9523286674623503,26.28757252132823
4.601087046649278,1.928062568571277,1.7486252776461588,14.019893601050116
4.128732350429786,2.1592901977439203,2.148297703331912,10.892679268099291
4.263727824648502,2.1592839793830754,1.9841225624946381,13.042279233762653
3.433615884316895,2.0907821821324672,1.6051373336440988,17.830283986229315
4.302625547230053,1.9781059479999659,2.3052021022148943,10.431373649098841
4.247358757055377,2.2261583706951593,2.8374767167381125,5.647037662510903
4.279420247135829,2.15029768807731,2.617307887071782,5.820813111673349
3.7577227279119416,2.310146254762202,1.4960111237704627,16.487792495661555
3.0067514107058417,2.5855605820722785,1.777579484038274,11.687769251992632
4.66511363110807,1.5203972498322242,1.8540057924624833,11.595202835256446
3.739681748140007,2.2476654971659316,1.8616293388612415,15.636662659723548
3.386734804955876,1.8682608994517107,1.8227194533467639,9.625870955803435
4.202027673112266,2.190202282617707,1.7283714507542742,27.979643156568176
3.2168291956379904,2.2276313683217657,1.5456460816740438,5.483226812160952
4.3423343059888895,2.1134674188046554,1.9460433065870943,18.728319810296494
3.684355685958422,2.3031076825523042,2.124058045756003,30.511217432060324
4.503738966274238,1.90144834306928,1.7772540158575927,11.125192786810892
4.552017944121062,1.8825662601864575,1.699629621936781,9.397323089636524
3.555855674298047,1.3793660185640493,1.851492468425804,7.447942210004423
3.9971234814653624,2.118343750178786,1.7884101557917982,15.032254503789556
3.8975588268060783,2.3008094330223936,2.4772281414890496,9.184195057812184
4.193935386740621,1.7953504194196792,1.4989113479893093,18.458162618586794
3.607825482767852,2.683393644767204,2.2442020429553655,13.28694185465062
3.795566929245232,2.6211276129958883,2.2828726915271917,13.166398986205637
3.5196851805316287,2.2393977101215663,1.8060803951253368,8.883718614002946
3.4906203205771824,2.569745066413033,1.9072685305115293,30.477508113235945
3.744364734732005,1.808279061147151,1.6508334039214958,7.379756364738206
3.430397687007372,2.4529646019946707,1.9175808303848754,13.521340934226098
2.959413686222547,2.0182706643793584,2.2224862469601026,4.815588704197814
2.9021837306655605,2.177287044915364,2.3124710606743415,4.42129786692996
3.980240124349115,2.140391812672119,1.5319557543085658,25.880233609361966
3.6263466537073996,2.314087943216199,1.9705289584238659,7.233370148582576
3.399951217224085,2.6190421853386354,1.540780403574478,6.472145201173858
3.714414681202543,2.16832021099942,1.9291733541964302,15.18436468299065
4.388779295606512,1.5692416933145252,2.0415611261190327,24.537487240464873
3.5396879909693264,2.641060172152144,1.5909200003096007,14.369657893933706
3.8138660481641473,1.6912548117956554,2.100199250016664,18.64303710766068
3.966105404983793,1.6901683718327525,2.229873527792615,12.967586661743338
3.966608294717051,2.269174238851181,1.5145094222271605,26.449079055428044
3.692791452147295,2.0083745097934096,2.4156883391225703,8.591267483244593
3.5798396018196117,1.85908647011957,1.8250676839154687,12.930938677176941
3.803484648854801,2.310420436427633,1.5312827109251363,12.155480524909644
3.7730167329959845,1.78363876817669,2.1616467912229,20.699257654297018
3.73482679911049,2.898098646464769,1.7641604265434905,8.581076315133418
3.77807809823107,2.4916910148167597,1.627791115198184,11.696538491351069
3.8895738505059088,1.7908495270916245,2.0402701588183465,17.964540812706364
3.8489303337405776,1.8231891730645444,1.9076159995825495,14.98887917649622
3.8877862739276163,2.608115705580822,1.506233777152852,9.04891218206154
3.6109917616541813,2.0755797906159374,2.1218722090116904,35.55964577167137
3.9558334454168214,2.3525335719313185,1.4394204696532236,6.799901510329181
4.090298207950287,1.9491097849067345,2.1461774156247606,27.71158585469623
3.5246826766477217,2.751829514278673,1.4210581609630384,41.310044972260265
3.45633851871827,2.5851065637498523,1.5662827004923408,42.32894658671354
3.299184082106231,2.4527340319984425,1.6847434979148104,4.3638861243717075
4.534877110952304,1.6373503448329843,1.8163406711323555,24.290110334760136
4.005711615056407,2.5190251871753975,2.0173298733146057,4.828822374414012
4.005478603109889,2.7535453876171907,1.895722608540551,5.415035811677033
3.829895324355612,2.4938668603217695,1.8784159482364535,6.327435992905466
3.610744271164487,2.7129258344337677,2.0603957273388813,29.209811014085137
3.9379718769252827,1.6279536358560218,1.7672381636421208,6.809480365518542
3.429854880281528,2.246560923269168,1.5724958008072834,7.849354229288521
3.8036384220685844,1.7557642152003756,2.0778347194213045,14.674107481892294
3.7714087743258875,2.4377124561191055,1.5217445235871345,17.86338671255279
3.6259202835463684,2.466878146856669,1.9150324940052335,25.497335491882215
4.492904233122561,1.624536819366597,1.7987384478336488,10.242195717398442
3.2133679599468437,2.311252080157025,1.4928653365016362,11.785145995514243
4.350882668463056,1.6426207373032893,2.0980118588132477,6.224766486304073
3.295497637911974,2.47145706226293,1.7696528089374663,22.14197948503214
4.486241097524806,2.548590348842439,1.9878953999639244,11.603240673757956
3.9692241016717977,2.4279413969587584,2.1705279583588397,23.79327087827847
3.7653226038138126,2.372237313205701,1.7542078668772176,7.0220540690832385
