alpha,beta,sigma,nu
7.302944951561423e-13,5.520868330962104e-13,6.836526729818658e-12,0.6578107630697666
2.0226665612646033e-12,-1.340091118292761e-12,6.8365269587893175e-12,0.6578107630595857
2.2108813008514414e-12,-5.490308290587048e-13,6.836526620581773e-12,0.6578107630583035
1.7323803328509133e-12,-1.1917737678758125e-12,6.836527008927787e-12,0.657810763057729
-1.464454111024879e-12,1.151505674555681e-12,6.841347659731051e-12,0.6578119325156583
-1.7509393089027202e-13,5.4987601166908273e-14,6.841118463149506e-12,0.6578119382604737
-6.601466659222059e-13,5.450182390676372e-13,6.8411163184909995e-12,0.657811938274896
-1.0832717135559302e-12,3.405091686760893e-13,6.813004363169032e-12,0.6578116489874735
1.0802440901555272e-12,1.3890170744251773e-12,6.821667346673813e-12,0.6578114372325244
-6.935735562811386e-13,-8.065045556263704e-13,6.8175028892298225e-12,0.6578115889184482
-1.6018521476762438e-14,5.330984660507926e-13,6.822273037594877e-12,0.6578116122616573
1.5437915717827684e-12,-1.346733062894323e-12,6.8356957091434735e-12,0.6578112005636179
-1.9740631094316478e-12,1.7030182907624092e-12,6.835695214104031e-12,0.6578112005151305
1.9900364646719596e-12,-1.6126646016330065e-12,6.835696059632088e-12,0.657811200470185
3.425429370490918e-13,2.1997760149093254e-13,6.835695623110356e-12,0.6578112004733321
-1.1450389440748284e-13,-1.5642737108963138e-12,6.876080178129354e-12,0.6578117590508347
-3.642875299658631e-14,-8.227206852823913e-13,6.849992687010277e-12,0.6578109139860225
5.482842718311069e-13,2.0925459668908283e-12,6.8499939822791585e-12,0.6578109140055576
-3.251482260795382e-13,1.1418147041372479e-12,6.8499936159365195e-12,0.6578109139918358
-2.5820492623707785e-13,-1.3144794994960277e-12,6.84999360910872e-12,0.6578109138448915
4.98468491898341e-13,1.4931784073709022e-12,6.849994333036269e-12,0.6578109138185434
-8.230777880366899e-13,-2.363129389241237e-12,6.846870266241611e-12,0.6578114760118904
-1.4698870227801752e-12,4.811838279457422e-13,6.84687209800054e-12,0.6578114760402191
-7.845479207595695e-13,9.582795484834867e-13,6.848478119451517e-12,0.6578113551776795
