alpha,beta,sigma,nu
2.4640297148681314,1.1025029581929704,2.0173015343709775,11.909272689970974
3.1932226489823448,0.7385745119197694,1.8076544522372406,11.219572810765909
2.8676509533830297,1.3142286318041707,1.8826091298507037,10.365453853214433
1.7644679389844207,1.0248899844229267,1.539139565383002,4.441914999624106
2.2440807237885747,1.4575919287109578,1.3757010765498707,2.311704058763712
1.9663731612058544,1.6476983515661814,1.2388349543942223,3.3686150175678695
2.7411957050769082,1.1358789385571748,1.7690637641753362,9.367246729434934
1.9626122222383664,1.0347141851516675,1.4114926866274362,17.501800668188157
2.24988188854947,0.6785120916467926,1.4085030340991807,28.00902402650307
2.1410561877384935,0.8487135500840514,2.0382906799299936,11.16558171804729
2.1094307922179847,0.7205792869365997,1.663353236987488,11.782457444604876
3.16419517774927,1.126844572417995,2.2132921897397564,6.591674156039045
1.5652598481831925,1.410763046388444,1.193461927209959,5.832397656839228
1.7464456027879218,1.1734306869708038,1.430435515397615,5.2185707409082065
1.9660699650759839,1.7249932646597126,1.5036574604629067,4.396487480308694
2.1988507929120726,0.9412761481633303,0.9831787913351394,2.0910022061731692
2.083166379522248,1.4933156750167167,0.8473158499149961,1.1607885929566757
1.9016717251660151,1.9592186135025431,1.1976740453674901,2.79368222837536
2.1438675761806487,1.0931029135199264,1.128204072887309,2.0054870142117474
2.467695024486118,1.01372150762413,2.1965265982877282,9.213369711172001
2.2658165081475268,1.3504198772765077,1.3120925226201232,6.152360642131226
1.4699825130336186,1.029315649123686,1.8952766703444113,17.88990730752923
1.4718068714271564,1.104598512777925,1.8626640596677897,9.682471450001865
2.26053683243234,1.0654077591990057,1.8214783324379276,22.228603123499642
2.1606032160058732,1.5697487919487545,1.5341054513857935,4.389677680510671
3.002371094068941,0.5933961574930542,2.062656933520336,42.17420913557425
3.069296576240039,0.45814091887202424,2.0022700475048336,38.72797749342932
3.073283909307215,0.3529020190747958,1.9355506083084992,50.552955065027305
2.8226789213072236,1.1589132867375787,1.931909151526106,11.943088430367878
2.1713202397548366,1.5882392376320875,1.8149146691184712,25.802470640757278
2.4347536157033565,0.4901481179570729,1.5534551632563252,4.406347234155207
2.1940907622744255,0.6139633111626447,1.6513606463272297,5.258237005660287
2.4707418777875603,0.3209576150247522,1.5844810168145276,3.587649939141742
2.548078670061027,2.1125328945144695,2.488585465123734,39.22576487192746
1.4198943973957185,0.7862611519196372,1.254224769860547,3.40912452878527
1.5457534188551105,1.155977679090309,1.4314111084519008,3.4418912569998015
2.2501993554382675,1.3259790120458224,1.591174094232854,3.9981577382597155
2.273685782920976,1.7375361250861476,1.3608121571516147,6.485034677567683
2.280980478945753,1.1992298570966953,2.4089166810258402,3.615892671449899
2.3748890197138097,1.1038028685583874,1.8682445712060556,5.581331930761729
2.0358690052117137,1.2763293186733553,1.9944960288558127,24.8864022113521
1.3442613681872793,1.4037021826305993,1.9312513209113296,7.595167564624019
1.5175880278524727,1.83553440547682,2.0259628656080015,24.58798312011255
1.5318909923810913,1.7926946232460494,2.0051748632995556,23.133966903819044
2.544506905283916,1.2600271872091693,1.6924839011092063,16.527510019715344
2.592753889013175,1.1256695015939406,1.6681030225045106,21.043080686764565
2.1439810988565613,1.0401599552505139,2.008626452557922,21.204548423925747
2.0693049163751707,1.1426528647271808,1.5091016444567904,7.756536912673634
2.2339548366461903,1.2034163319808402,2.059467239896176,26.806913538334285
2.9169403077873346,0.9240753617137898,1.8169472728592813,12.237228613670151
2.0241226721248027,1.4527959066642886,1.6507470889743097,6.96030716267513
1.9379743847906037,1.0022221787399417,1.5783122168975166,5.4242393110142935
2.5219056005980973,1.350412114538789,1.6674299800760963,11.18837029923825
