alpha,beta,sigma,nu
2.112441600242737,1.5868601540181382,0.8193665468004441,1.5434274443149467
1.5470973597564828,1.6934280044052208,0.8212199302890253,1.6900380455215485
2.0117757220218278,1.3744069113098445,1.083048436451409,2.677049149482911
2.165769319484403,1.6280376863401438,1.0780858690671724,3.2167624079800077
2.0578423619129182,1.5262926761075284,1.5957680180842366,6.748279565559778
2.0889692198825545,1.6190423289977762,1.6135750640185087,10.43093690559234
2.463221832330402,1.193019260104214,1.3815606676906267,6.210910085971823
2.044404277355095,1.4859676174965801,1.8090373616339597,3.9858711996165423
2.0772125141370834,1.3315601981953382,1.3882257094695252,6.408365244494068
2.2819394564903273,1.6200258024009626,1.4589759116598084,2.764083789535875
2.060592413034287,1.3660060315817841,0.8356740852020279,2.804775930423702
1.7349679439564074,1.5569798726370032,0.7274312171172134,2.6050104384103734
1.6887383044904032,1.7136832616317839,0.7929543661501857,0.8988435037048215
1.9758537680187978,1.4763544678523717,1.8344010687290913,13.477545557039734
1.8968800217523032,1.7623967810872239,1.3410743573993493,1.985661553691926
1.9585038924642566,2.0609489762368067,1.7857206951959739,4.61941104209353
2.123859959762237,1.4503473841958996,1.146336076182587,2.026619702886484
2.2502239297901365,2.104093371876868,1.4363518727907891,3.559655916154583
2.4509336186025825,1.5018857398859056,1.4765260528875637,8.742922632167879
1.7303416024521439,1.3916372948858815,0.8775633152677879,1.962951093191349
1.728668873900475,1.359398108454988,0.8818306317911969,1.8741611542041972
1.4044767540673142,1.368770940573155,0.912515374965483,3.7053244402766317
2.8190391610179426,1.691510035328914,2.204376658502137,11.992736678196897
2.682753552140088,1.4842926277639974,1.1736343647131748,4.96573080180442
1.4238462259053897,1.6135362511557758,0.7033668381384568,2.003502556747606
1.9700852078947253,1.3335479059501663,1.0684233545988169,3.6820148364582543
2.3844955258603386,1.6923011680102304,1.2099986934672065,6.402320492469381
2.1681213833361217,1.8016065003095125,1.3704307490788907,1.7276400378854377
1.8562540109893353,1.264620610598094,1.096240147224583,1.8918376248668973
1.7899432934595518,1.5684467487126867,1.1037319327672221,3.954919952325211
1.9904242430127923,1.9777933288793255,1.2110927324248661,2.7453113904560276
1.7131419880811576,1.5276068492679462,1.0956019927242637,2.74272890782458
2.421327761689415,1.6342622484440108,0.7783875705617538,2.2295519324998634
2.235852218145426,1.539498057268046,0.8540594179575594,0.9930833193420961
2.3562888810113973,1.44161647457841,0.5497825640991966,1.9294907306131415
2.0545832586368022,1.5372198495178315,0.6260921871722614,1.0670486283016134
2.066185571093835,1.5187322806283143,0.6807532001106703,1.2597089899868186
2.029287230086908,1.8934621862640015,0.587652716027242,1.4269651308539126
1.981490643589403,1.5806127049372596,0.45119220703780116,1.5999809833379157
2.0481071136439275,1.4731535878513047,0.6277285936778233,0.9153736108554474
1.7809754121708536,1.2086834929157517,1.2066177422860924,2.709438938065881
1.8161111510106984,1.9086517849470706,1.073610125762567,1.9878147478759884
1.8475665420369989,2.0413045733280932,1.280138510625454,5.044184572588879
1.8354281397709231,2.029959240279575,1.2807850699022512,4.75084366044788
1.7508117562118783,1.9447236350313994,1.4190916827942315,3.7174771513065688
1.733196513150284,1.9522373340274917,1.3631578620682023,2.322783384213883
1.9841260343589824,1.5251708473386205,0.6880857572587991,2.0957103241065256
1.8641722596404133,1.5895313904303865,0.985749512327116,1.772072386520526
1.9861350468256032,1.5909183298629654,1.4308963921833193,5.44942056217175
1.8615320756492264,1.5020940976137265,0.5973862150108141,0.9938402072942599
1.846155763202963,1.6006189148412429,0.8081757562956926,2.3287677572240115
1.801630999307075,1.391757310912121,0.783002529552601,1.686137563492405
2.1934184802701924,1.7110335862546895,0.7922586883794505,1.6948448404734144
2.1077893585467566,1.5041779656762355,1.066774305532954,2.290957872496357
1.9444334684855118,1.6476204921926394,1.0952026093140825,2.2152452969745067
1.8692645369399272,1.3674436383473951,0.7144763921481189,1.6343637262018897
2.156209365276834,1.807647103079466,1.063089931374379,2.981900125072794
1.8237945893895893,1.3656940658528653,0.6148816730823883,1.6085764479400162
1.830978084609388,1.6773867090225314,0.793875734183468,2.4828735830381596
2.2791733692022014,1.4513791531042741,0.9262168345885045,1.9797197844908074
2.288526406617574,1.345485602525145,0.7708397177707608,1.6017133291855845
1.6528222025339383,1.7838855128139217,1.036923390203458,2.7796808525259658
1.8190102504619166,1.685131596152025,1.1238953768317135,2.0481605787643193
2.3017683951431778,1.6727729903900974,0.7128531293533699,1.0757093755529712
1.901087361121052,1.6167451927504026,0.7767061254560732,2.428724239331908
2.1660588166606933,1.3056304663747857,1.0048962572300122,1.8383645399980826
1.9059124999983195,1.8175983054251028,0.7321102184948935,1.5418915372794852
2.033090337087578,1.2796429234148972,0.6249179803360326,1.2186220285327334
2.009653220405284,1.6380261416682216,0.6267071210105515,3.27188340566154
2.0181865950630726,1.6976139258214478,0.6403498990057834,0.8913116138106051
2.0906934240151376,1.4514602834465542,0.8631479798669465,2.720268444122224
2.1495284615237957,1.540078812215869,0.9971268043540631,2.065050370171427
2.100625086015402,1.2276641344786823,0.801685835063104,2.255736914698761
2.1058766808141836,1.6971265398863884,0.8162843166961501,1.4829155550155013
1.9756101375260868,1.409373965195247,1.007478668380852,2.607418542596465
2.092018389082163,1.79183336536558,0.8036618608219422,1.3743838779679034
2.1187099450902847,1.429515508887262,0.7301275131347528,1.9282745315464176
2.0641625428114887,1.4751805426028577,0.8631687021007163,1.4808651771889445
2.1068517791205514,1.3663789525329932,0.7414560021523795,2.2806763126276777
2.0113475779676717,1.5410828076303618,0.8877411454625148,1.345349737771935
1.9043491085983826,1.2994321451416488,1.0986354374045217,2.3297938338031376
2.3346451102091947,1.6178175458335518,1.4498417359337208,7.896786112619907
2.2883146788298587,1.1269109861024995,1.9544257361313107,5.702580906696368
2.310816795037682,1.3870554418110541,0.7855294105168876,1.335019104906595
2.310816795037682,1.3870554418110541,0.7855294105168876,1.335019104906595
2.2069961278610517,1.5942467837337468,0.7555420923060461,1.8252601871591199
2.27427854310354,1.3990386580470942,1.5918759092489512,3.512691203845074
2.6675802594892115,1.126847121555416,1.367141019227823,8.71011435896061
2.386013047380168,1.7438839922986729,1.4161613489841922,3.3189017921758515
1.901019534773775,1.7902355566574721,0.9405735954879519,3.024697984809091
2.121163052452359,1.4081133186365982,0.7307274845962975,2.1497040980682467
2.0070911809585557,1.7341776033397265,0.9986654857549694,2.582169045607179
2.2636814244869012,1.5103564467411372,0.8908862546130133,3.49949815563589
2.23500355036138,1.6083861274787352,1.465747632308983,2.751919832773251
2.1321334062398978,1.4106133876411862,1.8693237295963618,1.7107997187913113
2.1584587258233254,1.3500805051732563,0.7829940612710016,3.070289729910884
2.2001819955921005,1.2335324324359338,0.8549108228059438,1.774597666631651
2.432639994442566,1.2963881535866795,1.1460783219760144,2.853575829654208
2.235111762174047,1.6729265460758322,1.6147782879698058,20.523506295955084
2.1398892873238773,1.855943585487633,1.5495863720379672,26.949277523932167
2.720677725815033,1.5596205728967008,2.0051136139274086,14.581486316461627
1.8523165317124786,0.9981694066328998,1.4064173516729674,7.522871825637818
2.382626271602147,1.7426067363222861,1.3304834962118823,10.294366262342908
2.3195318973747883,1.5800384073549207,1.3225211560021208,9.702120037836837
1.8116459676380432,1.4384073459807192,0.7706758145954203,1.7351125966306051
2.2379229782420573,1.7142862757161696,1.0881169496679086,2.0013382738157066
2.112100310189041,1.6921338083923407,1.151550427927361,1.6283462777391307
2.146083189466974,1.3932195632033906,1.1120388455540793,2.142698828622098
2.348948079713533,1.0580275952799465,1.0363242965625368,2.5617045500793325
2.4559763969543265,1.3015701713330246,1.1376548120022356,1.9995334701009992
2.038058166903737,1.5280481793238565,1.3421958848195,6.696507436602927
2.1826271624660376,1.263798211274945,1.3057893585711946,4.560989537538462
2.2555096530963756,1.8934153037869939,1.5891639327631042,8.667366619014304
2.2170670257230287,2.0506018136493345,1.5820119853193062,8.110568669329089
2.591331732442142,0.6942867590246737,1.3377625515840834,7.787960085957413
1.1165427304759579,1.788353665534565,1.7438602451976999,5.501917041129559
1.1042581444225394,1.4683908933199081,2.0393266998915536,34.25757811885985
1.0859258951375563,1.474954213176586,2.3326163614899853,45.79309783458369
1.2150699610402753,1.3854797591810633,1.9926324437044551,32.964847874627964
1.3090083557878462,1.2929059091602673,1.937334896965625,21.86967670910333
1.9757136945843605,1.4319023409072114,1.4201106990140606,4.903700803687112
2.6595003459130364,1.7669186756700086,1.5262595166410828,20.014902483773117
2.675498097237954,1.7246959757238125,1.9840613084910659,13.17782159478392
1.632193265150136,1.3742261133475797,0.4597689404912559,1.5691896789636326
2.0119169433132345,1.6071829134134137,0.5632869449872718,0.781454895054082
2.141917220748242,1.4427575365494425,0.8161090980254855,2.9386722282878392
1.956664774154363,1.4299244423677846,0.7488471343800548,0.788955706014897
1.9234050659837247,1.6917379252994793,0.7662053823949855,0.9768305131161422
1.947971491471636,1.6021009602718475,0.6672959558585347,1.3706318104232806
2.1361226430166647,1.468057996932726,0.7121878288499379,2.096416987569686
2.203859496644606,1.5685171579331334,0.7490888878062194,1.2486101239481004
1.9787451121150093,1.6733934333267317,0.6414166376040664,1.5084990535806957
1.8603938757371816,1.6075350936832067,0.6090062316921099,0.9696929620694419
1.9570518443613916,1.669177834393459,0.5760545682083344,1.5138325450529344
1.9652834150367764,1.524290790720915,0.9324310486654253,1.6008052781841737
2.0988747179224716,1.7539470669232693,1.0189477389765427,3.824545421314747
2.207361021031473,1.3465925560356469,1.117895654455196,1.8085434806615568
2.028288401676262,1.3482635631392323,1.1921295450058753,4.023763804019428
1.9871923878489026,1.1603561594540202,0.8993879248224862,1.542396172008186
1.9300272147828557,1.199217067395352,0.9810712106421532,2.379751548905251
1.8762162817496633,1.6651896512054971,1.1189911609852259,2.0601946652736256
2.258658835229871,1.3202222397499674,1.3257170281985355,2.6368836572702716
1.9588923066653399,1.641147660612641,1.11084752797826,1.3900375143050496
2.138799075652988,1.453780751788089,0.7340092007947798,2.279354488361589
1.8773828382101074,1.254002720596793,0.7067669953775881,0.9586438606933556
1.6742243547740046,1.2402584146537472,1.3232039381906753,5.221974690145591
2.136252269196796,1.6173911336185465,0.950766554179047,1.0368616568147166
1.9029958892710714,1.5688808452081602,0.6315286271339724,2.1962302567228416
1.9969441419610727,1.6736396291641524,0.6761566574612204,1.1191478829569137
2.2260608228925367,2.087907771362434,0.661480128139005,1.512744793757774
2.246863316944348,2.2129781902517744,0.6879965319324965,0.8396794225786272
2.1988767005892162,1.8298028234045995,0.7978565457262526,1.157475623406858
1.8832910689057587,1.4018426239750885,0.8528340612118008,3.0142879162017415
2.139983943292343,1.6901982826450648,0.7111373223335573,0.50769327411828
2.0361460211638573,1.82098687721336,0.8796909462633992,2.275418854338985
1.8504540696840748,1.4654250677901124,0.7812462669908659,1.1259952689365378
2.1412364909223087,1.4121899610420783,0.8848342426080114,2.4453085495818168
2.2950655466789778,1.5568414437725975,1.074395364732876,2.241664702902088
2.641170664220116,1.4745044078729141,1.6101099525874834,3.6371602541553245
2.162696066519768,0.9790252022669528,2.5429019303642084,22.14593556333504
2.482395911151185,0.9857879725864896,1.5992240891776301,23.522188472576527
1.9171417243862114,1.6072517315964088,1.227368123254203,8.59523536499507
1.9381376338348366,1.5797538847766563,1.1596077177598343,2.7199403338121937
1.7517833362794097,1.148165433414808,1.0811962723489563,1.627008474800473
1.824472238582258,1.1508388168047041,0.9315604561304979,2.303391256521389
2.1192513768593875,1.964670565587992,1.1135295199843178,3.4825003724424106
1.7776295777524194,1.2554632110941337,1.1395051692031215,1.9310583279607592
1.8025006971545794,1.2287449991767627,0.9178921475139875,2.5659745858177376
2.003035240062374,1.712656590102522,1.4590148586780238,3.334968303975472
2.2354470289389354,1.1628116149566492,1.1359892178902755,3.0841824568960545
1.952553081370626,1.3028809433572341,1.2849757310265657,3.325817174468453
2.3571883927800874,1.235322540409598,1.2677412874198868,3.58354968569605
2.357540295103499,1.411995552732254,1.4146474126451625,3.0674393685694046
2.324386923897245,1.6553449636193287,1.7137360424957748,6.2828688973125475
2.367328205615449,1.485940516661972,1.835238766746664,2.6166169385835802
1.7979108958088388,1.8963237501414134,0.834915915410868,2.9463543437872426
1.8530276887136095,1.9087598356926943,1.2453071889613652,5.412148926210934
2.097767069013306,1.739018938065451,1.127848024772129,3.722266150410681
1.5479339426650895,1.937965842585484,1.1366690606838081,2.01150582914927
2.0888685879678057,1.6273920185523512,1.2185745789521818,3.4602979063238863
2.1642915981266078,1.602471571284644,0.8577248336238001,1.222230602507849
2.1254947215676503,1.6811417822320218,0.8316166103122462,1.1723965169608488
2.013825586012473,1.8302647989112781,0.9121505213821703,1.5973382441807173
2.0740822083772743,1.7540800054431211,0.5982583551006018,2.025865569555368
1.8981947178414267,1.5177847126962984,0.7262670637463399,2.2472532242225514
2.0137293238637,1.7658316187692793,0.3620947318914005,1.0502127124028444
2.043239868962502,1.1190568149645266,1.8389407978280903,6.487975986208702
2.0515522200401866,1.2575395433623688,1.7168226954641255,28.493966485316996
1.9187270598782686,1.282812643332302,1.3916003735044682,9.49211622184113
2.3732486579474723,1.5951929624625738,1.0990553994108208,1.5879192945387557
2.0063156089047465,1.0970899857551162,1.5000642733403742,14.270814673765392
1.8617791063643745,0.9232865452842609,1.882791028603774,8.66276384799398
2.4795616044587585,1.6660382364967774,1.903911309117204,9.947064685808298
2.35034375045902,1.664890339703937,1.8210623966412625,12.357374805601538
2.3089641270443635,1.6932129261501747,2.008276414993741,11.675483742643687
2.178986977044693,1.7447916640634875,1.6677300321944524,9.289214932877565
2.060187811631141,1.4576994158800225,0.5318463860501054,1.5692065180912222
2.2528170560835847,0.9733918535821642,1.5840807964569332,9.864709345036706
2.0748128083599227,1.9789395791138946,1.007924572668978,3.034756475991796
2.134365497894371,2.1835336287218845,1.1711324046043106,1.665322627048287
2.084104095197918,1.7879569949700054,0.8366667116407766,2.2418422490889265
2.082812402356641,1.8029728260958229,0.7993890193097193,1.5001184320585554
2.1148436826380514,1.7525133437230191,0.8286186182022751,1.846082026100491
2.102718990049884,1.8740739412471685,0.7792963841352174,1.8122441703457144
2.0675892349080796,1.4897142063451054,0.5934406262782214,1.66951340921646
2.193114902216934,1.6843315433476624,1.4037435982103819,2.847180710180512
2.3757749160825616,1.5600573567698304,1.3955854016868332,5.10873765221326
2.0524393136152392,1.2290155144885,1.599711209558798,11.461957283878336
2.2817764703371353,0.8532050052226541,1.4430849156616754,3.3072408342465502
2.3141102694294906,1.4224316855770405,1.816707743093118,18.398093809514393
2.37693496565806,0.8204968096538462,1.3905084776938252,10.490066669278734
2.2126735113396707,1.6636313277139971,0.5938107896191632,1.7816562058916832
2.1588561810026192,1.4191144879752364,0.616011500563917,1.459807994093476
2.2120462053275083,1.3990283783617998,0.6268250266165607,1.586374810069867
2.1775067028819266,1.5723609896916406,0.7181205979166865,1.0063766719834963
2.1111386116030464,1.4946300542088802,0.7531808864840102,1.7818990443110543
2.1398741575653273,1.329148951826346,0.7653772771582008,1.160290831440894
2.281658699474197,1.4186760051092102,0.7915414513242576,1.2819608603403532
1.9987693214818145,1.801922590244132,0.5484335646293094,1.6061898894546294
2.0948657871197995,1.6157867916275,0.6337622222262249,1.2033657441448549
2.220515384639036,1.2634420917545226,0.7272988481875002,1.7361062280898076
2.029394016416823,1.447816977112715,0.7603816243846104,1.5224073391892134
1.940144840916938,1.7576671192111097,0.7004544477184845,2.173808888552085
1.9633973845279107,1.8778334510487904,0.6864417796834795,1.4317686131341796
1.7557880766646794,1.834484666041134,1.0144189808571118,2.1617545245604495
2.210381321806165,1.7025488838397798,0.7750462039065502,1.4526727292024755
2.2354119371857375,1.668181742997954,0.8131166382430729,1.234465014511498
2.2169467431246996,1.4450610374604531,0.988213203803666,2.6370859846891
2.3065070696366905,1.631393688315985,0.8489139114930221,2.7459912054267392
2.1569739674796202,1.573104041349603,0.9142396571048377,1.6192537677192556
2.0256806868244026,1.681620431295667,0.818709090219004,2.46818716672101
1.9796398718242456,1.7199900851430139,0.764110106655343,1.877481019591425
2.062334496722038,1.7230396204792113,1.3158770922609293,2.3549208974969513
1.9008378815987244,1.606670959593723,0.6847919451671928,1.6466576523280705
1.8782582118597009,1.4815757365923738,1.0567259698984333,2.38774647445684
1.9075779648849036,1.5891672891005997,0.9845709434282122,1.3208729353449966
1.989061263686508,1.6634439181828202,1.1008552359411936,2.0690258321686605
2.1091185960123613,1.7142084595591334,1.5089713259083442,1.9071373401653642
2.087123515451563,1.7959298388250415,1.5176518761072753,2.3586313352281025
