alpha,beta,sigma,nu
3.650887692604032,2.634836870930564,1.2269326625352535,18.133540969623272
4.140903650955871,1.8288836535747086,1.9657455673477915,9.629835614236294
3.7297034380510734,2.5026790587366916,1.131971247577546,19.55346077147307
3.83122767217382,2.2469572363794548,1.2476327227412092,17.691592783202037
3.872721274346252,2.218306332413044,1.2450196885756928,8.202650975997669
3.5877507560338464,2.411890600731374,1.1668356351559466,11.14235356089538
3.5236037507024998,2.4467517918730306,1.2370790375243994,10.532916497344438
4.080287657551023,2.073149955834323,1.322478878087165,4.095641107797372
4.098770120494064,1.7998658140233283,1.1247058810541108,8.018184486450505
3.9967970879733916,1.849096302891068,1.257655095729767,5.822504395281197
3.871883958978049,1.9948967992626523,1.224946234821556,7.339210549260657
4.384039315876321,1.9916422565234122,2.1004798266748943,11.851335767962242
3.267442939731116,2.5330948596160496,1.1422845521296898,10.674504916549516
3.214325823687151,2.3864808637248114,1.1528361502966327,12.799233671637433
3.7477252784913335,2.484030304147429,1.4819329134429855,7.639448257167299
3.7267636815070255,2.0601296444198143,1.223425179664793,5.99945182445066
3.8056018933613323,2.626491443708725,0.9638809789757328,3.0444909260302455
3.9454024453268888,2.6571475594909004,1.746051973802068,11.836897282033386
3.659747298267186,2.366794853019117,1.4489184531860926,9.057764159946496
3.7292220358259627,1.9978004640088536,1.4929114220982218,13.437350998741833
3.533468012196373,1.8950815023221645,1.40627753798355,17.967906065252656
3.145673910139716,2.3207271673272105,1.6243512206703088,36.05013703381608
4.1915045746162685,2.1992486015048964,1.4163801507710578,4.154525531103788
4.23771911975102,2.1967093954742363,1.4591143128987956,3.4822535757631314
3.5145552090949135,2.409000937416019,1.5941771758820342,20.70054808398612
4.368657129322861,2.07621861126796,1.5780589432640868,3.5016501937479156
4.477805058548422,1.9111674665591034,1.5312048202743473,6.560019929965397
3.995245828428834,2.001794964770946,1.4533651500559852,31.650340497043594
3.4756459539479274,2.3017109606811137,1.4610062144908464,4.937892737888127
3.8269141867427634,1.929634324125221,1.3413049872145568,4.107457310046602
3.8241385163564945,2.3874501495959723,1.6132570082857565,40.013855849111174
4.208103849398126,2.28642392119084,1.4490580418326795,18.518609253060706
3.6874328356678463,2.4085528808992183,1.4696032792035798,6.827040122301089
3.971910802154418,2.5505913181132884,1.3871570583965651,18.373154378279793
3.971910802154418,2.5505913181132884,1.3871570583965651,18.373154378279793
3.584061274336437,2.066809679262389,1.3667974150470354,13.50025739105729
4.0489031954571555,2.3811086280655775,1.405208264571557,15.387756063166757
3.737595397959936,1.504646582826546,1.8792806206719157,7.345383065707484
3.8098140706563095,2.327108222834183,1.1232346826663744,38.13877038400909
3.868990722405614,2.2478571342442297,1.1747527289767725,27.632566108887623
