alpha,beta,sigma,nu
1.358147064915464,1.2881837519977744,0.6400337676830795,2.3842195876603607
1.3381113663681703,1.2437936647429122,0.8344581055317877,4.67380464680617
1.253028951222131,1.1685409467553571,0.8048975223100838,5.769792774617169
1.2726559314412125,1.3398504243394624,0.7096313895075046,5.3994228996880365
1.333415557727821,1.3242424701727695,0.8239147107461723,13.278270367789087
1.2128882050104923,1.4259511400215887,0.86997439327665,10.92185918389854
1.749297967104307,1.081656654596672,0.7590146179274598,5.679742339888256
1.7523392034867225,1.1200683089734365,1.1178408040846992,7.736539913891568
1.6080582234825775,1.5754999604232807,1.1071802288475359,3.7624938299787796
1.5498072014627013,1.444782946528301,1.001208091293102,3.296972551498001
1.5800450189209043,1.5274077259386816,0.9195277473606839,4.809640254143368
1.442915249912184,1.553062766639641,0.756555590212266,7.1024896406964455
1.3134261254700497,1.5697166757814522,0.7516729786218584,4.096036615012424
1.4027447286384147,1.5700082632807628,0.789971284528218,3.43590531823022
1.338433241425891,1.671731952950998,0.722404712047242,3.7715155436784205
1.3935941313376479,1.186046009659698,0.4893621741264822,2.393241216413242
1.4474052954215446,1.3621774445144412,0.8047187734818513,6.024873326992513
1.5016950589002074,1.5872428146128965,0.8532818924975546,6.485764782369934
1.4251091509328848,1.1809920218976733,0.6084066157436552,3.0803854675155797
1.6874925104553389,1.4625437360431683,0.8941104322376856,6.6577865087655175
1.4385739240549478,1.1638334347215615,0.6941308102469167,7.611896413396374
1.0774984745486607,1.1793113535997977,0.9735525672421074,14.902700447321877
1.3842348520288688,1.168433262113297,1.054138229197409,15.01711092737306
1.4298516403906798,1.293342047447239,0.8388455599978559,10.807303304148252
1.3545812792233611,1.5357524218818233,0.6386261450024854,1.7003971766958823
1.871583225168173,0.9501997703916665,1.047867747466942,33.908807860969034
1.8674198137741307,0.9477182021668787,1.146270438052523,28.435481504403917
1.6637160427628799,1.0545091074703594,1.0230630151044238,20.714821835255336
1.3857570308662803,1.111857919449658,1.033729508210088,11.84474562657927
1.4864293564439204,1.4815532677167296,0.7145772416188673,3.8856708932994075
1.476774477390271,1.0885843025176143,0.6857409576241322,3.094498863557913
1.2515566948816383,1.2451055343332014,0.7092886116173147,4.256408828020377
1.1639474417281812,1.4201371307244621,0.7577592708362872,6.310716041067336
1.3001697866274002,0.8706134385360805,0.6347455332902509,2.411013188141531
1.2513517782439783,1.6478214958119124,0.8955996422285619,15.391840581454645
1.3791947667421434,1.1478574080259267,0.9193924252704152,6.327969351369125
1.411670042545023,1.2797834133216837,0.7269309392680804,10.223744514310495
1.5479198989608676,1.6260134224397271,0.7834107465564234,8.820491097991352
1.6265443401075192,1.3268154471363864,0.8113575351662249,3.6096887754363864
1.5579754364599452,1.373750249481756,0.7504539582922835,5.0943514756848955
1.6657256993436158,1.2441569954592102,0.8139901224300874,4.346698400576008
1.4891661069975743,1.3619656410049497,0.8183770443050182,4.245097203695761
1.557785801646284,0.991104582236124,0.5980794927973635,1.9406066444540466
1.526009639479756,1.1191549260748939,0.6272566259857555,2.5329002895267507
1.2779051696403638,1.1600496785195877,0.7356925640093284,3.0134779806571435
1.262172992886204,1.2188097600995815,0.7419430068238064,2.46916542744716
1.698022293187664,1.3184037669626685,0.9684762277993874,19.60742540746821
1.408886540723716,1.2887240044576544,0.8337479384532246,6.580023255856378
1.4905147266487173,1.2961347582949474,0.8064884072180261,16.096521472848718
1.820537767018687,1.2400463949106664,0.9301667984311272,7.863729824967114
1.3794910062498038,1.4603872144142567,0.6156238565711322,2.922249379397019
1.4431098802375164,1.620394993210773,0.6548269489903642,3.72891750453947
1.432961946159538,1.5393146598150385,0.7437802975382124,3.770483603139822
1.2398851531329733,1.9772400118119535,1.0393778704926138,7.121656684754343
1.1867454923502971,1.9233455555864145,1.1271439418241516,6.086349874879735
1.4163278686895406,0.7688030269429704,0.6071026680929862,4.455905592737731
1.3861002104441198,0.8053195949379798,0.5805340618964039,4.172150369471254
1.254864345043762,1.4383657617515746,0.688163122700407,1.6576085575772277
1.7139273526774579,1.158327228554135,1.070591666287886,31.67288140106721
1.363251301196868,1.2726605267191966,0.7641505826848499,7.453197359600132
1.6091562978339689,1.0900924129790688,0.6545033868164198,3.3294807268826974
1.6579313353365417,1.595123464174528,0.8136844523731724,5.342741246410501
1.7112349085921423,1.3813902221053762,0.6789177407358968,6.91902588752218
1.025059522087101,1.0521595721600847,1.2399785014329794,24.704776310036035
1.2140566303611433,0.938309724782843,0.9619597164599444,19.517786749412267
1.1641107403831286,1.246017938462981,0.9205153084122787,10.101487413779106
1.285553166183712,1.1625258458229641,0.807945251786325,6.599235053360457
1.3260912418899253,1.3657705805276337,0.39927658579296715,0.9370599552302659
1.3767036044489642,1.3536819460237308,0.4153105044780756,4.691582363337786
1.3945548868451416,1.2585628241845115,0.5197935484969191,4.308850396664307
1.4353767139875888,1.2135596725919968,0.6160698784952836,3.4346451807277694
1.5189455638968044,1.236082752562163,0.6465819283743524,5.131714130073647
1.4959111045391338,1.0489168849472648,0.6857220205087691,4.315010103285581
1.4164685622232773,1.4755325547504823,0.6765264878576932,5.347212701922644
1.5777526869692213,1.420413214208229,0.6493550086614757,3.3720500729769594
1.626454415910015,1.551333168792185,0.6374168033820531,2.5662949050974007
1.4908956163350713,1.355370955651949,0.8431804768309642,8.00066475632401
1.5156862832687712,1.24116598312144,0.7445640160951477,5.0727051359158954
1.4860893061329923,1.336493932202601,0.7970211282163179,4.3294668424592295
1.4919508201155043,1.2679271991311554,0.7543409448114138,4.387868183899674
1.6222954900111703,1.5558220909835372,0.543880275922569,3.410815937990766
1.6513790360516374,1.3812510215716953,0.5380396797973725,1.587673662505811
1.2554837913944878,1.3585836904567994,1.0176859912236313,37.87767095753154
1.2743980794374064,1.079133876763642,0.7063852528616344,1.9145105009811132
1.429343438453722,1.4553467258352564,0.7761869221923595,31.1835275794638
1.6583959389344718,1.2047033468897619,0.94068800431503,3.080655619269803
1.555830509331524,1.319499434802795,1.0851141960827706,36.257886760664945
1.827307113500549,1.0109945701976744,0.8846531800994679,9.251645530152137
1.5262585888883335,1.7047248441279883,0.6431812058523627,2.990508070066345
1.4935473225074147,0.8390279663980501,0.8233399699094698,7.063002758703224
1.489354582824479,1.1953921191503827,0.856234395447549,8.032959886686282
1.5115454325917024,1.1457322847595242,0.5745064371318057,1.9169071095686834
1.6623212354477128,1.463712932821928,0.6846258408876986,2.730422296879574
1.42136926349692,1.2717175828572844,0.5721639739793853,3.0600780738273143
1.3831978521026065,1.047695565345291,0.8203035592848725,5.906975823950382
1.393217014342837,1.3178489237492488,1.0003410092778897,12.78368173043325
1.3547819174485058,1.5755298056623652,0.8318084054484347,20.605307903567315
1.857088129703341,1.0834756170165225,1.1008371674720905,12.457301872384203
1.4381535088933284,1.459901827864739,0.690624496697458,6.086746174106006
1.5009780014272014,1.2684030526745456,0.6221506449426119,5.032858441876369
1.7122680301711983,1.3193394879584146,0.6825461260668011,6.9711213502545455
1.832270752979723,1.6323683184144486,0.9465825197308273,3.8413602976700654
1.4533340100204084,1.1900493894772328,0.6819239134514308,11.51907689345153
1.3759577081830778,1.0794115930861556,0.990583685876022,3.9106333368894464
1.3711821266756157,1.2670687025619922,0.43937563120742174,2.880491038258667
1.5215492949104186,1.2852353827500986,1.0072179855116488,4.1807065321726595
1.4338948490845551,1.2801858675294941,1.0284119083353231,3.459844558951579
