alpha,beta,sigma,nu
3.637634380340955,2.348404438992869,1.0941997689371152,17.59683865145135
4.012830579283776,2.168933396453381,1.229406874064489,11.384611124857113
3.545587399171306,2.183388097714794,1.3005173719750653,12.959678029298075
3.478124643894253,2.3354396993303936,1.2118107371485816,13.404075248365078
3.562518947776359,2.42075881192945,0.9268353943091028,7.167473544081235
3.1527062819654046,2.5415541481963198,1.0338719252528803,18.99114183270801
3.099541067887996,2.6034851977348064,1.016475244613761,18.901098357475085
3.4841569696580303,2.362600811088574,0.9746556991323138,8.394205607634223
3.4215182374766178,2.7198352926974487,1.5339434834395027,15.709275776813865
3.3612276953950113,2.1774839937290946,1.0952077616643454,9.500646703943497
3.5302245904654064,2.4932105128544917,1.0782684750460603,15.45635538428523
3.768221250611194,2.4068321882908994,1.2225405722915101,9.846406360236504
3.074548149015557,2.5164498733786522,1.0247357290315653,11.286202775018987
3.9673560400589536,2.228954911060855,1.247761239167735,18.17526484625412
3.1629039217340744,2.4511790089402576,1.1659799675784661,11.798541043428804
3.598042075278608,2.9503566056006267,1.6343885165033196,29.398269256725357
3.567111413024985,2.762849528895859,1.3492841261934843,14.3009381189695
3.643351342542101,3.0770277203460727,1.3950634370998172,16.06633041922916
3.5303285384123555,2.984205400805471,1.3127455141609539,12.813390342427478
3.7503299058068285,2.592261142397779,1.2224995462181583,24.83653861202248
3.4106179450022593,2.252431961311485,1.1132161829623257,23.73092178622475
2.888894419088302,2.349297474423068,1.1905420343836557,35.73081994698134
2.8367759977045157,2.4072340258162055,1.1711989239569796,17.672604061090603
3.267456824122903,2.3916119315737565,1.2855066883859827,9.127738461999826
3.529290125162663,2.4106362220331268,0.9971340154284689,11.174281014237547
3.766834809522951,2.2020051157724767,1.1156527876953175,25.020298535328973
3.6849456257470665,2.2291472744493643,1.2015869824948608,25.756122449439633
3.5687378382773534,2.2237028755962607,1.1006109491887779,27.944974099137568
3.1900615603829605,2.3523054957557457,1.3299101030332647,12.305119045345737
3.57386709831215,2.5268788407547973,1.056298253258325,23.091069373196966
3.477512879470653,1.9974145571817408,1.0922511758382494,12.402798665139178
3.476049328819683,2.783104102192381,1.2239307721503525,15.347605991378728
3.8288206321887794,2.0972621357081236,1.0796901220818282,6.315253837946753
3.2313306107285182,2.740777529546968,1.350749028711108,26.914480409403403
2.9789663714359476,2.4179221842602368,1.4254925407221803,7.686674178919166
3.55011857018968,2.407541104702413,1.2136752750797994,15.450849581837433
3.5064290205798643,2.339470923467734,1.089341509453466,9.597390598771206
