alpha,beta,sigma,nu
3.4360847339797065,2.2443220984111654,1.8540307756623386,4.126066468552868
3.4430904378075384,2.1978311362793637,1.669604188569591,3.7835829855988394
2.9937568338466147,2.174582489955427,1.4257739575574495,8.702918662754275
3.5660902121719507,2.568292272381328,1.5056505227813837,2.9079247467105014
3.3658863208813057,2.405193315793014,1.505712956503422,17.355612224180433
3.7899158526183783,2.074462442359012,1.879501819904154,7.820652195959228
3.003374933288214,2.5022149141773964,1.2225984672758154,2.596066313993244
3.0466352581240232,2.5235650223813844,0.9042950171412756,2.155837507122782
3.354629877178245,2.081867321978489,0.7655039906494806,3.1615794010496585
3.4887685371242267,2.7377201025988773,1.125192451025817,1.496134767215816
3.2970228056173987,2.1009910346927527,1.2755943385018558,4.329814841170462
2.8642805573741232,2.508035344828838,1.270351828378402,5.973732452401953
3.170113329183048,2.4491356385468444,1.5145904302142206,2.176557198823052
3.5080453079294847,2.499801729613446,1.4585893184232073,2.6461665007615225
3.7609327508829042,2.0587867789811414,1.5181487675321579,3.6207099215403713
3.596080549643236,1.7117801018052397,1.0255251017386848,2.616513267677182
3.279789451374466,3.209121997137338,1.2515236587767518,4.420864705167968
3.4769024444640886,1.371347187322548,2.1378894126970893,6.3214432504890254
3.6695253161045507,2.014013416429616,1.7052320365524078,21.68547664547927
3.1560858971678165,2.43108199441239,1.3338674430009836,2.428747168766182
3.8096210223892353,2.4745818480493798,1.3051058316933795,6.477540228873186
2.9744143419674383,2.2861642508660958,1.3835209875518668,12.64101743943433
3.8217172162988016,2.190709977713435,1.8904876492288119,7.834660004238056
3.631022596673135,2.261635268575525,1.3579623660812454,3.8975784031057708
3.732225939361164,1.7934121663313791,1.9949988631066427,16.595327166209263
2.842090799165354,2.5798166543572525,1.218591559754851,2.0353527558964335
3.3458723806502615,2.225068439026562,1.2111334917668886,5.1294308354300675
3.320960504201843,2.318637186836488,1.0851037340441274,2.701852753264694
3.087904148528909,2.3261101585526953,1.5844999221007543,4.829689103217742
3.1999242072064176,2.6206415123438367,1.6219040526417847,12.051010949518423
3.2075636600481867,1.949396200371823,1.5901270643081706,6.514822373563912
3.163305036960296,2.4585434103579886,1.6071618104891863,8.232081440910937
3.8530857316579263,1.7093647470383728,1.3001553962668477,2.3629894773011832
