alpha,beta,sigma,nu
2.4958751950236113,1.5929354483766078,1.216410920958607,28.73192375228268
1.7857555072897846,1.6258419727640587,1.22298830183247,7.725779314199354
2.710490074111285,1.411760913595801,1.169797661827843,9.865089845969086
2.131505521314244,1.486709834013073,1.2472868363281389,18.393621085355296
2.370181351761175,1.5104870286380983,1.0279011132264968,2.7702796235034493
2.0036332125602043,1.6568944557369223,0.93870221916866,7.231529057882136
2.0144414314948835,1.7163460961786212,0.960438642251422,5.891413960703479
1.9805058526725565,1.7439994838085582,0.8250964847709934,4.722075319837918
2.4581781272202106,1.3606253474342287,0.8451487502118735,4.4586228845320335
2.1135750238084263,1.6456927636417467,1.1701804174859705,3.745129905299472
2.418847904453986,1.6156712863823608,1.0899563005950963,16.43983867464943
1.9617810841974377,1.6475636097729875,0.9467899976513812,27.5456928288171
2.2136801765875567,1.5028247010844442,1.0367961298108916,29.829359980579994
2.0926926045966523,1.435896158169891,1.1033845048493778,25.482393167835426
2.300091670572487,1.8002633376153259,1.2582572018806892,6.516918614031461
2.2787828399016576,1.4940073013280877,1.0069829902758602,5.112452793821129
2.159022240635935,1.5715752791844375,0.6546454609120523,1.6025351506035659
2.286483727029859,2.0944027734235555,0.7825054504479444,2.81711315187491
2.3912734889081464,1.6322870670351592,0.979835836853986,4.549300777667515
2.4820077070773494,1.660804490460928,1.099034556868579,12.350319353647041
2.5538938774660336,1.7381675108058077,1.254905460937315,8.321972198411984
1.722126484390029,1.2888857629957156,1.2363640507202103,35.030659014491825
1.6696823540976942,1.440863338290908,1.2547034429053698,15.937637589185787
2.0927519236029672,1.474504741935499,1.351126443177408,7.589048074945576
2.267780314839906,1.2760279446880105,1.4072511478503211,13.50558388442905
2.7027744183130737,1.5261833917095724,1.2526028609433841,6.448121658746554
2.3965436055928557,1.32918748251091,1.2094812674964894,35.886795672212564
2.447444186977956,1.2359513495365384,1.1635969579636158,47.65904967295742
1.9843582854087998,1.6898038792813417,1.0793403762172125,2.867377684445954
2.7644582463853364,1.1109412942526986,1.3426693365448978,24.40523910356269
2.1762200049839207,1.1797853562495737,1.3748212972761256,7.832858065719724
2.6768503060030304,1.7222831802296397,1.013423269990266,14.675893462817085
2.6481821761118223,1.0186473565332061,1.1990925420975498,3.296986756718495
1.751405955545702,1.7013201646679366,1.1765659851518806,9.777950849456552
1.8184116563028243,1.7599581584967274,1.8011355136864695,7.4277798566980975
2.7988201670922304,1.5267435803695673,1.1048924533819042,8.390302194427308
2.603002564150588,1.4895141646641186,1.2186526524011976,6.017088235988373
2.340223799297697,0.9315960415686757,1.4902205435384335,5.961311216265959
2.3045718115660416,1.887007000376958,0.99082455209306,36.34670081932472
2.272718372482957,1.8389648043544011,1.0600745944497991,32.822648581901575
1.9853028384789413,1.166593426390496,1.3061692143320809,24.14218611240459
2.07739111672537,2.004801162940759,1.3405338121497385,5.621942506968996
2.624761810108753,0.8581260002870303,1.1685575725590571,10.069245947221333
2.6304800595802935,0.9271279127252108,1.2244838839316474,10.040006571383671
2.4334929893257575,2.0032875548788387,1.2210931590423721,20.28032759330924
2.2116603016291148,1.629798388468777,1.2659521115224457,6.451167057819485
2.228550429559295,1.6093912445355902,1.1844290387212346,3.9198564275247283
2.1463428432137888,1.6123709341074488,1.2542796134181478,3.8765165513259454
2.098245213117204,1.6732604326756917,1.3706232690069278,6.6283353075000475
2.579860159239687,1.5399572443326148,0.862106763979746,2.710641020258945
2.6060681676278508,1.5212698797353315,0.8302398147858618,2.4952134137220425
2.182992375386502,2.0419131950668423,1.5288112933593905,15.535735659928125
2.2517710288823762,1.9290379536377642,1.446443791368105,15.572080503287646
1.8249119620695955,2.515491912561265,1.6351759171432672,21.75866176346688
1.8410936096981747,2.0783341832947126,1.7162193617208892,11.491221330588374
1.901268926951741,1.2268704073441254,1.138851161161742,8.905661495495726
2.273644593343177,1.5454809526172888,1.052290224349361,9.173366908209122
2.155826530625507,1.5520401486574347,1.0033609699419952,4.137903811590924
2.3433261369493303,1.4473303748654807,0.8331655760820175,2.4139997475297457
2.36698734794313,1.695790685856425,1.0020774091150921,6.282279709906604
2.220562602158314,1.5544219680398197,1.1076679112470431,6.221912025385551
2.4468389451751014,1.5836084629334035,0.9590506765961337,10.711646268087199
2.405023757709432,1.402749039719899,1.1105587356151823,12.705132351542478
2.173765317007482,1.3621552685148426,1.173076456688446,34.03527440554154
2.3031640648012583,1.2561816313995788,1.2111791040593414,24.089314397828552
2.57651862821889,1.175657602099262,1.3391579849838329,22.736819433012627
2.428001558044569,1.4433855877743302,1.3757817365051932,25.472964196855578
2.721770962394366,1.1405672672472067,1.5689803982594523,40.85227819699715
2.610720121931156,1.046885942866444,1.5845290351178272,4.697707790428203
2.4328327253970374,1.1388446921832405,1.4465751167610157,22.366996278698167
2.2537691813522174,1.7503708472835942,1.046006900296104,3.5494654804059094
2.133446052071497,1.64007742978057,1.0076574441999058,3.0663275318080383
2.1766076238917913,1.3825363170331157,0.9047626261343313,4.332839907935895
2.35937808291715,1.7863796988538254,0.9172296261954251,5.434677224978064
2.273804384715707,1.5552878252137334,0.8908871958313418,3.823753488872761
2.2087967194211333,1.6507797475028754,0.8580672323990094,3.4126326112068246
2.1869370224783666,1.618724379632209,1.0765753591310627,5.384165919962299
