alpha,beta,sigma,nu
-1.437197570817934e-13,3.51565751033518e-13,9.19106003107838e-12,0.301653320591418
-2.6599023366977537e-12,9.730823593906833e-13,9.19105969532514e-12,0.30165332059697014
-8.435612797472962e-13,1.0537485556564484e-12,9.191059199400772e-12,0.3016533205962709
5.330993423579834e-13,1.4132864347381295e-13,9.191061477168342e-12,0.3016533205950176
-5.130627639229346e-13,-2.40789929311924e-13,9.19338471399237e-12,0.3016535177102184
9.173378716587721e-13,6.61504721562465e-14,9.206862761126909e-12,0.30165339055866325
-1.1877838151806282e-12,-9.154236922134874e-14,9.206861411964889e-12,0.30165339056203405
9.64815930737975e-13,4.553890282436769e-13,9.25712610632791e-12,0.30165358703759015
5.61897558118705e-13,-4.2274912597990074e-13,9.20959052196371e-12,0.3016540104386997
3.6323053715548595e-13,-1.153909922821272e-13,9.203452378948163e-12,0.30165409330676124
-3.013085660597126e-13,4.557570675230193e-14,9.206948816812951e-12,0.30165409958668044
6.699319603141159e-13,-2.854167632555462e-13,9.22734150178098e-12,0.3016538681783354
1.430888007127252e-12,-7.638089132474729e-13,9.227341987670234e-12,0.301653868195964
7.240520623556708e-13,1.4526803718913648e-12,9.227351116418765e-12,0.3016538680162131
8.417704492400827e-13,1.995881105466314e-12,9.22734661755257e-12,0.3016538680282268
1.8986137565670304e-12,-2.321958079660454e-12,9.22562408837948e-12,0.3016538592857942
2.002818035944666e-12,1.0379732490358852e-12,9.261635154699506e-12,0.30165430031870155
1.512277289243717e-12,3.710675501150555e-12,9.261636428112691e-12,0.3016543003258039
-2.8068926288622425e-13,-2.1824515907555167e-13,9.261635347630959e-12,0.30165430031083734
-5.522449852137192e-13,-2.6665856830144604e-13,9.261607555490933e-12,0.30165435931840295
-1.1934486179323826e-12,-1.0654647151723866e-12,9.261607199633017e-12,0.3016543593231927
2.0345795681587157e-12,2.6236589007814493e-12,9.265816542783634e-12,0.30165406162160985
7.007212739574865e-13,-1.122440228192553e-12,9.26581816502411e-12,0.3016540616308795
-2.2409694422194988e-13,-7.51738439306012e-13,9.270920836165155e-12,0.30165391812329556
-1.3725073629834946e-12,1.910525980514153e-12,9.289846768100162e-12,0.3016543865889523
-5.93209911753375e-13,8.52602968285785e-13,9.308933428139114e-12,0.3016548608004665
2.0791025841175112e-13,3.3625702618204516e-13,9.312076348396167e-12,0.3016545682536925
-3.7802434571495394e-13,9.295643506336587e-13,9.30549919595235e-12,0.3016548055153856
-1.0983994928517315e-12,8.280176420210792e-13,9.325545025743082e-12,0.3016547407082335
-2.0342676197342312e-13,1.5580169934166643e-12,9.333021844388489e-12,0.3016551402585302
-2.8151643168214775e-13,-1.0075540314646265e-12,9.333021780553234e-12,0.3016551402509624
-1.5353766488836813e-12,2.922307526382234e-13,9.333022363680569e-12,0.3016551402545124
7.900150870587669e-13,1.4421939399397143e-12,9.339461915148548e-12,0.3016553468479432
-1.8680463462242576e-12,-1.2781338038713661e-12,9.33111023429489e-12,0.3016557907824473
2.4382124694518082e-12,-4.662513624834024e-13,9.355018131593813e-12,0.30165568543374394
2.308658496478381e-12,-2.0699055888768897e-13,9.355018456386748e-12,0.3016556854335972
-1.1474462451283406e-13,-5.892219507756805e-14,9.35501911331352e-12,0.3016556854155975
-2.0232912362059838e-13,-2.4243714306911267e-12,9.383635418088263e-12,0.30165539651113366
3.732578761810308e-13,1.7307201033826674e-12,9.313512401692423e-12,0.3016558996014464
5.922898592554622e-13,7.290054470022944e-13,9.31351229904012e-12,0.3016558995978574
3.233659645991115e-13,-6.830243048554269e-13,9.313509772331104e-12,0.30165589957433575
3.0499500513530764e-12,-1.3391084027792663e-12,9.313509306870893e-12,0.30165589957900263
2.02849787962683e-12,1.4571617279950744e-12,9.307371429914944e-12,0.3016554210703104
-3.7941127306222766e-13,7.949252106349688e-14,9.307371165777826e-12,0.3016554210726596
-4.770658812688564e-13,3.965049241811675e-14,9.323324406807126e-12,0.30165528828793603
5.710598269933233e-13,-3.017998767962167e-13,9.317733041416964e-12,0.30165552815901336
-2.8065600344570723e-13,-4.794897767246949e-13,9.312827071332195e-12,0.3016553123166543
-6.318512974437541e-13,3.484682253302868e-13,9.299845696555816e-12,0.30165538050110224
-1.9272142486672524e-13,-3.2991374125834297e-13,9.333949221460537e-12,0.3016557679058383
5.344697466020225e-13,9.059525335220818e-13,9.315556376507895e-12,0.3016557063772774
-8.776150036989477e-13,5.62845161766244e-13,9.326668363418362e-12,0.3016558473301463
1.7559052082452144e-12,6.095486414196961e-13,9.32666956979091e-12,0.3016558473575917
1.6490498988968065e-13,-5.036115281239601e-13,9.326669075697345e-12,0.30165584735870454
1.5673113419054748e-12,-3.0821536348101018e-12,9.326668141830424e-12,0.30165584735046097
2.075702963871666e-12,-2.8595364843036656e-12,9.326667649800813e-12,0.3016558473532319
-1.9352044334830553e-12,1.1323126800607039e-12,9.326666517723357e-12,0.3016558473351137
1.4378722535813202e-12,3.646388967490022e-14,9.339572745327902e-12,0.3016558292903489
-8.555892348079672e-13,-7.439437870944533e-13,9.345733575637923e-12,0.30165596984645315
-1.051655893170783e-12,1.2864283834608824e-12,9.341093000810139e-12,0.30165578878750277
-8.072330484420003e-13,-4.813698454698465e-13,9.341092229956962e-12,0.30165578878634175
-1.2777674587396427e-12,1.3530261945627968e-12,9.335238613976471e-12,0.3016557421918346
-2.4564164659402556e-13,1.1606362485390708e-12,9.304970545797366e-12,0.3016560998808151
-6.895090704779935e-13,1.3153768522881054e-12,9.298188859881927e-12,0.3016561627401085
1.1244694267221836e-12,-6.60965882366114e-13,9.295305906846168e-12,0.3016559643870886
-4.584485302020699e-13,1.1397778855991888e-12,9.295305912222601e-12,0.30165596437805414
1.069619822895619e-12,-1.7712620942605024e-12,9.295306534942784e-12,0.30165596439779413
1.1827397214889718e-13,-1.293696397306268e-12,9.295303465221609e-12,0.30165596435510217
1.2262022355631205e-12,-8.628303320927753e-13,9.272183838524382e-12,0.30165548880664944
-8.377005172564667e-14,1.2059521773995546e-12,9.261222863509147e-12,0.30165591624714305
-3.7899807829758747e-13,9.786450234795797e-13,9.236646175912573e-12,0.3016557491358054
9.424029287271683e-14,9.827911436739413e-13,9.211893398714257e-12,0.3016558810237476
-5.479694121975223e-14,-9.333407298950593e-13,9.209725245983086e-12,0.30165608999126325
-1.3949726145300588e-13,2.1721931000830222e-12,9.21929134491246e-12,0.30165601094716016
-1.118626021249629e-13,-2.2862386290796566e-12,9.219293125149963e-12,0.3016560109380731
2.4956112880597956e-13,1.6448996276972203e-12,9.219291288410278e-12,0.30165601093475924
2.529732797271154e-13,1.107562784514674e-12,9.21046326955578e-12,0.3016557381455579
-3.825411546184272e-13,1.1627446224087697e-12,9.21046407955699e-12,0.30165573814079744
-1.0970996416943754e-13,1.1582399491704636e-12,9.196271931719602e-12,0.3016558244151458
4.591595376788481e-13,-1.5580233761844701e-12,9.185783270109531e-12,0.3016559286842303
2.4358022916038434e-13,-1.1671654862848256e-12,9.185783421418575e-12,0.3016559286821812
2.2974206029406316e-13,1.4590349940947343e-13,9.195006218723833e-12,0.3016559470696903
1.9047275634023884e-13,4.309672064290081e-13,9.205541615577156e-12,0.30165617522035343
-9.12118863671207e-14,-3.9023003934459324e-13,9.218513027617075e-12,0.30165613100222144
1.897771750665845e-12,-7.233649789883245e-14,9.22535049771641e-12,0.3016558029083484
-1.0983867948111002e-12,1.1594390136460577e-12,9.232806113649347e-12,0.30165476895202054
-3.198373002113067e-14,-2.814890532175063e-13,9.231066238213904e-12,0.30165468425916664
-1.1188841959747824e-12,7.002609725877517e-13,9.23661129114765e-12,0.30165508085417314
2.035699546442244e-12,-1.0722734800437962e-12,9.236612478982862e-12,0.3016550808590305
-1.3599111987782295e-14,1.7213654037241268e-12,9.225307461676164e-12,0.30165551906222743
1.5360970022467634e-13,2.215375631709384e-12,9.225307143519992e-12,0.301655519061115
