alpha,beta,sigma,nu
2.0090671330695433,1.0343720572842146,2.092348674762637,3.569680652503814
3.0015449311471576,0.6145258764852093,2.0463997181650386,4.942741416084665
1.8086470135535735,0.7310953798189758,2.30749716542747,9.870318045685003
2.419155689291545,1.250819922733727,1.8996248778728226,6.013845227442792
2.3512366258824495,0.5476256410513736,2.7221300612702186,25.894482175861157
2.5377113792672312,1.0687920772739947,2.074857291412012,1.9544488982659425
2.653787409861129,0.6909878323236113,2.0742215982559085,11.769969143250174
1.9843081310258115,1.1549588482129614,1.647886277702892,4.145190818648594
2.213702052969472,1.4376345860012245,2.72903165457565,5.877100230112548
2.1008685095707986,1.0691358226281111,2.623720971054202,4.774004858589942
2.0679375837186442,0.8795810802649069,2.3542211188764752,5.127519711785517
2.9779446614303504,0.681943462948176,2.6842351821625807,3.448275287013766
1.7229672651508359,1.2255805174485717,2.4146629311419447,17.41609135579706
3.144454532306275,0.6636925972977832,2.127111128760447,4.27288450088478
1.5158335569483294,1.533895782922576,1.9693991710724184,9.69070091037833
1.923510626600468,0.3679915302491342,1.5165635050693518,3.5403602620091377
2.120101827720178,1.1592596693270247,2.436011176764069,12.054600515126603
1.9916615499627754,0.5192194683661987,2.2386528864697213,10.682716709535677
1.929475706291914,0.8560747839364713,1.9238786425794439,4.81001771187829
1.7447513639810102,0.7063986562144882,1.9283563949864626,3.8378989676370443
1.5821649868339878,0.5154060673154355,1.8586943820094775,4.698891045959901
3.20090875740332,1.6899067254696731,2.5089926488309033,22.84380800039677
1.7534336694636068,1.0395414752294596,2.114285454674279,9.233903977133679
1.8345669783393366,0.9481622209760164,2.039924879476246,13.966763460814814
3.195194944032154,0.7307256957889505,2.4587267016407575,8.339926282783585
1.118905964319917,0.9157137687556183,1.2537150497960947,1.9324770460055614
1.2826805191970023,1.1342368774023226,1.3679058903858066,1.1033369053997533
1.8793436297648043,0.9690177892360665,1.4525507478695983,3.5437713411038527
2.0806066637649856,0.8020561061267977,2.478237131610962,8.239121935341363
2.5416166061269267,0.7991770100072901,1.7761181292275559,6.363616131782693
2.5379010836308744,1.285177973063807,1.8419992244240668,7.894227907018464
1.6655398183956265,0.6193605598817615,2.39703772270181,7.009985234025101
2.1070597392446793,0.18533689912691292,2.2233866165397473,4.348671622113712
1.4689539729423073,1.2343986606971837,1.861234536225441,10.306317262388673
3.4446116799516,0.43937799245631776,2.3448783270245923,4.452980731996076
2.684917113164773,0.5938877185747454,2.1707422009767945,7.007382789003737
2.2318220586474475,0.9977230096759722,2.05520448409145,15.39949821168105
2.392631945575468,1.7055533953725424,1.817358768657159,21.752116275922216
2.619222588949475,0.860699984478293,3.5471331209789914,3.365958824692679
2.621759164326836,0.7186261346342835,1.9153167377588263,10.56356689550983
1.8604094334433086,0.049754330730482854,2.371553919311363,12.536897290661228
1.0820967839196465,0.898159645989615,2.460183412625416,9.45996994742629
3.1607781236929973,1.4636976574509772,2.525762604679887,20.051161596886264
2.7547665953621987,1.34197866990324,2.3699360695891167,16.72506358978047
1.8898093668061102,0.6838007664977865,2.4614425000290536,7.8628497398783095
2.1923692092714933,1.1876289857068412,1.8052989710480432,5.202131853365026
2.2374012625025452,1.036085633713599,2.109481780673864,14.614394680323144
2.0945957030662035,0.8304834495786914,2.3840422838559014,6.379388586345989
2.4338114835052305,0.7354660128959292,1.5379947304913002,3.656878541945541
1.8945395232453102,0.8700216680915436,1.9956504362028162,3.164642099942376
2.5153342755238914,0.9985893827975256,1.7047219965177065,7.283917331695482
2.442645218242149,1.1087765157679175,2.8954707224309337,14.199819238440341
2.3408307185874047,1.1833943187884368,2.826110264661248,13.853903159807675
3.0319158634189174,-0.17334517666875915,2.068975579466674,8.643196781874385
3.148757598696726,-0.20407597720714135,2.050244685288395,9.301716228358435
1.9165418452946308,2.3593637601240336,2.583070292315401,16.922440338359316
2.2421203253967463,0.7885619836147334,2.149025982222121,10.99054004862049
1.969688504379803,0.6962563063918,1.9997649034977178,6.095843812732586
2.124309903056499,1.3922814710788105,2.419330890093091,25.106404787616604
2.6189033866136002,1.1649950992461624,2.488843448752237,17.360590350179187
1.9620158435219364,1.0988996229556012,2.138470094011631,9.883011087053893
1.4220916946006859,0.8960299133534397,2.678320665539078,3.8491615919245974
3.0332112829727857,0.8765498935862873,1.916565589263871,14.374859506859078
1.6984669907014798,1.3096686193696472,2.010795541744098,14.93952588156694
2.3488051249296302,1.1927648807993827,2.3515878352682646,5.558405329176045
