alpha,beta,sigma,nu
3.1284536497879927e-12,4.896801120435527e-13,1.58928148066202e-11,0.11778597207185429
3.1284536497879927e-12,4.896801120435527e-13,1.58928148066202e-11,0.11778597207185429
3.1284536497879927e-12,4.896801120435527e-13,1.58928148066202e-11,0.11778597207185429
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-5.222926005292313e-14,9.579994175867349e-13,1.5893385371365384e-11,0.11778597168882529
-1.6462610306836972e-12,-9.716647944701965e-13,1.5893439327332407e-11,0.11778596609763468
3.5914909871097822e-12,4.143564177294365e-12,1.5893574359094993e-11,0.11778595989178345
-5.465279013385872e-12,-6.418045891845485e-12,1.589387602860573e-11,0.11778595870916272
-5.465279013385872e-12,-6.418045891845485e-12,1.589387602860573e-11,0.11778595870916272
-5.465279013385872e-12,-6.418045891845485e-12,1.589387602860573e-11,0.11778595870916272
-5.465279013385872e-12,-6.418045891845485e-12,1.589387602860573e-11,0.11778595870916272
-5.465279013385872e-12,-6.418045891845485e-12,1.589387602860573e-11,0.11778595870916272
-5.465279013385872e-12,-6.418045891845485e-12,1.589387602860573e-11,0.11778595870916272
-5.465279013385872e-12,-6.418045891845485e-12,1.589387602860573e-11,0.11778595870916272
4.712491814879047e-13,4.069764148284837e-12,1.5893982606140974e-11,0.11778595864936482
4.712491814879047e-13,4.069764148284837e-12,1.5893982606140974e-11,0.11778595864936482
4.712491814879047e-13,4.069764148284837e-12,1.5893982606140974e-11,0.11778595864936482
4.712491814879047e-13,4.069764148284837e-12,1.5893982606140974e-11,0.11778595864936482
4.712491814879047e-13,4.069764148284837e-12,1.5893982606140974e-11,0.11778595864936482
1.8034431274052676e-12,3.3273218456336115e-12,1.5893566078902442e-11,0.1177859538573742
1.8034431274052676e-12,3.3273218456336115e-12,1.5893566078902442e-11,0.1177859538573742
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
-1.7325021166467228e-12,-1.8423417503788073e-12,1.5893730891937633e-11,0.1177859706310702
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
1.0836260308570236e-12,1.2961858722070275e-12,1.5893404822570082e-11,0.1177859711901444
-1.6747590734985524e-13,2.1911491413913116e-13,1.5893098941212282e-11,0.11778597051502365
-1.6747590734985524e-13,2.1911491413913116e-13,1.5893098941212282e-11,0.11778597051502365
-1.6747590734985524e-13,2.1911491413913116e-13,1.5893098941212282e-11,0.11778597051502365
-1.6747590734985524e-13,2.1911491413913116e-13,1.5893098941212282e-11,0.11778597051502365
-1.6747590734985524e-13,2.1911491413913116e-13,1.5893098941212282e-11,0.11778597051502365
-1.6747590734985524e-13,2.1911491413913116e-13,1.5893098941212282e-11,0.11778597051502365
-1.6747590734985524e-13,2.1911491413913116e-13,1.5893098941212282e-11,0.11778597051502365
-5.255694991417004e-13,-5.166648227902325e-13,1.58933852185035e-11,0.11778597799443699
-5.255694991417004e-13,-5.166648227902325e-13,1.58933852185035e-11,0.11778597799443699
-5.255694991417004e-13,-5.166648227902325e-13,1.58933852185035e-11,0.11778597799443699
