alpha,beta,sigma,nu
2.8685023275591286,1.5913858765561475,1.0402504223576112,10.960441953082348
2.4863192204500195,2.1759825058183835,1.5057810432322296,10.244724947165778
2.946489413465738,1.4441846035606496,1.4418088251642112,16.151353955970528
2.7947208830974253,2.1747618186886672,1.2359549173620246,14.405745639874782
2.9433802096729886,1.6799948605979749,1.5097000695041594,45.60533203322479
3.4379465498421182,1.4628382482073652,1.6628879605183642,16.13595806882985
3.4389790462521055,1.4242597936674743,1.6738868651452359,14.873985540793997
2.5481563186235205,2.0267199282768646,1.1347987217737228,16.410355047607645
3.359275558260808,1.8492428803330683,1.9602433874250704,6.110747772895774
3.285969237657484,1.9505448551563316,1.4388821423523446,14.684235250082965
2.754373934673487,1.9328227381006693,1.383592589145899,10.170576820641315
3.4657887685154978,1.7105495160751483,1.668658864268283,5.48368289684123
3.3823995270552087,1.5315091788868425,1.3900355243037896,18.22718013640597
2.535211022712077,2.0976965029032466,1.4459508348793781,14.158985170220804
2.4979800197486894,2.3005755234890644,1.3249464951159884,14.79980888364381
3.36377234574146,1.3980752942992667,1.1958735029909482,3.6084976275649154
2.7728839570725454,2.0234583977050695,1.1413909470408232,5.536950351527854
2.700799931454258,1.1919837808331404,1.1116989671012232,5.438861797401942
3.0916207988831683,1.7917680923178723,1.408640086379523,9.856207132838854
2.951692041421152,1.955078787941384,1.344158300091101,24.37640030009403
3.2024155903540996,2.049696357215164,1.4694583910732817,10.901621150468221
2.36654721658684,1.5389046117968017,1.4633739277197362,37.772797757239275
2.6489861930107588,1.9087679722349524,1.4473021659369478,10.856252663824105
2.671903075612939,1.8439482972277643,1.3105195527528852,20.547375981929786
3.0466798986039025,1.9287564838519762,1.2972557713226869,3.2196729666515442
3.545343732664294,1.4346001977044438,1.5355196474077148,21.22203513183182
3.114199629175406,1.562821976443308,1.5437737062243848,29.55711432191955
3.1636640870470987,1.4465286622898932,1.4622579011407901,40.6722187454943
2.786040403535954,2.1144202362587325,1.2322543142789013,4.385810191779075
2.936148609759758,1.8406176689430154,1.2046821320983243,3.37653433535156
3.009443998085234,2.3269200837414385,1.302525940663369,13.384230645834599
2.5371148749682964,1.6130629460635921,1.4861352487272281,14.401453667374527
2.4844044000930814,2.470380920783509,1.6332604437273286,36.4537024962461
3.313525671961698,1.3493638609728096,1.1801732523205986,4.7327010738994915
3.1289469860036627,1.9279751839557868,1.1598649659244853,8.428961084676047
2.947064905587281,1.8910458434954125,1.1501998377006677,8.604483069692536
2.8688587080238728,1.8288123112513694,1.3080829316371845,17.272132952260794
2.873660789858805,1.210870673512375,1.6744738544178244,7.953692535735935
2.939027736296872,1.9940217753786418,0.9846294907336024,29.078007981781447
2.9947144712411222,1.883709990688076,1.0613140607568308,22.815021529733283
3.2195763136729862,2.2065030037481423,1.4671719198329354,7.1332653384303875
2.5384990948964083,1.447002917348208,1.499138362823482,16.819179594768322
2.5205928831907602,1.8052565873322992,1.5258831227448766,28.937959666460575
