alpha,beta,sigma,nu
1.0403319093673444e-12,-2.396125668625411e-13,5.719264290546459e-12,1.6718502086989444
-1.15414150587749e-12,4.160997806106256e-13,5.719263996610638e-12,1.6718502087128218
-1.652706688705845e-12,-8.159071066608168e-15,5.719262549414723e-12,1.6718502087069964
1.3245390081106361e-12,-8.091899030038374e-13,5.719263214103557e-12,1.6718502087059521
-1.1501481792828238e-13,-3.1149221769874607e-13,5.722724726740024e-12,1.6718510945567917
-1.846087038513029e-12,3.8182495699787757e-13,5.715880922024493e-12,1.6718512745756136
-6.979613269451196e-14,-4.670814444570382e-13,5.715881183887936e-12,1.6718512745737413
-4.2260867465467834e-13,1.0071772800668328e-13,5.69683385622523e-12,1.6718510658561216
-1.0182925837068087e-13,-3.034311023477101e-13,5.675444753974071e-12,1.6718516154096899
-4.2697343789195044e-14,-2.5766164500887506e-13,5.670628866644415e-12,1.671851801755381
3.2442140088910965e-13,6.973539106199115e-13,5.677037302117859e-12,1.6718518356535972
8.023801756682038e-13,6.403092687735166e-13,5.698023716227692e-12,1.6718511433389853
-5.901468018927743e-14,1.1398250991104892e-12,5.698021183294586e-12,1.6718511430746164
-9.057624723737196e-13,6.038068063265178e-13,5.692739041222786e-12,1.67185142842832
6.420614009737452e-13,-1.161724384576165e-12,5.692739413108199e-12,1.6718514284254602
-1.2554547129170783e-13,1.8228700493115982e-12,5.7181187603440256e-12,1.671851801904472
1.6066090944315724e-12,-6.641874617109275e-13,5.6954915546869415e-12,1.6718510193556948
1.155442521373874e-13,-2.8863704780904407e-12,5.69549118744875e-12,1.6718510193497775
-7.016780711377625e-13,-1.6749964329810794e-12,5.695490875851045e-12,1.6718510193373082
-1.3045021679054807e-12,-1.4929467551835828e-12,5.695490875209998e-12,1.6718510193224714
-4.3262241404924063e-13,-3.6584295210691007e-13,5.695490464707304e-12,1.6718510193384333
1.3118732129267105e-13,-1.1187075791667034e-12,5.699060593371076e-12,1.6718502682403393
1.41945679304439e-12,5.136774781163363e-13,5.699061217259467e-12,1.6718502682506364
-3.321350150266978e-13,-9.429274348533723e-13,5.7013352800494616e-12,1.671850083715006
-2.3962959021643107e-13,2.1155973504153413e-12,5.691350309189882e-12,1.671849405586184
5.510292809095539e-13,3.1611735205184497e-12,5.7018672678578615e-12,1.6718501646448585
7.831646988592675e-13,-2.2498832884565467e-12,5.701867079750417e-12,1.6718501646905883
8.586769272847916e-13,-1.1777119041929536e-12,5.695372123629399e-12,1.6718508289446803
9.754930883913078e-13,-1.4744382778391887e-12,5.688287945014772e-12,1.6718508933627434
9.624334286286145e-13,1.514595978486599e-12,5.688585289724453e-12,1.6718509359690656
-6.668673074310202e-13,-2.5835995475150462e-12,5.688585216737741e-12,1.6718509359438456
-1.1093661882347738e-12,1.0622882285324888e-12,5.688585550094309e-12,1.671850935949761
-3.7580749129999903e-13,3.808643043733133e-13,5.681626128544421e-12,1.6718503131188802
-1.267252731857288e-12,-6.359030667864074e-13,5.685074474538362e-12,1.671849756788357
7.871115204356698e-13,1.7040300431800027e-12,5.656881490743294e-12,1.6718501148991098
-8.686517941272488e-13,-1.622343963866417e-12,5.656882043356126e-12,1.6718501148983764
1.8690410179031105e-13,1.0856901793800658e-12,5.656844950663131e-12,1.6718501178826208
2.553947085213811e-13,-1.6326724291389835e-12,5.654288029328721e-12,1.6718501929424479
-8.647600466757251e-13,1.801751960498113e-13,5.680718877566102e-12,1.6718496264359957
7.786562131171976e-13,-3.541677251506542e-13,5.680718760114781e-12,1.6718496264240352
-2.0373706115118017e-12,-1.8088613332251148e-12,5.680719482844152e-12,1.6718496264436318
3.283383542290356e-12,-5.070291920919789e-13,5.6807192165655495e-12,1.6718496264514078
2.2327674757495744e-13,-2.7205415522020115e-12,5.684730258820906e-12,1.671850674307642
4.041049093241545e-13,-1.7062960789876805e-12,5.6847303344761645e-12,1.671850674305685
-1.7729420506017217e-12,-1.0490977084462252e-13,5.685560900644702e-12,1.67185065453153
-1.5389549338556515e-12,3.6625482236193113e-13,5.685244736694865e-12,1.6718506969649547
-3.509028035429487e-13,6.07061227142459e-13,5.681404538858695e-12,1.671850210988825
6.634181184826916e-13,-5.118713006336513e-13,5.6908695147640144e-12,1.6718500606940394
-5.316791363542757e-13,-1.3282216448615503e-14,5.699746763959379e-12,1.6718503513308693
8.298481002756984e-14,4.2037474148560304e-13,5.703499573307704e-12,1.6718503883694396
-9.254500507288916e-14,6.650457272179235e-13,5.698113243301087e-12,1.6718502015818335
-5.722130525937118e-13,-2.264845732083245e-12,5.698114164994978e-12,1.6718502016428087
-7.631171514112024e-13,-7.627387938664898e-13,5.698114306555926e-12,1.6718502016418817
-7.631171514112024e-13,-7.627387938664898e-13,5.698114306555926e-12,1.6718502016418817
6.272130259878696e-13,9.073731254802873e-13,5.6981134607262516e-12,1.671850201655733
-1.1341226361810243e-12,-1.7739560593811385e-12,5.698113028258581e-12,1.6718502016356063
-1.1618354452691647e-12,-1.4862183719489602e-12,5.707661393180428e-12,1.6718501625751465
-1.5240043174634975e-12,-1.0424123856040075e-12,5.707659802605758e-12,1.6718501624729745
-1.0665718257155048e-12,-3.130753772506749e-13,5.70332991476534e-12,1.6718496769355342
-1.4303623815577168e-13,1.461178269846648e-13,5.7033294733304836e-12,1.6718496769335998
1.0180680093800078e-12,-6.702734359134984e-13,5.695005887302533e-12,1.6718494870227798
2.1103753175265325e-13,-6.613862047688316e-13,5.709193429331172e-12,1.6718489898186724
7.326724373614783e-14,5.201249922777776e-13,5.707213040664119e-12,1.6718490431154396
1.71689961991642e-12,3.65527049632743e-13,5.704428594325528e-12,1.6718484941341076
-8.104169578033492e-13,-9.21912112072027e-13,5.7044285912269274e-12,1.6718484941491611
-5.229956652218363e-13,1.7696588461014678e-12,5.704437729869301e-12,1.6718484949879076
5.854513081249618e-14,-5.425483441018931e-13,5.704438318828586e-12,1.6718484950116195
2.5304017874175e-13,1.7480119322191205e-12,5.691305479308001e-12,1.6718477146388322
1.4692573177375491e-12,-5.462183403466603e-13,5.681974674395282e-12,1.6718487571539962
-4.08566105559565e-13,9.275061480263327e-13,5.67137734587934e-12,1.671848548171613
3.6184723171996585e-14,-1.0570867734287333e-12,5.662867211719103e-12,1.6718486799339314
5.780447433506086e-14,7.535153738834627e-13,5.6635502586483015e-12,1.6718484139886156
5.861233736094486e-13,-4.638489365397189e-13,5.6738566625122465e-12,1.671848165516712
-6.78033142237711e-13,-1.195963154400798e-13,5.667253356859345e-12,1.67184825985692
-3.0263203659870964e-14,-4.487858719610044e-13,5.6610875740439164e-12,1.6718482280895963
9.790370716984457e-13,-3.9156928163767276e-13,5.665097127142276e-12,1.6718486270195585
-9.973160498936998e-13,5.926054157797899e-13,5.665096426218366e-12,1.6718486270314572
4.826438710702926e-13,-5.530872613250175e-13,5.670438826883509e-12,1.6718485270784973
-5.528569301471231e-13,6.377565183629188e-13,5.680125768354872e-12,1.6718482325513386
5.387556732225578e-13,-7.017362773846486e-13,5.680125505084342e-12,1.6718482325615818
-2.1762604942447646e-13,2.5207341868747563e-13,5.689904391973608e-12,1.6718482888479713
-3.854268217224749e-13,3.6006603340673434e-14,5.686575015997925e-12,1.671848085782857
7.014142456195303e-13,9.026228673791944e-13,5.6972051295215955e-12,1.6718479812686822
6.787086242848006e-13,1.935224823713494e-12,5.697238198744915e-12,1.6718479770803047
-7.521102977802731e-13,-1.596649012745645e-12,5.692183793719979e-12,1.6718497714548346
8.321359714413438e-13,1.5169265123943875e-12,5.692184102941156e-12,1.6718497714999496
9.556455872408612e-13,3.371609292756668e-13,5.688968377591795e-12,1.6718491439695404
-1.0848250859017735e-12,1.200970694136961e-12,5.688968148861924e-12,1.6718491439668426
-9.70620002429298e-13,1.0878845756114123e-12,5.690624553291972e-12,1.6718489500069067
6.485023150498071e-13,6.464024663358493e-13,5.6906241851507075e-12,1.6718489500031994
3.260804284569783e-13,5.407144107592682e-13,5.69378948804453e-12,1.6718488051185223
1.9603596678183625e-13,-1.440113733917251e-12,5.7043622849507435e-12,1.6718491778354125
-4.782029649611808e-13,6.11327186651406e-13,5.697526587821639e-12,1.6718495545186582
1.0144006721021898e-12,-2.859441984677161e-13,5.6925197840582375e-12,1.671849363097959
-1.3500650364748248e-12,-5.4753140754094035e-14,5.666994225934856e-12,1.6718500576904294
8.638134651011683e-13,-4.854960461190443e-13,5.66569396962057e-12,1.6718500196119817
-1.0395857454961514e-12,1.218177872375605e-12,5.668711763026607e-12,1.6718496603017439
7.992532411589972e-13,7.729944658695928e-13,5.667553165406866e-12,1.671849635047832
-3.9955286683519774e-13,-6.276749349072364e-13,5.681275690202554e-12,1.671850036381069
-2.316666833035661e-13,1.522688379185545e-12,5.676771722187859e-12,1.6718503169060646
1.58742744672235e-12,-3.2074834773985426e-13,5.6767638077494984e-12,1.6718503182841284
-8.099506468876877e-13,-1.3619587226119607e-12,5.676763500122953e-12,1.6718503182879603
8.419588663872294e-13,1.3061197584495857e-12,5.6935382791014085e-12,1.6718506542304985
3.407656879187602e-13,8.802321277934235e-13,5.693538717698295e-12,1.6718506542262386
1.1616962261611948e-12,2.787799867822235e-13,5.692296331301757e-12,1.6718502900475052
-5.566862633455943e-13,1.6437211668612595e-12,5.690723177649418e-12,1.6718506860447286
6.545783102411582e-13,-1.7974942773695306e-12,5.698045061588581e-12,1.6718503433527143
1.3188992110138474e-12,1.2688441193906823e-13,5.693855710099656e-12,1.6718507206749242
-5.043372978541494e-13,2.105979046730636e-12,5.693855748850203e-12,1.6718507206833695
9.713276565336762e-13,6.08724632821155e-13,5.693857380739346e-12,1.671850720868439
-5.881850019903817e-13,-7.26400025880492e-13,5.698990279027896e-12,1.6718508344156124
4.04895669010291e-14,1.461429737621824e-13,5.6902363103029425e-12,1.6718504332087996
1.0688636477415627e-12,-1.3605868549221766e-13,5.693657602701541e-12,1.6718506139989031
2.874500978193423e-13,1.2339595407435188e-12,5.693657633379875e-12,1.671850614001472
9.345830317224766e-13,1.6361008540343747e-12,5.711592234145245e-12,1.6718495865377547
-5.255382842261908e-13,-1.595040636814309e-12,5.711593469518249e-12,1.6718495865542506
6.428328022314625e-13,-4.886792686143392e-13,5.714678351150671e-12,1.6718487204213734
-1.7071540824422722e-13,-9.211411939510973e-13,5.705559173593848e-12,1.671848348713527
8.19847479533432e-14,2.2200283606307356e-13,5.704503857003886e-12,1.6718477967447598
-1.0615297668132635e-13,-4.817383853357529e-13,5.704503671487673e-12,1.671847796745761
4.3989859512814154e-13,-5.226915401899781e-13,5.7056608327830084e-12,1.6718479074671684
-4.486884343181217e-13,4.648888028626727e-13,5.721134465910226e-12,1.6718482175089757
9.556523139301698e-13,-2.5767199905235984e-13,5.710150817168232e-12,1.671847746616856
-7.129576506940331e-13,1.2729523229618386e-12,5.696331531390505e-12,1.6718472795102721
-3.087913807913706e-13,-6.046852019840455e-13,5.692286510003557e-12,1.6718472517462561
-8.644576281597976e-13,4.369467497243839e-13,5.69554885323605e-12,1.6718473546124601
-2.871227628886232e-13,7.726346863141483e-13,5.701072095274662e-12,1.6718484611500912
-3.344708719080861e-13,1.446467583235479e-12,5.703906858364997e-12,1.6718480500071848
2.4772684618478613e-14,-1.8201363186876505e-13,5.714363640028241e-12,1.671847904313372
3.5117558568461205e-13,-3.936166739964973e-13,5.714487712481033e-12,1.6718478021277985
5.682381205758997e-13,6.891274593222485e-13,5.720463334184501e-12,1.6718476506450852
1.507174085877974e-13,-8.309491880679463e-13,5.727586334740715e-12,1.6718476436542107
-3.254604024308126e-13,-1.0408825603882065e-12,5.720917780354193e-12,1.6718471184661925
-8.842621430049259e-14,-8.565658624116753e-15,5.72091831674855e-12,1.671847118471667
9.780343949950019e-14,-3.887542721362051e-15,5.704548193033009e-12,1.6718472325442946
-8.089881830920698e-13,9.800584826439406e-13,5.7188795303288365e-12,1.6718465673408003
-3.930252359441101e-13,-1.8877052980868768e-13,5.728550918369213e-12,1.671846258132591
9.65252340829368e-13,1.0245431815610139e-13,5.738172678874204e-12,1.6718473138562215
-7.348812557588853e-13,1.1004357945543286e-12,5.731007160059832e-12,1.671847130995803
-6.917182939809183e-13,-4.1270728528739346e-13,5.731007289206032e-12,1.6718471310010818
3.8152714610714593e-13,6.476842174807175e-13,5.7310074664792626e-12,1.6718471309912177
-1.1978731252793148e-12,3.5034985946961614e-14,5.7304003607200855e-12,1.671847994033542
8.721505035225457e-13,4.832459421272719e-13,5.740536488784304e-12,1.6718477815920008
-9.670382068308299e-13,-3.9686021098296495e-13,5.740587738074217e-12,1.6718478211271077
-6.269507953212178e-13,4.9200319803895364e-15,5.744711979651307e-12,1.6718481552587552
1.9468748336758177e-12,1.2000479925336773e-12,5.727375192405159e-12,1.6718475417786476
9.855822160041988e-14,-5.568821063254073e-13,5.693349113284486e-12,1.6718480515938565
2.87105673498692e-13,1.4939067896959666e-13,5.704922746761281e-12,1.6718481068055682
-7.045491412124911e-13,-9.580060108969656e-14,5.706585790038234e-12,1.6718481966093313
3.062995244613823e-12,1.664819236202392e-12,5.7046462902286364e-12,1.6718475442117897
7.47388140792072e-14,-7.463374367560326e-13,5.704542892393354e-12,1.6718471957095602
-4.589997684108463e-13,9.408689835854183e-13,5.711731132889403e-12,1.671846575168262
-3.269634078569338e-13,5.460394142313935e-13,5.7099761814399424e-12,1.6718466432056933
5.019711021814893e-13,8.196091568254112e-13,5.715220403383384e-12,1.6718472973485308
-5.522447807609229e-13,-4.884917530869965e-13,5.730501399014764e-12,1.6718473445199686
-1.116931725909349e-12,2.3906177423127184e-13,5.722971087524498e-12,1.6718475674112645
-7.51529714927479e-13,-5.095048742555423e-13,5.7218772674179126e-12,1.6718475945721747
