alpha,beta,sigma,nu
1.4523853667577742,1.7191135714091086,1.0655192116584262,8.82344636718153
2.286918708642197,1.6943116047018068,1.277425433464635,9.337622726845956
1.6905620132566774,1.6883649496039195,1.3625215167358524,10.976147065570599
1.6544055626973864,1.9004437734368498,1.080584974783216,14.569467206392808
1.5960616654183326,1.8832469522720057,1.222955454084211,45.881744146056654
1.8004054668949236,1.8846055064581535,1.0983104290082504,4.1879623044905525
1.8086711235376258,1.7366601639461836,1.2132197520026335,17.2455759140988
1.7397553797546579,1.7414452245329899,1.5184974470519752,17.563328867250846
1.5581768667842593,1.9552400868587503,0.9330031359448219,13.232233246032555
1.8125053921304062,1.8202627406036265,1.2297841299895058,17.538275074727913
1.6016634126702203,1.9784760879317096,1.256427959920854,12.993449778891673
1.1838430923655043,1.9870050704892237,1.0073583344281398,30.01445804148273
1.2532549483649777,2.0487561877262594,1.2395371517554243,10.775062019708121
2.118771133153587,1.6914335556316344,1.3045158920593163,15.40646115232674
2.151116495140869,1.398605217588219,1.4474734562066771,12.863099238643857
1.5095751712434318,1.5856385426785606,1.0026791686018175,5.694446787337962
1.5692676353386457,1.7968057692124582,1.2221142625862993,12.008762873767356
1.6833384342452258,2.209062380430816,1.2918715777431928,13.750244692707648
1.55527757015733,1.5186283743587834,1.1245924262697669,12.399745329721409
1.8454357576143496,1.9266286312266108,1.1899135837962604,20.45541346474262
1.5813745850946688,1.7686400695187732,1.2074399254314079,7.436019837913422
1.973790788741325,1.848606889100723,1.2345497905967515,4.120150805426731
2.154602935659534,1.8155986555778065,1.2650365801283383,13.580982935576417
1.3397391399213885,1.8586909916842722,1.0917586121083016,8.661549590546299
1.8347358035792525,1.4630317563210518,1.3164158160240131,27.876152228728063
2.228138389256712,1.3802596782562686,1.6876540555439947,29.74611773217247
2.2651247615669816,1.310311829420484,1.492909656040031,35.558420395678006
1.1665972767252242,2.2860521121463018,0.9228591479351658,4.825473548888551
1.2559593281687647,1.9392026210340971,1.297424213323289,5.055198771164251
1.6480459052035732,2.220342257236273,1.3480536632852969,25.404445940571378
1.6686824364774095,1.970501302955879,1.319087162305081,11.904352374532115
1.9903024803385903,1.8882742478952148,1.1703674767550292,11.663893083226064
1.7021471145101943,2.18840073827235,1.2388394272356278,20.02035705767278
2.042872015728735,2.1493942005780324,1.1765170263259912,63.41733693542431
1.7800240652989625,1.4991723522054294,1.1515070197227628,6.947394439826062
1.7494120114770306,1.9294456652934984,1.3595150693569846,22.508298047183295
1.6258290592140006,1.7342029278981637,1.1273225759249665,6.322720544160637
1.7243987574525494,2.243445594053535,1.024133215721899,23.06048122023497
1.5532008794143037,1.3723223073456463,1.4358729476488374,11.035704477540108
1.5074586735531479,1.6790547824210367,1.337646636603096,15.950612388995465
1.9573828090389154,2.266995572386017,1.123499164808914,10.905911855946597
2.333222872450587,1.644177674054232,1.1783120471725177,11.132759381451056
1.0771900174276716,2.261450166757884,1.165378010876169,19.77871319032032
1.133937191231755,2.2187065298472253,1.1974304049654982,19.111993743790386
2.228896588011193,1.5567178010098466,1.2428656139309369,13.123908046836812
1.344133116477738,1.9689547528569518,1.3013912652753823,19.970393578689492
1.7230127351945477,1.7803220928058596,1.0859483493824968,4.239464657204026
1.8253068474563294,1.783469592312194,0.9991196510265625,5.6094714898248785
1.6257880517296064,1.95969424366366,1.3156344140550296,16.12137539908217
1.8420136000291771,1.9082075104953788,1.4448379006544168,17.968003541742565
1.8418775605593096,1.7579516622185325,1.0423083781056928,8.646145923663264
1.9127742925912166,2.107617408900466,1.1046764167843257,11.68291077469441
1.706294958102607,1.6246748748231776,1.172664476433473,10.932006530710812
2.0388775218878825,1.089289013969674,1.0916359751214488,7.020575462021902
1.9776758856209302,1.5420461109659016,1.2462533357703895,9.279331026452379
1.3682551301835384,1.588424577897901,1.1668836313683877,8.754248105253074
1.4778912730288847,1.6325835009782845,1.0415249795780344,11.32046414476034
1.4017890978073082,1.6215251585633481,1.0347907482970662,8.628551083395143
2.0768346647941027,2.151111045155506,1.1518315239018186,7.732642116151418
1.2642947968147962,1.4983255179304429,1.2421255436418064,16.334249807742985
2.0831173778834073,2.231928786313856,1.2065362256339558,7.36190139935035
2.2092019887646503,1.9746436908253582,1.0199177173014051,19.22823545601262
1.5287175901375945,1.6378696324571762,1.284550541318481,12.646635360346366
2.20925003962714,2.0117991359846306,0.9740335750252784,1.6961317767890003
1.91719067260958,2.0389667373872573,0.9582321817608335,3.6323876619802506
1.864467643678889,1.4980862388272895,1.2179453415676806,13.848042524284672
1.6693317586280054,1.8606253512911706,1.1316657815496773,7.951587612344086
1.5053117195749,2.143506401160412,0.7785158390697988,1.6014806950482232
1.7641908569414768,1.796319391929174,0.9328463442913175,1.3361656930030503
1.7153552033999706,1.7174769646642318,1.1849209308367061,15.327350196365208
1.7774077720149783,1.6703449890199848,1.3946648572786078,10.897355405840662
1.586177345781759,1.7798779426506046,1.2732159138326022,7.2400383017465755
1.6914809578106196,2.066887899278967,1.203579661154501,21.233186891076798
1.7605014122642861,2.002317640180624,1.1100810482917045,18.761344597396434
1.7558875596585892,2.0375842677586187,1.030575200029422,12.978869080174158
1.672419643588118,1.5804534879965222,1.2411182093209148,6.219116526017589
1.7335538945949291,1.5728460783004155,1.1476303944194561,15.092364872691814
1.583778689575416,1.9963041464357938,1.313441390965815,11.34682997846379
1.5181393020157985,2.1556948048726063,1.3692657335470604,9.170065065653326
1.5784877972174107,1.881340181616791,1.2869884214368728,10.581722804576788
1.4450968635774026,1.3533744199196098,1.5004052096737344,18.33382234024585
1.8706632993076588,2.100801239242575,0.9161846314393551,4.233936953139839
1.7699126945981276,2.185461218896768,0.8050142050563559,5.353466782900319
1.3469599413598223,1.6594974503347388,1.208422991204762,3.3331892546248647
1.379202023206484,1.88163710779993,1.1606653965815188,16.333698102196575
1.3264118908310074,1.87083823083496,1.1943791868308782,21.19536097303492
1.6971096004784127,1.9478184311249174,1.1314824624303073,2.7624924465036846
1.9948604683764428,1.4448402742721278,1.511170030108545,30.12923706652492
1.8984609831764045,1.3524226861449204,1.408094027863921,47.536385775154024
1.7270592040603183,1.2544501221352535,1.4480827088984778,20.231383597047277
1.6769892217063684,1.8395180167405567,1.193018407130886,18.93418872397275
1.5499156897766289,2.199394018275172,1.4177970515580618,30.308895786245817
1.62340739038469,1.5786963217292056,0.8722856484834403,6.260434947605341
1.5831263106641396,1.9884331180452983,1.107973080119861,4.330727975404836
1.5716227470586799,1.510779298425167,1.6278620326462656,5.592949616258089
1.6143808322894106,1.4633199162282275,1.387952851886663,4.491404691834369
1.764685749514895,1.7478145985557858,1.3329341958847019,17.265037470615724
2.1690775413079093,1.670894403179659,1.4680533558014002,21.922659484591037
2.1742958391116396,1.8519014983396922,1.6017076257359109,27.56320277109786
2.0321827774595627,2.055646307612527,1.455100515610524,37.60767286266349
2.260262509054398,1.9596575337190913,1.3188213142151048,32.711678443930616
0.9197455937865004,1.5183492486073165,1.1835874148337528,7.4475690449524485
2.354460881401396,2.10881831634433,1.2392634286769912,22.846923392744582
1.7707643416946408,2.1995659608385743,1.5399375277540883,10.168763988401087
1.7781303088564522,1.6708348536063744,1.0787522589684917,30.77651908515088
1.6791139293037523,1.6419582430839372,1.1560780377072901,12.26259086406106
1.323910288660782,1.8613242412118423,1.370575043541261,9.14291473491742
1.6752283554386134,1.880279529533746,1.1508572163056707,8.863990153261172
1.9609037749056393,1.3594835998004602,1.2133649554768944,8.551949551092076
1.9269660840089633,1.9210178260178665,1.2068478414376533,6.012947047669695
1.460133324970474,1.8210565629845175,1.1707151066804282,13.264389998966752
1.4593604246358152,1.6378476471808916,1.3591598623224201,24.60752704096623
1.8065869741496583,1.8236768172951683,1.0572110983006107,5.568062590715127
1.6314671313172076,1.75110363318975,1.2265382490809862,13.338642404546807
1.818211545062145,1.8715935605338538,1.100524108974671,25.422706285467953
0.9564651930364803,1.8889825761441275,1.2302337032566408,9.266948147345628
1.839404101198388,1.6255281938312653,1.4714453600391781,31.86077358402944
1.8887929206178609,1.630675002473749,1.2740759679890643,16.27417451489836
1.6527694365069279,2.032619798076684,1.012200535394135,3.4764391394467498
1.7321814332005374,1.9915838723067854,1.069966677710291,5.956264028339475
1.5031999909336167,1.8763832699189402,1.2357167473506727,20.380408196124915
1.7037663183391496,1.7025476454164072,1.0389680976413582,3.617707212954578
1.900966133670829,2.096657711895759,1.286515476456164,23.114063817251306
1.9118802547397795,1.868575910734115,1.5438301829699137,43.527966088450405
1.7617343207770106,1.7571392808152488,1.1984057169914177,17.879308641383172
1.8516925430437912,1.676582078812114,1.2846340343252367,21.823315891735074
1.5356779284952555,1.6653531997879265,1.0941925180964502,3.0213994138853946
1.6769182642476936,2.22630986944955,1.5056272906545267,14.517724496939051
1.6122088928690683,2.237633901758117,1.608524514898011,11.166827432535188
1.805252779614686,1.913349688596965,1.368484682205712,6.726707360494328
1.363866738307401,1.8087004355999483,1.1215956097596453,17.825111805709778
1.6279073331473202,2.05641604104084,1.0538580502240888,15.172060641132886
1.754925299625283,1.990506312583933,1.136608097771497,22.630077366273035
1.7705081659702429,2.060724907175008,1.1013068836853053,19.61413665098441
1.6467842062141242,1.710860185915062,1.078682200259942,12.271368431161974
1.7046293178055816,2.281984052848317,1.3388568355989192,5.2408329304783505
1.8641853555948047,1.5870036296399483,1.2453584780257334,9.890186541960595
2.210775381415465,2.00196033076571,0.9389494923922171,1.7579524919184175
1.0448979485329648,1.3484555297685779,1.421774919175933,19.48761510581081
1.2161100851875009,1.318872323728454,1.4719035029662344,19.016273554433226
1.5837605235884733,1.785970622665852,1.4286459368389424,12.163241810816425
1.5137408998115205,1.5722195619497195,1.2766271939127705,39.50051767880294
1.8007101371762133,2.020376287985269,1.2809720153575117,5.149530391938295
1.6148595249430793,1.733364880798396,1.0404605114718546,18.626568583833237
1.9710472213006738,2.299996490856246,1.446534854009191,25.629448055933263
1.7516572173381846,1.7282552369868627,1.0222194562779021,2.273309111963657
1.6929577855148548,1.764048391904216,1.6081863028042638,3.2529831089056938
1.630663576493537,1.8209864075559534,1.4145755233420472,3.983983983478611
1.645238831849388,1.8338507880291832,1.0529352179226885,44.73468678634936
1.7455127548743306,1.5863078183339894,1.3252965544587803,6.645663431436724
1.662930591221399,1.3135003364826379,1.299608816519514,15.046849770207194
1.6715705968237409,1.9897607560652177,1.2773875198529232,7.089681102523795
1.5596829898282876,1.8475068980511458,1.2679377054745677,7.688600838681159
2.016030831233252,1.6448107824895861,0.6993671654404033,5.370693973391624
1.8984676860885663,1.8028591707258945,0.7586474238792089,1.9109859468459658
1.728474830724622,1.7465029961037242,1.730861308034965,13.693209341391276
1.6096383614930656,1.460030911564469,1.3532184657262196,10.288206464250743
1.8921365609944438,2.12932020213574,1.0923338219867442,13.196991347918704
1.960641386541706,1.5170222048066948,1.823931006895923,12.579025252368128
1.5385227433520936,2.3665664350474858,1.1641395765024365,5.683623468469532
1.3264911870592886,2.067402615968731,1.0956951668528396,5.323466613213282
2.6013329138601216,2.010238702631013,1.7053079097718886,30.421601993085716
2.0273495203205614,1.627356533676118,1.2739488512852275,12.962402850714222
1.0435984130359823,1.4428614270102513,1.3389426563218543,6.74910605906371
1.354086733587776,1.3790558489576976,1.1998606305584756,9.191463915711656
1.4615380318541749,1.7715829922277346,1.4081393369958353,11.729991398010156
1.7346807039231513,2.0030952950173533,0.9846655976614997,8.571246311327313
1.7458946808128641,1.8778974177155645,0.8548395267135217,11.196463443490394
1.8341068039400719,1.8770511238525491,1.2543374840394184,6.625266044830577
1.5584433714112027,2.12704784333615,1.0788063310640372,10.760047040188878
1.7669526068037267,2.1615407600673664,1.205760057141755,10.25247064762725
1.603263397352349,2.3412229413271946,1.2250103871364606,10.654557826086409
1.6339845726730093,2.505115598941864,1.3521048249789906,8.78148552143781
1.8308793869432727,1.4682836696680186,1.2032168438326314,29.381869736589326
1.726117836878889,1.756748204282573,1.7030016594371282,3.7783717125853507
1.508667082873483,1.9829434388438443,1.6812967277635835,2.0733041788010635
1.7892035655124685,1.573156892700083,0.8918944178727646,6.445905696968461
1.6294435037614248,2.2063961905915495,1.4239678802916165,7.579084123827089
1.3255115504207404,1.6788465815635185,1.350098001187315,21.762761140207488
2.4284518477113446,1.6632215640965138,1.3782827677616747,14.914090646170925
0.9720365021458225,2.001808855513585,1.2502821262959705,9.844474265607056
1.6363521440044158,2.05725462777897,1.3001335478096554,8.73066167001394
1.3594338626514801,2.3837889487791837,1.4530003646121532,16.062550786648
1.6623775738413218,1.3304259993779655,1.2073864935469536,13.785654401257629
1.6199966188678354,1.8618400005741624,1.460904720562095,16.072859508855437
1.7016442917844055,1.4227414227986,1.9317963882313272,48.924825425548285
1.5870684735919864,2.479381621541601,0.9570569451831449,1.9497432257692604
1.659300676096814,2.387681841356972,0.9957595667115562,1.3304120783685676
1.4634599911412052,2.059356011054719,0.7899136635773735,2.5400040579354677
2.002528914202559,2.0286485299509986,0.7592567556529493,2.1391482219864186
1.8060985626069996,2.294237640152016,1.866045264115173,32.22390672494642
1.9836978082786307,2.316414440653726,1.3554715096205554,10.900310534313451
1.2636267354246824,1.3654311930314291,1.3019506783390649,11.488437181900306
1.3534163431685782,1.6815409780502204,1.5625371272037865,14.689183238496089
1.430101201086436,1.9213599487203459,1.4450132200789636,14.580041264799814
1.442325680647576,1.9562825272663955,1.1607411979546438,11.769675765067035
1.5224406305535993,1.87515987177008,1.2645736059250052,48.1197956449464
1.7906323748505133,1.9252914323796784,1.2034343620979626,2.8174128765672717
1.7509168496768646,1.4965843633602343,1.0344043288653528,24.46104180624648
1.7687809206392222,1.9269671162600743,1.1013331659100323,18.473757695855387
1.6142301689503056,1.7485788429387692,1.1959871825281494,5.575971381650295
1.7616715359876143,2.0047361170388998,1.104366747143579,22.050387635290654
1.7087418373034793,1.8546438852849172,1.2809197159066346,12.28150559396316
1.6401721759922236,1.4999019451718165,1.3007280417049973,12.632652096486884
1.6378958121303506,2.3647540622876315,1.405131662537797,14.370547756405903
1.9741921265957856,1.8680075420703082,1.3966297251392006,9.607047875159557
1.3001631686045771,2.1574895040620192,1.1938163155209385,3.6161480752352415
1.6230337973036393,1.4593357630320787,1.3595684641262782,2.843932215726389
1.495555650363349,2.1719907842554558,1.5453461558007207,10.640004485831074
1.438292847155354,2.2452374633827494,1.5219687400823305,10.266368665482435
1.6303237014156475,1.4267482247048833,1.1143924417292996,11.492102239153226
1.7966766763304434,2.118344169329857,1.2080881917110573,9.002574184656437
1.5684900659655787,2.093671901535913,1.3049071444279847,8.234522128415511
1.7100810416299281,1.9100762416774448,1.221560111203997,10.885138131504666
