alpha,beta,sigma,nu
1.7479139123666139,1.2958500543914366,0.539446532518849,5.0687819180124265
2.019555641251474,1.1534149022047608,0.8083828066710513,2.6455436828548624
1.5950487003624017,1.4121200547911035,0.6551228047921657,5.520764501404856
1.6710947462122114,1.3135139620168783,0.693259751657501,2.630278347400683
1.6911020024438352,1.2979854962373654,0.6562522387310153,1.6432845262123412
1.9563922812954229,1.1409649535738131,0.7037045218953125,3.53782262343428
1.97049561674943,1.1138810447243144,0.7878234383209584,3.8007420194590416
1.437055646492516,1.2797032884157227,0.8952352659606971,7.944583680765487
1.4318033155732492,1.3958964021493734,1.0912662275369773,5.347911344667529
1.4332702211073325,1.298877821826754,1.0149671932678905,4.074710837884545
1.5566850930371023,1.143947974099352,0.5991361224006767,5.317109632126941
1.42846358292589,1.2056003758901148,0.5346819652297695,7.050881797317792
2.1779138856906863,1.296213811080412,0.8842099644003988,6.018960725600774
2.1734402821598153,1.3383068350644602,0.9406760623468591,4.198423980341174
1.5608736998272947,1.0034650742659466,0.7784501422741388,10.061025114326057
1.6896396858562726,1.6283879478458576,1.1958174733626614,17.575996059943986
1.7076535940193667,1.691680392567454,1.4433139281256366,36.14654398306889
1.8258530966185416,2.0593219708239063,1.1735801878015473,17.987446705219003
1.8930449141688315,1.2796077313917396,0.9420315886509434,9.151369760322973
1.926613661391657,1.3705498826365847,0.808148451061336,11.252502523499455
1.3930679892831557,1.0291648159900644,0.8294243521396726,4.575844596063164
1.2092236346622247,1.1416058042026938,1.2199546303512097,25.82557112206397
1.4113145488421457,1.1562333343241786,0.946272831314467,6.14339091319519
1.6004485834452122,1.228030886723186,0.7656764301096404,12.598941557286567
1.520265472288369,1.341794979012693,0.7185344995555019,7.8361388634000395
2.1199742900073963,0.7636092605005504,1.2001641365069418,24.903460838571903
2.100985176513628,0.7343125799409588,1.1301921929053818,30.76191976053753
2.0574714043199007,0.6929664814996018,1.0832341213190446,40.836075041253416
2.0986095977957433,0.8397644381988022,1.0006781750001015,28.41540863817895
1.6967644057947924,0.9856286984197232,1.0149730694992734,3.5797973850989844
1.7097503369491325,1.1560198618892374,0.9726384479447459,4.648071052266966
1.4559961103771117,1.2088667835323426,0.7296686737922734,7.134910613691139
2.0745507984442084,1.1788781704499616,0.7185284298695263,2.236567153983244
1.808354749944006,1.4477824011599045,1.020313912215266,18.46109114511168
1.2636838322033597,1.3007314686871954,0.6130301067202116,3.633830321246538
1.3711858851876781,1.2807573695694043,0.6680318962155846,3.1537842545864097
1.424959060424727,1.2677151982634687,0.6975914644824506,2.6161963482611483
1.5878080533754082,0.926809858952775,0.895171672022908,2.78877096594393
1.7464148928235874,1.5962798113832586,0.8962559420166387,7.291042591621298
1.7659431415611426,1.5461367514076518,0.8685692697436516,6.535734403547109
1.8940743869837906,1.3775311979923834,0.7443120235269705,2.515748758870426
1.572391340432039,1.1030581683171174,0.8998259513636313,4.763082044678035
1.7994850363958574,1.472926399104549,0.5657924239184158,4.271373272717429
1.700915980010929,1.3916328562456388,0.6423401275391472,3.618266995644285
1.545175648736252,1.2675610183936785,0.7518509812851395,2.8984703444770124
1.7904473457969496,1.286005269884327,0.5410390063061932,4.078684710705077
1.7261069885199312,1.2930809336075726,0.707802670684706,7.231212683599315
1.7981195888667052,1.2707267286248813,0.6373129694268852,6.631129712883402
1.8029387861714277,1.2165945976075776,0.5538644663852212,2.670309932468165
1.6959258866757927,1.317371090436681,0.6780305652955985,2.9778130679707253
1.7850722608346803,1.2707598585441207,0.5739818781795327,2.6158619978668924
1.5754668269651504,1.048540932395962,0.5723694406836939,2.1659795706479947
1.568032685290016,1.2631357165236485,0.6348151867146774,2.7101919837960033
1.3999386221788548,1.7856971963199537,0.8742113731323217,5.4926819332256684
1.4096578484995554,1.612424984271137,1.0120021385165041,4.471598354139275
1.8427117267085382,1.555797057005663,0.773078270399436,8.631426104668948
1.5881610917727846,1.058215819770499,0.52540707407761,3.7743292692814028
1.5707545865512702,1.3362195216061052,0.6541949290153792,1.8289844288834498
1.734669515217919,1.389599901031892,0.5514509567101912,3.625936456315457
1.5675012457038928,1.1846717830788371,0.6946797828711467,2.692261889770245
1.4835012904151699,1.3895769651799388,0.7715433484752576,4.413349966219272
1.924463475308258,1.2982947559617586,0.5866519887985104,7.707901183501622
1.9371654909698717,1.2440301301331405,0.5764893354016983,7.980790215143167
1.8267590374808107,1.3769948387439395,0.7049466356313018,0.8954913963844894
1.7438684529477242,1.4408351066032814,0.6180162743899825,2.1841829324151574
1.8003111199787158,1.3172911928074647,0.6381575597428203,2.970705472284866
1.5702938876175598,1.2344896252064783,0.7675776341350693,6.978823146683332
1.5713508156808083,1.2241429279811826,0.7386301330384876,2.19339061874208
1.746150814580827,1.3802203173202339,0.7932950376608997,16.79285490567347
1.5898674134954622,0.9337080010619622,0.7871781605995422,6.475860050487437
1.5672322726982868,1.0040466034946642,0.7155372465248384,7.345228243087431
