alpha,beta,sigma,nu
3.1230284533684056,1.8404603892540876,1.1132745083583186,12.154559948626575
2.8716936451992248,2.1729521003866314,2.0989439857433774,3.069667405515156
3.5475982745938452,1.6052434358243102,1.5033707453069725,35.594884621228964
3.1007096220406964,2.2680783697001075,1.7732442370474064,4.228774820218367
3.0981332769575594,2.157369907774782,1.7348586462966036,22.302615953087923
2.8530434525426136,2.1934471562695754,1.5528562681933438,17.413890927433094
2.876081930882953,2.218582021837774,1.5607589458782773,13.537820337950174
3.7938858263485615,1.5859830077153598,2.177646647838034,18.656686883811357
3.571128317692744,1.2525266438088596,1.3287226969079966,33.38688630127294
3.6074877511475,1.4188249210107444,1.3363364425570006,38.0569632780041
3.5292700228403087,1.3776958035987035,1.3461916465789823,30.392776690630562
2.836053207400774,2.130502891026177,1.6837646909293016,19.87696852361723
3.143482325075855,1.969332596601489,1.7285439839513201,23.820706945513656
3.348847579635879,2.0128588581282547,1.7835180766008714,17.314831115195833
3.023567183409995,2.3583445686730315,1.547964523151255,16.449192570612542
3.042513979600464,1.9876915360109193,1.3072042379638054,11.436081062450018
3.118909190830727,2.1276399487363675,1.5871734708199443,19.599575934163987
3.5329931698048505,1.1559008498862682,1.9404891653553653,5.78436657954403
3.031744114561125,1.9782013054738647,1.3960672775541703,11.248001035261796
3.8428499425630713,1.894539632587082,1.97898748910723,17.009634773887996
2.947810523886734,1.513333197046592,1.4542005036272059,16.26137938988089
3.4715083632416888,1.637173592693921,1.54504136301599,8.147324573139509
3.7389165346109863,1.6451520333728655,1.6315444168526194,9.299650407105709
3.7915539214445744,1.6627558178887345,1.6982464535967938,7.030865756695598
3.490705567460163,1.3851146588023493,1.980960127292089,34.65584954555903
4.281580653409095,1.1378725456133627,2.099085799961123,12.32617176638095
3.2655692334273603,1.8721094450844422,1.8119299818599761,6.6527312948266415
3.128875370742473,2.1187412392015856,1.7623558393487582,4.125517403425299
3.602384075367958,1.9855577107893767,1.293326779582149,11.816717002900662
3.2229829963822274,1.4563391453294698,1.808181179457816,4.492823900916442
3.3294485333377066,1.3039879603712572,1.6276321777159104,12.819934777395442
3.287789030888961,2.3881187995525495,1.6927852570630175,12.333319593401823
2.8226471234983888,2.4899810280021963,2.1375173231136553,28.340794219158827
3.8995015774990858,2.389297235836504,1.6282506055487895,37.351232962542205
3.1040891929168852,2.4589852398913727,2.3108078362758686,14.117036615991914
3.5388032705793435,1.457531508732104,1.2521968097367036,7.508851699410382
3.537011666614579,1.4987761621691473,1.353692216192617,5.700148527667359
3.153680390289326,1.6316308109576831,2.1188110753214926,33.10766953197808
3.333474878650439,1.6459042944302342,1.2184106775032713,23.224752559639025
3.2752363563504248,1.8769698030490027,1.5839304995598467,17.44269913774955
3.152399654938121,1.7321311400081745,1.9476623568083518,11.218043834276129
3.2784559092815306,2.1333624534444837,1.5560633985211054,6.804661327293899
3.1519870981524383,2.4825165012072747,1.6520833264707209,23.722536223102576
3.176572214278051,2.285723386088083,1.6899221880148647,17.97274127009846
3.1453935702915246,1.4378156438332623,1.664341489196557,7.152196104898798
3.264910788309946,2.3244543645608644,1.4338717708685633,9.400786237438123
3.2606483755317335,2.26838119822202,1.5217868745008871,16.27945434401369
3.143280359282749,1.7476073153760814,1.914289619456432,8.45346528622209
2.9051745094733485,2.1378173621702485,1.360171846353479,4.069847719765364
3.493191761728781,1.9547144546951216,1.6682255764924447,6.412950486961843
3.0657131254825516,1.9576338668988738,1.721053293375354,18.29741923867614
3.82458378384268,2.402987239620929,1.8353591373934777,13.83475057156098
3.349782092445137,1.5858078342449509,1.5748763242897228,15.48555429190479
2.917002036551199,3.049992965364498,2.2778424992399913,14.221029836540069
2.7990192501235747,3.089964213075636,2.333948772051854,13.154634323805963
3.7090174030281093,0.9126171982811148,1.3366356429912964,7.516164855820702
3.3026185393725913,1.7416125268617217,1.7000290242212515,7.1006180512072605
3.233622278773643,2.063250463196894,1.354145705356496,7.060650120415415
3.3878716962203224,1.9387610554097554,2.117368865548078,28.46005978992348
3.354543059632644,1.8377479371679188,1.8408476608862112,13.992956387648926
3.305630929657995,2.0521767090584526,1.5104789626130324,12.15945933466165
3.810262704011832,2.007580526489341,1.3123653707305103,27.09207014179013
3.420487178537752,1.6361796780158284,1.7729772911937796,17.173032093501654
3.1153547651028584,1.583362935849809,1.8323240012275415,44.66993182582168
3.1945611925834716,1.9188839991235556,1.7548130261894566,17.266738548686188
3.774279673237424,1.3630669951234111,1.710384353872512,20.21229941330539
3.535391125231746,1.6814247654806302,1.8731071447954453,24.2366642874876
2.571393127883352,2.0673579958928427,0.8093937897753127,1.3394811950539836
2.571393127883352,2.0673579958928427,0.8093937897753127,1.3394811950539836
3.720497892861767,1.929464369409408,2.0608286527705104,15.455570973312803
3.0592943768591794,1.8858514272793858,1.338845834999225,11.156442476728747
3.2213289872872237,1.9215952449145892,1.6476566160302863,3.6095066133768157
3.123829911032068,2.513996461104503,1.7601821684662486,6.9406513705834865
3.064907455986198,2.1390184981029297,1.8480413995632634,7.512071807571691
3.4426320334484077,1.4653112059059759,1.5338309075061503,22.01626947571235
3.4942975322070193,2.260597247451261,1.5971756729197035,6.4272314533302035
3.133467446251751,1.672176353491137,1.6821833853719008,21.447974826028542
3.2761151461260676,1.8201324370595144,1.5429071735694038,19.59734569289254
3.218635714842463,1.9811065033322957,1.655769871478462,15.2378935967887
3.2746456901631533,1.833342746437894,1.672950196526647,12.537824787562649
3.1724702248286896,1.6044946415365415,1.8752264266487126,13.547490047974362
3.5442346167439873,2.066219687673266,1.441800950233319,10.544921943154252
3.51162618448795,2.2905613129271845,1.2742086624813305,12.376551055172518
2.5548639080927424,1.6220904953016704,1.8606640171050723,3.345577698451705
3.0491169330717316,1.4898468302344574,1.574532705263761,1.9459472878920185
3.424797645299851,2.227092981871715,1.410598611004881,31.760955364243895
3.0217536967022958,2.207988286923636,1.4978995117308265,4.2280594552043
2.836718395445642,1.9718318343778332,1.3982894236601167,5.007333955565274
3.241693768829234,1.6341440586603835,1.4906508953693913,17.464180838742475
3.4248866561207008,1.5177044987883652,1.9545757277076024,11.728034005414264
3.2722659484821723,1.9411243217316818,1.5248041254888265,11.42452029599924
3.177401145706872,2.308906626049326,1.8530261694212145,21.752679504857067
2.9116339363268544,1.846099615041404,1.5950375857338612,31.709473606383074
3.1457202601898344,1.8822344791487333,1.711204541086945,34.55620841763971
3.2081762276211263,1.4109732406964046,2.216028704300519,3.2136111314430913
3.363277326046908,1.5559755185373405,1.2730129484570383,6.745265129956075
3.460288123102623,1.5630203492396089,1.8798749990808508,5.008350472706578
2.6673307572163525,2.158241387816364,1.1349138946195643,5.671502958004608
3.1646417171620094,1.7216809191404232,1.0826773667158835,1.371055717161781
3.1575329820685964,1.8419233805680548,1.454501330723869,12.857087001933774
3.768699362978411,1.892899951046157,1.5233028699488946,22.260208668694528
2.8857899990905747,1.7710583100842578,2.008459119961518,5.4272462855293
3.6177267709020495,2.110038528638036,1.4718928426147873,35.81936833545425
3.3025932722643985,1.5714859755889057,1.5427416812181418,20.971612874347628
3.6025207925420255,1.7707505280718376,1.6745252056066582,34.204043059113495
3.5069824512063716,2.0007898587644464,1.6936426822199149,21.439857003050303
3.194556913468921,1.7971841369256418,1.292082922108496,5.483942736836235
3.0944048890509643,1.869369134089008,1.383373548158784,3.3665694542520423
2.7858269359818113,2.5208174759556217,1.4730773549090963,7.594871439448296
2.714775106671494,2.3320521258721487,1.687140315389504,11.69804503772201
3.836388670274411,1.4933230115283924,1.452272032835391,6.547684071472636
3.620565550374124,1.4280593988440868,1.562931299460575,9.014265513381899
3.034040969602126,1.9881306151190206,1.6467241344107166,7.747931580789856
3.6454490229365,1.6029817755470324,1.6604832354051797,17.12604091494601
3.766799152559687,2.053488492577169,1.5243806251377725,38.37388500204219
2.462474367112129,1.7878004173102466,1.868603363204511,1.9590485768012764
3.6689280671292357,2.1422898644796224,1.2498050975918436,11.915167067930582
2.4930299096430373,1.6492338707567906,1.687325854370808,5.42737212733287
2.6346211525613206,1.7002245863847294,1.6619682060625938,2.9412928466098514
2.859230478926017,1.6930783101628457,1.5132235060778874,4.903918859383321
3.5782132349204288,2.137403644048097,1.7025582606462546,20.202453278500414
3.365118322947315,1.9133587132927412,1.4426614296795017,13.4301954279741
3.579928982125478,2.110902189220517,1.7421263606303417,22.161892021901654
3.4623811916196905,1.204734152316517,1.88337572627263,10.707149940373784
3.37627485259956,1.5916367811517356,1.542813111715163,12.279080166165098
3.0593767457722416,2.0731669205124965,1.4228907376082707,6.204399333297457
3.2939989058046226,2.205477213641419,1.594969558185688,23.479185623069583
3.356258361012495,1.972995488304958,1.544764733682326,41.59223749373157
3.324036618038666,2.1260182614280727,1.931352001197895,16.226683844816172
3.209906533205604,2.179470603373506,1.8754140070385066,22.926372638027917
3.7361893560577064,1.854490205864632,1.496814535619421,17.87167204162884
2.857677638941651,1.9018645029283534,1.8734208390771832,7.553026879356164
3.573439352568823,1.8358459223756087,1.7345816927055522,28.69030648561949
3.1661893642076366,1.910719972816468,1.409463717760908,5.296026467918682
3.255838991680844,1.9004363999056038,1.2399286091205188,6.9323938650979215
3.2628494564662294,2.40679954419772,1.6046432565380344,3.0400220460821545
3.4150738842192188,1.7124162990952398,1.6319673146198046,8.018900710106191
3.2849855574087967,1.956478710418154,1.3505958423919378,7.347616041117669
3.407843292332137,2.359533012635066,2.120017793421242,22.673062407490598
3.3786477427599606,1.6377569847117717,1.4108799871780313,4.676931164154575
3.0411234255374966,1.835015508440864,1.6381034710459224,14.225463417771651
3.4702622815699637,1.5855216956475986,1.759487695257042,27.330801006742917
3.524351203501697,1.6398572312987776,1.902127918444222,20.428068949816744
3.1752584476795436,2.099589037994309,1.447165176069247,10.794577646371676
3.7891235534061423,1.9108118580966504,2.1032926260265095,17.701121942854517
3.5559969390267283,2.4225263597041464,1.305072450154717,4.246877592199066
2.8002466447500325,1.2866639372384898,2.7036970181698536,5.22909853772594
3.254191846132704,1.3677499932397685,2.065362849090812,15.305040249575441
3.2101630713445233,1.2911669579223193,1.9429586384928021,18.8760208627552
2.9474301864782224,0.6371163909813466,2.042414981967932,39.05482439399668
2.9062857926748857,0.40827224661668465,2.0663596771539816,63.096396628122186
3.027603046048563,1.0275904689886253,2.0419769898318587,35.89094139389422
3.1477305809934557,1.1164725756900002,1.953433404343513,35.772759600857924
3.5248173221475723,2.6558061387365877,1.118971491333272,2.488174127404447
3.2036818870639627,2.5777789426883544,1.5807029982610552,3.8461542363959675
2.9670882074284766,1.9790863850520692,1.3738496828901852,12.604603197900486
3.744826162557173,1.8881747809347633,1.936411686682952,9.210657404659177
