alpha,beta,sigma,nu
6.822824937034181e-13,-2.626651571538177e-13,6.076516447740981e-12,0.6299417088331611
2.066020511477079e-12,-8.717898229503639e-13,6.07651651046836e-12,0.629941708828933
4.600584247287727e-13,-9.146781347328842e-13,6.0765166957731924e-12,0.6299417088299979
-1.0858765457558763e-13,2.3570573093406645e-13,6.076516482996415e-12,0.6299417088304752
-1.8854470972134093e-13,2.441328577014246e-13,6.0781058558613035e-12,0.629942261766406
-4.5026070208291575e-13,2.8463042988413136e-13,6.085400237631948e-12,0.6299419812522798
5.980281350571886e-13,-3.489748002844234e-13,6.085400741620588e-12,0.6299419812471457
-6.871259569397309e-13,-6.994906532026189e-13,6.0680601970399645e-12,0.6299417098469791
1.2315364194504096e-13,-7.622909501789516e-13,6.058910865119041e-12,0.6299420464004772
-3.4959900342417995e-13,-3.270232098259787e-13,6.05549676274979e-12,0.6299422352080614
1.6402611998033245e-14,4.668348347756645e-13,6.0615984932772906e-12,0.6299422807715576
-1.8098891557674637e-12,4.582818793057162e-13,6.0656187969239914e-12,0.6299420948459427
-8.547647095286612e-13,8.792025699462687e-13,6.065618616404979e-12,0.629942094819093
1.0939753546121568e-13,-8.111212073996689e-13,6.0649276122102924e-12,0.6299421502950546
3.71637226436381e-13,3.4564590842057636e-13,6.0649283284425015e-12,0.6299421502872128
6.163129623254952e-13,8.910686364752209e-13,6.0796550977320464e-12,0.6299424577999991
6.184838692534494e-13,1.1101350201267681e-12,6.0631273873474594e-12,0.6299416394601325
-1.561970445507289e-13,-1.4684936898150066e-12,6.063127151770706e-12,0.6299416394547237
5.658195461143942e-13,1.7537604367798555e-13,6.0631287508331174e-12,0.6299416395459041
9.15606752130161e-13,1.531287599076291e-13,6.063076573543258e-12,0.6299418748773885
-6.180799414929134e-13,5.660832124568038e-14,6.063076968532037e-12,0.6299418748555032
1.5679208890381817e-13,-1.8274450798833426e-13,6.060038039128349e-12,0.6299427060252429
1.3539909230083313e-12,-1.8882283544787546e-13,6.060038239008371e-12,0.629942706029949
1.6334964465599047e-13,6.46821351909099e-13,6.062047514446659e-12,0.6299424749115451
-1.8518864285677423e-12,-1.1880666590636275e-13,6.060155115523761e-12,0.6299422875982779
1.6466705822097896e-12,9.549705267293495e-14,6.067493559707975e-12,0.629943038454282
-5.769525507183284e-13,-7.955262437068168e-13,6.0663517906550285e-12,0.6299434143329723
5.514823477207615e-13,3.8693898552585126e-14,6.067053457188377e-12,0.6299433057690547
8.471793955458361e-13,3.7379526855727785e-13,6.060538060882859e-12,0.6299433903400284
-1.6368831268951505e-13,-1.0026759864748755e-12,6.062606134539288e-12,0.6299438278940648
2.2718837329202106e-13,2.0980782620169666e-12,6.062606181409683e-12,0.6299438279171171
5.229242377414266e-13,1.908980963706426e-12,6.062605432104971e-12,0.629943827898193
-3.124492470833656e-12,8.523724157268402e-13,6.0625808815659245e-12,0.6299438246741951
2.440655276737304e-12,-6.812897572855672e-13,6.0641968725573354e-12,0.6299434596188501
-2.595709020577724e-12,1.4295864164664772e-12,6.061167223256189e-12,0.6299435147852762
-2.3372897945614877e-12,1.015988620059736e-12,6.06116710432317e-12,0.6299435147854997
2.946036582524228e-13,1.1713461231925292e-13,6.061166863768175e-12,0.6299435148129143
6.24701317411634e-13,3.5471402705851197e-13,6.0502183457349456e-12,0.6299439677966909
-7.859717951826301e-13,1.9287808708724908e-14,6.059503871187033e-12,0.6299436870370722
8.473075161675824e-14,2.1401037099278946e-13,6.05950394667848e-12,0.6299436870480049
9.278582757422697e-13,8.248884375148253e-13,6.0595032498557875e-12,0.6299436870211362
2.3744797031381407e-12,-4.923446383665698e-13,6.059503164278696e-12,0.6299436870246902
1.3461563120618236e-12,-5.700532922774081e-13,6.057981626383888e-12,0.6299431817865855
1.0068902719274866e-12,-5.405815159851804e-13,6.0579816749660954e-12,0.6299431817847966
-1.3023678338266139e-12,-4.649685151982744e-13,6.060371104741474e-12,0.6299431005756536
8.005896498962439e-13,6.792657724515789e-13,6.057774742903769e-12,0.6299435695909031
-8.891294591275488e-13,3.184967957995164e-13,6.061596549474616e-12,0.6299443046121052
3.809374617361656e-13,-2.481552058867324e-13,6.0591903071295375e-12,0.6299443574267262
6.004036535705348e-14,4.1478901257655165e-13,6.068219513637072e-12,0.6299447779920367
-6.431032434250225e-13,-3.395731246630139e-13,6.0609861250520544e-12,0.6299446774349735
7.787828708710708e-13,3.0064988349054084e-13,6.056401728919376e-12,0.6299444485633018
9.570762701849353e-13,1.8303585055167836e-12,6.056401876501211e-12,0.6299444485772355
9.926288711105297e-13,8.052962002045083e-13,6.0564017858343666e-12,0.629944448578083
9.926288711105297e-13,8.052962002045083e-13,6.0564017858343666e-12,0.629944448578083
-1.3201653500568591e-12,-5.151310491394016e-16,6.056401063524129e-12,0.6299444485949642
1.2484394135123858e-12,1.1683366768709813e-12,6.0564013405071605e-12,0.6299444486133611
-1.5977547263897713e-12,-8.427270047790084e-13,6.047104632572902e-12,0.6299445014200491
-2.765437839587056e-13,-2.1602656760682153e-13,6.04710434244562e-12,0.6299445013933659
