alpha,beta,sigma,nu
1.9592683459033169,1.5194980933765694,1.2267287844774497,7.638850422612539
2.5135433882481664,1.2220419368890367,1.0109273726437917,6.668695935530124
1.8759155719335718,1.3513112303525987,1.1981955171367347,7.230166149265938
1.8331043189954555,1.5651792849665314,0.9694819987618317,7.5078618500117935
2.1566791033152546,1.0855518546874627,1.2053223172131267,10.77501449392784
1.9487558004771102,1.6055525519662253,1.2319364930495762,2.8331727211575313
2.0422723488115535,1.51549322017989,1.2284331276883926,3.134583138861773
2.044194818893571,1.479838081099661,0.5888631608930585,1.0977946675076193
2.071946832745435,1.3194469223095542,0.4850159179648028,2.1741760586354077
2.0148539892301107,1.3721531151533386,0.5653573346558106,1.5024103462026233
2.033079948343297,1.5158409472938565,0.6224179681149441,1.742413148309282
1.6993091654832375,1.5865265178951409,0.6432175555501449,2.950049361179878
1.6540836996488906,1.6794027078022715,0.7072515643466725,1.668855866273252
1.6010739199479418,1.607933553746502,0.682351999042712,2.352977149587545
1.5511047532958189,1.7555420328026552,0.6551946751604333,2.4839962031285445
2.589130366943847,1.3361384027871497,1.507641054824377,22.52251288045637
1.6255660201053037,1.9122673828168186,0.629515328160411,2.159255063974291
1.8795001388997234,0.9547644004599269,0.7188452923479539,1.9687149175584182
2.055072087430041,1.4128933415415352,0.9494994841115855,4.298087903890805
1.861481956773391,1.3354820583804292,0.9151023255891984,3.2343858539846067
1.7561339961627855,1.259723656560435,0.8623435140220029,4.980447635284912
1.5748710019436276,1.4502261884324947,1.60210681258176,16.744872864636836
2.1788641533380515,1.3343215865866904,1.164914561117646,16.27388046818285
1.8106316082730478,1.387442810879924,1.0811455783208541,12.96062112621675
2.2576297928906377,1.1896119270952958,1.2379883234944817,9.905455469157792
1.8121388720851912,1.5975369590531245,0.898040648409661,2.6377815640997473
1.7688174150178035,1.6781967053269626,0.8312875996009389,2.735487500511803
1.9750402477542794,1.3950943044917026,0.7920320172167918,6.2377442016068585
1.7870944663474053,1.4928061919681674,1.2223898756284843,4.211098625125402
2.02384251859646,1.4956573442676664,1.0121269196028821,15.127553506630464
2.0571908937686834,1.8542597659254294,1.1869701287340617,10.354807379346985
1.8001324805196137,1.6688527391357493,1.1806353224819128,9.489796023856925
2.3605043047884946,1.5183810234288728,0.8891476028197419,3.230779227616397
1.916588754082326,1.355052851892615,0.9470342929453698,1.2336650226678219
1.6085677587853309,1.6363676896160986,1.2255635484206013,2.560736444726296
1.934835582873274,1.378850122049495,0.7890435105338088,8.307298323233727
1.9425571663744154,1.4866930416847137,0.9107861704323238,8.050056460114538
1.9405702774540798,1.2449517883119476,1.0775605747778014,5.171146910123444
2.080043213511787,1.6612013666546848,1.234194487138962,5.068740761110053
2.044289143707813,1.671960075714041,1.1956120884834727,5.8111362811005165
1.615155116491333,0.8658570344226192,1.0917892307335872,14.045399260528125
1.4060991492917274,1.0636933227902243,1.1734117492617737,12.889069456412635
1.8788376149823043,0.887751765087219,1.2593836991627547,3.451148469169427
1.9166619549976271,0.9128276838091525,1.2544114881730937,3.8742695303593626
2.248906258374709,1.769724637029432,0.8839342453095076,13.708185129062997
1.8373501215697088,1.385843013311978,1.1179459359639818,1.9618496105700012
2.0925050300853547,1.4400168604747978,1.0768076220602805,38.97533505129186
1.9196945493676574,1.4048994599936544,1.3371740578920521,16.448698394902173
1.8385912300042042,1.4856186249947703,1.4774411049018799,27.29920477319259
1.5943782104082411,1.4110319332813064,0.910506374768918,9.220808943172282
1.9604181836538324,1.447815115397798,1.3995840919080262,8.950539847670953
2.187917649610616,1.9143645383321786,1.0107756952778741,13.302303657107789
2.2148440081870673,1.7982338519880976,1.0155811944850481,11.849256510945414
1.568319020148572,2.1063473728487203,1.7170242674353522,7.943868796081924
1.5068831293921787,1.9681209431976778,1.3562348590546554,8.513704642757736
2.252998163684425,0.9891591824353134,1.0186551624955107,5.7642137089968735
1.887203176605769,1.894302769742892,0.9677964560248784,10.761426566475349
1.9158527667797107,1.1359352211490144,0.9478619931773796,2.2406832074312444
2.0272036341887874,1.1728465148534482,0.843394091946802,1.7835611877925925
