alpha,beta,sigma,nu
2.1112814154844513,1.6361634662270452,0.6368396376372083,2.0176368910203784
1.8860388069957303,1.119957943502717,1.159153400148271,7.069534438187404
2.1161244693910093,1.6691533176847597,0.6991669728151431,4.809827253878477
1.8387026061990956,1.2206048194355636,0.9365922456282807,5.718687243787825
1.918830125653243,1.4631791706831925,1.1403380596991222,20.500461036316135
2.260353705729683,1.1532707021707296,1.1497684243889232,7.522579871785494
2.3143098205495503,1.10577338003,1.149915301031517,7.593490991552518
2.1902266266710178,1.1825712417379537,1.2925484087773216,17.161934143895525
2.0049596896614164,1.6474081334084316,1.3965358538949864,5.045579159124409
1.8697170182149365,1.33211381811664,0.732533775456593,5.341523257917914
1.8726158386220026,1.3029901300931113,0.7187577735028536,4.181306037683419
2.2018882472237484,1.3214509783973662,0.9703882472039728,2.2740692225434036
1.871267516441692,1.5005994796441204,1.0075602045231826,15.887894269833025
2.1060618673052316,1.475453761877986,1.0058543389783474,5.494942680437909
1.8158228116829604,1.3638209440603777,0.7216528803517891,2.1894292914704816
2.0722731681482394,1.7978373189479049,0.5230002590294986,1.8566067677507727
1.953606794224913,1.4455104464754969,0.4015696415771011,1.8447192100571712
2.1194012578020347,1.8390005192274212,0.9281593010351995,2.318649578969223
2.12870947919795,1.3729145646735599,0.8510758617056345,9.859116390993655
2.1963701750150215,1.513334481723195,0.9197417668632031,10.659530239884022
2.207654696353593,1.6460032311072241,1.0024362666712239,4.468199067210907
1.5345922966643986,1.3543547341213689,0.8383112353937875,16.205999912216924
1.538133459135548,1.3729679867289448,1.1459748987353628,6.1297078336237085
1.7232845502253513,1.3679632474848904,1.0934362518419833,4.282320482790823
2.0745327603324895,1.0378872365294518,1.0420184707050582,19.714744498073955
2.395789931055261,0.8756805057054842,1.5743382725136905,35.454348332209065
1.9476715305505021,1.300835738697971,1.0381699692844057,5.080419665081525
1.8554802586476649,1.597391209142317,0.8547964834976771,3.009051194535034
1.7186835427462208,1.403090332556005,0.9208361784854803,4.571720642352598
1.9528489339900894,1.5466576158817806,0.9825580017353475,10.752452698590025
1.9875356152181585,1.749482756912216,0.9938607503202159,6.661146630690668
2.1461684066893914,1.2566592284157745,0.7111628755002855,2.979118026639606
1.6103572879074344,1.9071807371357128,1.0827673067121517,9.945405513145012
1.4986836480026056,1.7718260307883977,1.14852780681702,4.683591361913242
1.2815449566913748,1.7999715517265742,1.5168158669067422,4.795878301294902
1.4988969225836435,1.726007403341402,1.3455178424557537,6.309457671297298
1.5002686348955114,1.7198029248687206,1.246714232987799,8.127667448752925
1.976233144508441,1.697475435695468,0.9521526104157826,10.034210943836868
1.9088022910819955,1.2844009855931013,0.699548656875283,8.997613233937232
1.9691766920814988,1.3493986805662237,0.8342881693485124,5.080652511342545
1.6431289347177205,1.030402308562451,1.0505324374034775,8.031241783819777
1.2970476395589094,1.5323805591893414,1.1147386230888445,7.800461368597773
1.379670117929976,1.767781841167853,1.206160481653335,19.680061491282164
1.452070919840077,1.67321269914459,1.2015883516562489,16.1434846471222
1.407406975568609,1.3321535312948218,1.293247857388229,8.33762531025167
1.583757985286374,1.2194619807135676,1.1026251708928767,14.60836614425304
1.654109436282321,1.2541420956262073,1.167495962824022,30.73505208222937
2.0280134610865614,1.3037681897252817,0.9153796044493911,9.222813654449675
2.045128788732253,1.374523786519171,0.6947849225228026,2.5199879943955716
2.2442548698156495,1.3590785477669163,0.9564023771404239,6.034601344413525
2.168136076877891,1.406666370005474,0.7778125773938107,3.5883228542021706
2.1348749330357206,1.8886596249479337,0.9051703118815004,6.035806557766608
1.872172074321399,1.3827452924511947,0.8855788495639113,4.027097788944928
1.6653039697997654,2.0057130959745924,1.2500523399137797,8.801490103253233
1.585455427659332,1.9730005754937046,1.271550191403423,7.3898735501403445
1.6970688543921604,1.038901941877458,0.7937654707514842,5.114175556954359
1.7346290880290798,1.1946702148370907,0.7856890640431874,5.114255826290109
2.202193129761282,1.6880162939261378,1.0251899819911001,8.038926205848082
2.1424719504101124,1.7691511828243816,1.0635581348677918,12.496946692953498
2.1440818686997924,1.3402099278005042,0.9611906839233025,5.513735342620146
2.225035727918935,1.1940582275985596,0.7952280063937311,4.217945787054166
1.4633943948475716,1.621211699719841,0.9394996034903449,5.959613865062268
1.7879082121972885,1.5091286854382422,1.0759097153380341,4.472834625671365
2.237996147529065,1.5665271433968146,0.6536954750078218,1.2787190222610199
1.974053944930768,1.6299178527137275,0.6327282529980102,3.6258161006075147
2.0980674785627755,1.1839046760483118,1.003064574542609,4.95750390822945
1.8026099794565726,1.5418122726851409,0.8529289550518833,5.713290580266277
1.6980150782303909,1.6693945999006694,0.6188380240308193,1.272770151199399
1.9610487149493239,1.3225114806896485,0.7240590165442563,2.049925768196841
1.9653303097859853,1.424690390170341,0.6564389678124458,1.9779214375182517
2.0412433407962554,1.427667312802956,0.8330479113223369,3.5960018853268814
1.9890493720041413,1.4421881560884509,0.8310081569019455,2.889766818595108
1.968688507218443,1.6207695154563733,0.9047795980490216,2.553873411963821
2.04847748914932,1.5564933516365675,0.65767623199182,4.9889984368559315
1.905087063232751,1.372774506638073,0.7372468401428284,2.5356889107727962
1.9459376037504292,1.5345523844195803,1.1369370680745667,15.306768456589714
1.8808678771294836,1.7357361692543591,1.1174600019793912,11.082251072382892
1.9268046784925768,1.5080665132205437,0.8504578477072094,8.402876329789768
2.002106944383587,1.2998761051263672,0.9513506849602904,3.8169215086801285
1.993734942443335,1.2846719268748141,0.9438233281044218,3.847578122111403
2.0799054113943667,1.73913886498011,0.5915659160680694,3.6614210421604327
1.7490262538665216,1.0087556065607284,1.2584201366834273,9.504084414507759
1.851905900959201,1.6062446804612212,0.7206471269367813,11.623327457528141
2.012032731153846,1.5754238053036533,0.7445929787541925,12.97708544039121
1.9060693256634895,1.5531463775777583,1.294165128932832,41.775706349202885
2.0106572409195596,1.4743337251700563,1.1103781140244515,16.254857754109146
2.011219466699244,1.0419995573334944,1.1212673606797887,10.137557620787165
1.869950353520045,1.1726744958265132,1.059372302153854,9.769251615203524
1.9392616457898155,1.409405792056869,1.0615527421020787,4.138634960208456
1.9772274477423044,1.7085883946054807,0.7381251652124474,5.175322251433693
1.9944059785640174,1.6517299312530493,0.7248999395063056,5.524947826150764
1.9393677110986982,1.5630957933298721,0.663814206732875,2.796811162734624
2.1945409227631774,1.6639377636776975,0.7905450091974973,2.181365680380429
2.0956892889111653,1.6194486735547713,0.731995591907004,1.9817866791162657
1.9533766951460456,1.4161642206220555,0.6423814536388801,2.9733797751135342
2.025191648085265,1.5635034025373789,0.5321142720614168,1.7496240087549204
1.8870631162346763,1.5381020347485816,0.8183190541209674,3.514227442968302
1.7492890231560374,1.5779464793375528,0.7245282790262817,2.9943379079894243
2.1024306763762803,1.5257565787534875,0.9569484809876988,6.687855852662595
1.7849181094348348,1.29350747279108,0.9184581892807376,3.1670283282416474
2.095765904670689,1.3902185994549323,0.8275647209990671,7.039439183258575
