alpha,beta,sigma,nu
3.2883684659693134e-13,1.502098860734598e-13,8.232372087725229e-12,0.2289079625948126
1.905751936978186e-12,-1.0819807048330634e-12,8.232372773037833e-12,0.2289079625909928
2.3003671159217354e-13,7.393481622014972e-13,8.232370748485187e-12,0.22890796259003074
2.9643225989311e-13,5.60902275810452e-13,8.227573557408026e-12,0.22890796346757797
-2.4452788542961056e-13,3.152373922003086e-13,8.221322866085152e-12,0.22890780073527045
-7.812004296560415e-13,8.360676763011049e-13,8.223253113232194e-12,0.22890779464390312
-1.1010371119331085e-12,9.247725046647184e-13,8.223252197862696e-12,0.22890779464467617
-7.793729788575963e-13,3.5121231126387046e-14,8.27199396579149e-12,0.2289078591757767
-2.3281163527988917e-13,-1.9206851608983497e-12,8.157803665875817e-12,0.22890819843481006
1.3133973773682637e-12,-4.147252884171861e-13,8.157837436984082e-12,0.22890819827812728
-1.1896780762797465e-12,3.7178179703984975e-13,8.157827051903663e-12,0.22890819827181771
1.9261554992749437e-12,-3.1726647048458775e-13,8.141072135557259e-12,0.22890826216770535
-1.7074616256611253e-12,2.6675863510294397e-13,8.141073600936239e-12,0.2289082621858974
1.7441507231944394e-12,5.902740306846184e-15,8.141075269561362e-12,0.2289082621746553
-1.774243581172108e-12,1.1231173795240817e-12,8.14107268515375e-12,0.22890826217701676
4.259438326890897e-13,-8.05895772398456e-13,8.109543588401218e-12,0.2289082076194506
5.77937269339155e-13,-1.1139464921698741e-12,8.141470050984115e-12,0.2289083423281336
-1.148949996326693e-12,-2.3016819823966323e-12,8.141467499990644e-12,0.2289083423232473
-8.406376376517037e-13,5.206452534146433e-13,8.141465335498367e-12,0.2289083423129507
-1.1876255210033156e-12,5.551468574459997e-13,8.141465404712441e-12,0.22890834251510292
1.1926542507105467e-13,1.395856434943743e-12,8.141461840242242e-12,0.22890834253157902
7.876911520871703e-13,-5.239146182071387e-13,8.127572001057495e-12,0.22890864140390735
-1.0713735691112957e-12,-7.504296607892975e-14,8.127570920131549e-12,0.2289086414017816
5.903293392278755e-14,5.626809326408697e-13,8.105052307274966e-12,0.22890883168323775
-3.6937306225107227e-13,1.0382302680840698e-12,8.09098296086572e-12,0.22890871696006249
8.693657770229206e-13,-1.3376481288159132e-12,8.058531836181722e-12,0.2289084454579234
5.201914543396012e-13,-1.040344178572204e-12,8.05826461463357e-12,0.22890845319906433
-1.734256499807199e-15,1.2349490361420927e-12,8.055648962182926e-12,0.2289084866247499
-4.626714912417601e-15,1.002607789232759e-12,8.055787839865793e-12,0.22890848647099832
-6.148571511430945e-13,4.825839135779793e-13,8.04629175651114e-12,0.2289083409513917
3.7984411632291746e-13,-3.80116497153454e-13,8.04629138023327e-12,0.2289083409357725
-6.44845624544068e-13,4.0946208324413984e-13,8.04628966168683e-12,0.2289083409321091
-1.7954195249172433e-12,1.676123545009565e-12,8.05998885474149e-12,0.22890849887847634
1.1400897396524426e-12,-2.2793733752367776e-13,8.05662564707829e-12,0.22890856204326052
1.3415285604095837e-12,-6.365858470079226e-13,8.09579099968575e-12,0.22890850143314756
-1.2561969647331587e-12,7.127328358301937e-13,8.095789078041026e-12,0.22890850143345037
5.833511264883812e-14,-1.8618912668923825e-14,8.09610170992263e-12,0.22890849843671582
-2.958023104929203e-13,-1.175202889669829e-12,8.045211444278407e-12,0.22890867298321682
1.0849792129529454e-12,-6.571658894050439e-13,8.17109077412379e-12,0.22890834681308544
7.681368770595133e-13,-5.246316497234497e-13,8.171090568883653e-12,0.22890834681061628
-9.627052493122316e-13,-1.9073025701741835e-12,8.171091831818064e-12,0.22890834681466177
-2.264613152394161e-12,1.7808387812721317e-12,8.171092762419466e-12,0.2289083468114512
2.297900971978345e-12,-1.986892114809389e-12,8.171178720780935e-12,0.22890834924709924
-8.432701188554013e-13,7.724215442488411e-13,8.171178192318188e-12,0.22890834924871536
-2.439492147399265e-13,1.0403376138873055e-12,8.17084783214311e-12,0.22890835017637476
-3.58134472543618e-13,7.87172907734794e-13,8.180108235254852e-12,0.2289081540934604
3.5214740857308827e-13,-7.433289800908031e-13,8.192861550627769e-12,0.2289083674949097
-3.6904518780694305e-13,5.059887085271892e-13,8.169971126255258e-12,0.22890840811889784
-5.532165058995185e-13,4.950079839974697e-13,8.110876531271294e-12,0.22890818888617828
-4.409675462030345e-13,-1.2638773248157616e-12,8.140435304098311e-12,0.22890822426514915
8.602771734908656e-13,-6.871053645426395e-13,8.138222997364878e-12,0.22890821491993174
-1.4166792526582628e-12,3.508231355379388e-13,8.138220598454267e-12,0.22890821490105015
-1.0310008199357164e-12,5.098422775013712e-13,8.13822108969964e-12,0.22890821490066737
2.3442506352349523e-12,-3.4494334891204175e-12,8.138217375707197e-12,0.22890821488932483
-2.6114402847488774e-14,1.1585674905507143e-12,8.138214440494114e-12,0.22890821489504373
2.677301944896567e-13,-1.116080241981409e-12,8.138216691585124e-12,0.2289082149075085
5.865606336766539e-13,-8.344245736808363e-13,8.181110546264262e-12,0.22890819341946628
9.747965726558645e-13,-6.797652455649e-13,8.19526653548077e-12,0.2289083130181377
-7.626647562191824e-13,7.64766166309363e-14,8.185940079072378e-12,0.2289081897817479
1.0903965166268013e-12,-4.958475753856688e-14,8.185941618496708e-12,0.2289081897825467
-4.511315046892479e-13,6.490453695227071e-13,8.186052017957993e-12,0.2289081900874233
-3.227894293235876e-13,5.570254315995664e-13,8.167626808395049e-12,0.22890826508978276
1.9874832372735378e-13,-4.772756046934109e-13,8.154604885647949e-12,0.22890830611093713
1.1348500267869187e-12,1.4076266825703015e-12,8.125784035536372e-12,0.2289076807612937
-4.2837009642449643e-13,-1.3468279470756316e-12,8.125784024804561e-12,0.228907680767509
-5.754907753187177e-13,1.9180294595802727e-12,8.125779062327368e-12,0.2289076807131872
-1.4722322636527498e-13,5.757853479529152e-13,8.125778043105575e-12,0.2289076807082921
-9.55315578397183e-13,-1.1085432570961219e-12,8.143302975994817e-12,0.22890780656642926
-8.633953873435477e-15,-5.524865379611429e-13,8.168242153137196e-12,0.22890745463906545
1.4054506236007003e-13,-4.085776040366241e-14,8.135751245403374e-12,0.2289073801700249
7.242309674727984e-14,-2.926025851571202e-13,8.165415559526939e-12,0.22890732322784793
1.6350874864306224e-13,3.448666990053589e-13,8.160799176770831e-12,0.2289074506374263
9.881714662147377e-13,2.4074925843873276e-13,8.161311482786057e-12,0.22890744920422185
-4.904604127016961e-13,-6.351316747163943e-14,8.150506251179093e-12,0.2289074674836899
7.578547315104326e-14,2.740044143972028e-13,8.163589323121294e-12,0.22890747566801461
8.478050453775424e-13,4.851253244994605e-13,8.149656285739183e-12,0.2289073356211347
