alpha,beta,sigma,nu
-6.742367746449616e-13,-2.0866520628358424e-12,1.0727520255604129e-11,0.5110952572408591
-9.811453096393379e-13,2.302261046715541e-12,1.0727521250757179e-11,0.5110952572111191
7.040693047482932e-14,2.4162291514293495e-12,1.072752566050387e-11,0.5110952572223553
6.933908564042895e-13,7.441112236600543e-14,1.0727526504428917e-11,0.5110952572215162
2.428582393901262e-13,2.409866119657499e-13,1.0733075599609583e-11,0.5110961377051222
-2.345129813525051e-12,1.0913448693211442e-12,1.074867565042496e-11,0.5110958714291367
-7.011301700058247e-13,7.269015530655211e-13,1.0748674317104407e-11,0.5110958714351553
4.3069659635371034e-13,1.1098412809876468e-12,1.0774745936440573e-11,0.5110960545673817
4.602668657852237e-13,2.0697352772447958e-13,1.0789296375470352e-11,0.5110958174555801
-1.9019069844227797e-13,3.8463843790654884e-13,1.0804694306234644e-11,0.5110954320974145
1.688641938895496e-13,1.1018352302739882e-12,1.0786695134117282e-11,0.5110953761804369
1.7435205058394384e-12,2.052517163427613e-12,1.0804982659252805e-11,0.5110950029430459
2.2167412650425052e-12,9.333421395063536e-13,1.0804985187749345e-11,0.5110950031082913
-2.584687901113646e-12,-1.1136701303944575e-12,1.0804983336791225e-11,0.5110950031739376
2.1113898743881997e-12,-2.6490543780628563e-12,1.0804978558848292e-11,0.5110950031969196
2.712898460205017e-12,1.6313555290951154e-12,1.0721293137242396e-11,0.5110942436755685
-3.257330365231754e-12,-3.7731177058340367e-13,1.067652561589788e-11,0.5110932614338539
-2.988771378529006e-12,-3.1348510563442935e-12,1.0676531207668984e-11,0.5110932614909185
-1.1321485209656412e-12,-1.984924314991453e-12,1.0676531998433952e-11,0.5110932615109602
5.475433824504853e-13,-1.3660077800834248e-13,1.0676532000058029e-11,0.5110932615348072
1.2027497701192135e-12,1.4724618099292961e-12,1.0676533041813147e-11,0.5110932615091515
1.7709607038128874e-12,-2.1807080074996025e-13,1.0684080041355344e-11,0.5110922628344591
1.8983045519059856e-12,-8.686299091128255e-14,1.0684081624774742e-11,0.5110922628510094
1.1533015662908856e-12,4.1561964379467633e-13,1.0676147494178183e-11,0.5110926479651591
-2.6412538183721896e-12,1.1186337170728299e-13,1.0688236050158653e-11,0.5110931906057465
-2.7074511090246196e-12,2.214580303215374e-12,1.0668567859211793e-11,0.5110923106728772
2.2191705926396226e-12,-1.4622172750669471e-12,1.0668566906225194e-11,0.5110923108198786
2.274372377194865e-13,-1.4435386806806638e-12,1.0680612554469574e-11,0.5110914393531543
1.1925055264202152e-12,7.102928072897834e-13,1.0707784505357912e-11,0.5110912769277531
-1.3634349741448003e-12,1.898019609245638e-12,1.0713569277490291e-11,0.5110918318594211
5.585040295870785e-13,2.5659413079915965e-12,1.071356946357215e-11,0.5110918318999567
1.9995039865776552e-12,-8.744058437734011e-13,1.0713568613610324e-11,0.511091831890449
-1.2144237552165614e-12,1.0094554339587118e-12,1.071477523101489e-11,0.5110919022429595
-2.350153018801881e-12,2.114264489338478e-13,1.0698053295048716e-11,0.5110935070926
-3.760209400147952e-12,1.2511456156844487e-12,1.0745719277500118e-11,0.5110931193532214
-3.351804595771152e-12,7.578848227099505e-13,1.0745718803784003e-11,0.5110931193536145
3.313554263109363e-12,-7.584787519325223e-13,1.0745720240978936e-11,0.5110931192813053
3.0182882435639446e-12,1.367571280683526e-12,1.0778821326622253e-11,0.5110925058153519
-1.6908636010985413e-12,-1.5698291037730756e-12,1.0695000427510863e-11,0.5110936080393436
9.727834484295124e-13,3.560105805974853e-13,1.0695000128152698e-11,0.5110936080201193
-2.7678764282056105e-12,-1.7953540400385397e-12,1.0695002891267882e-11,0.5110936080673654
4.709414961332032e-12,6.155787419953269e-13,1.069500187323371e-11,0.5110936080861131
4.130613074627561e-12,4.697835737619272e-13,1.0695021569887512e-11,0.5110936110629242
3.012709140990812e-12,4.252715491205469e-14,1.0695021762580604e-11,0.5110936110597785
3.313111601421427e-12,9.520909659320883e-13,1.0695061298876971e-11,0.5110936104668831
-9.184529182643693e-13,6.419208734921601e-13,1.0695059668453536e-11,0.5110936106064142
-8.566040402193169e-13,1.5226207027397818e-13,1.0684758883461428e-11,0.5110927946535003
8.297393730477068e-13,2.930115513462541e-13,1.0709134568092618e-11,0.5110925494117252
7.743906547560822e-13,6.640427338387437e-13,1.0732560836922773e-11,0.5110930340944534
8.661954374200882e-13,1.1029207783967246e-12,1.0713860285457976e-11,0.5110929193232141
1.340998115882618e-12,-9.030712639373285e-13,1.07269054497423e-11,0.511093224130011
2.7938157932604465e-12,-3.018216207784213e-13,1.0726897815152138e-11,0.511093223811495
-3.074623541033184e-13,-4.88911682646069e-13,1.0726897093585328e-11,0.5110932238144754
-2.878963525130663e-12,4.3414160396967866e-12,1.0726901184978732e-11,0.5110932238807083
-2.2980237590798542e-12,1.378166956144751e-12,1.072690262207677e-11,0.5110932238658664
-2.493814804682323e-12,-1.0806774440848734e-12,1.0726902070988677e-11,0.5110932238496918
1.9204883303309204e-12,4.590558261749213e-13,1.070403298391019e-11,0.5110932810439892
2.1553027982612566e-12,5.127766324431247e-13,1.0695846704085814e-11,0.5110929602674851
1.7356782305275534e-12,-2.1629385203160038e-12,1.0705681935741042e-11,0.5110936978582644
-1.778610401944844e-12,1.0170794023983851e-12,1.0705680813960423e-11,0.5110936978551549
1.0487603250370352e-12,-1.2024779607897865e-12,1.0690734195049904e-11,0.511093480987841
1.1946194370583652e-12,-4.70376084353138e-13,1.0635761108051972e-11,0.5110946673977697
-1.4560941034472333e-12,-1.9722523025021554e-13,1.0657986829952807e-11,0.5110942729705179
2.9187889714929038e-12,7.95187953924518e-13,1.0669824824612628e-11,0.5110958406310264
1.9472304852180945e-12,-5.978127246093561e-13,1.0669824820690825e-11,0.5110958406431242
2.2103134265620846e-12,-2.072238649657586e-12,1.066982527450302e-11,0.5110958406695579
-1.0655331756970328e-12,1.5451065178236006e-12,1.0669826765870944e-11,0.5110958407076701
1.4478032625419893e-12,1.916508621317207e-12,1.0718937355456471e-11,0.5110977303005755
3.6597564732724205e-13,1.762096654727202e-12,1.0699506143534312e-11,0.5110991013139825
7.878132359622682e-13,-1.5706911617339277e-12,1.0666169652783918e-11,0.5110986901223488
9.05548326546075e-13,-1.6263659331586814e-12,1.0644679271795398e-11,0.5110988999024264
