alpha,beta,sigma,nu
2.96002082283527,2.166990497977516,0.9209498792866506,9.222826932449424
3.1300960482231295,2.06176373558145,1.0280159895426308,7.288709089688908
3.1561176371902686,2.1169712641765353,0.8660046188230454,3.045320375404412
3.0862224234834135,2.202226878262148,0.8326023126513348,2.952169502677245
2.621107177359326,1.985288919172272,1.6723148051144876,7.896549809044245
2.6009501469299705,2.1446168378715846,1.3512902117630967,1.7233438290783438
2.7702481254250206,2.007636059685403,1.1595867351823772,2.8203157939674757
2.895454905537905,2.024528231274764,1.3886865103904167,7.414481958868879
2.8260633718678654,2.325485366515508,1.7853269971836176,3.562220272092968
2.8827662957146516,2.344005639636209,1.1052059833581027,6.733240831709478
2.8806157761116546,2.2546402957964204,1.3011327947381275,3.889971687064499
3.1818986075624442,2.1128484942031687,1.4742800220710999,2.4020016222826692
3.0768229565430296,2.144632166926359,0.9942412178904004,8.996013398204092
2.582914476570452,1.9481768723057584,1.4836805993116642,3.742603439834938
2.9956637110066446,1.6257493654427244,1.0568802253936218,6.5018312386225805
2.998830681187108,1.8646845469613673,1.4569084998780655,7.71387702202949
2.7468093616183307,2.1504442965174366,1.2953226411595835,10.680711052315907
2.615349024941265,1.4482710593912522,1.2108914255353436,4.934035407702776
2.7695095139645343,1.6320781030533558,1.5089566018262561,7.359984020237278
2.9377156819233523,2.388026795303707,1.1752537612181106,2.324613260632931
3.0477959085708175,2.296741880916561,0.9785301382507218,4.462172319547381
2.1988953413653163,1.8964798972275252,1.5197966979609008,6.916607022945955
2.239590290974896,2.0570928754122995,1.3469134307526607,4.044837439845467
2.6401279713935906,2.0389050560575295,1.3307526759496586,6.859643952390732
2.6912439422141947,2.0978482652232446,0.5259459104308807,1.4973590950672577
3.1599363819772464,1.8598393619657019,1.247903010712878,3.9990195233298813
3.0706384120831434,1.876218809602361,1.5306011864163112,8.948347522250911
3.0626891279426633,1.700271961174355,1.2819354867392412,16.436634526269525
2.900960567658155,2.3193925881703192,0.9973283634770949,2.3436305415568737
2.6335281867392277,2.297662021259767,1.188062788849217,6.206499470794097
2.7687479532801555,1.614254718440538,1.0390666865789566,2.3747928233370486
2.468952336089836,2.3891763398045285,1.2073309687434879,7.123883538351014
3.3371012280604435,1.9575969133133626,0.7437605728635132,1.9224599348382696
3.386930159453672,2.1558438314566355,0.9108206934792804,5.1895893096737895
3.0765982366973477,1.7722199852129774,1.2205172277511402,4.395143059090315
3.0040363085918558,1.8797244381604763,0.8658227996692175,2.506518110316349
2.6597947161338653,2.327576416155736,1.0962809288009088,2.911108024047663
2.7617438043487113,1.5317980595474354,1.020894161033421,5.211377491193879
2.7379354454733424,1.7040034270793256,0.9604243403769805,7.098782172059328
2.7054570178700335,1.9102159928394786,1.2836697019650605,5.881090041294599
2.333268579623261,1.4234531557624917,1.5398847030708143,9.753810113210257
2.6762185717543097,2.4528618415473638,1.2476197561958449,4.725881671350309
2.993459548571588,1.953221691838583,0.574882848041109,1.6117554005199697
2.9949093313061272,1.9506059965396294,0.6052279206684376,1.5120909955941357
2.698546067169249,2.1851936197691373,1.4876753846334254,7.728205979699068
2.901139485469736,1.8247224185867426,1.1948203019352281,5.991633465620608
2.792754937475431,2.241950467331101,0.6662501890986431,1.5711344539846492
2.610780868446319,1.9861495568214544,1.0498497306054384,4.4160608230677285
2.9079081650450926,2.1052143862551183,0.6587086736378153,1.169262178246789
3.0927874144066676,2.010144402531909,1.0088366001641005,3.3625357495619284
2.5664648812072484,2.1673886431866327,1.1371886700098826,5.104630498287573
2.7244656995503154,2.524605756547341,1.243318661421142,6.431123273396365
2.848954682451558,2.132299968141459,1.109472494723676,4.284493129524264
2.3843396248917337,2.9067292945444,1.487417438251733,5.9079285353566835
2.3302503116002415,2.553600156127921,1.4309917495254079,4.424398448011502
2.5734190760828626,1.6694516998087583,0.9060561621981413,2.6510055823643923
2.5921610211477124,1.8253343207606896,0.8728995449169036,2.753339593770783
2.6429568216810493,2.25526248648482,0.9083878510974314,2.054389012243689
2.74700241030101,2.053811024208965,1.5265565992479113,8.072553341712558
2.6320718664341407,2.091780185456606,0.9019525621888392,1.7015860105568035
2.6625305262711163,2.2448036253770014,1.2756667976067402,6.0561352549146
2.2730372192709045,1.9747987981523327,0.9032980142770939,2.9098598546553465
3.132262868765597,2.169058519109182,1.0001995529392866,5.589064951542893
2.777120079331375,2.041537368405033,1.3389750758860959,17.153047973786965
2.7976766284480212,2.067264263535255,0.8575166605328919,2.289792005536039
2.6018269102520524,2.3662620259236737,0.7496571401534134,1.6969451375488265
2.753788331750156,1.9596316977440849,1.1958550827929562,4.654720553451708
2.526847600009774,2.358749732758096,0.44286638292154606,0.8637969641736517
2.784630365969265,1.9503390658245692,1.0821230487483116,1.496335326373536
2.7827770229267013,1.8999485721014968,1.0817632978287395,5.721931006332408
2.9112305373276746,2.0023276470315254,1.0930062485424221,3.9204946034258823
2.634229933066862,2.2024556033276252,0.6832449909867336,2.151129120301826
2.6650497035650846,2.009486715117459,0.6238983598617388,2.4629117773838005
2.787647105806137,2.173129239028354,0.6704633027501591,1.7766777831574516
2.813873149154017,2.230747921107562,0.594625725867393,1.6103949360914194
2.768457167689202,2.0698648039956216,0.6428249256324048,2.0722125830719613
2.9229622054049145,2.1430225598243187,0.9130003406913961,1.7902686577411382
2.704233640706085,2.0642029043261565,0.8634926744019153,2.365906806508957
2.900080849248919,2.0222785617575925,0.890625855932064,2.2884748567513054
2.786278111758971,2.081884368923818,0.8864921802953104,2.802031472810497
2.6320906754371536,1.7439587633914582,1.3714891943150496,5.023728818882291
2.734034134055582,1.7874204934115911,1.0222880761597903,2.4928364914715013
2.7453696155131726,2.3544561008661384,0.9876232936751348,1.2890844775796444
2.5542742162205476,2.0736092435701723,1.14313935918453,5.894228221154706
2.7859979901034677,1.8604535725400433,0.8034379836797972,0.9988378482964544
2.915309179725584,2.0160833669129143,0.7045525300580767,1.4296747599508393
2.880087913625678,2.108620035336921,1.760610564936128,12.060816509484336
3.2594345516587735,1.6778040982860736,1.1325226815311262,8.413881992657494
2.662105562321689,1.8103875664030489,1.9415510718646753,13.533871338320834
2.65256866632185,1.449967301072323,1.169422015085606,11.479262294002293
2.878545352717449,2.3967623270180547,0.8600344809740234,4.7804994596038055
2.908494352899854,1.9919867902143351,0.8070221841684961,1.8599178964452743
3.031038381297288,2.2974589743803313,0.9223886385562894,2.9088478464495897
2.645018704058181,2.2202303718469825,0.930544333329363,2.564640143034068
2.7558073701705728,2.3224132550423935,0.6457876168470066,4.455822422381461
2.789632977340831,2.077725682453006,0.693093558745924,1.2235180886546246
2.9646387982314275,2.1049571145322985,0.8174074337895043,3.628327664633476
2.635280656574621,2.1878563443726047,0.7304221364808353,1.8355055589198772
3.0713396818803966,2.015569987311364,1.3189733362130502,6.956362357962089
3.1191599079844425,1.7668170256860825,1.3848512333899414,3.6721503097457884
3.3377504515311633,1.8624348257155947,1.200188544376943,7.086556076788428
2.173906755283839,1.9484343011585106,1.3148264634393902,3.9589387813973245
2.277676411318539,1.858512418790663,1.0022521351978007,3.082018204185979
2.400694522167847,1.7271499722883084,1.2347436152358053,3.4857389017824074
2.9991662864586064,2.203969525967165,1.3480211567081675,13.00614354750058
2.83294351603122,2.452963406716782,1.2596640789969353,3.678284785584572
3.092765942418331,2.041504364271369,1.0329417806877468,4.841446457934263
2.9638993995225262,1.9975434838459714,1.4314859594755545,5.854987897765843
2.6438269876203626,2.5310231407145256,1.1127115482346221,6.831918875412338
2.4760689176640422,1.9822763834438921,1.416613360588074,4.879685848214177
2.6053017561484926,2.0267699107099557,1.1020914206188128,8.012095118165451
2.631428689966217,1.8126445490570837,1.1602296628301956,6.696085069706438
2.8019327521794897,2.3748829158667757,1.4278268499709923,9.116034369176354
2.7382765590965508,2.114093813962825,0.9479948719606486,2.2096755266212456
2.5007718898074587,1.9717520796402952,1.0270579172190666,1.6872728449140055
3.5464761931833113,2.1011924391576726,1.2236998608040413,7.479421857932308
3.556614885028376,2.2389409940027902,1.4314411477783096,1.2011351520802669
3.108044436489057,2.0116422832833742,0.742318214761783,4.699535607037026
3.0382041280215235,2.074171634925271,0.9199445524276462,1.1508085792799787
2.7828276158971295,2.140029414012099,0.834810379984652,5.074761704421453
2.8935366991791973,2.0448037048899605,0.9324330847970129,2.249610096178366
3.097589619144716,2.412247103664553,1.4723768231710646,9.79220202021852
3.1450962064666252,2.3495817625056223,1.4376836425608492,10.941699177677396
2.6003107024630214,2.015193578944112,0.5823885022798346,2.232968296114921
2.6973341921361125,2.0776136930388414,0.62383217283083,1.382055932847886
2.850405600743701,2.0039414732024166,0.9525759274697381,2.3700500776748132
2.89233828309408,2.198812367498241,1.0422606460593187,6.662840611744718
2.677612770047648,2.2695950398642357,0.8099558006499068,1.8064248402243743
2.8954642476280905,1.9750045963303842,0.7824056823932334,1.3856619041669629
2.830388548204056,2.0430924353001902,0.7682902412545032,2.033581811658819
2.9871004279434104,2.0699328550912486,0.7574905607333534,2.182041505957205
2.7436618071966454,1.919414987837646,1.1403084247833482,3.2541167304266154
2.9441515287798024,2.009141173533628,1.2009993006105024,8.130731353755465
2.8316763037804797,2.2309329255602375,0.9877754258730409,2.024408402713773
2.8370406935193713,2.167919266073443,0.7215409875572274,2.6973055223465794
2.804885194099478,2.4853807473948972,1.1091302264628224,1.4113707320001787
2.750717563032639,2.519487899284239,0.9924093497185813,1.9252462673612762
2.255641057004761,1.7429594836647715,1.8278608871571844,24.696875730340825
2.4448823989891233,1.3996205153955936,1.4347484105833959,5.398334919620629
2.548245679011982,1.7177167320327886,1.3564229930314284,5.439522010310233
2.7042172185510918,1.9588744861495146,1.324156591621684,4.499772264105415
2.822122918434251,2.2425931790160867,0.9034476009117309,1.8338960494137027
2.850881293181712,2.074369719329765,0.9580030228504971,3.982263843365396
2.6273686622900536,2.168711490126541,1.043108469040071,2.7794470842959726
2.46533529743738,1.7815861578228762,0.7973477698120623,1.7363357221327884
2.7820461667693364,2.3004594245566485,0.6076065934071808,1.1334522868395338
2.6786421479347284,2.0178108203676723,1.3615814866314064,2.338620999511181
2.8150786763552786,1.9725818210742367,1.0891054888011382,5.243789021847281
2.7420316777575424,1.8760337097341961,1.2343633543797732,5.072498937264575
2.6521063509855614,1.6156824488085713,1.240881877713167,8.010170371346133
2.813944305113002,2.3749207180505705,1.1176719651599412,1.8805245424238095
2.766594990370595,2.3965622099212323,0.9071719328504022,4.552230483560353
2.694136071204668,2.235324790761369,1.0980320502983507,2.785444876116987
2.9774410919734833,2.3616202807563345,0.6236247887594006,0.8577408754949104
2.8153428298150445,2.3832628988121134,0.8923046530861652,1.992617652665023
2.601453011579498,2.154721959341848,0.7795342618868815,3.158868472656101
2.6867813736854274,2.3013848989534313,0.7693460737447889,2.824832847490277
3.0662350620181362,1.8683173469812848,0.9674559884680536,3.216430245239346
3.4213680248189564,1.983961988042471,1.5851834368360473,4.902851695698079
2.4441728104916907,1.72040936101333,1.930896998970569,9.778267883257053
3.0229754594438796,2.3880602683970706,0.8399546336595627,2.1656536220618925
2.3574085710349717,2.0799220850535987,1.097485977730306,2.0838119328171447
2.840370313213987,2.058297597531341,1.075122469017631,7.94644230631064
2.7321116837483994,1.819080864931045,1.1227267009859807,5.378116490098018
2.7288246671581486,2.0682373542142685,1.3096915084108982,5.017510049517253
2.7960843090934597,1.9662420584283677,0.8840837279010105,3.8420534414154726
3.069074591460535,2.134346915274398,0.8759212535583085,2.139366143243659
2.538676389607491,2.148731014927344,0.8461102300621033,1.199353540188385
2.5431163648130037,2.1938983987916734,0.8492416967287576,2.2852652679477248
2.543276568673698,2.379531166820733,0.8198700195675883,2.112831075066221
2.762670972616902,2.3567557043485725,0.9510940593183043,2.384735394648651
2.5943465051968717,1.857833391295867,1.0822603451546458,3.7669182493889806
2.714932420906019,2.416264958191301,1.22975810471334,3.0495359314875743
2.9899094634937353,1.7191808691605344,1.2874999631082118,2.959532160429626
2.5580757474687976,2.1780775541169035,0.6949128149525013,3.792657135356092
2.8726805021138433,1.915511284367439,0.9196806679112034,5.274338414150612
2.881097839403552,1.9341941357421024,0.7633325446081015,0.7316031440194055
2.576747713231088,2.2679920177325745,0.8767966162246634,6.665580862096257
3.0146654228336285,1.921942630950368,1.0970551953036318,4.045608255860677
3.479388977732468,1.7511375815893162,1.4324057931817427,6.619624526849669
3.5038816709939256,2.1093430215061852,1.1923804305780765,7.283159690498227
2.7345158077984464,2.273283684486167,1.0756470831591964,2.5214890768937828
3.037747611738794,1.7854277661855085,0.6574128760225821,1.7822846150903953
2.544544502757449,2.277654281714404,0.633546266132105,1.024547026168022
2.730665962312015,2.184330287093717,1.100002931155808,5.065423217158233
2.6521362633147727,2.2396203898435196,0.4567245638688665,0.6699470836892549
2.681828610466231,2.006502068785044,0.43345703086568665,1.22872656189465
2.788338382890284,2.1909998637336137,0.6969006841172081,1.5295249730994414
2.8218830714775924,2.1186285021055355,0.6018530809919692,1.5087515731062977
2.9495230386744073,2.072636024797668,0.5436954880289804,1.2069108843327983
2.7652628181811085,2.1062031215340222,1.5760555320141119,10.140183138419031
2.5441963541497037,1.7061708711330505,1.1125749688862383,6.252504941689864
2.6428062746984233,2.0564358269571317,1.1412746227719297,3.5010012964539494
2.6580373180954875,2.156730633138898,1.1513038849943749,5.666691434578922
2.8208882032187512,2.0143698151151415,0.8941309697697454,3.2668949665743807
2.9628639743864533,2.039448727782789,1.0950173782731676,2.985743029467202
2.4899529634441055,1.9360838216064455,1.148520803602469,4.986969885574749
2.783267110643589,1.8392740398711813,1.2093071233768664,3.5141261547902385
2.832938607752979,1.6361422846434797,1.046887528264247,6.01172447390654
2.7002110477255212,1.5833317781772913,1.9888055677011556,8.211300699077633
2.7004317450247637,1.6038876183190374,1.7563117281155416,12.817197572776475
2.6566841341783047,1.6430655928424303,1.3064394128269934,6.654223566647565
2.6319993844761127,1.6276937829662894,1.2864772133182516,6.534859068115561
2.6464845133098733,1.501042281138326,1.5308036301704444,6.627913037641325
2.651925335883915,1.3950836470555967,1.2247218952839853,7.377548082962079
3.0317787404195755,1.9059831273061272,1.7982410660087287,16.946783532263662
2.6578331325883413,2.1331214625543495,1.3472533421158477,5.701101550023212
2.62856058850037,2.5251686160277806,1.1083275330328801,10.708705384303203
2.6872330040832426,2.2861649751669817,0.9958719524636922,8.051885098700813
2.6356462427274896,2.33950268563884,1.2348185719571452,4.561338572804656
2.604547468516986,2.694673191339262,1.4342021854136968,4.841204701408631
2.513493891372211,1.6092865053218823,1.3009283848602247,8.528609829290719
2.7613651857766954,1.6281370921889156,1.6797661497241831,10.723158083525666
2.512924719880861,2.2469677027372854,0.9057142995377258,4.172898113024272
2.8884081895194353,1.8963584415355166,1.2189528823487399,3.051996204096009
2.703363029524208,2.1264502121043836,0.9052880358352637,2.721884927695912
2.930148785858668,2.2550728025779745,0.8180431616183335,2.722397998158488
3.174227003441697,2.1002035638053,1.1681225757761502,2.834598414584887
2.483878005075944,1.992385886780347,1.1293564753611278,5.057250560528561
2.787901085981765,2.184073712449796,0.9597296132507539,2.898042333037401
3.078771233142088,1.7773789449293618,1.1123641466717298,2.9183369300473614
3.0376781942575337,2.1358499896813075,1.0914695136088186,4.725316417481345
3.036650119866229,1.7361815513043566,1.184039366246783,2.6639757241932625
3.0234065965105015,1.9118834585086677,1.0655692651225057,2.9681551457009694
3.1558325695815372,1.7451061379171466,0.8980288151679409,2.165647365103469
3.1067127378898802,1.6964808996846994,0.8979494047357828,1.6692713994854198
3.1253900367461998,1.8444793217134963,0.9876165630394005,1.7027780909198655
2.680347944767305,2.1118954377252757,1.4641808651683392,19.93893440878337
2.8868110983742463,2.421390011163092,0.8100665157991002,2.026242407464729
2.7970796764261903,1.4935317298840554,1.3531443803022265,7.745582480066445
2.7415413527543064,1.7070760875696598,1.5824499062570867,12.19771668300952
2.880496066238461,1.6458334576440428,1.365846467132568,15.12089493078417
2.810072349904218,2.3934249838166366,1.5438256255388714,15.734496510957191
2.656296302705977,2.2924155096862706,1.1366132047330355,7.941608730025681
3.2860128630036955,1.8699386483679323,0.951990148521165,2.340899106721198
2.4774250578222903,2.122721811208916,1.4485082539716825,10.824707172937236
2.803478880722449,1.836955408988085,1.0588811476555733,6.791646385127165
2.7205631377417663,1.9794255471061828,1.1826238050093143,6.200725978715528
2.810126594773715,1.9600450284207107,1.1419116065354702,3.6292006480759347
2.736121901022505,2.049598828339334,0.7131291570347,4.182020318607267
2.6313281842647425,2.143526079853743,0.9067780288693535,1.605387904615182
2.618694027137204,2.279431172379755,0.700762286060564,2.0930560376454266
2.5917889388606095,2.368863690202401,0.6812452482916693,2.728265515676527
2.6707911345993085,2.289231855993758,1.4143216472195024,1.4371073866908923
2.936251735371753,1.9748155139144652,0.3697575640523585,1.2662480791863768
2.32701179598104,2.1356355373806695,0.6835398630073382,2.7841499024853347
2.460330790269574,2.5004899193642127,1.7390821152411315,2.5203165375397094
2.568567730697523,1.7592252285656014,0.7726031666855445,5.0226151651978785
2.839676019547809,2.5163643860705798,1.0724099850128181,2.1427840564118545
2.8821330591476357,2.56310618584047,1.0480677968129097,2.1500136528274734
3.0352875779640303,2.402348342364889,1.1770001913866404,3.4678001379721337
3.0525986236212357,2.141161320139081,0.8016474685875656,2.2208934447538438
2.5013481985314314,1.9954212375227387,1.631624130652312,7.899556060006962
2.3842826920299496,1.8988400198966233,1.0286382642284089,4.572984840001524
2.662850001076859,1.629643899801114,1.4128611464575695,2.867455007746474
3.0896394790717316,2.015119119568736,0.6699074928117053,2.7499869776528345
3.0213175757238444,2.1009568095736704,0.8340620111703473,2.11818971164875
3.0213175757238444,2.1009568095736704,0.8340620111703473,2.11818971164875
3.036939370449796,2.0331504547275254,0.6930888485350782,3.145701843251824
2.393129055767136,2.424676573714599,1.1829221769263658,1.8849046442357043
2.499243005153385,1.9842061530536603,1.405240669589188,22.19195580317948
2.6265550667260973,1.9171531203107237,1.3427535330477016,17.565664107940858
3.022779944103779,2.620929899656725,1.4971770292208395,7.493305231242154
2.882524208762727,2.1761414603595113,0.8673497141299658,2.6821491959469017
2.611539773483076,1.9975286484361987,1.0031723178736058,5.749479989921756
2.861110646722746,2.199622352490602,1.1025646584523436,3.863723238980524
2.624583358278483,2.2568729849198195,0.9018960438564599,2.6397920045762175
2.599053740109785,2.27882016296997,0.827042403783354,3.2912145071656016
2.8481451203076555,1.8767780453795138,1.4276552286703612,14.298691762958967
