alpha,beta,sigma,nu
1.0609531247097699e-12,2.7729566583548517e-13,7.0647145298453e-12,0.2852078192061203
-1.1408319706829497e-12,1.1128663980716122e-12,7.0647143114074e-12,0.2852078192078468
3.1975244972353985e-13,8.848864865376787e-13,7.064713666118391e-12,0.28520781920741195
-1.6197661108323211e-13,1.1400778880985346e-12,7.064732188956724e-12,0.28520781920254035
-2.3793540828186125e-13,-4.408509769506868e-13,7.056204167492593e-12,0.2852075095979223
4.030021958821251e-14,-3.8630345141682746e-13,7.052742613218121e-12,0.28520752500526364
-6.610159316951956e-13,5.068580139676245e-13,7.052741446868484e-12,0.2852075250066612
-7.80953657024131e-13,5.654084379962999e-13,7.108378630335402e-12,0.28520762966227625
1.274595033495121e-12,-3.399701282218617e-13,7.083630194182051e-12,0.2852077354502139
-9.329951893852474e-13,7.132457116374875e-13,7.0910382691197086e-12,0.2852076867396612
-1.107989769221772e-12,9.821885397597357e-14,7.0910843639771865e-12,0.28520768677887376
1.067384763306906e-12,-4.824180805564421e-13,7.0890100634305264e-12,0.2852076979219125
-1.4608846218958969e-12,8.989669817332087e-13,7.089009431509861e-12,0.28520769791094913
2.739466992616704e-14,6.956517426992739e-13,7.089009971173202e-12,0.2852076979058678
5.0242046813485e-13,-3.1786288711925465e-13,7.089007463659484e-12,0.28520769790906986
4.533102240740165e-14,8.244972244848549e-13,7.149560166525833e-12,0.28520784602592225
8.898750521747715e-13,3.6004252307666835e-13,7.210566902316482e-12,0.2852082036787337
1.3050978546047635e-12,3.4248903969257814e-12,7.210568580578741e-12,0.2852082036831507
4.898738682309706e-13,6.179325513164913e-13,7.210567156581526e-12,0.28520820367384286
-1.0589885707619328e-12,-8.567744743802476e-13,7.210525183094124e-12,0.28520823432416215
-1.4804285241077277e-12,-1.4914093121644139e-12,7.210524714100383e-12,0.285208234327141
2.5211866613504146e-12,1.867387552859106e-12,7.211217629334007e-12,0.2852082117224209
-1.6873638371811126e-12,-1.248581102119709e-12,7.211215492094768e-12,0.2852082117166561
-1.3208045225628767e-12,-1.093817859701198e-12,7.20444648942879e-12,0.2852082965425716
4.2285048000058835e-13,2.17213529821031e-13,7.203961375874702e-12,0.2852082910131617
-7.487296148566892e-14,-2.894962643664127e-13,7.186473282236089e-12,0.2852080889711584
-7.314278034983157e-13,7.012877905941722e-13,7.190798613347954e-12,0.28520787768607375
-6.63384185338216e-13,1.0803221084301878e-12,7.200168344370564e-12,0.2852077025744696
6.073741458145965e-13,-1.3335897121507892e-12,7.208846551252534e-12,0.2852076893829774
-8.182292468730446e-13,-2.727483495344539e-13,7.208876966195954e-12,0.2852076900895516
1.969398553718385e-12,5.704381181372336e-13,7.2088773000368216e-12,0.2852076901083772
-5.482918909626083e-13,1.188702894198177e-12,7.208876156326376e-12,0.2852076901050656
7.612234294307678e-13,-1.588042241473028e-12,7.215208884834847e-12,0.28520778697091065
-1.517658096901386e-12,-1.7836904216943986e-12,7.2163463577279045e-12,0.2852077575899115
2.805347547130124e-12,5.206904917874112e-13,7.212413615052977e-12,0.2852077657945671
6.904716280787314e-13,-7.920355922415461e-13,7.212410647764373e-12,0.2852077657952059
-5.635022206259833e-13,6.569800029998329e-13,7.202425375221782e-12,0.28520788640933303
1.916233912835468e-12,2.673870998866091e-13,7.232072767053684e-12,0.2852077433795077
-9.929259184949634e-13,-2.375292279227458e-13,7.188251792733769e-12,0.2852078934875129
1.2820561960338424e-13,-1.630365756034737e-13,7.188252060962016e-12,0.28520789349197695
-2.12319879218411e-12,-2.324516157168466e-12,7.188253711559311e-12,0.28520789349929104
-1.2101792879862735e-12,-3.1125454539272143e-13,7.188254623753271e-12,0.2852078934949375
-8.243788357004121e-13,5.730858742890867e-14,7.1932860948804105e-12,0.2852081057723465
1.8330538530255534e-13,-1.9725708410521108e-13,7.193285749304882e-12,0.2852081057738075
7.182783224171282e-13,1.0716322417390906e-12,7.206042677400489e-12,0.2852080553497569
3.406878744992377e-13,1.1112072487767373e-12,7.210528164754114e-12,0.2852079458725534
2.4349917470614646e-13,5.182581147825534e-14,7.222363304213198e-12,0.2852082162116736
-4.636315090185026e-13,2.1001150415552284e-13,7.237729642224744e-12,0.2852081766252189
1.4620961604599047e-13,-3.3351093542179403e-13,7.229731489002063e-12,0.2852081346451848
3.3603966650503627e-13,3.4756942405427687e-13,7.204107139548259e-12,0.2852080942209014
2.812329759328689e-13,-4.748379806935809e-13,7.214488232520088e-12,0.28520815706373825
-1.0397444927130654e-13,2.1704225174949218e-14,7.214485599667899e-12,0.2852081570352909
2.8497002238775844e-13,-1.9090163322658034e-13,7.214486570131351e-12,0.2852081570342528
2.8497002238775844e-13,-1.9090163322658034e-13,7.214486570131351e-12,0.2852081570342528
-5.899963492456836e-14,2.770395321403191e-14,7.2175817551613585e-12,0.2852081486540161
-1.1430672539371811e-12,-1.6035522017758142e-12,7.217580766470007e-12,0.2852081486465041
1.2639956322959345e-12,1.355243395313331e-12,7.251092370718446e-12,0.28520812592120276
-7.501549247614527e-13,-9.533982829774897e-13,7.258647585122858e-12,0.2852082086763884
-8.234826608513014e-13,1.576625349997988e-13,7.2699606708068044e-12,0.2852084293577267
8.575610181054841e-13,2.72668806550572e-13,7.269962194160886e-12,0.28520842935880986
1.2685274352973248e-12,-8.008257801340046e-13,7.274614490280142e-12,0.28520844707490106
-6.863027620474553e-13,2.474774800004171e-12,7.276186130362983e-12,0.28520843824461695
2.8058112577941825e-13,1.2276485307260795e-12,7.2761850943172e-12,0.2852084382491658
7.111398695001921e-13,3.552587906120554e-13,7.285419654713576e-12,0.28520874917296424
-2.3045738859452546e-13,-5.545981546005391e-13,7.285419647569219e-12,0.28520874917858274
4.84335806547538e-13,-1.3581021349385444e-12,7.275437399816354e-12,0.2852086122021994
-1.2928526790714086e-13,-3.7855050627504294e-13,7.275449601051221e-12,0.28520861228185035
-1.0823041002107241e-12,7.250597784625506e-13,7.297068642535037e-12,0.28520882350516386
2.9653601020812343e-13,8.947450744200617e-13,7.313722995419302e-12,0.2852085096138861
-8.781732421302862e-13,-6.853335539305865e-13,7.324283927086161e-12,0.28520854418942154
-1.063742154500121e-12,-3.7378432966832366e-13,7.357993950193956e-12,0.2852084566941706
-4.092985594523788e-13,1.7322321977770187e-13,7.36023215073195e-12,0.2852082674648478
1.2634325373082286e-12,-4.2174194576284283e-13,7.387891409247516e-12,0.28520816067439436
-6.723081703580891e-14,1.1190193414049434e-12,7.387889799260914e-12,0.2852081606781619
4.891071828597009e-13,-5.847999552162881e-13,7.397054563831248e-12,0.28520816832899665
-6.128906152233789e-13,3.769661225377997e-13,7.387453896639595e-12,0.28520803438912573
2.8995273530157896e-13,1.1597142286129132e-12,7.387454996423802e-12,0.2852080343861651
-4.2160032687440897e-14,8.002160722212175e-13,7.396612428334976e-12,0.2852080072971523
1.4744791225181093e-13,-1.0812339879129365e-12,7.402669773299083e-12,0.28520797892292143
-3.2962983017633197e-13,6.69688955526131e-13,7.402669360455396e-12,0.2852079789254702
-9.001581327363483e-13,-1.5472004714779996e-12,7.383888046600288e-12,0.2852079620418624
7.268764242891465e-13,1.6903609559679868e-12,7.364337968645017e-12,0.2852077746140121
1.9572473026969913e-12,8.21303957069857e-13,7.376121265076628e-12,0.2852077561714774
1.082812657485963e-12,4.723946373604191e-13,7.376114234124417e-12,0.28520775631358986
1.0927707840313989e-12,-5.005165367547968e-14,7.380928499441791e-12,0.2852074534147937
-9.610898538760349e-14,1.759955647977768e-14,7.375791036240644e-12,0.28520734753910526
2.70446879342228e-13,-4.9104044519301774e-14,7.388262613025746e-12,0.2852077776303993
-1.39382691749494e-12,8.96723798513157e-13,7.38826154074384e-12,0.2852077776283854
-3.1484490832723177e-13,1.4458748280497117e-12,7.378100781344953e-12,0.2852079583747277
-9.349325928571571e-14,-1.902087739740585e-13,7.378101212080897e-12,0.2852079583754195
-2.2713389228665571e-13,-5.715035967661574e-14,7.383890009986026e-12,0.28520791609233137
1.3519688399558208e-14,1.9992695370487774e-13,7.390588512529691e-12,0.2852079533455343
1.3017211481284864e-12,1.4162179892123827e-12,7.405193169844985e-12,0.2852078180497572
-1.096085822857773e-12,-1.7990998462552328e-12,7.38374352932033e-12,0.28520769061300716
1.7652638657063079e-12,1.2255819055226403e-12,7.305311089470751e-12,0.2852080301236088
