Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Item Code,Item,Element Code,Element,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,LUTO,Factor,Report ISO,Partner ISO
10,Australia,2,Afghanistan,515.0,Apples,5910.0,Export Quantity,tonnes,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,Apples and products,1.0,AUS,AFG
10,Australia,2,Afghanistan,1107.0,Asses,5908.0,Export Quantity,Head,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Animals live nes (heads),1.0,AUS,AFG
10,Australia,2,Afghanistan,1039.0,Bacon and ham,5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,Pigmeat,1.2,AUS,AFG
10,Australia,2,Afghanistan,51.0,Beer of barley,5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,"Beverages, Alcoholic",1.0,AUS,AFG
10,Australia,2,Afghanistan,634.0,"Beverages, distilled alcoholic",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,"Beverages, Alcoholic",1.0,AUS,AFG
10,Australia,2,Afghanistan,633.0,"Beverages, non alcoholic",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Non-alcoholic Beverages,1.0,AUS,AFG
10,Australia,2,Afghanistan,886.0,"Butter, cow milk",5910.0,Export Quantity,tonnes,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,Milk products (nec),1.0,AUS,AFG
10,Australia,2,Afghanistan,358.0,Cabbages and other brassicas,5910.0,Export Quantity,tonnes,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Vegetables (nec),1.0,AUS,AFG
10,Australia,2,Afghanistan,901.0,"Cheese, whole cow milk",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,Cheese,1.0,AUS,AFG
10,Australia,2,Afghanistan,666.0,Chocolate products nes,5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Vegetables (nec),1.0,AUS,AFG
10,Australia,2,Afghanistan,517.0,Cider etc,5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,"Beverages, Alcoholic",1.0,AUS,AFG
10,Australia,2,Afghanistan,828.0,Cigarettes,5910.0,Export Quantity,tonnes,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous,1.0,AUS,AFG
10,Australia,2,Afghanistan,1293.0,Crude materials,5910.0,Export Quantity,tonnes,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,Non-edible Crude Materials,1.0,AUS,AFG
10,Australia,2,Afghanistan,1232.0,Food prep nes,5910.0,Export Quantity,tonnes,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,Miscellaneous,1.0,AUS,AFG
10,Australia,2,Afghanistan,623.0,"Fruit, prepared nes",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,149.0,,,,,,,,,,,,Fruits (nec),1.0,AUS,AFG
10,Australia,2,Afghanistan,560.0,Grapes,5910.0,Export Quantity,tonnes,,,,,,,32.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,Grapes and products (excl wine),1.0,AUS,AFG
10,Australia,2,Afghanistan,109.0,Infant food,5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,Miscellaneous,1.0,AUS,AFG
10,Australia,2,Afghanistan,622.0,"Juice, fruit nes",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,Fruits (nec),1.0,AUS,AFG
10,Australia,2,Afghanistan,562.0,"Juice, grape",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,Grapes and products (excl wine),1.0,AUS,AFG
10,Australia,2,Afghanistan,509.0,"Juice, grapefruit",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,Fruits (nec),1.0,AUS,AFG
10,Australia,2,Afghanistan,491.0,"Juice, orange, single strength",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,Fruits (nec),1.0,AUS,AFG
10,Australia,2,Afghanistan,1173.0,"Meal, meat",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,Fodder and Feeding Stuff,1.0,AUS,AFG
10,Australia,2,Afghanistan,870.0,"Meat, cattle, boneless (beef & veal)",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,18.0,15.0,,,,11.0,,,,,30.0,,52.0,179.0,33.0,188.0,164.0,76.0,78.0,Bovine Meat,1.3,AUS,AFG
10,Australia,2,Afghanistan,1058.0,"Meat, chicken",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,Poultry Meat,1.0,AUS,AFG
10,Australia,2,Afghanistan,1017.0,"Meat, goat",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,Mutton & Goat Meat,1.0,AUS,AFG
10,Australia,2,Afghanistan,1035.0,"Meat, pig",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,Pigmeat,1.0,AUS,AFG
10,Australia,2,Afghanistan,1041.0,"Meat, pig sausages",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,Pigmeat,0.85,AUS,AFG
10,Australia,2,Afghanistan,1038.0,"Meat, pork",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Pigmeat,1.2,AUS,AFG
10,Australia,2,Afghanistan,977.0,"Meat, sheep",5910.0,Export Quantity,tonnes,,,,,,,,,,,,,,,,26.0,,,,,,150.0,89.0,104.0,160.0,101.0,86.0,61.0,12.0,30.0,19.0,Mutton & Goat Meat,1.0,AUS,AFG
